TO_UIUC
1462048048
time,tx_packets
0.001,95109
0.101,95109
0.201,95109
0.301,95109
0.402,95109
0.502,95109
0.602,95109
0.702,95109
0.802,95110
0.903,95115
1.003,95120
1.103,95130
1.203,95140
1.303,95150
1.404,95160
1.504,95170
1.604,95180
1.704,95190
1.804,95201
1.905,95211
2.005,95221
2.105,95231
2.205,95241
2.306,95253
2.406,95263
2.506,95273
2.606,95283
2.706,95293
2.806,95304
2.907,95314
3.007,95324
3.107,95334
3.207,95345
3.307,95355
3.408,95365
3.508,95375
3.608,95385
3.708,95395
3.808,95405
3.909,95415
4.009,95426
4.109,95436
4.209,95446
4.309,95456
4.413,95466
4.509,95476
4.610,95486
4.710,95495
4.810,95506
4.911,95516
5.010,95526
5.111,95536
5.211,95546
5.311,95556
5.411,95566
5.511,95576
5.612,95586
5.712,95596
5.812,95606
5.912,95616
6.013,95628
6.113,95638
6.213,95649
6.313,95659
6.414,95669
6.513,95679
6.614,95689
6.714,95700
6.814,95710
6.914,95720
7.014,95731
7.115,95742
7.215,95753
7.315,95763
7.415,95773
7.515,95784
7.615,95794
7.715,95804
7.816,95814
7.916,95824
8.016,95834
8.116,95844
8.216,95854
8.317,95864
8.417,95874
8.517,95884
8.617,95894
8.717,95904
8.818,95914
8.918,95924
9.018,95934
9.118,95944
9.219,95954
9.319,95964
9.419,95974
9.519,95984
9.619,95994
9.720,96004
9.820,96014
9.920,96024
10.020,96034
10.120,96044
10.221,96054
10.321,96064
10.421,96074
10.521,96085
10.622,96095
10.722,96105
10.822,96115
10.922,96125
11.022,96137
11.122,96144
11.223,96149
11.323,96152
11.423,96152
11.523,96152
11.623,96153
11.724,96153
11.824,96153
11.924,96153
12.024,96154
12.124,96154
12.224,96154
12.325,96154
12.425,96154
12.525,96154
12.625,96154
12.725,96155
12.826,96155
12.926,96155
13.026,96155
13.126,96155
13.226,96155
13.326,96155
13.426,96155
13.527,96155
13.627,96155
13.727,96155
13.827,96155
13.927,96155
14.028,96155
14.128,96155
14.228,96155
14.328,96155
14.428,96155
14.529,96155
14.629,96155
14.729,96155
14.829,96155
14.929,96156
15.029,96156
15.130,96157
15.230,96159
15.330,96159
15.430,96159
15.530,96159
15.631,96159
15.731,96159
15.831,96159
15.931,96159
16.031,96159
16.131,96159
16.232,96160
16.332,96160
16.432,96161
16.532,96161
16.632,96161
16.733,96161
16.833,96161
16.933,96161
17.033,96161
17.134,96161
17.234,96161
17.334,96161
17.434,96161
17.534,96161
17.635,96161
17.735,96161
17.835,96161
17.935,96161
18.035,96161
18.136,96161
18.236,96161
18.336,96161
18.436,96161
18.536,96161
18.636,96161
18.737,96161
18.837,96161
18.937,96161
19.037,96161
19.137,96161
19.238,96161
19.338,96162
19.438,96162
19.538,96162
19.638,96162
19.739,96162
19.839,96162
19.939,96163
20.039,96163
20.139,96163
20.240,96163
20.340,96163
20.440,96164
20.540,96164
20.640,96165
20.741,96165
20.841,96165
20.941,96165
21.041,96165
21.141,96165
21.242,96165
21.342,96165
21.442,96165
21.542,96165
21.642,96165
21.743,96165
21.843,96165
21.943,96165
22.043,96165
22.144,96165
22.244,96165
22.344,96165
22.444,96165
22.544,96165
22.645,96165
22.745,96165
22.845,96165
22.945,96165
23.045,96165
23.146,96165
23.246,96165
23.346,96165
23.446,96167
23.546,96167
23.646,96168
23.746,96168
23.847,96170
23.947,96170
24.047,96170
24.147,96170
24.247,96170
24.348,96170
24.448,96170
24.548,96170
24.648,96171
24.748,96171
24.849,96171
24.949,96171
25.049,96172
25.149,96172
25.249,96172
25.350,96172
25.450,96172
25.550,96172
25.650,96173
25.750,96173
25.851,96173
25.951,96173
26.051,96173
26.151,96173
26.251,96173
26.352,96173
26.452,96173
26.552,96173
26.652,96173
26.753,96173
26.853,96173
26.953,96173
27.053,96173
27.153,96173
27.254,96173
27.354,96173
27.454,96173
27.554,96173
27.654,96173
27.755,96173
27.855,96173
27.955,96173
28.055,96175
28.155,96176
28.256,96176
28.356,96176
28.456,96176
28.556,96176
28.656,96176
28.756,96176
28.857,96176
28.957,96177
29.057,96177
29.158,96177
29.257,96177
29.358,96178
29.458,96178
29.558,96178
29.658,96178
29.758,96178
29.859,96178
29.959,96178
30.059,96178
30.159,96178
30.259,96178
30.360,96178
30.460,96178
30.560,96178
30.660,96178
30.760,96178
30.861,96178
30.961,96178
31.061,96178
31.161,96178
31.261,96178
31.361,96178
31.462,96178
31.562,96178
31.662,96178
31.762,96178
31.862,96178
31.963,96178
32.063,96178
32.163,96178
32.263,96180
32.363,96180
32.464,96180
32.564,96180
32.664,96180
32.764,96180
32.865,96180
32.965,96180
33.065,96180
33.165,96181
33.265,96181
33.366,96181
33.466,96181
33.566,96181
33.666,96181
33.766,96181
33.866,96182
33.966,96182
34.067,96182
34.167,96182
34.267,96182
34.367,96183
34.467,96183
34.568,96183
34.668,96183
34.768,96183
34.868,96183
34.968,96183
35.069,96183
35.169,96183
35.269,96183
35.369,96183
35.469,96183
35.570,96183
35.670,96183
35.770,96183
35.870,96183
35.970,96183
36.071,96183
36.171,96183
36.271,96183
36.371,96183
36.471,96183
36.572,96183
36.672,96183
36.772,96184
36.872,96184
36.972,96184
37.073,96184
37.173,96184
37.273,96184
37.373,96185
37.473,96185
37.574,96185
37.674,96185
37.774,96185
37.874,96185
37.975,96185
38.075,96186
38.175,96186
38.275,96186
38.375,96186
38.476,96186
38.576,96186
38.676,96186
38.776,96186
38.876,96186
38.977,96186
39.077,96186
39.177,96186
39.277,96186
39.377,96186
39.478,96186
39.578,96186
39.678,96186
39.778,96186
39.878,96186
39.979,96186
40.079,96186
40.179,96186
40.279,96186
40.379,96186
40.480,96186
40.580,96186
40.680,96186
40.780,96186
40.880,96187
40.981,96187
41.081,96187
41.181,96187
41.281,96187
41.381,96187
41.482,96187
