TO_UM
1462048314
time,tx_packets
0.001,162709
0.101,162709
0.201,162709
0.301,162709
0.402,162710
0.502,162710
0.602,162710
0.702,162710
0.803,162710
0.903,162710
1.003,162710
1.103,162711
1.203,162711
1.303,162711
1.404,162711
1.504,162712
1.604,162713
1.704,162713
1.804,162713
1.905,162713
2.005,162713
2.105,162713
2.205,162713
2.306,162713
2.406,162713
2.506,162713
2.606,162713
2.706,162713
2.807,162713
2.907,162713
3.007,162713
3.107,162713
3.207,162713
3.308,162713
3.408,162713
3.508,162713
3.608,162713
3.708,162713
3.809,162716
3.909,162717
4.009,162717
4.109,162718
4.209,162718
4.310,162718
4.410,162718
4.510,162718
4.610,162718
4.710,162720
4.810,162720
4.911,162720
5.011,162720
5.111,162725
5.211,162726
5.312,162726
5.412,162726
5.512,162726
5.612,162726
5.712,162726
5.813,162726
5.913,162726
6.013,162726
6.113,162726
6.213,162726
6.314,162726
6.414,162726
6.514,162726
6.614,162726
6.714,162726
6.815,162726
6.915,162726
7.015,162726
7.115,162726
7.215,162726
7.315,162726
7.416,162726
7.516,162726
7.616,162726
7.716,162726
7.816,162726
7.917,162728
8.017,162729
8.117,162731
8.217,162731
8.317,162731
8.418,162731
8.518,162731
8.618,162731
8.718,162731
8.818,162731
8.919,162731
9.019,162732
9.119,162735
9.219,162736
9.319,162736
9.420,162736
9.520,162736
9.620,162737
9.720,162737
9.820,162737
9.921,162737
10.021,162737
10.121,162737
10.221,162737
10.322,162737
10.422,162737
10.522,162738
10.622,162738
10.723,162738
10.823,162738
10.923,162738
11.023,162738
11.123,162738
11.223,162738
11.324,162741
11.424,162751
11.525,162761
11.624,162767
11.725,162772
11.825,162782
11.925,162792
12.025,162802
12.125,162813
12.226,162823
12.326,162833
12.426,162843
12.526,162856
12.626,162866
12.726,162876
12.827,162886
12.927,162896
13.027,162906
13.127,162916
13.227,162926
13.327,162939
13.427,162949
13.527,162960
13.627,162970
13.728,162980
13.828,162990
13.928,163000
14.029,163010
14.129,163020
14.229,163030
14.329,163040
14.429,163050
14.529,163060
14.630,163070
14.730,163080
14.830,163090
14.930,163100
15.030,163110
15.131,163120
15.231,163130
15.331,163140
15.431,163150
15.531,163160
15.632,163170
15.732,163180
15.832,163190
15.932,163200
16.033,163210
16.133,163220
16.233,163231
16.333,163241
16.433,163251
16.534,163262
16.634,163272
16.734,163282
16.834,163293
16.934,163305
17.034,163315
17.134,163325
17.235,163336
17.335,163346
17.435,163356
17.535,163366
17.635,163377
17.735,163388
17.836,163398
17.936,163408
18.036,163418
18.136,163428
18.236,163438
18.337,163448
18.437,163458
18.537,163468
18.637,163478
18.737,163488
18.837,163498
18.938,163508
19.038,163518
19.138,163528
19.238,163538
19.338,163548
19.439,163558
19.539,163568
19.639,163578
19.739,163588
19.840,163598
19.940,163608
20.040,163618
20.140,163628
20.241,163638
20.341,163648
20.441,163658
20.541,163669
20.641,163679
20.741,163689
20.842,163699
20.942,163709
21.042,163720
21.142,163730
21.242,163740
21.343,163751
21.443,163761
21.543,163772
21.643,163782
21.743,163794
21.844,163805
21.944,163815
22.044,163826
22.144,163836
22.245,163846
22.345,163856
22.445,163866
22.545,163876
22.645,163886
22.746,163896
22.846,163906
22.946,163916
23.046,163926
23.146,163936
23.246,163946
23.346,163956
23.446,163966
23.546,163976
23.646,163986
23.746,163996
23.847,164006
23.947,164016
24.047,164026
24.147,164036
24.247,164046
24.347,164056
24.448,164066
24.548,164076
24.648,164086
24.748,164096
24.848,164106
24.948,164117
25.049,164127
25.149,164137
25.249,164148
25.349,164158
25.449,164169
25.549,164179
25.650,164189
25.750,164200
25.850,164214
25.950,164225
26.051,164235
26.151,164246
26.251,164257
26.351,164267
26.451,164277
26.551,164287
26.652,164297
26.752,164307
26.852,164317
26.952,164327
27.053,164337
27.153,164347
27.253,164357
27.353,164367
27.453,164378
27.554,164388
27.654,164399
27.754,164409
27.854,164419
27.954,164429
28.054,164439
28.155,164449
28.255,164459
28.355,164469
28.455,164479
28.555,164489
28.655,164499
28.756,164509
28.856,164519
28.956,164529
29.056,164539
29.157,164549
29.257,164559
29.357,164569
29.457,164581
29.557,164591
29.658,164601
29.758,164611
29.858,164625
29.958,164635
30.059,164645
30.159,164655
30.259,164665
30.359,164676
30.459,164686
30.560,164697
30.660,164707
30.760,164717
30.860,164727
30.960,164737
31.060,164747
31.161,164757
31.261,164767
31.361,164777
31.461,164787
31.562,164797
31.662,164807
31.762,164817
31.862,164827
31.962,164837
32.062,164847
32.163,164857
32.263,164867
32.363,164877
32.463,164887
32.563,164897
32.664,164907
32.764,164917
32.864,164927
32.964,164937
33.064,164945
33.164,164957
33.265,164967
33.365,164977
33.465,164987
33.565,164997
33.665,165008
33.766,165019
33.866,165029
33.966,165041
34.066,165057
34.166,165067
34.266,165077
34.366,165087
34.466,165097
34.566,165107
34.666,165119
34.767,165129
34.867,165139
34.967,165149
35.067,165159
35.167,165169
35.268,165179
35.368,165189
35.468,165199
35.568,165209
35.668,165219
35.769,165229
35.869,165239
35.969,165250
36.069,165260
36.169,165270
36.270,165280
36.370,165290
36.470,165300
36.570,165310
36.670,165320
36.771,165330
36.871,165340
36.971,165350
37.071,165360
37.172,165370
37.272,165380
37.372,165390
37.472,165400
37.572,165410
37.672,165420
37.773,165430
37.873,165442
37.973,165452
38.073,165463
38.173,165473
38.274,165483
38.374,165494
38.474,165504
38.574,165520
38.674,165530
38.774,165540
38.875,165550
38.975,165561
39.075,165572
39.175,165582
39.276,165592
39.376,165602
39.476,165612
39.576,165622
39.676,165632
39.777,165642
39.876,165651
39.977,165662
40.077,165672
40.177,165682
40.277,165692
40.377,165702
40.478,165712
40.578,165722
40.678,165732
40.779,165742
40.878,165752
40.979,165763
41.079,165773
41.179,165783
41.279,165793
41.379,165803
41.479,165813
41.580,165823
41.680,165833
41.780,165843
41.880,165853
41.980,165863
42.080,165873
42.181,165885
42.281,165895
42.381,165905
42.481,165915
42.581,165926
42.682,165937
42.782,165947
42.882,165957
42.982,165967
43.083,165977
43.183,165988
43.283,165999
43.383,166009
43.483,166019
43.584,166029
43.684,166039
43.784,166048
43.884,166059
43.984,166069
44.085,166079
44.185,166089
44.285,166099
44.385,166109
44.485,166119
44.586,166129
44.686,166139
44.786,166149
44.886,166159
44.986,166169
45.086,166179
45.187,166189
45.287,166199
45.387,166209
45.486,166219
45.587,166229
45.687,166239
45.787,166249
45.887,166259
45.987,166269
46.087,166279
46.187,166289
46.288,166299
46.388,166309
46.488,166319
46.588,166329
46.688,166341
46.789,166351
46.889,166363
46.989,166373
47.089,166383
47.189,166393
47.289,166403
47.390,166413
47.490,166423
47.590,166438
47.690,166449
47.790,166460
47.891,166470
47.991,166480
48.091,166490
48.191,166500
48.291,166510
48.392,166520
48.492,166530
48.592,166540
48.692,166550
48.792,166560
48.893,166570
48.993,166580
49.093,166590
49.193,166600
49.293,166611
49.394,166621
49.494,166631
49.594,166641
49.694,166651
49.794,166662
49.894,166672
49.994,166682
50.095,166692
50.195,166702
50.295,166712
50.395,166722
50.495,166732
50.596,166742
50.696,166752
50.796,166763
50.896,166773
50.996,166783
51.096,166793
51.196,166804
51.297,166816
51.397,166826
51.497,166836
51.597,166846
51.697,166856
51.797,166866
51.898,166881
51.998,166892
52.098,166904
52.198,166914
52.298,166924
52.399,166934
52.499,166944
52.599,166954
52.699,166964
52.799,166974
52.900,166984
53.000,166994
53.100,167004
53.200,167014
53.300,167024
53.401,167034
53.501,167044
53.601,167054
53.701,167064
53.801,167074
53.902,167084
54.002,167094
54.102,167104
54.202,167114
54.302,167124
54.403,167134
54.503,167144
54.603,167154
54.703,167164
54.803,167174
54.904,167182
55.004,167194
55.104,167205
55.204,167215
55.305,167227
55.405,167237
55.505,167247
55.605,167258
55.705,167268
55.806,167278
55.906,167288
56.006,167302
56.106,167313
56.206,167323
56.306,167335
56.406,167345
56.507,167355
56.607,167365
56.707,167375
56.807,167385
56.908,167395
57.008,167405
57.108,167415
57.208,167425
57.308,167435
57.408,167445
57.509,167455
57.609,167465
57.709,167475
57.809,167485
57.909,167495
58.009,167505
58.110,167515
58.210,167525
58.310,167535
58.410,167545
58.510,167556
58.611,167566
58.711,167576
58.811,167586
58.912,167597
59.012,167607
59.112,167617
59.212,167627
59.312,167637
59.413,167648
59.513,167658
59.613,167668
59.713,167678
59.813,167692
59.914,167702
60.014,167712
60.114,167727
60.214,167739
60.314,167749
60.414,167760
60.514,167771
60.615,167781
60.715,167791
60.815,167801
60.916,167811
61.016,167821
61.116,167832
61.216,167842
61.316,167852
61.417,167862
61.517,167873
61.617,167884
61.717,167894
61.817,167904
61.918,167914
62.018,167924
62.118,167934
62.218,167945
62.318,167955
62.418,167965
62.519,167975
62.619,167985
62.719,167995
62.819,168005
62.920,168015
63.020,168025
63.120,168035
63.220,168045
63.320,168055
63.421,168065
63.521,168075
63.621,168085
63.721,168095
63.821,168105
63.922,168118
64.022,168128
64.122,168138
64.222,168148
64.323,168158
64.423,168168
64.523,168179
64.623,168190
64.723,168201
64.823,168211
64.924,168221
65.024,168231
65.124,168246
65.224,168257
65.324,168267
65.425,168277
65.525,168287
65.625,168297
65.725,168307
65.825,168317
65.926,168327
66.026,168337
66.126,168347
66.226,168357
66.326,168367
66.426,168377
66.526,168387
66.626,168397
66.727,168407
66.827,168417
66.927,168427
67.027,168437
67.127,168447
67.228,168457
67.328,168467
67.428,168477
67.528,168487
67.628,168497
67.728,168507
67.829,168517
67.929,168527
68.029,168537
68.129,168547
68.230,168557
68.330,168569
68.430,168579
68.530,168590
68.630,168600
68.731,168610
68.831,168620
68.931,168634
69.031,168644
69.131,168655
69.232,168665
69.332,168675
69.432,168685
69.532,168695
69.632,168705
69.732,168715
69.833,168725
69.933,168735
70.033,168745
70.133,168755
70.234,168766
70.334,168776
70.434,168786
70.534,168797
70.634,168808
70.734,168818
70.835,168828
70.935,168838
71.035,168848
71.135,168858
71.235,168868
71.335,168878
