TO_UIUC
1462050477
time,tx_packets
0.001,144053
0.101,144053
0.201,144053
0.301,144054
0.402,144054
0.502,144054
0.602,144054
0.702,144054
0.803,144055
0.903,144060
1.003,144067
1.103,144078
1.204,144088
1.304,144099
1.404,144109
1.505,144119
1.605,144129
1.705,144139
1.805,144149
1.905,144159
2.006,144169
2.106,144180
2.206,144190
2.307,144200
2.407,144210
2.507,144220
2.607,144230
2.707,144240
2.808,144250
2.908,144261
3.008,144271
3.109,144282
3.209,144292
3.309,144302
3.410,144312
3.510,144322
3.610,144332
3.710,144342
3.810,144352
3.911,144362
4.011,144372
4.111,144383
4.212,144393
4.312,144403
4.412,144413
4.512,144423
4.613,144433
4.713,144444
4.813,144454
4.913,144462
5.013,144474
5.114,144484
5.214,144498
5.314,144509
5.414,144519
5.514,144529
5.615,144539
5.715,144549
5.815,144559
5.916,144569
6.016,144579
6.116,144589
6.217,144600
6.317,144610
6.417,144620
6.517,144630
6.618,144641
6.718,144651
6.818,144661
6.919,144671
7.019,144681
7.119,144691
7.220,144701
7.320,144711
7.420,144721
7.520,144733
7.621,144743
7.720,144753
7.821,144763
7.921,144773
8.022,144783
8.122,144793
8.222,144803
8.322,144814
8.423,144824
8.523,144834
8.623,144844
8.723,144854
8.824,144864
8.924,144875
9.024,144885
9.124,144895
9.225,144905
9.325,144916
9.425,144928
9.525,144939
9.626,144949
9.726,144959
9.826,144969
9.927,144979
10.027,144989
10.127,144999
10.228,145009
10.328,145019
10.428,145029
10.528,145040
10.629,145050
10.729,145060
10.829,145070
10.929,145080
11.029,145090
11.130,145097
11.230,145102
11.330,145105
11.430,145105
11.530,145105
11.631,145105
11.731,145106
11.831,145106
11.932,145106
12.032,145106
12.132,145106
12.232,145106
12.332,145106
12.433,145106
12.533,145106
12.633,145106
12.733,145106
12.834,145106
12.934,145106
13.034,145106
13.135,145106
13.235,145106
13.335,145107
13.435,145107
13.536,145107
13.636,145107
13.736,145107
13.836,145107
13.936,145107
14.037,145107
14.137,145107
14.237,145107
14.337,145107
14.438,145107
14.538,145107
14.638,145107
14.738,145108
14.839,145108
14.939,145108
15.039,145108
15.139,145108
15.240,145108
15.340,145108
15.440,145108
15.540,145108
15.641,145108
15.741,145108
15.841,145108
15.942,145108
16.042,145108
16.142,145108
16.242,145109
16.342,145109
16.443,145109
16.543,145109
16.643,145109
16.744,145109
16.844,145109
16.944,145109
17.044,145109
17.145,145109
17.245,145109
17.345,145109
17.446,145109
17.546,145109
17.646,145110
17.746,145110
17.847,145110
17.947,145110
18.047,145112
18.148,145112
18.248,145112
18.348,145112
18.448,145112
18.549,145112
18.649,145112
18.749,145112
18.849,145112
18.949,145112
19.050,145113
19.150,145113
19.250,145113
19.350,145113
19.451,145113
19.551,145113
19.651,145113
19.751,145113
19.852,145113
19.952,145113
20.052,145113
20.152,145113
20.253,145113
20.353,145113
20.453,145114
20.553,145114
20.653,145114
20.754,145114
20.854,145114
20.954,145114
21.054,145114
21.154,145114
21.255,145114
21.355,145114
21.455,145114
21.555,145114
21.655,145114
21.756,145114
21.856,145114
21.956,145114
22.056,145114
22.156,145116
22.257,145116
22.357,145116
22.457,145116
22.557,145116
22.658,145116
22.758,145116
22.858,145116
22.958,145116
23.059,145116
23.159,145116
23.259,145117
23.359,145117
23.459,145117
23.560,145117
23.660,145117
23.760,145117
23.861,145117
23.961,145117
24.061,145117
24.161,145117
24.262,145117
24.362,145117
24.462,145117
24.562,145117
24.663,145117
24.763,145117
24.863,145118
24.963,145118
25.064,145118
25.164,145118
25.264,145118
25.364,145118
25.465,145118
25.565,145118
25.665,145118
25.765,145118
25.866,145118
25.966,145118
26.066,145118
26.166,145118
26.267,145118
26.367,145120
26.467,145120
26.567,145120
26.667,145120
26.768,145120
26.868,145120
26.968,145120
27.068,145120
27.169,145120
27.269,145120
27.369,145120
27.470,145120
27.570,145120
27.670,145121
27.770,145121
27.870,145121
27.971,145121
28.071,145121
28.171,145121
28.272,145121
28.372,145121
28.472,145121
28.572,145121
28.672,145121
28.772,145121
28.872,145121
28.972,145122
29.073,145122
29.173,145122
29.273,145122
29.373,145122
29.473,145122
29.574,145122
29.674,145122
29.774,145122
29.874,145122
29.974,145122
30.075,145122
30.175,145122
30.275,145122
30.375,145122
30.475,145122
30.576,145122
30.676,145122
30.776,145122
30.876,145125
30.976,145126
31.077,145126
31.177,145126
31.277,145126
31.377,145126
31.477,145126
31.578,145126
31.678,145126
31.778,145126
31.878,145127
31.979,145127
32.079,145127
32.179,145127
32.279,145127
32.379,145127
32.480,145127
32.580,145127
32.680,145127
32.780,145127
32.880,145127
32.981,145127
33.081,145127
33.181,145127
33.281,145128
33.381,145128
33.482,145128
33.582,145128
33.682,145128
33.782,145128
33.882,145128
33.982,145128
34.083,145128
34.183,145128
34.283,145128
34.383,145128
34.484,145128
34.584,145128
34.684,145128
34.784,145128
34.884,145128
34.984,145129
35.085,145129
35.185,145129
35.285,145130
35.385,145130
35.486,145131
35.586,145131
35.686,145131
35.786,145131
35.886,145131
35.987,145131
36.087,145131
36.190,145132
36.287,145132
36.387,145132
36.488,145132
36.588,145132
36.688,145132
36.788,145132
36.888,145132
36.989,145132
37.089,145132
37.189,145132
37.289,145132
37.389,145132
37.489,145132
37.590,145133
37.690,145133
37.790,145133
37.890,145133
37.990,145133
38.091,145133
38.191,145133
38.291,145133
38.391,145133
38.491,145133
38.592,145133
38.692,145133
38.792,145133
38.892,145133
38.992,145133
39.093,145133
39.193,145133
39.293,145133
39.393,145136
39.493,145136
39.594,145136
39.694,145136
39.794,145136
39.894,145136
39.994,145136
40.095,145136
40.195,145136
40.295,145136
40.395,145136
40.496,145136
40.596,145136
40.696,145137
40.796,145137
40.897,145137
40.997,145137
41.097,145137
41.197,145137
41.297,145137
41.398,145137
41.498,145137
41.598,145137
41.698,145137
41.798,145137
41.898,145138
41.999,145138
42.099,145138
42.199,145138
42.299,145138
42.399,145138
42.499,145140
42.600,145140
42.700,145140
42.801,145140
42.900,145140
43.001,145140
43.101,145140
43.201,145140
43.301,145140
43.401,145140
43.502,145140
43.602,145142
43.702,145142
43.802,145142
43.902,145142
44.003,145142
44.103,145142
44.203,145142
44.303,145142
44.404,145142
44.504,145142
44.604,145142
44.704,145142
44.804,145143
44.905,145143
45.005,145143
45.105,145143
45.205,145143
45.305,145143
45.406,145143
45.506,145143
45.606,145143
45.706,145143
45.806,145143
45.907,145143
46.007,145144
46.107,145144
46.207,145144
46.308,145144
46.408,145144
46.508,145144
46.608,145144
46.709,145144
46.808,145144
46.909,145144
47.009,145144
47.109,145144
47.209,145144
47.309,145144
47.410,145144
47.510,145145
47.610,145145
47.710,145145
47.811,145145
47.911,145146
48.011,145146
48.111,145146
48.211,145147
48.312,145148
49.412,145149
49.512,145149
49.612,145149
49.712,145149
49.813,145149
49.913,145149
50.013,145149
50.113,145149
50.213,145149
50.314,145149
50.414,145149
50.514,145150
50.614,145150
50.714,145150
50.814,145150
50.915,145150
51.015,145150
51.115,145152
51.215,145152
51.315,145153
51.416,145153
51.516,145153
51.616,145153
51.716,145153
51.817,145153
51.917,145153
52.017,145153
52.117,145154
52.217,145154
52.318,145155
52.418,145155
52.518,145156
52.618,145156
52.718,145157
52.819,145157
52.919,145157
53.019,145157
53.119,145157
53.219,145157
53.320,145157
53.420,145157
53.520,145157
53.620,145157
53.721,145157
53.821,145157
53.921,145157
54.021,145157
54.122,145157
54.222,145157
54.322,145157
54.422,145157
54.522,145158
54.622,145158
54.723,145158
54.823,145158
54.923,145159
55.023,145159
55.124,145159
55.224,145159
55.324,145159
55.424,145159
55.524,145159
55.624,145159
55.725,145159
55.825,145159
55.925,145159
56.025,145159
56.126,145159
56.226,145159
56.326,145159
56.426,145159
56.526,145162
56.627,145163
56.727,145163
56.827,145163
56.927,145163
57.027,145163
57.128,145163
57.228,145163
57.328,145163
57.428,145163
57.529,145163
57.629,145163
57.729,145163
57.829,145163
57.929,145163
58.030,145163
58.130,145163
58.230,145163
58.330,145163
58.430,145163
58.531,145163
58.631,145163
58.731,145163
58.831,145163
58.932,145163
59.032,145164
59.132,145164
59.232,145164
59.332,145165
59.434,145165
59.533,145165
59.633,145165
59.733,145165
59.833,145165
59.934,145165
60.034,145165
60.134,145165
60.234,145165
60.334,145165
60.434,145165
60.534,145165
60.635,145165
60.735,145165
60.835,145166
60.935,145166
61.035,145166
61.136,145167
61.236,145167
61.336,145168
61.436,145168
61.536,145168
61.637,145168
61.737,145168
61.837,145168
61.937,145168
62.037,145168
62.138,145168
62.238,145168
62.338,145168
62.438,145168
62.538,145168
62.638,145168
62.739,145168
62.839,145168
62.939,145168
63.039,145168
63.140,145169
63.240,145169
63.340,145169
63.440,145170
63.540,145170
63.641,145170
63.741,145170
63.841,145170
63.941,145170
64.042,145170
64.142,145170
64.242,145170
64.342,145170
64.442,145170
64.543,145170
64.643,145170
64.743,145170
64.843,145170
64.943,145171
65.043,145172
65.144,145172
65.244,145172
65.344,145172
65.444,145172
65.545,145172
65.645,145172
65.745,145172
65.845,145172
65.945,145172
66.045,145172
66.146,145172
66.246,145172
66.346,145172
66.446,145172
66.547,145172
66.647,145172
66.747,145172
66.847,145172
66.947,145172
67.047,145172
67.148,145172
67.248,145172
67.348,145172
67.448,145172
67.548,145173
67.649,145174
67.749,145174
67.849,145174
67.949,145174
68.049,145174
68.150,145174
68.250,145174
68.350,145174
68.450,145174
68.550,145174
68.651,145174
68.751,145174
68.851,145174
68.951,145174
69.052,145174
69.152,145174
69.252,145175
69.352,145175
69.452,145175
69.552,145175
69.653,145176
69.753,145177
69.853,145177
69.953,145177
70.054,145177
70.154,145177
70.254,145177
70.354,145177
70.454,145177
70.555,145177
70.655,145177
70.755,145177
70.855,145177
70.956,145177
71.056,145177
71.156,145177
71.256,145177
71.356,145177
71.457,145177
71.557,145177
71.657,145177
71.757,145177
71.858,145178
71.958,145178
72.058,145179
72.158,145179
72.258,145179
72.359,145179
72.459,145179
72.559,145179
72.659,145179
72.759,145179
72.860,145179
72.960,145179
73.060,145179
73.160,145179
73.260,145179
73.361,145179
73.461,145179
73.561,145179
73.661,145179
73.761,145181
73.862,145181
73.962,145182
74.062,145182
74.162,145182
74.262,145182
74.363,145182
74.463,145182
74.563,145182
74.663,145182
74.763,145182
74.864,145182
74.964,145182
75.064,145182
75.164,145182
75.264,145182
75.365,145182
75.465,145182
75.565,145182
75.665,145182
75.765,145182
75.866,145182
75.966,145182
76.066,145183
76.166,145183
76.266,145184
76.367,145184
76.467,145184
76.567,145184
76.667,145184
76.768,145184
76.868,145184
76.968,145184
77.068,145184
77.168,145184
77.269,145184
77.369,145184
77.469,145184
77.569,145184
77.669,145184
77.770,145184
77.870,145185
77.970,145185
78.070,145185
78.170,145186
78.271,145186
78.371,145186
78.471,145186
78.571,145186
78.671,145186
78.772,145186
78.872,145186
78.972,145186
79.072,145186
79.172,145186
79.273,145186
79.373,145186
79.473,145186
79.573,145186
79.673,145186
79.774,145186
79.874,145186
79.974,145186
80.074,145186
80.174,145186
80.275,145186
80.375,145186
80.475,145186
80.575,145187
80.675,145187
80.776,145188
80.876,145188
80.976,145188
81.076,145188
81.176,145188
81.277,145188
81.377,145188
81.477,145188
81.577,145188
81.677,145188
81.778,145188
81.878,145188
81.978,145188
82.078,145188
82.179,145189
82.279,145190
82.379,145191
82.479,145191
82.579,145192
82.680,145192
82.780,145192
82.880,145192
82.980,145192
83.080,145192
83.180,145192
83.281,145192
83.381,145192
83.481,145192
83.581,145192
83.681,145192
83.782,145192
83.882,145192
83.982,145192
84.082,145192
84.182,145192
84.283,145192
84.383,145192
84.483,145192
84.583,145192
84.684,145192
84.784,145192
84.884,145193
84.984,145193
85.085,145193
85.187,145194
85.285,145194
85.385,145194
85.486,145194
85.586,145194
85.686,145194
85.786,145194
85.886,145194
85.986,145194
86.087,145194
86.187,145194
86.287,145194
86.387,145194
86.488,145194
86.588,145195
86.688,145196
86.788,145197
86.889,145197
86.989,145197
87.089,145197
87.190,145198
87.290,145198
87.390,145198
87.490,145198
87.590,145198
87.690,145198
87.791,145198
87.891,145198
87.991,145198
88.092,145198
88.192,145198
88.292,145198
88.392,145198
88.492,145198
88.592,145198
88.693,145198
88.793,145198
88.893,145198
88.993,145198
89.093,145199
89.194,145199
89.294,145199
89.394,145199
89.494,145200
89.594,145200
89.695,145200
89.795,145200
89.895,145200
89.995,145200
90.095,145200
90.196,145200
90.296,145200
90.396,145200
90.496,145200
90.596,145200
90.697,145200
90.797,145202
90.897,145203
90.997,145203
