TO_UM
1462050477
time,tx_packets
0.001,185178
0.101,185178
0.201,185179
0.302,185179
0.402,185179
0.502,185180
0.602,185180
0.703,185180
0.803,185180
0.902,185180
1.003,185180
1.103,185180
1.204,185180
1.304,185185
1.404,185186
1.504,185186
1.604,185186
1.705,185186
1.805,185186
1.905,185186
2.006,185186
2.106,185188
2.206,185188
2.306,185188
2.407,185189
2.507,185189
2.607,185189
2.707,185189
2.808,185189
2.908,185189
3.008,185189
3.108,185189
3.209,185189
3.309,185190
3.409,185190
3.509,185190
3.610,185190
3.710,185190
3.810,185190
3.911,185190
4.011,185190
4.111,185191
4.211,185191
4.312,185191
4.412,185192
4.512,185192
4.612,185192
4.712,185192
4.813,185192
4.913,185192
5.013,185192
5.113,185192
5.214,185192
5.314,185192
5.414,185196
5.515,185198
5.615,185198
5.715,185198
5.815,185198
5.915,185198
6.016,185198
6.116,185198
6.217,185198
6.317,185200
6.417,185200
6.517,185200
6.618,185201
6.718,185202
6.818,185202
6.918,185202
7.019,185202
7.119,185202
7.219,185202
7.319,185202
7.420,185202
7.520,185202
7.620,185202
7.721,185202
7.821,185203
7.921,185203
8.021,185203
8.122,185203
8.222,185203
8.322,185204
8.423,185204
8.523,185205
8.623,185205
8.723,185205
8.823,185205
8.924,185205
9.024,185205
9.124,185205
9.225,185205
9.325,185205
9.425,185205
9.526,185205
9.626,185205
9.725,185211
9.826,185211
9.926,185211
10.027,185211
10.127,185211
10.227,185211
10.327,185211
10.428,185211
10.528,185213
10.628,185213
10.729,185213
10.829,185213
10.929,185214
11.029,185214
11.129,185214
11.230,185214
11.330,185214
11.430,185214
11.530,185214
11.630,185214
11.731,185214
11.831,185214
11.931,185214
12.031,185215
12.132,185215
12.232,185215
12.332,185215
12.433,185215
12.533,185215
12.633,185217
12.733,185217
12.834,185217
12.934,185217
13.034,185217
13.134,185217
13.234,185217
13.335,185217
13.435,185217
13.535,185217
13.635,185217
13.736,185217
13.836,185223
13.936,185223
14.036,185223
14.137,185223
14.237,185223
14.337,185223
14.437,185223
14.538,185223
14.638,185223
14.738,185223
14.838,185225
14.939,185225
15.039,185225
15.139,185225
15.240,185225
15.340,185226
15.440,185226
15.540,185226
15.641,185226
15.741,185226
15.841,185226
15.941,185226
16.042,185226
16.142,185226
16.242,185226
16.342,185226
16.443,185227
16.543,185227
16.643,185227
16.743,185227
16.844,185227
16.944,185229
17.044,185230
17.144,185230
17.245,185230
17.345,185230
17.445,185230
17.546,185230
17.646,185230
17.746,185230
17.846,185230
17.947,185230
18.047,185230
18.147,185235
18.248,185236
18.348,185236
18.448,185236
18.548,185236
18.648,185236
18.749,185236
18.849,185236
18.949,185236
19.050,185238
19.150,185238
19.250,185238
19.350,185238
19.451,185238
19.551,185239
19.651,185239
19.751,185239
19.852,185239
19.952,185239
20.052,185239
20.152,185239
20.252,185239
20.352,185239
20.453,185239
20.553,185239
20.653,185240
20.753,185240
20.853,185240
20.954,185240
21.054,185241
21.154,185242
21.254,185242
21.354,185242
21.455,185242
21.555,185242
21.655,185242
21.755,185242
21.855,185242
21.956,185242
22.056,185242
22.156,185242
22.256,185242
22.356,185242
22.457,185242
22.557,185244
22.657,185244
22.758,185244
22.858,185244
22.958,185244
23.058,185244
23.159,185245
23.259,185247
23.359,185247
23.459,185247
23.560,185247
23.660,185247
23.760,185248
23.861,185248
23.961,185248
24.061,185248
24.161,185248
24.262,185248
24.362,185248
24.462,185248
24.562,185248
24.662,185248
24.763,185248
24.863,185248
24.963,185249
25.063,185249
25.164,185249
25.264,185250
25.364,185250
25.465,185250
25.565,185250
25.665,185251
25.765,185251
25.865,185251
25.966,185251
26.066,185251
26.166,185251
26.266,185251
26.367,185251
26.467,185251
26.567,185251
26.667,185251
26.768,185256
26.868,185256
26.968,185256
27.068,185256
27.169,185256
27.269,185256
27.369,185256
27.469,185256
27.570,185256
27.670,185258
27.770,185258
27.870,185259
27.971,185259
28.071,185259
28.171,185259
28.271,185259
28.372,185259
28.472,185259
28.572,185259
28.672,185259
28.772,185259
28.873,185259
28.972,185259
29.073,185259
29.173,185259
29.273,185260
29.373,185260
29.473,185260
29.574,185260
29.674,185261
29.774,185261
29.874,185261
29.975,185262
30.075,185262
30.175,185262
30.275,185262
30.375,185262
30.476,185262
30.576,185262
30.676,185262
30.776,185262
30.876,185262
30.976,185262
31.077,185262
31.177,185267
31.277,185268
31.377,185268
31.478,185268
31.578,185268
31.678,185268
31.778,185268
31.878,185270
31.979,185270
32.079,185270
32.179,185271
32.279,185271
32.380,185271
32.480,185271
32.580,185271
32.680,185271
32.780,185271
