TO_CLIENT
1462050742
time,tx_packets
0.001,75759
0.101,75759
0.201,75759
0.301,75759
0.402,75759
0.502,75759
0.602,75759
0.702,75759
0.803,75759
0.903,75759
1.003,75759
1.103,75764
1.203,75769
1.304,75774
1.404,75779
1.504,75784
1.604,75789
1.704,75794
1.805,75799
1.905,75804
2.005,75809
2.105,75814
2.205,75819
2.306,75824
2.406,75829
2.506,75834
2.606,75839
2.706,75844
2.806,75849
2.907,75854
3.007,75859
3.107,75864
3.208,75869
3.308,75874
3.408,75879
3.508,75884
3.608,75889
3.709,75894
3.809,75899
3.909,75904
4.009,75909
4.109,75914
4.210,75919
4.310,75924
4.410,75929
4.510,75934
4.611,75939
4.711,75944
4.812,75949
4.912,75952
5.012,75959
5.112,75964
5.213,75969
5.313,75974
5.413,75979
5.513,75984
5.613,75989
5.714,75994
5.814,76000
5.914,76005
6.014,76010
6.114,76015
6.215,76020
6.315,76025
6.415,76030
6.515,76035
6.615,76040
6.716,76045
6.816,76050
6.916,76055
7.016,76060
7.117,76065
7.217,76070
7.317,76076
7.418,76081
7.518,76086
7.618,76091
7.718,76096
7.819,76101
7.919,76105
8.019,76110
8.119,76116
8.220,76121
8.320,76126
8.420,76131
8.520,76136
8.621,76141
8.721,76146
8.821,76151
8.921,76156
9.021,76161
9.121,76166
9.221,76171
9.322,76176
9.422,76181
9.522,76186
9.622,76191
9.722,76196
9.823,76201
9.923,76206
10.023,76211
10.123,76216
10.224,76221
10.324,76226
10.424,76231
10.524,76236
10.624,76241
10.725,76246
10.825,76251
10.925,76256
11.026,76261
11.126,76263
11.226,76263
11.326,76263
11.426,76263
11.527,76263
11.627,76263
11.727,76263
11.827,76263
11.928,76263
12.028,76263
12.129,76263
12.229,76263
12.329,76263
12.429,76263
12.529,76263
12.630,76263
12.730,76263
12.830,76263
12.931,76263
13.031,76263
13.131,76263
13.232,76263
13.332,76263
13.432,76263
13.532,76263
13.632,76263
13.733,76263
13.833,76263
13.934,76263
14.034,76263
14.134,76263
14.234,76263
14.335,76263
14.435,76263
14.535,76263
14.635,76263
14.735,76263
14.835,76263
14.936,76263
15.036,76263
15.136,76263
15.236,76263
15.336,76263
15.436,76263
15.537,76263
15.637,76263
15.738,76263
15.838,76263
15.938,76263
16.038,76263
16.139,76263
16.239,76263
16.339,76263
16.439,76263
16.539,76263
16.639,76263
16.740,76263
16.840,76263
16.940,76263
17.040,76263
17.141,76263
17.241,76263
17.341,76263
17.442,76263
17.541,76263
17.642,76263
17.742,76263
17.842,76263
17.943,76263
18.043,76263
18.143,76263
18.243,76263
18.344,76263
18.444,76263
18.544,76263
18.645,76263
18.745,76263
18.845,76263
18.945,76263
19.046,76263
19.146,76263
19.246,76263
19.346,76263
19.446,76263
19.547,76263
19.647,76263
19.747,76263
19.847,76263
19.947,76263
20.047,76263
20.148,76263
20.248,76263
20.348,76263
20.448,76263
20.549,76263
20.649,76263
20.749,76263
20.850,76263
20.950,76263
21.050,76263
21.150,76263
21.250,76263
21.350,76263
21.451,76263
21.551,76263
21.651,76263
21.751,76263
21.852,76263
21.952,76263
22.052,76263
22.153,76263
22.253,76263
22.353,76263
22.453,76263
22.553,76263
22.654,76263
22.754,76263
22.855,76263
22.955,76263
23.055,76263
23.156,76263
23.256,76263
23.356,76263
23.456,76263
23.556,76263
23.656,76263
23.757,76263
23.857,76263
23.957,76263
24.057,76263
24.157,76263
24.257,76263
24.358,76263
24.458,76263
24.558,76263
24.659,76263
24.759,76263
24.859,76263
24.960,76263
25.060,76263
25.160,76263
25.260,76263
25.361,76263
25.461,76263
25.561,76263
25.661,76263
25.762,76263
25.862,76263
25.962,76263
26.062,76263
26.163,76263
26.263,76263
26.363,76263
26.463,76263
26.564,76263
26.664,76263
26.764,76263
26.864,76263
26.965,76263
27.065,76263
27.165,76263
27.265,76263
27.366,76263
27.466,76263
27.566,76263
27.667,76263
27.767,76263
27.867,76263
27.967,76263
28.068,76263
28.168,76263
28.268,76263
28.368,76263
28.468,76263
28.569,76263
28.669,76263
28.770,76263
28.870,76263
28.970,76263
29.070,76263
29.170,76263
29.270,76263
29.371,76263
29.471,76263
29.571,76263
29.672,76263
29.772,76263
29.872,76263
29.972,76263
30.073,76263
30.173,76263
30.273,76263
30.373,76263
30.474,76263
30.574,76263
30.674,76263
30.775,76263
30.875,76263
30.975,76263
31.075,76263
31.176,76263
31.276,76263
31.376,76263
31.476,76263
31.577,76263
31.677,76263
31.777,76263
31.877,76263
31.977,76263
32.078,76263
32.178,76263
32.278,76263
32.378,76263
32.479,76263
32.579,76263
32.679,76263
32.780,76263
32.880,76263
32.980,76263
33.080,76263
33.181,76263
33.281,76263
33.381,76263
33.481,76263
33.582,76263
33.682,76263
33.782,76263
33.882,76263
33.983,76263
34.083,76263
34.183,76263
34.283,76263
34.384,76263
34.484,76263
34.584,76263
34.684,76263
34.784,76263
34.885,76263
34.985,76263
35.085,76263
35.186,76263
35.286,76263
35.386,76263
35.486,76263
35.586,76263
35.687,76263
35.787,76263
35.892,76263
35.988,76263
36.088,76263
36.188,76263
36.288,76263
36.388,76263
36.489,76263
36.589,76263
36.689,76263
36.789,76263
36.890,76263
36.990,76263
37.090,76263
37.190,76263
37.290,76263
37.391,76263
37.491,76263
37.591,76263
37.691,76263
37.791,76263
37.892,76263
37.992,76263
38.092,76263
38.192,76263
38.292,76263
38.393,76263
38.493,76263
38.593,76263
38.693,76263
38.793,76263
38.893,76263
38.994,76263
39.094,76263
39.194,76263
39.294,76263
39.394,76263
39.495,76263
39.595,76263
39.695,76263
39.795,76263
39.895,76263
39.996,76263
40.096,76263
40.196,76263
