TO_URJC
1462158578
time,tx_packets
0.001,44364
0.101,44364
0.201,44364
0.302,44364
0.402,44364
0.502,44365
0.602,44365
0.703,44365
0.803,44365
0.903,44365
1.003,44365
1.104,44365
1.204,44366
1.304,44366
1.404,44366
1.504,44366
1.605,44370
1.705,44370
1.805,44370
1.905,44370
2.005,44370
2.106,44371
2.206,44372
2.306,44372
2.407,44372
2.507,44372
2.607,44375
2.707,44380
2.807,44385
2.907,44390
3.008,44395
3.108,44400
3.208,44405
3.308,44410
3.408,44416
3.509,44421
3.608,44426
3.709,44431
3.809,44436
3.909,44441
4.009,44446
4.110,44451
4.210,44456
4.310,44461
4.410,44466
4.510,44471
4.610,44476
4.711,44481
4.811,44486
4.912,44491
5.012,44496
5.113,44502
5.212,44507
5.312,44512
5.413,44518
5.514,44523
5.614,44528
5.714,44536
5.814,44541
5.913,44546
6.014,44551
6.113,44556
6.215,44561
6.315,44567
6.416,44573
6.516,44578
6.616,44583
6.716,44588
6.816,44593
6.916,44598
7.017,44603
7.117,44608
7.218,44613
7.318,44618
7.418,44623
7.518,44628
7.620,44633
7.719,44638
7.820,44643
7.919,44648
8.021,44653
8.119,44658
8.219,44663
8.320,44668
8.420,44674
8.521,44679
8.620,44684
8.721,44689
8.821,44694
8.921,44699
9.021,44704
9.122,44709
9.222,44714
9.322,44720
9.423,44725
9.523,44730
9.623,44736
9.724,44742
9.824,44747
9.925,44752
10.025,44760
10.125,44765
10.226,44770
10.326,44775
10.426,44781
10.526,44785
10.627,44791
10.727,44796
10.827,44802
10.928,44807
11.027,44812
11.128,44817
11.228,44822
11.328,44827
11.429,44833
11.529,44838
11.629,44843
11.729,44848
11.830,44853
11.930,44858
12.030,44863
12.131,44868
12.230,44873
12.331,44878
12.431,44883
12.531,44888
12.631,44893
12.731,44898
12.832,44903
12.932,44914
13.032,44929
13.132,44948
13.232,44968
13.332,44990
13.433,45015
13.533,45040
13.633,45065
13.733,45090
13.834,45116
13.934,45141
14.034,45166
14.134,45191
14.234,45216
14.335,45244
14.435,45269
14.535,45294
14.635,45319
14.736,45344
14.836,45369
14.936,45395
15.036,45420
15.137,45446
15.237,45471
15.337,45496
15.437,45521
15.537,45547
15.638,45572
15.738,45597
15.838,45622
15.938,45647
16.038,45672
16.139,45697
16.239,45723
16.339,45748
16.439,45773
16.540,45798
16.640,45824
16.740,45849
16.840,45874
16.940,45899
17.040,45924
17.141,45949
17.241,45974
17.340,45999
17.441,46024
17.541,46049
17.642,46075
17.742,46101
17.842,46125
17.942,46150
18.042,46175
18.142,46200
18.243,46226
18.343,46251
18.443,46280
18.544,46305
18.644,46330
18.744,46355
18.844,46380
18.944,46405
19.045,46430
19.145,46456
19.245,46481
19.345,46506
19.446,46531
19.546,46557
19.646,46582
19.746,46607
19.846,46633
19.946,46658
20.047,46683
20.147,46708
20.247,46733
20.347,46758
20.448,46783
20.548,46808
20.648,46834
20.748,46859
20.849,46884
20.949,46909
21.049,46934
21.149,46959
21.249,46984
21.349,47009
21.449,47034
21.550,47059
21.650,47084
21.750,47109
21.850,47134
21.950,47159
22.050,47184
22.150,47209
22.250,47234
22.350,47261
22.450,47286
22.550,47312
22.651,47337
22.750,47362
22.851,47388
22.951,47413
23.051,47441
23.151,47466
23.251,47492
23.351,47517
23.451,47543
23.552,47568
23.652,47593
23.752,47612
23.852,47628
23.952,47639
24.052,47649
24.152,47657
24.253,47662
24.353,47667
24.453,47672
24.553,47677
24.654,47682
24.753,47687
24.854,47693
24.954,47698
25.054,47703
25.154,47708
25.255,47713
25.355,47718
25.455,47723
25.555,47728
25.656,47733
25.756,47738
25.856,47743
25.956,47748
26.056,47753
26.157,47758
26.257,47763
26.357,47769
26.457,47774
26.557,47779
26.658,47785
26.758,47790
26.858,47795
26.958,47800
27.058,47805
27.159,47810
27.259,47815
27.359,47821
27.459,47827
27.559,47832
27.660,47837
27.760,47842
27.860,47844
27.960,47854
28.061,47859
28.161,47864
28.261,47869
28.361,47872
28.461,47872
28.562,47872
28.662,47873
28.762,47873
28.862,47873
28.962,47873
29.062,47873
29.163,47873
29.263,47874
29.363,47874
29.463,47874
29.564,47874
29.664,47874
29.764,47874
29.864,47874
29.964,47874
30.064,47874
30.165,47874
30.265,47874
30.365,47874
30.465,47874
30.565,47874
30.665,47875
30.765,47875
30.866,47876
30.966,47876
31.066,47876
31.166,47876
31.267,47876
31.367,47876
31.467,47877
31.567,47877
31.668,47878
31.768,47878
31.870,47879
31.969,47879
32.069,47879
32.169,47879
32.270,47879
32.371,47880
32.470,47880
32.570,47880
32.671,47880
32.771,47880
32.871,47880
32.971,47880
33.072,47880
33.172,47880
33.272,47880
33.373,47880
33.473,47880
33.573,47881
33.673,47881
33.774,47881
33.874,47881
33.974,47881
34.074,47881
34.174,47881
34.275,47881
34.375,47881
34.476,47881
34.576,47881
34.676,47881
34.776,47881
34.876,47881
