TO_CLIENT
1462154939
time,tx_packets
0.001,17415
0.101,17415
0.201,17415
0.301,17415
0.401,17415
0.502,17415
0.602,17415
0.702,17415
0.802,17415
0.902,17415
1.003,17415
1.103,17415
1.203,17415
1.303,17415
1.403,17415
1.504,17415
1.604,17415
1.704,17415
1.804,17415
1.904,17415
2.005,17415
2.105,17415
2.205,17415
2.305,17415
2.405,17415
2.506,17415
2.606,17415
2.706,17415
2.807,17419
2.906,17424
3.007,17429
3.107,17434
3.207,17439
3.307,17444
3.407,17449
3.508,17454
3.608,17459
3.708,17465
3.808,17470
3.908,17475
4.008,17479
4.109,17485
4.209,17490
4.309,17495
4.409,17500
4.510,17505
4.609,17510
4.710,17515
4.810,17520
4.910,17525
5.011,17530
5.111,17535
5.211,17538
5.311,17544
5.411,17550
5.511,17555
5.612,17560
5.712,17565
5.812,17570
5.912,17575
6.012,17580
6.112,17585
6.212,17590
6.313,17595
6.413,17600
6.513,17605
6.613,17610
6.713,17615
6.814,17620
6.914,17625
7.014,17630
7.114,17635
7.214,17640
7.315,17645
7.415,17650
7.515,17655
7.615,17661
7.716,17666
7.816,17671
7.916,17676
8.016,17681
8.116,17686
8.216,17691
8.316,17696
8.417,17701
8.517,17706
8.617,17711
8.717,17716
8.817,17721
8.917,17726
9.018,17731
9.118,17736
9.218,17737
9.318,17745
9.418,17751
9.519,17756
9.619,17761
9.721,17766
9.819,17771
9.919,17776
10.020,17781
10.120,17786
10.220,17791
10.320,17796
10.420,17801
10.520,17806
10.621,17811
10.722,17816
10.822,17821
10.922,17826
11.023,17831
11.123,17836
11.223,17841
11.323,17846
11.423,17851
11.524,17856
11.624,17861
11.724,17866
11.824,17871
11.924,17876
12.025,17881
12.125,17886
12.224,17891
12.325,17896
12.425,17901
12.525,17906
12.626,17912
12.726,17917
12.826,17922
12.926,17927
13.027,17932
13.127,17937
13.227,17942
13.327,17947
13.428,17952
13.528,17956
13.628,17961
13.728,17967
13.828,17972
13.929,17977
14.029,17982
14.129,17987
14.229,17992
14.329,17997
14.430,18003
14.530,18008
14.630,18013
14.730,18018
14.831,18023
14.931,18028
15.031,18033
15.132,18038
15.232,18043
15.332,18048
15.432,18053
15.533,18058
15.633,18063
15.733,18068
15.834,18073
15.934,18078
16.034,18083
16.134,18088
16.235,18092
16.335,18098
16.435,18103
16.535,18108
16.635,18113
16.736,18118
16.836,18123
16.938,18128
17.037,18133
17.137,18138
17.237,18143
17.337,18148
17.438,18153
17.538,18158
17.638,18163
17.738,18168
17.840,18173
17.939,18178
18.040,18183
18.139,18188
18.240,18193
18.340,18198
18.440,18203
18.540,18208
18.641,18213
18.741,18218
18.842,18223
18.941,18228
19.042,18233
19.142,18238
19.242,18243
19.343,18248
19.443,18253
19.543,18258
19.644,18263
19.744,18268
19.844,18273
19.944,18278
20.045,18283
20.145,18288
20.245,18290
20.346,18296
20.445,18303
20.546,18308
20.647,18313
20.746,18318
20.847,18323
20.947,18328
21.047,18333
21.148,18338
21.248,18343
21.348,18348
21.448,18353
21.548,18358
21.649,18363
21.749,18368
21.849,18373
21.950,18379
22.050,18384
22.150,18389
22.251,18394
22.351,18399
22.451,18404
22.552,18409
22.652,18414
22.752,18417
22.852,18419
22.953,18428
23.053,18434
23.153,18439
23.254,18444
23.354,18449
23.454,18454
23.554,18459
23.654,18464
23.754,18469
23.854,18474
23.954,18479
24.054,18484
24.154,18488
