TO_KISTI
1462154939
time,tx_packets
0.001,14256
0.101,14256
0.201,14256
0.301,14256
0.401,14256
0.501,14256
0.602,14256
0.702,14256
0.802,14256
0.902,14256
1.003,14256
1.103,14256
1.203,14256
1.303,14256
1.403,14256
1.504,14256
1.604,14256
1.704,14256
1.804,14256
1.905,14256
2.005,14256
2.105,14256
2.205,14256
2.305,14256
2.406,14256
2.506,14256
2.606,14256
2.706,14256
2.806,14260
2.906,14265
3.007,14269
3.107,14273
3.207,14277
3.307,14280
3.407,14283
3.507,14286
3.608,14286
3.708,14286
3.808,14286
3.908,14286
4.008,14286
4.109,14286
4.209,14286
4.309,14286
4.409,14287
4.509,14287
4.610,14287
4.710,14288
4.810,14289
4.910,14293
5.010,14293
5.111,14295
5.211,14295
5.311,14295
5.411,14298
5.511,14302
5.612,14302
5.712,14302
5.812,14302
5.912,14302
6.012,14302
6.113,14303
6.213,14303
6.313,14303
6.413,14307
6.513,14310
6.614,14310
6.714,14310
6.814,14311
6.914,14311
7.014,14311
7.115,14312
7.215,14312
7.315,14314
7.415,14317
7.515,14319
7.616,14319
7.716,14319
7.816,14322
7.916,14322
8.016,14322
8.117,14322
8.217,14322
8.317,14326
8.417,14327
8.517,14329
8.618,14329
8.718,14329
8.818,14330
8.918,14330
9.019,14330
9.119,14330
9.219,14332
9.319,14335
9.419,14336
9.520,14342
9.620,14343
9.720,14343
9.820,14343
9.920,14343
10.021,14343
10.121,14343
10.221,14343
10.321,14344
10.421,14347
10.522,14349
10.622,14350
10.722,14350
10.822,14350
10.922,14350
11.023,14350
11.123,14350
11.223,14350
11.323,14353
11.423,14354
11.524,14354
11.624,14356
11.724,14356
11.824,14356
11.925,14356
12.025,14356
12.125,14356
12.225,14357
12.325,14360
12.426,14361
12.526,14361
12.626,14363
12.726,14363
12.826,14363
12.927,14363
13.027,14363
13.127,14363
13.227,14366
13.327,14368
13.428,14369
13.528,14369
13.628,14369
13.728,14371
13.828,14375
13.929,14378
14.029,14378
14.129,14378
14.229,14378
14.330,14378
14.430,14378
14.530,14378
14.630,14378
14.730,14382
14.830,14385
14.931,14385
15.031,14385
15.131,14386
15.231,14386
15.332,14386
15.432,14386
15.532,14387
15.632,14388
15.732,14391
15.833,14394
15.933,14394
16.033,14394
16.133,14394
16.233,14395
16.333,14395
16.434,14395
16.534,14395
16.634,14398
16.734,14400
16.835,14402
16.935,14402
17.035,14403
17.135,14404
17.235,14404
17.336,14404
17.436,14404
17.536,14405
17.636,14409
17.736,14409
17.837,14411
17.937,14411
18.037,14411
18.137,14412
18.237,14412
18.338,14412
18.438,14412
18.538,14414
18.638,14417
18.738,14417
18.839,14417
18.939,14419
19.039,14419
19.139,14419
19.239,14419
19.340,14419
19.440,14419
19.540,14422
19.640,14425
19.740,14425
19.841,14425
19.942,14425
20.041,14425
20.141,14425
20.241,14425
20.341,14426
20.442,14430
20.542,14433
20.642,14434
20.742,14434
20.842,14434
20.943,14434
21.043,14434
21.143,14434
21.243,14434
21.343,14434
21.444,14438
21.544,14441
21.644,14441
21.744,14441
21.844,14441
21.945,14441
22.045,14441
22.145,14441
22.245,14441
22.346,14443
22.446,14445
22.546,14446
22.646,14447
22.746,14448
22.847,14448
22.947,14448
23.047,14453
23.147,14456
23.247,14458
23.348,14458
23.448,14458
23.548,14458
23.648,14458
23.748,14458
23.848,14458
23.948,14458
24.049,14461
24.149,14464
24.249,14464
24.349,14464
24.449,14465
24.550,14469
24.650,14469
24.750,14469
24.850,14469
24.950,14469
25.051,14469
25.151,14469
25.251,14469
25.351,14471
25.452,14474
25.552,14475
25.652,14475
25.752,14475
25.852,14475
25.953,14475
26.053,14475
26.153,14475
26.253,14475
26.353,14479
26.454,14480
26.554,14481
26.654,14482
26.754,14482
26.854,14482
