TO_UIUC
1462155013
time,tx_packets
0.001,64009
0.101,64009
0.201,64009
0.302,64009
0.402,64009
0.502,64009
0.603,64009
0.702,64009
0.803,64009
0.903,64009
1.003,64009
1.103,64009
1.203,64009
1.303,64009
1.404,64009
1.504,64010
1.604,64010
1.704,64010
1.805,64010
1.905,64010
2.005,64010
2.105,64010
2.206,64010
2.306,64010
2.406,64010
2.506,64010
2.606,64015
2.706,64026
2.807,64050
2.907,64077
3.007,64106
3.107,64133
3.207,64155
3.307,64173
3.407,64184
3.507,64192
3.607,64192
3.708,64196
3.808,64206
3.908,64208
4.008,64208
4.109,64218
4.209,64226
4.309,64240
4.409,64251
4.510,64265
4.610,64270
4.710,64270
4.810,64278
4.910,64286
5.010,64286
5.111,64290
5.211,64303
5.311,64326
5.411,64332
5.511,64340
5.611,64351
5.712,64357
5.812,64357
5.912,64363
6.012,64372
6.112,64374
6.213,64389
6.313,64403
6.413,64410
6.513,64412
6.613,64420
6.713,64428
6.814,64429
6.914,64433
7.014,64443
7.114,64452
7.214,64466
7.315,64479
7.415,64486
7.516,64487
7.615,64494
7.715,64503
7.816,64504
7.916,64506
8.016,64516
8.117,64533
8.216,64542
8.317,64557
8.417,64566
8.517,64569
8.617,64573
8.717,64584
8.817,64586
8.918,64587
9.018,64599
9.118,64620
9.218,64626
9.318,64636
9.419,64655
9.519,64662
9.619,64665
9.719,64676
9.820,64682
9.920,64683
10.020,64691
10.120,64705
10.221,64706
10.321,64710
10.421,64719
10.521,64722
10.621,64724
10.721,64732
10.822,64739
10.922,64739
11.022,64747
11.122,64755
11.223,64758
11.323,64760
11.423,64770
11.523,64777
11.623,64780
11.723,64784
11.824,64791
11.924,64795
12.024,64797
12.125,64804
12.225,64808
12.325,64811
12.425,64816
12.526,64825
12.626,64826
12.726,64829
12.827,64838
12.927,64845
13.027,64851
13.127,64859
13.228,64867
13.328,64870
13.428,64874
13.528,64882
13.628,64887
13.729,64889
13.828,64897
13.929,64902
14.029,64904
14.129,64909
14.229,64916
14.329,64917
14.430,64920
14.531,64927
14.631,64934
14.731,64962
14.831,64979
14.931,64985
15.032,64990
15.132,64999
15.232,65003
15.332,65009
15.433,65016
15.533,65022
15.632,65022
15.733,65030
15.833,65037
15.934,65038
16.034,65042
16.134,65052
16.234,65055
16.334,65056
16.434,65063
16.535,65071
16.635,65071
16.736,65075
16.835,65086
16.936,65088
17.035,65091
17.136,65100
17.236,65105
17.336,65105
17.437,65111
17.536,65120
17.637,65121
17.737,65124
17.838,65134
17.939,65137
18.039,65138
18.138,65146
18.238,65154
18.340,65156
18.440,65160
18.540,65172
18.639,65173
18.740,65176
18.841,65185
18.941,65190
19.041,65190
19.142,65197
19.242,65206
19.343,65208
19.443,65210
19.543,65224
19.644,65227
19.744,65229
19.845,65240
19.943,65246
20.045,65247
20.145,65251
20.243,65265
20.344,65281
20.444,65282
20.545,65285
20.645,65296
20.746,65300
20.846,65301
20.946,65310
21.046,65316
21.146,65316
21.246,65326
21.345,65337
21.444,65340
21.545,65341
21.646,65350
21.744,65356
21.844,65356
21.944,65360
22.044,65372
22.144,65375
22.244,65382
22.345,65395
22.445,65402
22.545,65403
22.645,65410
22.745,65420
22.845,65422
22.945,65424
23.045,65433
23.145,65436
23.245,65437
23.345,65446
23.446,65454
23.546,65455
23.646,65459
23.746,65470
23.846,65473
23.946,65474
24.046,65484
24.146,65490
24.246,65490
24.347,65494
24.447,65502
24.547,65504
24.647,65507
24.747,65518
24.847,65522
24.947,65523
25.047,65533
25.147,65543
25.248,65548
25.348,65550
25.448,65558
25.548,65563
25.648,65566
25.748,65573
25.848,65580
25.948,65582
26.048,65586
26.149,65592
26.249,65595
26.349,65600
26.449,65606
26.549,65612
26.649,65613
26.749,65618
26.849,65619
26.950,65619
27.050,65619
27.150,65620
27.250,65620
27.350,65620
27.450,65620
27.551,65620
27.651,65620
27.751,65620
27.851,65620
27.951,65620
28.051,65620
28.151,65620
28.252,65620
28.352,65620
28.452,65620
28.552,65620
28.652,65620
28.752,65620
28.852,65620
28.953,65620
29.053,65621
29.153,65621
29.253,65621
29.353,65621
29.453,65621
29.553,65621
29.653,65621
29.754,65621
29.854,65622
29.954,65622
30.054,65622
30.154,65622
30.254,65623
30.354,65623
30.455,65624
30.555,65624
30.655,65624
30.755,65624
30.855,65624
30.955,65624
31.055,65624
31.156,65624
31.256,65624
31.356,65625
31.456,65625
31.556,65625
31.656,65625
31.756,65625
31.857,65625
31.957,65625
32.057,65625
32.157,65625
32.257,65625
32.357,65625
32.457,65625
32.558,65625
32.658,65625
32.758,65625
32.858,65625
32.958,65625
33.058,65625
33.158,65625
33.258,65625
33.359,65625
33.459,65626
33.559,65626
33.659,65626
33.759,65626
33.859,65626
33.959,65626
34.060,65626
34.160,65626
34.260,65626
34.360,65627
34.460,65628
34.560,65628
34.660,65628
34.760,65628
34.861,65628
34.961,65628
35.061,65628
35.161,65628
35.261,65628
35.361,65628
35.461,65629
35.562,65629
35.662,65630
35.762,65630
35.862,65630
35.962,65630
36.062,65630
36.162,65630
36.263,65630
36.363,65630
36.463,65630
36.563,65630
36.663,65630
36.764,65630
36.863,65630
36.964,65631
37.064,65633
37.164,65633
37.264,65633
37.364,65633
37.464,65633
37.564,65633
37.664,65633
37.765,65633
37.865,65634
37.965,65634
38.065,65634
38.165,65634
38.265,65634
38.365,65634
38.466,65634
38.566,65635
38.666,65635
38.766,65635
38.866,65635
38.966,65636
39.067,65636
39.166,65636
39.267,65636
39.367,65636
39.467,65636
39.567,65636
39.667,65636
39.767,65636
39.867,65636
39.967,65636
40.068,65636
40.168,65637
40.268,65637
40.368,65637
40.468,65637
40.568,65637
40.668,65637
40.768,65637
40.869,65637
40.969,65637
41.069,65637
41.169,65637
41.269,65637
41.369,65639
41.470,65639
41.570,65639
41.670,65639
41.770,65639
41.870,65639
41.971,65639
42.071,65639
42.171,65640
42.271,65640
42.372,65640
42.472,65640
42.572,65640
42.672,65640
42.772,65640
42.873,65640
42.973,65641
43.073,65641
43.173,65641
43.274,65641
43.374,65642
43.474,65642
43.574,65642
43.674,65642
43.775,65642
43.875,65642
43.975,65642
44.075,65642
44.176,65642
44.276,65642
44.376,65642
44.476,65642
44.576,65643
44.677,65643
44.777,65643
44.877,65643
44.977,65643
45.077,65643
45.178,65643
45.278,65643
45.378,65643
45.478,65643
45.579,65644
45.679,65646
45.779,65646
45.879,65646
45.979,65646
46.080,65646
46.180,65646
46.280,65646
46.380,65646
46.480,65646
46.581,65646
46.681,65647
46.781,65647
46.881,65647
46.982,65647
47.082,65647
47.182,65648
47.282,65648
47.382,65648
47.483,65648
47.583,65648
47.683,65649
47.783,65649
47.883,65649
47.984,65649
48.084,65649
48.184,65649
48.284,65649
48.385,65649
48.485,65649
48.585,65649
48.685,65649
48.785,65649
48.886,65649
48.986,65649
49.086,65650
49.186,65650
49.287,65650
49.387,65650
49.487,65650
49.587,65650
49.687,65650
49.788,65650
49.888,65650
49.988,65650
50.088,65653
50.188,65653
50.289,65654
50.389,65654
50.489,65654
50.589,65654
50.689,65654
50.790,65654
50.890,65654
50.990,65654
51.090,65655
51.191,65655
51.291,65655
51.391,65655
51.491,65656
51.591,65656
51.692,65656
51.792,65656
51.892,65656
51.992,65657
52.092,65657
52.193,65657
52.293,65657
52.393,65657
52.493,65657
52.593,65657
52.694,65658
52.794,65658
52.894,65658
52.994,65658
53.095,65658
53.195,65658
53.295,65658
53.395,65658
53.495,65658
53.596,65659
53.696,65659
53.796,65659
53.896,65659
53.997,65659
54.097,65659
54.197,65661
54.297,65661
54.397,65662
54.498,65662
54.598,65662
54.698,65662
54.798,65662
54.898,65662
54.999,65662
55.099,65662
55.199,65662
55.299,65662
55.400,65663
55.500,65663
55.600,65663
55.700,65664
55.800,65664
55.901,65664
56.001,65664
56.101,65664
56.201,65664
56.301,65665
56.402,65665
56.502,65665
56.602,65665
56.702,65665
56.803,65665
56.903,65665
57.003,65665
57.103,65665
57.204,65665
57.304,65665
57.404,65665
57.504,65665
57.605,65665
57.705,65665
57.805,65665
57.905,65666
58.005,65666
58.106,65666
58.206,65666
58.306,65666
58.406,65666
58.506,65666
58.607,65669
58.707,65670
58.807,65670
58.907,65670
59.007,65670
59.108,65670
59.208,65670
59.308,65670
