TO_ORANGE
1462155263
time,tx_packets
0.001,7300
0.101,7300
0.201,7300
0.301,7300
0.402,7300
0.502,7300
0.602,7300
0.702,7300
0.802,7300
0.903,7300
1.003,7300
1.103,7300
1.203,7300
1.303,7300
1.404,7300
1.504,7300
1.604,7300
1.704,7300
1.804,7300
1.905,7300
2.005,7300
2.105,7300
2.205,7300
2.306,7300
2.406,7300
2.506,7300
2.606,7300
2.706,7305
2.807,7310
2.907,7315
3.007,7320
3.107,7325
3.207,7330
3.307,7335
3.407,7340
3.508,7345
3.608,7350
3.708,7355
3.808,7360
3.908,7365
4.008,7370
4.108,7375
4.209,7380
4.309,7385
4.409,7390
4.509,7395
4.609,7400
4.709,7405
4.810,7410
4.910,7415
5.010,7420
5.110,7425
5.210,7430
5.311,7435
5.411,7440
5.511,7445
5.611,7450
5.711,7455
5.812,7460
5.912,7465
6.012,7470
6.112,7475
6.212,7480
6.313,7485
6.413,7490
6.513,7495
6.613,7500
6.713,7505
6.814,7510
6.914,7515
7.014,7520
7.114,7525
7.214,7530
7.315,7535
7.415,7540
7.515,7545
7.615,7550
7.715,7556
7.816,7561
7.916,7566
8.016,7571
8.116,7576
8.216,7581
8.317,7586
8.417,7591
8.517,7596
8.617,7601
8.717,7606
8.818,7611
8.918,7616
9.018,7621
9.118,7626
9.218,7631
9.319,7636
9.419,7641
9.519,7646
9.619,7651
9.719,7656
9.820,7661
9.920,7666
10.020,7671
10.120,7676
10.220,7681
10.321,7686
10.421,7691
10.521,7696
10.621,7701
10.722,7707
10.822,7711
10.922,7717
11.022,7722
11.122,7727
11.223,7732
11.323,7737
11.423,7742
11.523,7747
11.623,7752
11.724,7757
11.824,7762
11.924,7767
12.024,7772
12.124,7777
12.225,7782
12.325,7787
12.425,7792
12.525,7797
12.625,7802
12.726,7808
12.826,7813
12.926,7818
13.026,7823
13.127,7828
13.227,7833
13.327,7838
13.427,7843
13.527,7848
13.628,7853
13.728,7858
13.828,7863
13.928,7868
14.028,7873
14.129,7878
14.229,7883
14.329,7888
14.429,7893
14.529,7898
14.630,7903
14.730,7908
14.830,7913
14.930,7918
15.030,7923
15.130,7928
15.231,7933
15.331,7938
15.431,7943
15.531,7948
15.631,7953
15.732,7958
15.832,7963
15.932,7968
16.032,7973
16.132,7978
16.233,7983
16.333,7988
16.433,7993
