TO_URJC
1462155263
time,tx_packets
0.001,52071
0.101,52072
0.202,52072
0.302,52072
0.402,52073
0.502,52073
0.603,52073
0.703,52073
0.803,52073
0.903,52073
1.004,52073
1.104,52073
1.204,52073
1.304,52073
1.404,52073
1.505,52073
1.605,52073
1.705,52073
1.806,52073
1.906,52073
2.006,52073
2.106,52074
2.207,52074
2.310,52074
2.407,52075
2.507,52077
2.607,52101
2.708,52122
2.808,52147
2.908,52169
3.008,52191
3.109,52215
3.209,52235
3.309,52251
3.409,52259
3.509,52266
3.609,52271
3.710,52278
3.811,52287
3.910,52292
4.009,52297
4.110,52307
4.210,52314
4.310,52327
4.410,52340
4.510,52350
4.611,52355
4.711,52361
4.811,52373
4.911,52378
5.011,52383
5.112,52392
5.212,52404
5.312,52411
5.412,52421
5.512,52435
5.613,52440
5.713,52445
5.813,52456
5.913,52462
6.013,52468
6.114,52476
6.214,52488
6.315,52494
6.415,52503
6.515,52510
6.615,52517
6.715,52522
6.815,52530
6.916,52536
7.016,52542
7.116,52553
7.216,52563
7.316,52568
7.417,52580
7.517,52589
7.617,52595
7.717,52602
7.818,52610
7.917,52615
8.018,52620
8.118,52633
8.218,52643
8.318,52650
8.419,52657
8.519,52666
8.619,52670
8.719,52677
8.820,52686
8.920,52691
9.020,52696
9.120,52710
9.220,52718
9.321,52729
9.421,52735
9.521,52742
9.621,52747
9.721,52753
9.821,52759
9.922,52766
10.022,52775
10.122,52788
10.222,52801
10.322,52808
10.423,52814
10.523,52821
10.623,52827
10.723,52833
10.824,52840
10.923,52847
11.024,52859
11.124,52867
11.225,52880
11.325,52887
11.425,52893
11.525,52899
11.625,52905
11.726,52912
11.826,52918
11.926,52929
12.027,52942
12.127,52949
12.227,52958
12.328,52967
12.428,52972
12.528,52977
12.628,52985
12.728,52991
12.829,52996
12.928,53012
13.029,53021
13.129,53027
13.230,53033
13.329,53040
13.430,53047
13.530,53052
13.630,53062
13.731,53069
13.831,53076
13.931,53089
14.031,53096
14.131,53107
14.232,53113
14.332,53120
14.432,53126
14.532,53132
14.633,53138
14.733,53144
14.834,53154
14.934,53166
15.034,53179
15.134,53186
15.234,53193
15.334,53200
15.435,53207
15.535,53213
15.635,53221
15.736,53227
15.836,53242
15.936,53248
16.036,53261
16.137,53267
16.237,53274
16.337,53282
16.437,53289
16.537,53295
16.637,53301
16.738,53311
16.838,53323
16.939,53335
17.038,53341
17.139,53349
17.239,53355
17.339,53361
17.439,53368
17.540,53374
17.640,53383
17.740,53393
17.840,53404
17.941,53410
18.040,53416
18.141,53422
18.241,53428
18.342,53435
18.442,53441
18.542,53447
18.642,53457
18.742,53468
18.842,53479
18.943,53487
19.043,53495
19.143,53504
19.243,53523
19.343,53537
19.444,53559
19.544,53571
19.644,53576
19.745,53584
19.845,53594
19.945,53600
20.046,53605
20.146,53615
20.246,53622
20.346,53634
20.446,53647
20.547,53657
20.647,53663
20.747,53669
20.848,53679
20.948,53685
21.048,53690
21.149,53699
21.249,53711
21.349,53718
21.449,53730
21.550,53742
21.650,53748
21.750,53753
21.850,53763
21.950,53770
22.051,53775
22.151,53783
22.252,53801
22.352,53810
22.452,53817
22.552,53836
22.653,53844
22.752,53860
22.853,53870
22.953,53875
23.053,53882
23.154,53894
23.254,53899
23.353,53905
23.454,53918
23.554,53924
23.654,53930
23.754,53942
23.854,53953
23.955,53959
24.055,53965
24.155,53979
24.255,53985
24.355,53990
24.455,53998
24.555,54008
24.656,54016
24.756,54023
24.856,54034
24.956,54040
25.056,54045
25.157,54057
25.258,54066
25.357,54071
25.457,54079
25.557,54090
25.657,54099
25.757,54105
25.858,54116
25.958,54122
26.058,54128
26.158,54137
26.258,54149
26.358,54154
26.459,54161
26.559,54175
26.659,54178
26.759,54178
26.859,54178
26.960,54178
27.060,54178
27.160,54178
27.260,54178
27.360,54178
27.461,54178
27.561,54178
27.661,54178
27.761,54179
27.862,54179
27.962,54179
28.062,54180
28.162,54181
28.262,54181
28.363,54181
28.463,54181
28.563,54181
28.663,54182
28.763,54184
28.864,54184
28.964,54185
29.064,54185
29.164,54186
29.265,54186
29.365,54186
29.465,54186
29.565,54186
29.665,54186
29.766,54186
29.866,54186
29.966,54186
30.066,54186
30.167,54186
30.267,54186
30.367,54186
30.467,54187
30.567,54187
30.668,54187
30.768,54187
30.868,54187
30.968,54187
31.068,54187
31.169,54187
31.269,54187
31.369,54187
31.469,54187
31.570,54187
31.670,54187
31.770,54187
31.870,54187
31.970,54187
32.071,54187
32.171,54187
32.271,54188
32.371,54188
32.471,54188
32.572,54189
32.672,54189
32.772,54189
32.872,54189
32.972,54190
33.073,54191
33.173,54191
33.273,54192
33.373,54193
33.473,54193
33.574,54193
33.674,54193
33.774,54193
33.874,54193
33.974,54194
34.075,54194
34.175,54194
34.275,54194
34.375,54194
34.475,54194
34.576,54194
34.676,54194
34.776,54195
34.876,54195
34.976,54195
35.077,54196
35.177,54196
35.277,54196
35.377,54196
35.477,54196
35.578,54196
35.678,54196
35.778,54196
35.878,54196
35.978,54196
36.079,54196
36.179,54196
36.279,54196
36.379,54196
36.480,54197
36.580,54197
36.680,54198
36.780,54198
36.880,54198
36.981,54198
37.081,54198
37.181,54198
37.281,54198
37.382,54199
37.482,54199
37.582,54199
37.682,54201
37.783,54201
37.883,54201
37.983,54201
38.083,54201
38.184,54201
38.284,54201
38.384,54201
38.484,54201
38.585,54201
38.685,54201
38.785,54201
38.886,54201
38.985,54201
39.086,54202
39.186,54203
39.286,54204
39.386,54204
39.487,54204
39.586,54204
39.687,54204
39.787,54204
39.887,54204
39.988,54204
40.088,54204
40.188,54204
40.288,54204
40.389,54204
40.489,54204
40.589,54204
40.689,54204
40.790,54204
40.890,54205
40.989,54205
41.090,54207
41.190,54207
41.291,54207
41.390,54207
41.491,54207
41.591,54207
41.691,54207
41.792,54209
41.891,54209
41.992,54209
42.092,54209
42.193,54209
42.292,54209
42.393,54209
42.493,54209
42.593,54209
42.693,54209
42.794,54209
42.894,54209
42.994,54209
43.094,54209
43.194,54209
43.294,54210
43.394,54210
43.495,54210
43.595,54210
43.696,54210
43.795,54210
43.896,54210
43.996,54210
44.096,54210
44.197,54210
44.296,54210
44.397,54210
44.497,54210
44.597,54210
44.697,54210
44.797,54210
44.898,54210
44.998,54210
45.098,54210
45.199,54211
45.298,54212
45.399,54212
45.500,54212
45.599,54213
45.700,54213
45.800,54213
45.901,54213
46.000,54213
46.101,54214
46.201,54215
46.301,54215
46.401,54216
46.502,54216
46.602,54216
46.702,54216
46.803,54216
46.903,54216
47.003,54216
47.103,54216
47.203,54216
47.303,54216
47.404,54217
47.504,54217
47.605,54217
47.705,54217
47.805,54218
47.905,54218
48.005,54218
48.105,54218
48.206,54218
48.308,54218
48.406,54218
48.506,54218
48.607,54218
48.707,54218
48.808,54218
48.908,54218
49.008,54218
