TO_UM
1462155337
time,tx_packets
0.001,73126
0.101,73126
0.201,73126
0.302,73126
0.402,73126
0.502,73126
0.602,73127
0.702,73127
0.803,73127
0.903,73127
1.003,73127
1.103,73127
1.203,73127
1.304,73131
1.404,73132
1.504,73132
1.604,73132
1.704,73132
1.804,73132
1.905,73132
2.005,73132
2.105,73133
2.205,73133
2.306,73133
2.406,73134
2.506,73134
2.606,73148
2.706,73176
2.807,73205
2.907,73234
3.007,73268
3.107,73296
3.207,73324
3.308,73354
3.408,73381
3.508,73403
3.608,73414
3.708,73425
3.809,73448
3.910,73466
4.009,73477
4.110,73495
4.210,73518
4.311,73536
4.410,73566
4.510,73593
4.611,73610
4.710,73620
4.811,73635
4.911,73661
5.011,73672
5.111,73683
5.212,73706
5.312,73732
5.413,73751
5.516,73780
5.613,73795
5.713,73809
5.813,73824
5.912,73843
6.014,73855
6.114,73866
6.214,73885
6.315,73907
6.415,73938
6.516,73953
6.616,73974
6.716,73987
6.816,73998
6.916,74015
7.017,74033
7.116,74043
7.217,74055
7.316,74076
7.417,74106
7.517,74117
7.617,74131
7.718,74152
7.818,74162
7.918,74172
8.019,74193
8.118,74208
8.219,74219
8.319,74240
8.420,74267
8.519,74277
8.620,74289
8.720,74313
8.820,74325
8.921,74335
9.021,74355
9.121,74370
9.221,74384
9.322,74414
9.422,74443
9.522,74455
9.622,74465
9.722,74481
9.823,74498
9.922,74508
10.023,74521
10.123,74542
10.223,74561
10.323,74584
10.423,74600
10.524,74620
11.625,74792
11.725,74802
11.825,74821
11.926,74840
12.025,74850
12.126,74863
12.227,74897
12.327,74910
12.427,74920
12.527,74939
12.627,74955
12.728,74965
12.828,74980
12.928,74999
13.028,75010
13.129,75030
13.229,75061
13.329,75076
13.430,75086
13.530,75103
13.631,75120
13.731,75130
13.830,75143
13.931,75166
14.031,75179
14.131,75207
14.232,75229
14.332,75245
14.432,75255
14.532,75271
14.632,75291
14.733,75301
14.832,75313
14.933,75336
15.033,75356
15.134,75383
15.233,75398
15.334,75415
15.434,75433
15.534,75472
15.634,75489
15.735,75498
15.835,75518
15.935,75534
16.035,75544
16.134,75559
16.235,75578
16.334,75590
16.436,75611
16.536,75639
16.635,75652
16.736,75662
16.837,75681
16.937,75698
17.037,75708
