TO_VERISIGN
1462155337
time,tx_packets
0.001,37202
0.101,37202
0.201,37202
0.301,37202
0.402,37202
0.502,37202
0.602,37205
0.702,37205
0.802,37205
0.903,37205
1.003,37205
1.104,37205
1.203,37205
1.303,37206
1.404,37206
1.504,37206
1.604,37206
1.704,37206
1.805,37206
1.905,37206
2.005,37206
2.105,37207
2.205,37207
2.306,37207
2.406,37208
2.508,37208
2.607,37218
2.707,37237
2.808,37259
2.908,37283
3.009,37313
3.109,37336
3.210,37363
3.309,37381
3.410,37393
3.510,37399
3.609,37400
3.710,37401
3.809,37410
3.910,37414
4.010,37417
4.111,37423
4.212,37431
4.311,37441
4.412,37450
4.514,37464
4.613,37468
4.711,37468
4.813,37472
4.913,37481
5.012,37482
5.112,37483
5.213,37494
5.313,37511
5.414,37515
5.518,37532
5.613,37539
5.714,37539
5.813,37548
5.915,37562
6.014,37563
6.115,37564
6.215,37579
6.315,37597
6.415,37606
6.517,37612
6.617,37628
6.717,37630
6.817,37631
6.917,37645
7.019,37654
7.117,37654
7.218,37660
7.319,37682
7.418,37690
7.519,37690
7.619,37699
7.719,37714
7.819,37714
7.920,37716
8.019,37732
8.120,37737
8.221,37741
8.321,37760
8.421,37770
8.521,37770
8.621,37774
8.722,37795
8.822,37796
8.922,37796
9.022,37813
9.123,37821
9.223,37833
9.323,37847
9.423,37861
9.523,37864
9.624,37866
9.724,37876
9.824,37883
9.924,37884
10.025,37889
10.124,37903
10.225,37921
10.325,37922
10.425,37934
10.525,37946
11.625,38028
11.727,38028
11.826,38042
11.926,38051
12.027,38051
12.127,38065
12.227,38080
12.328,38081
12.428,38082
12.529,38101
12.629,38107
12.729,38107
12.829,38118
12.930,38130
13.030,38133
13.130,38151
13.230,38164
13.331,38170
13.431,38170
13.531,38184
13.632,38193
13.732,38193
13.833,38201
13.932,38215
14.032,38228
14.132,38239
14.232,38254
14.332,38261
14.433,38261
14.533,38271
14.633,38284
14.733,38284
14.833,38288
14.934,38306
15.034,38323
15.134,38326
15.234,38340
15.334,38351
15.434,38371
15.535,38391
15.635,38392
15.735,38394
15.836,38409
15.936,38416
16.037,38416
16.137,38427
16.237,38439
16.337,38443
16.437,38460
16.537,38473
16.638,38476
16.738,38476
16.838,38490
16.938,38499
17.038,38499
17.138,38507
17.239,38523
17.338,38534
17.439,38545
17.539,38560
17.639,38568
17.739,38568
17.840,38577
17.939,38592
18.039,38592
18.139,38593
18.240,38608
18.340,38628
18.440,38631
18.540,38637
18.640,38655
18.740,38656
18.841,38656
18.941,38671
19.041,38679
19.141,38679
19.241,38688
19.341,38709
19.442,38709
19.542,38709
19.642,38726
19.742,38739
19.842,38739
19.942,38742
20.043,38760
20.143,38763
20.243,38777
20.343,38789
20.443,38805
20.544,38829
20.644,38846
20.744,38847
20.844,38849
20.945,38867
21.045,38870
21.145,38870
21.245,38884
21.345,38893
21.446,38901
21.546,38915
21.646,38930
21.746,38931
21.847,38931
21.947,38951
22.047,38957
22.147,38957
22.247,38968
22.347,38981
22.448,38995
22.548,39002
22.648,39019
22.748,39024
22.849,39024
22.949,39038
23.049,39047
23.149,39048
23.249,39056
23.350,39073
23.450,39087
23.550,39089
23.650,39104
23.750,39111
23.851,39111
23.951,39122
24.051,39134
24.151,39134
24.251,39138
24.352,39161
24.452,39167
24.552,39167
24.652,39179
24.752,39191
24.853,39192
24.953,39200
25.053,39214
25.153,39215
25.253,39223
25.354,39242
25.454,39249
25.554,39250
25.654,39260
25.754,39271
25.855,39272
25.955,39274
26.055,39289
26.155,39295
26.256,39308
26.356,39322
26.456,39336
26.556,39337
26.656,39341
26.756,39348
26.857,39348
26.957,39348
27.057,39348
27.157,39348
27.257,39348
27.358,39348
27.458,39349
27.558,39349
27.658,39349
27.759,39349
27.859,39349
27.959,39349
28.059,39349
28.159,39349
28.260,39350
28.360,39350
28.460,39350
28.560,39350
28.660,39350
28.761,39350
28.861,39350
28.961,39350
29.061,39350
29.162,39350
29.262,39350
29.362,39351
29.462,39351
29.562,39351
29.663,39352
29.763,39352
29.863,39352
29.963,39352
30.063,39352
30.164,39352
30.264,39352
30.364,39352
30.464,39352
30.564,39352
30.665,39352
30.765,39352
30.865,39352
30.965,39352
31.066,39352
31.166,39352
31.266,39352
31.366,39352
31.466,39352
31.567,39352
31.667,39353
31.767,39353
31.867,39353
31.967,39353
32.068,39353
32.168,39353
32.268,39353
32.368,39353
32.469,39354
32.569,39354
32.669,39354
32.769,39354
32.869,39354
32.970,39354
33.070,39354
33.170,39354
33.270,39354
33.370,39354
33.471,39354
33.571,39355
33.671,39355
33.771,39355
33.871,39355
33.972,39355
34.072,39355
34.172,39355
34.272,39355
34.372,39355
34.473,39355
34.573,39355
34.673,39355
34.773,39355
34.873,39356
34.974,39357
35.074,39357
35.174,39357
35.274,39357
35.375,39357
35.475,39357
35.575,39357
35.675,39357
35.775,39357
35.876,39357
35.976,39357
36.076,39358
36.176,39358
36.276,39358
36.377,39358
36.477,39358
36.577,39359
36.677,39359
36.777,39359
36.878,39359
36.978,39359
37.078,39359
37.178,39359
37.279,39359
37.379,39359
37.479,39359
37.579,39359
37.679,39359
37.780,39359
37.880,39359
37.980,39359
38.080,39360
38.180,39360
38.281,39360
38.381,39360
38.481,39360
38.581,39360
38.681,39360
38.782,39360
38.882,39360
38.982,39360
39.082,39360
39.182,39360
39.283,39360
39.383,39360
39.483,39360
39.583,39360
39.684,39360
39.784,39360
39.884,39360
39.984,39360
40.084,39360
40.185,39360
40.285,39360
40.385,39361
40.485,39361
40.585,39361
40.686,39362
40.786,39362
40.886,39362
40.986,39362
41.086,39362
41.187,39362
41.287,39362
41.387,39362
41.487,39362
41.588,39362
41.688,39362
41.788,39362
41.888,39362
41.988,39362
42.089,39362
42.189,39362
42.289,39363
42.389,39363
42.489,39363
42.590,39363
42.690,39363
42.790,39363
42.890,39363
42.990,39363
43.091,39363
43.191,39363
43.291,39363
43.391,39365
43.491,39365
43.592,39365
43.692,39365
43.792,39365
43.892,39365
43.993,39365
44.093,39365
44.193,39365
44.293,39365
44.393,39365
44.494,39365
44.594,39365
44.694,39366
44.794,39366
44.894,39366
44.995,39366
45.095,39367
45.195,39367
45.295,39367
45.396,39367
45.496,39367
45.596,39367
45.696,39367
45.796,39367
45.897,39367
45.997,39367
46.097,39367
46.197,39367
46.297,39367
46.398,39367
46.498,39367
46.598,39367
46.698,39368
46.798,39368
46.899,39368
46.999,39368
47.099,39368
47.199,39368
47.300,39368
47.400,39368
47.500,39368
47.600,39368
47.700,39368
47.801,39368
47.901,39368
48.001,39368
48.101,39368
48.201,39368
48.302,39368
48.402,39368
48.502,39368
48.602,39368
48.703,39368
48.803,39368
48.903,39368
49.003,39368
49.103,39369
49.204,39369
49.304,39369
49.404,39370
49.504,39370
49.605,39370
49.705,39370
49.805,39370
49.905,39370
50.005,39370
50.106,39370
50.206,39370
50.306,39370
50.406,39370
50.506,39370
50.607,39370
50.707,39370
50.807,39370
50.907,39370
51.008,39370
51.108,39371
51.208,39371
51.308,39371
51.408,39371
51.509,39371
51.609,39371
51.709,39372
51.809,39372
51.909,39372
52.010,39372
52.110,39372
52.210,39372
