TO_UA
1462154418
time,tx_packets
0.003,43024
0.101,43024
0.202,43024
0.302,43024
0.402,43024
0.502,43024
0.603,43024
0.703,43024
0.803,43024
0.905,43024
1.004,43024
1.104,43024
1.204,43024
1.306,43024
1.406,43024
1.505,43024
1.606,43024
1.706,43024
1.806,43024
1.907,43024
2.007,43025
2.107,43025
2.208,43025
2.308,43025
2.408,43025
2.508,43025
2.608,43025
2.708,43025
2.809,43025
2.909,43025
3.010,43025
3.110,43025
3.210,43025
3.310,43025
3.411,43026
3.511,43050
3.611,43083
3.712,43119
3.812,43155
3.912,43188
4.012,43222
4.112,43254
4.212,43272
4.313,43281
4.413,43283
4.514,43283
4.613,43286
4.714,43294
4.814,43295
4.913,43296
5.014,43304
5.114,43309
5.214,43326
5.314,43340
5.414,43347
5.515,43349
5.615,43350
5.715,43357
5.815,43361
5.916,43361
6.016,43367
6.116,43381
6.216,43391
6.316,43397
6.416,43407
6.517,43410
6.617,43410
6.717,43414
6.817,43422
6.918,43422
7.018,43431
7.118,43446
7.218,43447
7.318,43449
7.418,43464
7.519,43469
7.619,43469
7.719,43475
7.819,43478
7.919,43478
8.020,43492
8.120,43504
8.220,43508
8.320,43510
8.420,43514
8.521,43516
8.621,43516
8.721,43517
8.821,43521
8.921,43526
9.021,43539
9.121,43555
9.222,43562
9.322,43562
9.422,43564
9.522,43572
9.622,43575
9.722,43575
9.822,43582
9.923,43595
10.023,43610
10.123,43620
10.223,43629
10.323,43631
10.423,43631
10.523,43638
10.624,43645
10.724,43646
10.824,43649
10.925,43669
11.025,43684
11.125,43687
11.225,43698
11.325,43702
11.426,43703
11.526,43705
11.626,43707
11.726,43709
11.826,43710
11.926,43719
12.027,43726
12.127,43726
12.227,43729
12.327,43731
12.427,43733
12.527,43736
12.628,43738
12.728,43739
12.828,43742
12.928,43753
13.029,43754
13.129,43754
13.230,43762
13.329,43765
13.429,43766
13.530,43767
13.630,43769
13.730,43772
13.831,43779
13.931,43788
14.031,43791
14.132,43791
14.232,43793
14.332,43795
14.432,43797
14.532,43799
14.633,43805
14.733,43808
14.833,43817
14.933,43822
15.033,43834
15.134,43836
15.234,43836
15.334,43846
15.435,43852
15.535,43864
15.634,43892
15.734,43896
15.835,43896
15.935,43903
16.035,43909
16.135,43910
16.235,43910
16.335,43914
16.435,43918
16.537,43927
16.636,43932
16.736,43943
16.836,43949
16.937,43949
17.037,43956
17.137,43963
17.237,43963
17.337,43965
17.438,43985
17.538,43993
17.638,43995
17.738,44003
17.838,44011
17.938,44011
18.039,44013
18.139,44023
18.239,44025
18.339,44025
18.439,44045
18.540,44075
18.640,44083
18.740,44083
18.840,44088
18.940,44098
19.040,44098
19.140,44099
19.241,44108
19.341,44110
19.441,44118
19.541,44130
19.641,44139
19.741,44139
19.842,44141
19.942,44153
20.042,44154
20.142,44154
20.242,44162
20.343,44167
20.443,44176
20.543,44181
20.644,44192
20.743,44193
20.843,44196
20.944,44213
21.043,44216
21.144,44217
21.244,44220
21.344,44233
21.445,44242
21.545,44245
21.646,44256
21.746,44257
21.845,44257
21.948,44269
22.047,44272
22.146,44272
22.247,44278
22.348,44295
22.448,44300
22.548,44301
22.647,44312
22.747,44314
22.847,44314
22.947,44323
23.048,44329
23.148,44329
23.248,44335
23.349,44353
23.448,44357
23.549,44357
23.649,44368
23.749,44372
23.850,44372
23.950,44379
24.051,44389
24.150,44389
24.250,44401
24.351,44410
24.452,44418
24.551,44418
24.652,44427
24.751,44438
24.852,44439
24.952,44439
25.053,44454
25.152,44466
25.253,44469
25.353,44479
25.453,44485
25.553,44485
25.653,44491
25.753,44499
25.853,44501
25.954,44509
26.054,44517
26.154,44520
26.254,44520
26.354,44526
26.455,44533
26.555,44534
26.655,44536
26.755,44546
26.855,44551
26.956,44561
28.055,44600
28.156,44600
28.257,44600
28.356,44600
28.457,44600
28.557,44600
28.657,44600
28.758,44600
28.857,44600
28.958,44600
29.058,44600
29.158,44600
29.258,44600
29.358,44600
29.458,44602
29.559,44603
29.659,44604
29.759,44605
29.859,44605
29.959,44606
30.059,44606
30.160,44606
30.260,44606
30.360,44606
30.460,44607
30.560,44607
30.661,44607
30.761,44607
30.861,44607
30.961,44607
31.061,44607
31.162,44607
31.261,44607
31.362,44607
31.462,44607
31.562,44607
31.662,44607
31.762,44608
31.862,44608
31.963,44608
32.063,44608
32.163,44608
32.263,44608
32.363,44608
32.464,44608
32.564,44608
32.664,44608
32.764,44608
32.864,44608
32.965,44608
33.065,44608
33.166,44608
33.266,44608
33.366,44608
33.467,44608
33.568,44608
33.667,44608
33.767,44611
33.868,44611
33.967,44611
34.068,44613
34.170,44615
34.268,44615
34.370,44615
34.470,44615
34.569,44615
34.670,44615
34.770,44615
34.870,44615
34.971,44615
35.071,44615
35.172,44615
35.271,44615
35.371,44615
35.472,44615
35.573,44615
35.672,44615
35.774,44615
35.874,44615
35.974,44615
36.075,44615
36.175,44616
36.275,44616
36.374,44616
36.474,44616
36.575,44616
36.675,44616
36.776,44617
36.876,44617
36.976,44617
37.077,44617
37.177,44617
37.277,44617
37.377,44617
37.478,44617
37.579,44617
37.678,44617
37.779,44617
37.879,44617
37.979,44617
38.080,44617
38.181,44619
38.280,44621
38.380,44623
38.481,44623
38.582,44624
38.682,44624
