TO_CLIENT
1462154492
time,tx_packets
0.001,15011
0.101,15011
0.201,15011
0.301,15011
0.402,15011
0.502,15011
0.602,15011
0.702,15011
0.802,15011
0.903,15011
1.003,15011
1.103,15011
1.203,15011
1.303,15011
1.404,15011
1.504,15011
1.604,15011
1.704,15011
1.805,15011
1.905,15011
2.005,15011
2.105,15011
2.205,15011
2.306,15011
2.406,15011
2.506,15011
2.606,15011
2.707,15013
2.807,15018
2.907,15023
3.007,15028
3.107,15033
3.207,15038
3.307,15043
3.408,15048
3.508,15053
3.608,15058
3.708,15064
3.808,15069
3.908,15074
4.009,15079
4.109,15084
4.209,15089
4.310,15094
4.411,15099
4.512,15104
4.612,15109
4.712,15114
4.813,15119
4.912,15124
5.013,15129
5.113,15134
5.213,15139
5.314,15144
5.413,15149
5.514,15154
5.614,15159
5.716,15164
5.816,15169
5.915,15174
6.015,15179
6.116,15184
6.216,15189
6.317,15194
6.417,15199
6.518,15204
6.618,15209
6.718,15214
6.818,15219
6.919,15224
7.018,15229
7.119,15234
7.219,15239
7.319,15244
7.420,15249
7.520,15255
7.620,15260
7.721,15265
7.821,15270
7.921,15275
8.021,15280
8.122,15285
8.222,15290
8.323,15295
8.423,15300
8.523,15305
8.624,15310
8.724,15315
8.824,15320
8.924,15325
9.025,15330
9.125,15335
9.226,15340
9.326,15345
9.426,15350
9.527,15355
9.627,15360
9.727,15365
9.827,15370
9.927,15375
10.028,15380
10.128,15385
10.228,15390
10.328,15395
10.428,15400
10.528,15405
10.628,15410
10.728,15415
10.828,15420
10.928,15425
11.028,15431
11.129,15436
11.229,15441
11.330,15446
11.431,15451
11.531,15456
11.632,15461
11.732,15466
11.832,15471
11.933,15476
12.033,15481
12.133,15486
12.233,15491
12.334,15496
12.434,15501
12.534,15507
12.635,15512
12.735,15517
12.835,15522
12.936,15527
13.036,15532
13.136,15537
13.236,15542
13.336,15547
13.437,15552
13.537,15557
13.637,15562
13.737,15567
13.837,15572
13.938,15577
14.038,15582
14.138,15587
14.238,15592
14.339,15597
14.439,15602
14.539,15606
14.639,15612
14.740,15617
14.840,15622
14.940,15627
15.040,15632
15.140,15637
15.241,15638
15.341,15644
15.441,15652
15.542,15657
15.642,15662
15.742,15667
15.842,15669
15.942,15676
16.043,15682
16.143,15687
16.243,15692
16.343,15697
16.444,15702
16.544,15707
16.644,15712
16.744,15717
16.845,15722
16.945,15727
17.045,15732
17.145,15737
17.246,15742
17.346,15747
17.446,15752
17.547,15757
17.647,15762
17.747,15767
17.847,15772
17.948,15777
18.048,15782
18.148,15787
18.248,15793
18.349,15797
18.449,15803
18.549,15807
18.650,15813
18.750,15817
18.850,15823
18.950,15828
19.050,15833
19.150,15838
19.251,15843
19.351,15848
19.451,15853
19.551,15858
19.652,15863
19.752,15868
19.852,15873
19.953,15878
20.053,15883
20.153,15888
20.253,15893
20.353,15898
20.453,15903
20.554,15908
20.654,15913
20.755,15918
20.855,15923
20.955,15928
21.055,15933
21.156,15938
21.256,15943
21.356,15948
21.456,15953
21.557,15958
21.657,15963
21.757,15968
21.857,15973
21.957,15978
22.058,15983
22.158,15988
22.258,15993
22.358,15998
22.459,16003
22.559,16008
22.659,16013
22.760,16018
22.859,16023
22.960,16028
23.060,16033
23.160,16038
23.261,16043
23.361,16048
23.461,16053
23.561,16058
23.662,16063
23.762,16068
23.862,16073
23.962,16078
24.063,16083
24.163,16088
24.263,16093
24.363,16098
24.463,16103
24.564,16106
24.664,16113
24.764,16118
24.864,16123
24.964,16128
25.065,16133
25.165,16138
25.265,16143
25.365,16148
25.466,16153
25.566,16158
25.666,16163
25.767,16168
25.867,16173
25.967,16178
26.067,16183
26.168,16188
26.268,16193
26.368,16198
26.468,16203
26.569,16209
26.669,16213
26.769,16213
26.869,16213
26.970,16213
27.070,16213
27.170,16213
27.271,16213
27.371,16213
27.471,16213
27.571,16213
27.672,16213
27.772,16213
27.872,16213
27.972,16213
28.073,16213
28.173,16213
28.276,16213
28.374,16213
28.474,16213
28.574,16213
28.674,16213
28.774,16213
28.875,16213
28.975,16213
29.075,16213
29.175,16213
29.278,16213
29.376,16213
29.476,16213
29.576,16213
29.677,16213
29.777,16213
29.877,16213
29.978,16213
30.078,16213
30.178,16213
30.278,16213
30.379,16213
30.479,16213
30.579,16213
30.679,16213
30.780,16213
30.880,16213
30.980,16213
31.080,16213
31.181,16213
31.281,16213
31.381,16213
31.481,16213
31.582,16213
31.682,16213
31.782,16213
31.882,16213
31.982,16213
32.083,16213
32.183,16213
32.283,16213
32.383,16213
32.483,16213
32.583,16213
32.684,16213
32.784,16213
32.884,16213
32.985,16213
33.085,16213
33.185,16213
33.285,16213
33.385,16213
33.486,16213
33.586,16213
33.686,16213
33.786,16213
33.887,16213
33.987,16213
34.087,16213
34.187,16213
34.287,16213
35.387,16213
35.488,16213
35.588,16213
35.688,16213
35.788,16213
35.889,16213
35.989,16213
36.089,16213
36.189,16213
36.289,16213
36.390,16213
36.490,16213
36.590,16213
36.690,16213
36.790,16213
36.891,16213
36.991,16213
37.091,16213
37.191,16213
37.291,16213
37.392,16213
37.492,16213
37.592,16213
37.692,16213
37.793,16213
37.893,16213
37.993,16213
38.093,16213
38.193,16213
38.294,16213
38.394,16213
38.494,16213
38.594,16213
38.695,16213
38.795,16213
38.895,16213
38.995,16213
39.095,16213
39.196,16213
39.296,16213
39.396,16213
39.496,16213
39.596,16213
39.697,16213
39.797,16213
39.897,16213
39.997,16213
40.097,16213
40.198,16213
40.298,16213
40.398,16213
40.498,16213
40.599,16213
40.699,16213
40.799,16213
40.900,16213
41.000,16213
41.100,16213
41.200,16213
41.300,16213
41.401,16213
41.501,16213
41.601,16213
41.701,16213
41.802,16213
41.901,16213
42.002,16213
42.102,16213
42.202,16213
42.302,16213
42.403,16213
42.503,16213
42.603,16213
42.703,16213
42.804,16213
42.903,16213
43.004,16213
43.104,16213
43.204,16213
43.305,16213
43.405,16213
43.505,16213
43.605,16213
43.706,16213
43.806,16213
43.906,16213
44.006,16213
44.106,16213
44.206,16213
44.307,16213
44.407,16213
44.507,16213
44.607,16213
44.708,16213
44.808,16213
44.908,16213
45.008,16213
45.109,16213
45.208,16213
45.309,16213
45.409,16213
45.509,16213
45.610,16213
45.709,16213
45.810,16213
45.910,16213
46.011,16213
46.111,16213
46.211,16213
46.311,16213
46.411,16213
46.512,16213
46.611,16213
46.712,16213
46.812,16213
46.912,16213
47.013,16213
47.113,16213
47.213,16213
47.313,16213
47.413,16213
47.514,16213
47.614,16213
47.714,16213
47.814,16213
47.914,16213
48.014,16213
48.115,16213
48.215,16213
48.315,16213
48.415,16213
48.516,16213
48.616,16213
48.716,16213
48.816,16213
48.916,16213
49.017,16213
49.117,16213
49.217,16213
49.317,16213
49.417,16213
49.518,16213
49.618,16213
49.718,16213
49.818,16213
49.919,16213
50.019,16213
50.119,16213
50.219,16213
50.319,16213
50.420,16213
50.520,16213
50.620,16213
50.720,16213
50.821,16213
50.921,16213
51.021,16213
51.121,16213
51.221,16213
51.322,16213
51.422,16213
51.522,16213
51.622,16213
51.722,16213
51.823,16213
51.923,16213
52.023,16213
52.123,16213
52.223,16213
52.324,16213
52.424,16213
52.524,16213
52.624,16213
52.724,16213
52.825,16213
52.925,16213
53.026,16213
53.125,16213
53.226,16213
53.326,16213
53.426,16213
53.527,16213
53.627,16213
53.727,16213
53.827,16213
53.927,16213
54.027,16213
54.128,16213
54.228,16213
54.328,16213
54.429,16213
54.529,16213
54.629,16213
54.729,16213
54.829,16213
54.930,16213
55.029,16213
55.130,16213
55.230,16213
55.330,16213
55.430,16213
55.531,16213
55.631,16213
55.731,16213
55.831,16213
55.932,16213
56.032,16213
56.132,16213
56.232,16213
56.332,16213
56.433,16213
56.533,16213
56.633,16213
56.733,16213
56.833,16213
56.934,16213
57.034,16213
57.134,16213
57.234,16213
57.335,16213
57.435,16213
57.535,16213
57.635,16213
57.735,16213
57.836,16213
57.936,16213
58.036,16213
58.136,16213
58.236,16213
58.337,16213
58.437,16213
58.537,16213
58.637,16213
58.737,16213
58.838,16213
58.938,16213
59.038,16213
59.139,16213
59.239,16213
59.339,16213
