TO_ORANGE
1462154492
time,tx_packets
0.001,2491
0.101,2491
0.201,2491
0.301,2491
0.401,2491
0.502,2491
0.602,2491
0.702,2491
0.802,2491
0.902,2491
1.003,2491
1.103,2491
1.203,2491
1.303,2491
1.403,2491
1.504,2491
1.604,2491
1.704,2491
1.804,2491
1.905,2491
2.005,2491
2.105,2491
2.205,2491
2.305,2491
2.405,2491
2.505,2491
2.605,2491
2.706,2496
2.806,2501
2.906,2506
3.006,2511
3.106,2516
3.206,2521
3.306,2526
3.406,2531
3.507,2536
3.607,2541
3.707,2546
3.807,2551
3.907,2556
4.007,2561
4.108,2566
4.208,2571
4.308,2576
4.408,2581
4.508,2586
4.609,2591
4.709,2596
4.809,2601
4.909,2606
5.009,2611
5.109,2616
5.210,2621
5.310,2626
5.410,2631
5.510,2636
5.610,2641
5.711,2646
5.811,2651
5.911,2656
6.011,2661
6.111,2666
6.211,2671
6.312,2676
6.412,2681
6.512,2686
6.612,2691
6.712,2696
6.813,2701
6.913,2706
7.013,2711
7.113,2716
7.213,2721
7.313,2726
7.414,2731
7.514,2736
7.614,2741
7.714,2747
7.814,2752
7.915,2757
8.015,2762
8.115,2767
8.215,2772
8.315,2777
8.416,2782
8.516,2787
8.616,2792
8.716,2797
8.816,2802
8.917,2807
9.017,2812
9.117,2817
9.217,2822
9.317,2827
9.418,2832
9.518,2837
9.618,2842
9.718,2847
9.819,2852
9.919,2858
10.019,2863
10.119,2867
10.219,2872
10.320,2878
10.420,2883
10.520,2888
10.620,2893
10.720,2898
10.821,2903
10.921,2908
11.021,2913
11.121,2918
11.221,2923
11.321,2928
11.422,2933
11.522,2938
11.622,2943
11.722,2948
11.822,2953
11.923,2958
12.023,2963
12.123,2968
12.223,2973
12.323,2978
12.424,2983
12.524,2988
12.624,2993
12.724,2999
12.824,3004
12.925,3009
13.025,3014
13.125,3019
13.225,3024
13.326,3029
13.426,3034
13.526,3039
13.626,3044
13.726,3049
13.827,3054
13.927,3059
14.027,3064
14.127,3069
14.228,3074
14.328,3079
14.428,3084
14.528,3089
14.628,3094
14.729,3099
14.829,3104
14.929,3109
15.029,3114
15.129,3119
15.229,3124
15.330,3129
15.430,3134
15.530,3139
15.630,3144
15.730,3149
15.831,3154
15.931,3159
16.031,3164
16.131,3169
16.231,3174
16.332,3179
16.432,3184
16.532,3189
16.632,3194
16.732,3199
16.833,3204
16.933,3209
17.033,3214
17.133,3219
17.233,3224
17.334,3229
17.434,3234
17.534,3239
17.634,3244
17.734,3249
17.835,3254
17.935,3259
18.035,3264
18.135,3269
18.235,3274
18.336,3279
18.436,3284
18.536,3289
18.636,3294
18.737,3299
18.837,3304
18.937,3309
19.037,3314
19.137,3319
19.237,3324
19.338,3329
19.438,3334
19.538,3339
19.638,3344
19.738,3349
19.839,3355
19.939,3359
20.039,3365
20.139,3369
20.239,3375
20.340,3380
20.440,3385
20.540,3390
20.640,3395
20.741,3400
20.841,3405
20.941,3410
21.041,3415
21.141,3420
21.241,3425
21.342,3430
21.442,3435
21.542,3440
21.642,3445
21.743,3450
21.843,3455
21.943,3460
22.043,3465
22.143,3470
22.244,3475
22.344,3480
22.444,3485
22.544,3490
22.644,3495
22.745,3500
22.845,3505
22.945,3510
23.045,3515
23.145,3520
23.246,3525
23.346,3530
23.446,3535
23.546,3540
23.646,3545
23.747,3550
23.847,3555
23.947,3560
24.047,3565
24.148,3570
24.248,3575
24.348,3580
24.448,3585
24.548,3587
24.649,3595
24.749,3600
24.849,3605
24.949,3610
25.049,3615
25.150,3620
25.250,3625
25.350,3630
25.450,3635
25.550,3640
25.651,3645
25.751,3650
25.851,3655
25.951,3660
26.051,3665
26.152,3670
26.252,3675
26.352,3680
26.452,3685
26.552,3690
26.653,3693
26.753,3693
26.853,3693
26.953,3693
27.053,3693
27.154,3693
27.254,3693
27.354,3693
27.454,3693
27.554,3693
27.655,3693
27.755,3693
27.855,3693
27.955,3693
28.055,3693
28.156,3693
28.256,3693
28.356,3693
28.456,3693
28.557,3693
28.657,3693
28.757,3693
28.857,3693
28.957,3693
29.057,3693
29.158,3693
29.258,3693
29.358,3693
29.458,3693
29.559,3693
29.659,3693
29.759,3693
29.859,3693
29.959,3693
30.059,3693
30.160,3693
30.260,3693
30.360,3693
30.460,3693
30.561,3693
30.661,3693
30.761,3693
30.861,3693
30.961,3693
31.062,3693
31.162,3693
31.262,3693
31.362,3693
31.462,3693
31.563,3693
31.663,3693
31.763,3693
31.863,3693
31.963,3693
32.063,3693
32.164,3693
32.264,3693
32.364,3693
32.464,3693
32.564,3693
32.665,3693
32.765,3693
32.865,3693
32.965,3693
33.065,3693
33.166,3693
33.266,3693
33.366,3693
33.466,3693
33.566,3693
33.667,3693
33.767,3693
33.867,3693
33.967,3693
34.067,3693
34.168,3693
34.268,3693
34.368,3693
34.468,3693
34.568,3693
34.669,3693
34.769,3693
34.869,3693
34.969,3693
35.069,3693
35.170,3693
35.270,3693
35.370,3693
35.470,3693
35.571,3693
35.671,3693
35.771,3693
35.871,3693
35.971,3693
36.072,3693
36.172,3693
36.272,3693
36.372,3693
36.472,3693
36.573,3693
36.673,3693
36.773,3693
36.873,3693
36.973,3693
37.074,3693
37.174,3693
37.274,3693
37.374,3693
37.474,3693
37.575,3693
37.675,3693
37.775,3693
37.875,3693
37.975,3693
38.076,3693
38.176,3693
38.276,3693
38.376,3693
38.477,3693
38.577,3693
38.677,3693
38.777,3693
38.877,3693
38.978,3693
