TO_UM
1462154492
time,tx_packets
0.001,47765
0.101,47765
0.201,47765
0.301,47765
0.402,47765
0.502,47765
0.602,47765
0.702,47765
0.802,47765
0.903,47766
1.003,47766
1.103,47766
1.203,47766
1.303,47766
1.404,47766
1.504,47766
1.604,47766
1.704,47766
1.805,47766
1.905,47766
2.005,47767
2.105,47767
2.206,47767
2.306,47767
2.406,47767
2.506,47767
2.607,47783
2.707,47810
2.807,47839
2.907,47869
3.007,47900
3.107,47931
3.207,47957
3.308,47986
3.408,48013
3.508,48034
3.608,48045
3.709,48056
3.809,48079
3.909,48097
4.009,48109
4.110,48127
4.211,48150
4.310,48168
4.411,48196
4.511,48219
4.611,48236
4.712,48247
4.812,48264
4.913,48282
5.014,48295
5.112,48308
5.214,48326
5.315,48356
5.414,48374
5.514,48396
5.616,48416
5.715,48426
5.815,48440
5.916,48461
6.016,48471
6.116,48482
6.217,48503
6.318,48531
6.418,48542
6.518,48561
6.618,48586
6.718,48596
6.819,48608
6.919,48633
7.020,48648
7.119,48658
7.220,48690
7.320,48718
7.420,48728
7.520,48742
7.621,48763
7.721,48774
7.821,48786
7.922,48806
8.022,48824
8.122,48840
8.222,48871
8.323,48897
8.423,48907
8.523,48920
8.624,48940
8.724,48953
8.824,48963
8.925,48982
9.025,48998
9.125,49025
9.225,49056
9.326,49081
9.427,49092
9.527,49103
9.627,49126
9.727,49143
9.827,49154
9.928,49172
10.028,49196
10.128,49225
10.229,49246
10.329,49266
10.429,49285
10.529,49297
10.629,49314
10.730,49328
10.830,49339
10.930,49356
11.030,49375
11.130,49407
11.230,49420
11.330,49449
11.431,49464
11.531,49478
11.632,49495
11.732,49513
11.833,49523
11.933,49536
12.034,49566
12.134,49587
12.234,49598
12.334,49617
12.434,49632
12.535,49642
12.635,49657
12.736,49678
12.836,49688
12.935,49701
13.036,49733
13.136,49747
13.236,49757
13.336,49779
13.436,49797
13.536,49807
13.636,49820
13.737,49843
13.837,49853
13.937,49872
14.037,49904
14.137,49919
14.238,49929
14.338,49942
14.438,49966
14.539,49976
14.639,49987
14.739,50009
14.839,50023
14.939,50052
15.039,50073
15.140,50090
15.240,50097
15.340,50126
15.440,50169
15.540,50185
15.640,50196
15.741,50220
15.841,50241
15.941,50268
16.041,50303
16.141,50313
16.242,50326
16.342,50346
16.442,50357
16.542,50367
16.643,50386
16.743,50401
16.843,50412
16.943,50443
17.043,50467
17.144,50477
17.244,50489
17.344,50508
17.444,50521
17.544,50531
17.645,50548
17.745,50565
17.845,50582
17.945,50612
18.045,50632
18.145,50643
18.246,50653
18.346,50674
18.446,50690
18.546,50700
18.646,50716
18.747,50738
18.847,50762
18.947,50782
19.047,50801
19.147,50814
19.248,50824
19.348,50843
19.448,50860
19.548,50870
19.648,50885
19.749,50909
19.849,50936
19.949,50951
20.049,50970
20.149,50986
20.249,50998
20.350,51014
20.450,51027
20.550,51037
20.650,51048
20.750,51069
20.851,51093
20.951,51103
21.051,51118
21.151,51138
21.251,51151
21.351,51161
21.452,51182
21.552,51197
21.652,51211
21.752,51243
21.852,51265
21.953,51275
22.053,51287
22.153,51308
22.253,51321
22.353,51331
22.454,51348
22.554,51366
22.654,51387
22.754,51416
22.854,51438
22.955,51448
23.055,51458
23.155,51478
23.255,51493
23.355,51503
23.456,51519
23.556,51539
23.656,51565
23.756,51582
23.856,51603
23.956,51616
24.057,51626
24.157,51645
24.257,51663
24.357,51673
24.458,51682
24.558,51706
24.658,51732
24.758,51751
24.858,51761
24.958,51776
25.059,51795
25.159,51804
25.259,51819
25.359,51841
25.459,51852
25.559,51869
25.660,51902
25.760,51918
25.860,51928
25.960,51943
26.060,51962
26.161,51972
26.261,51983
26.361,52006
26.461,52020
26.561,52041
26.662,52060
26.762,52064
26.862,52064
26.962,52064
27.062,52064
27.163,52064
27.263,52064
27.363,52064
27.463,52064
27.563,52064
27.664,52065
27.764,52065
27.864,52065
27.964,52065
28.064,52065
28.165,52065
28.265,52066
28.365,52067
28.465,52067
28.565,52067
28.666,52067
28.766,52067
28.866,52067
28.966,52067
29.066,52068
29.167,52068
29.267,52068
29.367,52068
29.467,52068
29.568,52068
29.668,52068
29.768,52068
29.868,52069
29.968,52070
30.069,52070
30.169,52070
30.269,52070
30.369,52070
30.469,52070
30.570,52070
30.670,52070
30.770,52070
30.870,52070
30.970,52070
31.071,52071
31.171,52071
31.271,52071
31.371,52071
31.471,52071
31.572,52071
31.672,52071
31.772,52071
31.872,52071
31.972,52071
32.073,52072
32.173,52072
32.273,52072
32.373,52072
32.474,52072
32.574,52073
32.674,52073
32.774,52073
32.874,52073
32.974,52073
33.075,52073
33.175,52073
33.276,52073
33.375,52073
33.476,52074
33.576,52074
33.676,52074
33.776,52074
33.876,52074
33.977,52074
34.077,52075
34.177,52075
34.278,52075
34.377,52075
34.477,52076
34.578,52076
34.678,52076
34.779,52076
34.878,52076
34.979,52076
35.079,52076
35.179,52077
35.279,52077
35.379,52077
35.480,52077
35.580,52077
35.680,52077
35.780,52077
35.880,52077
35.981,52077
36.081,52077
36.181,52077
36.281,52077
36.381,52078
36.482,52078
36.582,52078
36.682,52078
36.782,52079
36.883,52079
36.983,52079
37.083,52079
37.183,52082
37.283,52083
37.384,52083
37.484,52083
37.584,52083
37.684,52083
37.784,52083
37.885,52084
37.985,52084
38.085,52084
38.185,52084
38.285,52084
38.386,52084
38.486,52085
38.586,52086
38.686,52086
38.786,52086
38.887,52086
38.987,52086
39.087,52086
39.187,52086
39.287,52087
40.388,52087
40.488,52087
40.588,52087
40.688,52088
40.788,52088
40.889,52088
40.989,52089
41.089,52089
41.189,52089
41.289,52089
41.390,52090
41.490,52090
41.590,52095
41.690,52096
41.790,52096
41.891,52096
41.991,52096
42.091,52097
42.191,52097
42.292,52097
42.392,52097
42.492,52097
42.592,52097
42.692,52097
42.793,52097
42.893,52098
42.993,52099
43.093,52099
43.193,52099
43.294,52099
43.394,52099
43.494,52099
43.594,52099
43.694,52100
