TO_VERISIGN
1462154492
time,tx_packets
0.001,25524
0.101,25524
0.201,25524
0.302,25524
0.402,25524
0.502,25524
0.602,25524
0.702,25524
0.802,25524
0.903,25524
1.003,25524
1.103,25524
1.203,25524
1.303,25524
1.404,25524
1.504,25524
1.604,25524
1.704,25524
1.804,25524
1.905,25524
2.005,25525
2.105,25525
2.205,25525
2.305,25525
2.406,25525
2.506,25525
2.606,25535
2.706,25554
2.807,25578
2.907,25600
3.007,25629
3.107,25655
3.207,25680
3.308,25698
3.408,25710
3.508,25716
3.608,25717
3.708,25718
3.809,25727
3.909,25732
4.009,25733
4.110,25739
4.210,25747
4.310,25758
4.411,25765
4.511,25779
4.611,25784
4.711,25784
4.812,25790
4.912,25798
5.012,25798
5.114,25800
5.213,25815
5.314,25826
5.413,25827
5.514,25839
5.614,25847
5.715,25847
5.816,25849
5.916,25859
6.017,25861
6.116,25862
6.217,25878
6.317,25887
6.418,25887
6.517,25895
6.618,25906
6.718,25906
6.818,25907
6.919,25918
7.019,25920
7.119,25922
7.219,25942
7.320,25951
7.420,25951
7.520,25953
7.620,25964
7.720,25965
7.821,25965
7.921,25975
8.022,25979
8.122,25987
8.223,26001
8.323,26016
8.423,26016
8.523,26018
8.624,26028
8.724,26030
8.824,26030
8.925,26039
9.025,26046
9.126,26062
9.226,26072
9.325,26082
9.426,26083
9.527,26084
9.627,26093
9.727,26097
9.828,26097
9.928,26103
10.028,26119
10.128,26130
10.229,26137
10.329,26149
10.429,26156
10.529,26156
10.629,26162
10.729,26166
10.830,26166
10.929,26172
11.030,26191
11.130,26197
11.230,26201
11.331,26217
11.431,26221
11.531,26221
11.632,26235
11.732,26245
11.832,26245
11.933,26256
12.033,26275
12.133,26276
12.234,26279
12.334,26295
12.434,26300
12.534,26300
12.635,26311
12.735,26325
12.835,26325
12.936,26338
13.036,26355
13.136,26356
13.236,26356
13.337,26375
13.437,26383
13.537,26383
13.637,26391
13.738,26406
13.838,26408
13.938,26425
14.038,26440
14.138,26446
14.239,26446
14.339,26455
14.439,26469
14.539,26469
14.640,26472
14.740,26490
14.840,26502
14.940,26514
15.041,26528
15.141,26537
15.241,26545
15.341,26572
15.441,26585
15.541,26587
15.642,26587
15.742,26598
15.842,26607
15.943,26632
16.043,26644
16.143,26644
16.244,26652
16.343,26666
16.444,26667
16.544,26669
16.644,26684
16.744,26690
16.845,26700
16.945,26716
17.045,26729
17.145,26729
17.246,26733
17.346,26749
17.446,26752
17.546,26752
17.647,26766
17.747,26776
17.847,26792
17.948,26803
18.048,26817
18.148,26818
18.249,26820
18.349,26835
18.449,26841
18.549,26841
18.650,26852
18.750,26868
18.850,26882
18.950,26886
19.050,26902
19.151,26905
19.251,26905
19.351,26919
19.451,26928
19.552,26928
19.652,26936
19.752,26956
19.853,26962
19.953,26965
20.053,26980
20.153,26988
20.254,26991
20.353,27001
20.454,27005
20.554,27005
20.654,27011
20.755,27031
20.855,27035
20.955,27035
21.055,27044
21.155,27059
21.256,27063
21.356,27065
21.456,27081
21.556,27086
21.657,27098
21.757,27112
21.857,27124
21.957,27125
22.058,27129
22.158,27147
22.258,27148
22.359,27149
22.459,27166
22.559,27173
22.659,27190
22.760,27198
22.860,27213
22.960,27214
23.060,27217
