TO_KISTI
1462154566
time,tx_packets
0.001,14025
0.101,14025
0.201,14025
0.301,14025
0.401,14025
0.501,14025
0.602,14025
0.702,14025
0.802,14025
0.902,14025
1.003,14025
1.103,14025
1.203,14025
1.303,14025
1.403,14025
1.504,14025
1.604,14025
1.704,14025
1.804,14025
1.904,14025
2.005,14025
2.105,14025
2.205,14025
2.305,14025
2.405,14025
2.506,14025
2.606,14025
2.706,14027
2.806,14032
2.906,14036
3.007,14040
3.107,14044
3.207,14048
3.307,14051
3.407,14054
3.507,14055
3.608,14055
3.708,14055
3.808,14055
3.908,14055
4.008,14055
4.109,14055
4.209,14055
4.309,14055
4.409,14057
4.509,14062
4.610,14063
4.710,14063
4.810,14063
4.910,14063
5.010,14065
5.111,14065
5.211,14065
5.311,14065
5.411,14065
5.512,14065
5.612,14067
5.712,14070
5.812,14073
5.912,14073
6.013,14073
6.113,14073
6.213,14076
6.313,14076
6.413,14076
6.514,14076
6.614,14078
6.714,14083
6.814,14084
6.914,14084
7.015,14084
7.115,14084
7.215,14084
7.315,14084
7.415,14084
7.516,14085
7.616,14088
7.716,14092
7.816,14092
7.916,14092
8.017,14092
8.117,14092
8.217,14092
8.317,14092
8.417,14092
8.518,14094
8.618,14098
8.718,14100
8.818,14101
8.918,14101
9.019,14101
9.119,14101
9.219,14101
9.319,14101
9.419,14102
9.520,14105
9.620,14107
9.720,14110
9.820,14110
9.920,14110
10.021,14110
10.121,14110
10.221,14110
10.321,14111
10.421,14114
10.522,14117
10.622,14117
10.722,14117
10.822,14117
10.923,14117
11.023,14117
11.123,14117
11.223,14117
11.323,14119
11.424,14125
11.524,14126
11.624,14128
11.724,14128
11.824,14128
11.925,14128
12.025,14128
12.125,14131
12.225,14135
12.325,14137
12.425,14137
12.526,14137
12.626,14137
12.726,14137
12.826,14137
12.926,14137
13.027,14137
13.127,14140
13.227,14140
13.327,14142
13.428,14142
13.528,14143
13.628,14143
13.728,14143
13.828,14143
13.929,14143
14.029,14145
14.129,14149
14.229,14151
14.329,14152
14.430,14153
14.530,14153
14.631,14153
14.730,14153
14.830,14153
14.931,14154
15.031,14157
15.131,14157
15.231,14159
15.331,14159
15.432,14162
15.532,14162
15.632,14162
15.732,14162
15.833,14162
15.933,14162
16.033,14162
16.133,14162
16.233,14162
16.334,14164
16.434,14168
16.534,14170
16.634,14170
16.734,14170
16.834,14170
16.935,14170
17.035,14170
17.135,14170
17.235,14172
17.335,14175
17.436,14178
17.536,14178
17.636,14178
17.736,14178
17.837,14178
17.937,14178
18.037,14178
18.137,14178
18.237,14181
18.337,14184
18.438,14187
18.538,14187
18.638,14187
18.738,14187
18.839,14187
18.939,14187
19.039,14187
19.139,14188
19.239,14191
19.340,14194
19.440,14195
19.540,14199
19.640,14199
19.740,14199
19.841,14203
19.941,14208
20.041,14208
20.141,14208
20.241,14208
20.341,14208
20.442,14208
20.542,14208
20.642,14208
20.742,14210
20.842,14213
20.943,14213
21.043,14215
21.143,14215
21.243,14215
21.343,14215
21.444,14215
21.544,14215
21.644,14215
21.744,14219
21.845,14219
21.945,14219
22.045,14221
22.145,14221
22.245,14221
22.346,14221
22.446,14221
22.546,14221
22.646,14223
22.746,14225
22.847,14226
22.947,14226
23.047,14226
23.147,14226
23.247,14226
23.348,14226
23.448,14226
23.548,14226
23.648,14230
23.748,14233
23.849,14233
23.949,14233
24.049,14234
24.149,14234
24.249,14234
24.350,14235
24.450,14235
24.550,14237
24.650,14241
24.751,14244
24.851,14245
24.951,14245
25.051,14246
25.151,14246
25.252,14246
25.352,14246
25.452,14247
25.552,14248
25.652,14248
25.753,14249
25.853,14249
25.953,14249
26.053,14249
