TO_UIUC
1462154566
time,tx_packets
0.001,58444
0.102,58444
0.201,58444
0.302,58444
0.402,58444
0.503,58444
0.602,58444
0.703,58444
0.803,58444
0.904,58444
1.004,58444
1.104,58444
1.205,58444
1.305,58445
1.405,58445
1.505,58445
1.605,58445
1.706,58445
1.806,58445
1.906,58445
2.007,58445
2.107,58445
2.207,58445
2.307,58445
2.408,58445
2.508,58445
2.608,58450
2.708,58459
2.808,58483
2.909,58510
3.008,58540
3.109,58567
3.209,58590
3.309,58608
3.409,58619
3.510,58628
3.610,58629
3.709,58631
3.810,58643
3.910,58645
4.010,58645
4.111,58656
4.210,58662
4.311,58677
4.411,58688
4.511,58702
4.611,58706
4.712,58719
4.811,58721
4.912,58724
5.012,58730
5.112,58734
5.212,58737
5.312,58744
5.413,58746
5.513,58757
5.613,58775
5.714,58781
5.813,58783
5.914,58790
6.014,58795
6.114,58796
6.215,58800
6.315,58808
6.415,58812
6.515,58827
6.615,58841
6.716,58849
6.816,58853
6.916,58858
7.016,58865
7.117,58867
7.217,58870
7.317,58878
7.419,58888
8.517,58975
8.617,58988
8.717,58992
8.818,58993
8.918,59002
9.018,59008
9.118,59011
9.218,59017
9.319,59030
9.419,59049
9.519,59053
9.619,59068
9.719,59074
9.820,59074
9.920,59082
10.020,59090
10.120,59091
10.220,59098
10.321,59119
10.421,59125
10.521,59128
10.621,59137
10.722,59143
10.822,59143
10.922,59149
11.022,59158
11.122,59159
11.222,59175
11.323,59189
11.423,59197
11.523,59199
11.623,59207
11.724,59215
11.824,59215
11.924,59219
12.024,59238
12.124,59260
12.225,59266
12.325,59273
12.425,59285
12.525,59293
12.626,59293
12.726,59303
12.826,59316
12.927,59329
13.027,59342
13.127,59351
13.227,59356
13.327,59361
13.428,59366
13.528,59372
13.628,59374
13.728,59378
13.828,59385
13.928,59402
14.028,59410
14.128,59420
14.229,59430
14.329,59431
14.429,59436
14.529,59443
14.630,59445
14.730,59448
14.830,59462
14.930,59481
15.031,59487
15.131,59494
15.231,59505
15.332,59522
15.432,59526
15.532,59530
15.633,59542
15.733,59544
15.833,59544
15.932,59554
16.034,59560
16.133,59564
16.233,59582
16.333,59596
16.435,59601
16.535,59603
16.634,59613
16.736,59619
16.836,59619
16.936,59625
17.037,59635
17.138,59645
17.238,59659
17.337,59674
17.438,59680
17.537,59680
17.638,59688
17.738,59697
17.838,59697
17.939,59704
18.039,59715
18.139,59733
18.240,59739
18.340,59754
18.439,59763
18.540,59765
18.640,59771
18.741,59780
18.840,59781
18.941,59783
19.041,59797
19.141,59819
19.241,59822
19.342,59831
19.441,59849
19.542,59858
19.643,59866
19.743,59886
19.843,59899
19.943,59902
20.043,59908
20.144,59918
20.244,59921
20.344,59923
20.444,59929
20.544,59936
20.645,59937
20.745,59941
20.845,59948
20.946,59951
21.046,59952
21.146,59960
21.247,59964
21.347,59966
21.447,59971
21.547,59979
21.647,59980
21.748,59982
21.848,59990
21.947,59993
22.048,59995
22.148,60000
22.248,60007
22.348,60008
22.448,60011
22.549,60023
22.649,60027
22.749,60027
22.849,60034
22.949,60042
23.050,60043
23.150,60046
23.250,60056
23.350,60059
23.450,60060
23.551,60070
23.651,60075
23.751,60075
23.852,60078
23.951,60090
24.052,60093
24.152,60095
24.252,60106
24.352,60111
24.453,60115
24.552,60127
24.653,60138
24.753,60142
24.853,60146
24.954,60156
25.054,60159
25.154,60161
25.254,60171
25.354,60177
25.454,60180
25.554,60185
25.655,60201
25.755,60208
25.855,60211
25.955,60221
26.056,60225
26.156,60227
26.256,60234
26.356,60242
26.456,60242
26.557,60246
26.657,60256
26.757,60259
26.857,60260
26.957,60260
27.058,60261
27.158,60261
27.258,60261
27.358,60261
27.458,60261
27.559,60261
27.659,60261
27.759,60261
27.859,60262
27.959,60262
28.060,60262
28.160,60262
28.260,60262
28.360,60262
28.460,60262
28.561,60262
28.661,60263
28.761,60263
28.861,60263
28.961,60264
29.061,60264
29.162,60264
29.262,60264
29.362,60264
29.463,60264
29.563,60264
29.663,60264
29.763,60264
29.863,60264
29.964,60265
30.064,60265
30.164,60265
30.264,60265
30.364,60265
30.465,60265
30.565,60265
30.665,60265
30.765,60265
30.865,60265
30.965,60265
31.066,60265
31.166,60265
31.266,60265
31.366,60265
31.466,60265
31.567,60266
31.667,60266
31.767,60266
31.867,60266
31.968,60266
32.068,60266
32.168,60268
32.268,60269
32.368,60269
32.468,60269
32.569,60269
32.669,60269
32.769,60269
32.870,60269
32.970,60269
33.070,60270
33.170,60270
33.270,60270
33.371,60271
33.471,60271
33.571,60271
33.672,60271
33.771,60271
33.872,60271
33.972,60271
34.072,60272
34.172,60272
34.273,60272
34.373,60272
34.473,60272
34.573,60272
34.673,60272
34.773,60272
34.874,60272
34.974,60272
35.074,60272
35.174,60272
35.275,60272
35.375,60272
35.475,60272
35.575,60272
35.675,60272
35.775,60272
35.876,60272
35.976,60273
36.076,60273
36.176,60273
36.277,60273
36.377,60276
36.477,60276
36.577,60276
36.677,60276
36.777,60276
36.878,60276
36.978,60276
37.078,60276
37.178,60276
37.278,60276
37.378,60276
37.479,60277
37.579,60277
37.679,60278
37.780,60278
37.880,60278
37.980,60278
38.080,60279
38.180,60279
38.281,60279
38.381,60279
38.481,60279
38.581,60280
38.681,60280
38.781,60280
38.882,60280
38.982,60280
39.082,60280
39.183,60280
39.283,60280
39.383,60280
39.483,60280
39.583,60280
39.684,60280
39.784,60280
39.884,60280
39.984,60280
40.084,60280
40.185,60280
40.285,60280
40.385,60280
40.485,60281
40.585,60281
40.686,60282
40.786,60282
40.886,60282
40.986,60282
41.086,60282
41.187,60282
41.286,60282
41.386,60282
