TO_URJC
1462154566
time,tx_packets
0.001,42444
0.102,42444
0.201,42444
0.302,42445
0.404,42445
0.503,42445
0.603,42445
0.703,42445
0.804,42445
0.904,42445
1.004,42445
1.104,42445
1.204,42445
1.304,42446
1.404,42446
1.505,42446
1.605,42447
1.705,42447
1.806,42447
1.906,42448
2.006,42449
2.106,42449
2.207,42449
2.307,42449
2.407,42449
2.507,42449
2.607,42471
2.708,42495
2.808,42519
2.908,42540
3.008,42565
3.108,42586
3.209,42605
3.309,42618
3.409,42627
3.509,42635
3.609,42640
3.710,42647
3.810,42658
3.910,42663
4.010,42668
4.111,42678
4.210,42686
4.311,42695
4.411,42708
4.512,42719
4.612,42725
4.712,42735
4.812,42740
4.912,42748
5.012,42755
5.112,42761
5.212,42767
5.313,42774
5.413,42779
5.513,42790
5.613,42803
5.713,42809
5.813,42814
5.913,42822
6.014,42828
6.114,42834
6.214,42840
6.314,42848
6.415,42856
6.515,42867
6.614,42883
6.715,42889
6.815,42894
6.915,42901
7.015,42908
7.116,42913
7.216,42918
7.316,42927
7.416,42939
8.517,43030
8.616,43041
8.716,43046
8.817,43051
8.917,43064
9.017,43071
9.117,43076
9.218,43084
9.317,43100
9.418,43110
9.518,43119
9.618,43132
9.718,43138
9.819,43143
9.919,43152
10.019,43160
10.119,43168
10.220,43181
10.319,43199
10.419,43205
10.520,43210
10.620,43221
10.720,43228
10.821,43233
10.920,43241
11.020,43250
11.120,43256
11.221,43269
11.321,43287
11.421,43292
11.521,43297
11.621,43307
11.721,43314
11.822,43319
11.922,43326
12.022,43350
12.122,43369
12.222,43376
12.323,43382
12.423,43393
12.523,43399
12.623,43405
12.723,43415
12.824,43423
12.924,43435
13.024,43445
13.124,43460
13.225,43465
13.325,43471
13.425,43478
13.525,43484
13.625,43489
13.725,43495
13.825,43505
13.926,43514
14.026,43526
14.126,43535
14.226,43541
14.326,43546
14.427,43554
14.527,43561
14.627,43567
14.727,43572
14.829,43585
14.929,43598
15.028,43606
15.129,43617
15.229,43632
15.330,43645
15.429,43650
15.530,43657
15.630,43667
15.730,43672
15.831,43677
15.931,43687
16.031,43694
16.131,43704
16.230,43714
16.332,43730
16.432,43735
16.532,43740
16.633,43750
16.734,43757
16.833,43762
16.934,43770
17.033,43780
17.134,43794
17.234,43804
17.334,43818
17.434,43824
17.534,43829
17.634,43838
17.734,43849
17.834,43854
17.934,43861
18.035,43872
18.135,43886
18.235,43892
18.335,43909
18.435,43918
18.536,43923
18.636,43931
18.736,43940
18.836,43946
18.936,43952
19.037,43967
19.137,43986
19.237,43993
19.337,44006
19.438,44022
19.538,44032
19.638,44042
19.738,44062
19.838,44073
19.939,44080
20.039,44089
20.139,44098
20.239,44104
20.339,44109
20.440,44118
20.540,44125
20.640,44133
20.740,44140
20.840,44148
20.941,44153
21.041,44159
21.141,44168
21.241,44173
21.341,44178
21.442,44185
21.542,44192
21.642,44199
21.742,44204
21.842,44213
21.942,44218
22.042,44223
22.142,44232
22.242,44237
22.342,44243
22.442,44249
22.543,44262
22.643,44268
22.743,44273
22.843,44283
22.944,44290
23.044,44295
23.144,44303
23.244,44314
23.344,44320
23.444,44325
23.545,44336
23.645,44342
23.745,44347
23.845,44354
23.945,44368
24.045,44373
24.145,44381
24.246,44391
24.346,44396
24.446,44408
24.546,44422
24.646,44429
24.746,44434
24.846,44442
24.947,44454
25.047,44459
25.147,44465
25.247,44476
25.347,44482
25.448,44490
25.548,44503
25.648,44512
25.748,44517
25.848,44525
25.948,44537
26.049,44546
26.149,44551
26.249,44561
26.349,44568
26.449,44573
26.550,44579
26.650,44586
26.750,44586
26.850,44587
26.950,44587
27.051,44588
27.151,44588
27.251,44588
27.351,44588
27.451,44588
27.552,44588
27.652,44590
27.752,44591
27.852,44591
27.952,44591
28.053,44591
28.153,44592
28.253,44592
28.353,44592
28.454,44592
28.554,44592
28.654,44593
28.754,44593
28.854,44593
28.955,44594
29.055,44594
29.155,44594
29.255,44594
29.355,44594
29.456,44594
29.556,44594
29.656,44594
29.756,44595
29.857,44595
29.957,44595
30.057,44595
30.157,44595
30.257,44595
30.358,44596
30.458,44596
30.558,44596
30.658,44596
30.758,44596
30.859,44596
30.959,44596
31.059,44596
31.159,44597
31.260,44597
31.360,44597
31.460,44597
31.560,44598
31.660,44598
31.761,44598
31.861,44598
31.961,44598
32.061,44600
32.161,44601
32.262,44602
32.362,44602
32.462,44602
32.563,44602
32.663,44602
32.763,44602
32.863,44602
32.963,44602
33.064,44603
33.164,44603
33.264,44603
33.364,44604
33.465,44604
33.565,44604
33.665,44604
33.766,44604
33.865,44604
33.965,44604
34.066,44604
34.166,44604
34.266,44604
34.366,44604
34.467,44604
34.567,44604
34.667,44604
34.767,44605
34.868,44605
34.968,44605
35.068,44605
35.168,44605
35.268,44605
35.369,44605
35.469,44605
35.569,44605
35.670,44605
35.770,44605
35.870,44605
35.970,44606
36.070,44606
36.171,44607
36.271,44608
36.371,44609
36.471,44609
36.572,44609
36.672,44609
36.772,44609
36.872,44609
36.972,44609
37.073,44609
37.173,44609
37.273,44609
37.373,44609
37.473,44609
37.573,44609
37.674,44610
37.774,44610
37.874,44610
37.974,44610
38.075,44610
38.175,44610
38.275,44610
38.375,44610
38.475,44610
38.576,44610
38.676,44610
38.776,44610
38.876,44610
38.976,44610
39.077,44610
39.177,44610
39.277,44610
39.377,44610
39.477,44610
39.578,44610
39.678,44610
39.778,44610
39.878,44610
39.978,44610
40.079,44610
40.179,44610
40.279,44610
40.379,44610
40.479,44614
40.579,44614
40.680,44614
40.780,44614
40.880,44614
40.980,44614
41.081,44614
41.181,44614
41.281,44614
41.381,44614
41.481,44614
41.582,44614
41.682,44614
41.782,44614
41.882,44615
41.982,44615
42.083,44615
42.183,44615
42.283,44615
42.383,44615
42.483,44615
42.584,44615
42.684,44615
42.784,44615
42.884,44615
42.984,44615
43.085,44615
43.185,44615
43.285,44615
43.385,44615
43.485,44615
43.586,44616
43.686,44616
43.786,44616
43.886,44616
43.987,44616
44.087,44616
44.187,44616
44.287,44616
44.387,44616
44.488,44616
44.588,44616
44.688,44616
44.788,44616
44.888,44616
44.989,44620
45.089,44620
45.189,44620
45.289,44620
45.389,44620
45.490,44620
45.590,44620
45.690,44620
45.790,44620
45.890,44620
45.991,44620
46.091,44621
46.191,44621
46.291,44622
46.391,44622
46.492,44622
46.592,44622
46.692,44622
46.792,44623
46.893,44623
46.993,44623
47.093,44623
47.193,44623
47.293,44623
47.394,44623
47.494,44623
47.594,44623
47.694,44623
47.795,44623
47.895,44625
47.995,44625
48.095,44625
48.195,44625
48.295,44625
48.396,44625
48.496,44625
48.596,44625
48.696,44625
48.796,44625
48.897,44625
48.997,44625
49.097,44628
49.198,44628
49.298,44628
49.398,44628
49.498,44628
49.598,44628
49.699,44628
49.798,44629
49.899,44629
49.999,44629
50.099,44629
50.200,44629
50.299,44630
50.400,44630
50.500,44630
50.600,44630
50.700,44630
50.800,44630
50.901,44630
51.001,44630
51.101,44630
51.201,44630
51.302,44630
51.402,44630
51.502,44630
51.602,44630
51.703,44630
51.803,44630
51.903,44630
52.003,44630
52.103,44630
52.203,44630
52.304,44631
52.409,44631
52.504,44631
52.604,44631
52.704,44631
52.805,44632
52.905,44632
53.005,44632
53.105,44632
53.206,44632
53.306,44633
53.406,44635
53.506,44636
53.606,44636
53.706,44636
53.807,44636
53.908,44637
54.007,44637
54.107,44637
54.207,44637
54.308,44637
54.408,44637
54.508,44637
54.608,44637
54.708,44638
54.808,44639
54.909,44640
55.009,44640
55.109,44640
55.210,44640
55.310,44641
55.410,44641
55.510,44642
55.610,44642
55.710,44642
55.810,44642
55.911,44642
56.011,44642
56.111,44642
56.212,44644
56.312,44644
56.412,44644
56.512,44644
56.612,44644
56.713,44644
56.813,44644
56.913,44644
57.013,44644
57.113,44644
57.214,44644
57.314,44644
57.414,44644
57.514,44644
57.614,44645
57.715,44646
57.815,44647
57.915,44647
58.015,44647
58.116,44647
58.216,44647
58.316,44648
58.417,44648
