TO_CLIENT
1462151118
time,tx_packets
0.001,16
0.101,16
0.201,16
0.301,16
0.401,16
0.501,16
0.602,16
0.702,16
0.802,16
0.902,16
1.002,16
1.103,16
1.203,16
1.303,16
1.403,16
1.503,16
1.604,16
1.704,16
1.804,16
1.904,16
2.004,16
2.105,16
2.205,16
2.305,16
2.405,16
2.505,16
2.606,16
2.706,16
2.806,16
2.906,16
3.006,16
3.107,16
3.207,16
3.307,16
3.407,16
3.507,16
3.608,16
3.708,16
3.808,16
3.908,16
4.008,16
4.109,16
4.209,16
4.309,16
4.409,16
4.509,16
4.610,16
4.710,16
4.810,16
4.910,16
5.010,16
5.111,16
5.211,16
5.311,16
5.411,16
5.511,16
5.611,16
5.712,16
5.812,16
5.912,16
6.012,16
6.112,16
6.213,16
6.313,16
6.413,16
6.513,16
6.614,16
6.714,16
6.814,16
6.914,16
7.014,16
7.114,16
7.215,16
7.315,16
7.415,16
7.515,16
7.615,16
7.716,16
7.816,16
7.916,16
8.016,16
8.116,16
8.217,16
8.317,16
8.417,16
8.517,16
8.617,16
8.718,16
8.818,16
8.918,16
9.018,16
9.118,16
9.219,16
9.319,16
9.419,16
9.519,16
9.619,16
9.720,16
9.820,16
9.920,16
10.020,16
10.120,16
10.221,16
10.321,16
10.421,16
10.521,16
10.622,16
10.722,16
10.822,16
10.922,16
11.022,16
11.123,16
11.223,16
11.323,16
11.423,16
11.524,16
11.624,16
11.724,16
11.824,16
11.924,16
12.025,16
12.125,16
12.225,16
12.325,16
12.425,16
12.526,16
12.626,16
12.726,16
12.826,16
12.926,16
13.027,16
13.127,16
13.227,16
13.327,16
13.428,16
13.528,16
13.628,16
13.728,16
13.828,16
13.929,16
14.029,16
14.129,16
14.229,16
14.329,16
14.430,16
14.530,16
14.630,16
14.730,16
14.830,16
14.931,16
15.031,16
15.131,16
15.231,16
15.332,16
15.432,16
15.532,16
15.632,16
15.732,16
15.833,16
15.933,16
16.033,16
16.133,16
16.233,16
16.334,16
16.434,16
16.534,16
16.634,16
16.734,16
16.835,16
16.935,16
17.035,16
17.135,16
17.235,16
17.336,16
17.436,16
17.536,16
17.636,16
17.736,16
17.837,16
17.937,16
18.037,16
18.137,16
18.238,16
18.338,16
18.438,16
18.538,16
18.638,16
18.739,16
18.839,16
18.939,16
19.039,16
19.140,16
19.240,16
19.340,16
19.440,16
19.540,16
19.641,16
19.741,16
19.841,16
19.941,16
20.041,16
20.142,16
20.242,16
20.342,16
20.442,16
20.542,16
20.643,16
20.743,16
20.843,16
20.943,16
21.044,16
21.144,16
21.244,16
21.344,16
21.444,16
21.545,16
21.645,16
21.747,16
21.845,16
21.946,16
22.046,16
22.146,16
22.246,16
22.346,16
22.447,16
22.547,16
22.647,16
22.748,16
22.848,16
22.948,16
23.048,16
23.148,16
23.248,16
23.349,16
23.449,16
23.549,16
23.649,16
23.750,16
23.850,16
23.950,16
24.050,16
24.150,16
24.251,16
24.351,16
24.451,16
24.551,16
24.651,16
24.751,16
24.851,16
24.951,16
25.052,16
25.152,16
25.252,16
25.352,16
25.452,16
25.552,16
25.652,16
25.752,16
25.852,16
25.953,16
26.053,16
26.153,16
26.253,16
26.353,16
26.454,16
26.554,16
26.654,16
26.754,16
26.854,16
26.954,16
27.055,16
27.155,16
27.255,16
27.355,16
27.456,16
27.556,16
27.655,16
27.756,16
27.856,16
27.956,16
28.056,16
28.157,16
28.257,16
28.357,16
28.457,16
28.557,16
28.658,16
28.758,16
28.858,16
28.959,16
29.058,16
29.159,16
29.259,16
29.359,16
29.459,16
29.560,16
29.659,16
29.760,16
30.859,16
30.960,16
31.060,16
31.160,16
31.260,16
31.361,16
31.461,16
31.561,16
31.661,16
31.762,16
31.862,16
31.962,16
32.062,16
32.162,16
32.262,16
32.363,16
32.463,16
32.563,16
32.663,16
32.764,16
32.864,16
32.964,16
33.064,16
33.164,16
33.265,16
33.365,16
33.465,16
33.565,16
33.665,16
33.766,16
33.866,16
33.966,16
34.066,16
34.167,16
34.267,16
34.367,16
34.467,16
34.568,16
34.668,16
34.768,16
34.868,16
34.968,16
35.069,16
35.169,16
35.269,16
35.369,16
35.470,16
35.570,16
35.670,16
35.770,16
35.870,16
35.971,16
36.071,16
36.171,16
36.271,16
36.371,16
36.472,16
36.572,16
36.672,16
36.772,16
36.872,16
36.973,16
37.073,16
37.173,16
37.273,16
37.374,16
37.474,16
