TO_UA
1462151118
time,tx_packets
0.001,15720
0.101,15721
0.201,15721
0.301,15721
0.401,15721
0.502,15721
0.602,15721
0.702,15721
0.802,15721
0.902,15721
1.003,15721
1.103,15721
1.203,15721
1.303,15721
1.403,15723
1.504,15723
1.604,15723
1.704,15723
1.804,15723
1.904,15723
2.005,15723
2.105,15723
2.205,15723
2.305,15723
2.405,15723
2.506,15723
2.606,15723
2.706,15723
2.806,15724
2.907,15724
3.007,15724
3.107,15724
3.207,15724
3.307,15724
3.407,15724
3.508,15724
3.608,15724
3.708,15724
3.808,15724
3.908,15726
4.009,15726
4.109,15726
4.209,15726
4.309,15726
4.409,15726
4.510,15727
4.610,15727
4.710,15727
4.810,15727
4.911,15727
5.011,15727
5.111,15727
5.211,15727
5.311,15728
5.411,15729
5.512,15729
5.612,15730
5.712,15730
5.812,15730
5.912,15730
6.013,15731
6.113,15731
6.213,15731
6.313,15731
6.413,15731
6.514,15731
6.614,15731
6.714,15731
6.814,15731
6.915,15732
7.015,15732
7.115,15732
7.215,15732
7.315,15732
7.416,15732
7.516,15732
7.616,15732
7.716,15732
7.816,15732
7.916,15732
8.017,15732
8.117,15734
8.217,15734
8.317,15734
8.418,15734
8.518,15734
8.618,15734
8.718,15734
8.818,15735
8.918,15735
9.019,15735
9.119,15735
9.219,15735
9.319,15735
9.419,15735
9.519,15735
9.620,15735
9.720,15738
9.820,15738
9.920,15738
10.020,15738
10.121,15738
10.221,15738
10.321,15739
10.421,15739
10.521,15739
10.622,15739
10.722,15739
10.822,15739
10.922,15739
11.022,15739
11.123,15739
11.223,15739
11.323,15740
11.423,15740
11.523,15740
11.623,15740
11.724,15740
11.824,15740
11.924,15740
12.024,15742
12.124,15742
12.225,15742
12.325,15742
12.425,15742
12.525,15744
12.625,15744
12.726,15744
12.826,15744
12.926,15744
13.026,15744
13.126,15744
13.227,15745
13.327,15745
13.427,15745
13.527,15745
13.627,15745
13.728,15745
13.828,15745
13.928,15745
14.028,15747
14.128,15748
14.228,15748
14.329,15748
14.429,15748
14.529,15748
14.629,15748
14.730,15749
14.830,15749
14.930,15749
15.030,15749
15.130,15749
15.231,15749
15.331,15749
15.431,15749
15.531,15749
15.631,15749
15.731,15750
15.832,15750
15.932,15750
16.032,15750
16.132,15750
16.232,15750
16.333,15750
16.433,15750
16.533,15750
16.633,15752
16.733,15752
16.834,15752
16.934,15752
17.034,15752
17.134,15752
17.234,15752
17.335,15752
17.435,15752
17.535,15752
17.635,15753
17.735,15753
17.836,15753
17.936,15753
18.036,15753
18.136,15753
18.237,15753
18.337,15753
18.437,15753
18.537,15755
18.637,15755
18.738,15755
18.838,15756
18.938,15756
19.038,15756
19.138,15756
19.238,15756
19.339,15756
19.439,15759
19.539,15759
19.639,15759
19.740,15759
19.840,15759
19.940,15759
20.040,15760
20.140,15760
20.240,15760
20.341,15760
20.441,15760
20.541,15760
20.641,15760
20.742,15760
20.842,15760
20.943,15760
21.043,15762
21.143,15762
21.243,15762
21.343,15762
21.444,15762
21.544,15762
21.644,15762
21.745,15762
21.845,15763
21.945,15763
22.045,15763
22.145,15764
22.246,15764
22.346,15766
22.446,15766
22.546,15766
22.647,15766
22.751,15767
22.847,15767
22.947,15767
23.047,15767
23.147,15767
23.248,15767
23.348,15768
23.448,15768
23.548,15768
23.649,15768
23.751,15768
23.849,15768
23.949,15768
24.049,15768
24.149,15768
24.250,15768
24.350,15768
24.450,15769
24.550,15769
24.651,15769
24.751,15769
24.851,15769
24.951,15769
25.051,15769
25.152,15769
25.252,15770
25.352,15771
25.452,15771
25.553,15771
25.652,15771
25.753,15771
25.852,15771
25.953,15773
26.053,15773
26.153,15773
26.254,15773
26.353,15773
26.454,15773
26.554,15773
26.655,15773
26.754,15775
26.855,15775
26.954,15775
27.054,15775
27.155,15775
27.255,15776
27.355,15776
27.455,15776
27.556,15776
27.657,15777
27.756,15777
27.856,15777
27.956,15777
28.057,15777
28.158,15777
28.257,15777
28.358,15777
28.458,15777
28.559,15777
28.658,15778
28.758,15778
28.858,15778
28.958,15778
29.058,15778
29.159,15778
29.259,15778
29.359,15778
29.459,15778
29.560,15780
29.661,15780
29.761,15780
30.860,15781
30.960,15782
31.061,15782
31.161,15782
31.261,15783
31.361,15783
31.462,15783
31.562,15783
31.662,15783
31.762,15784
31.862,15785
31.962,15785
32.063,15785
32.163,15785
32.263,15785
32.363,15785
32.463,15785
32.564,15785
32.664,15785
32.764,15785
32.864,15785
32.965,15786
33.065,15786
33.165,15786
33.265,15786
33.365,15786
33.465,15786
33.566,15786
33.666,15786
33.767,15786
33.867,15786
33.967,15786
34.067,15786
34.168,15786
34.268,15786
34.368,15786
34.468,15786
34.569,15786
34.669,15786
34.769,15786
34.869,15787
34.970,15787
35.070,15787
35.170,15787
35.270,15787
35.370,15787
35.471,15787
35.571,15787
35.671,15787
35.771,15787
35.871,15788
35.972,15788
36.072,15788
36.172,15789
36.272,15789
36.372,15789
36.473,15789
36.573,15789
36.673,15789
36.773,15789
36.873,15789
36.974,15789
37.074,15789
37.174,15790
37.274,15790
37.375,15790
37.475,15790
