TO_UIUC
1462151118
time,tx_packets
0.001,15263
0.101,15266
0.201,15266
0.301,15266
0.401,15266
0.502,15266
0.602,15266
0.702,15266
0.802,15266
0.902,15266
1.003,15266
1.103,15266
1.203,15266
1.303,15266
1.403,15267
1.504,15267
1.604,15267
1.704,15267
1.804,15267
1.905,15267
2.005,15267
2.105,15267
2.205,15267
2.305,15267
2.406,15267
2.506,15267
2.606,15267
2.706,15267
2.807,15268
2.907,15268
3.007,15268
3.107,15268
3.207,15268
3.308,15269
3.408,15269
3.508,15269
3.608,15269
3.708,15269
3.809,15269
3.909,15270
4.009,15270
4.109,15270
4.209,15270
4.310,15270
4.410,15270
4.510,15273
4.610,15274
4.710,15274
4.811,15274
4.911,15274
5.011,15274
5.111,15274
5.212,15274
5.312,15274
5.412,15274
5.512,15274
5.612,15275
5.713,15275
5.813,15275
5.913,15275
6.013,15275
6.113,15275
6.214,15275
6.314,15275
6.414,15275
6.514,15275
6.614,15275
6.715,15275
6.815,15275
6.915,15275
7.015,15276
7.115,15276
7.216,15276
7.316,15276
7.416,15276
7.516,15276
7.616,15277
7.717,15277
7.817,15277
7.917,15277
8.017,15277
8.117,15278
8.218,15278
8.318,15278
8.418,15278
8.518,15278
8.618,15278
8.719,15278
8.819,15280
8.919,15281
9.019,15281
9.119,15281
9.219,15281
9.320,15281
9.420,15281
9.520,15281
9.620,15281
9.721,15282
9.821,15282
9.921,15282
10.021,15282
10.121,15282
10.222,15282
10.322,15282
10.422,15282
10.522,15282
10.622,15282
10.723,15282
10.823,15282
10.923,15282
11.023,15282
11.123,15282
11.224,15282
11.324,15283
11.424,15283
11.524,15283
11.624,15283
11.725,15283
11.825,15283
11.925,15284
12.025,15285
12.125,15285
12.226,15285
12.326,15285
12.426,15285
12.526,15286
12.626,15286
12.727,15286
12.827,15286
12.927,15286
13.027,15286
13.127,15286
13.228,15287
13.328,15289
13.428,15290
13.528,15290
13.628,15290
13.728,15290
13.829,15290
13.929,15290
14.029,15291
14.129,15291
14.230,15291
14.330,15291
14.430,15291
14.530,15291
14.630,15291
14.731,15291
14.831,15291
14.931,15291
15.031,15291
15.131,15291
15.232,15291
15.332,15291
15.432,15291
15.532,15291
15.633,15291
15.733,15292
15.833,15292
15.933,15292
16.033,15292
16.134,15292
16.234,15292
16.334,15293
16.434,15293
16.534,15293
16.635,15294
16.735,15294
16.835,15294
16.935,15294
17.035,15294
17.136,15294
17.236,15294
17.336,15294
17.436,15294
17.536,15294
17.637,15297
17.737,15298
17.837,15298
17.937,15298
18.037,15298
18.138,15298
18.238,15298
18.338,15298
18.438,15298
18.539,15300
18.639,15300
18.739,15300
18.839,15300
18.939,15300
19.040,15300
19.140,15300
19.240,15300
19.340,15300
19.441,15303
19.541,15303
19.641,15304
19.741,15304
19.841,15304
19.942,15304
20.042,15305
20.142,15305
20.242,15305
20.342,15305
20.443,15305
20.543,15306
20.643,15306
20.746,15306
20.844,15306
20.944,15306
21.044,15307
21.144,15307
21.244,15307
21.345,15307
21.445,15307
21.545,15307
21.645,15307
21.746,15307
21.846,15310
21.946,15310
22.046,15311
22.146,15312
22.246,15312
22.347,15312
22.447,15312
22.547,15312
22.647,15313
22.748,15313
22.848,15314
22.948,15314
23.048,15314
23.148,15314
23.249,15314
23.349,15314
23.449,15314
23.549,15314
23.649,15314
23.750,15314
23.850,15314
23.950,15314
24.050,15314
24.150,15314
24.251,15314
24.351,15314
24.451,15315
24.552,15315
24.652,15315
24.752,15315
24.852,15316
24.952,15316
25.053,15316
25.153,15316
25.253,15317
25.353,15317
25.454,15317
25.554,15317
25.654,15317
25.754,15317
25.854,15317
25.955,15319
26.055,15319
26.155,15319
26.255,15319
26.356,15319
26.456,15319
26.556,15319
26.656,15319
26.756,15319
27.857,15321
27.957,15321
28.057,15321
28.157,15321
28.257,15321
28.358,15321
28.458,15321
28.558,15321
28.658,15322
28.759,15322
28.859,15322
28.959,15322
29.059,15322
29.159,15323
29.260,15323
29.360,15323
29.460,15323
29.560,15324
29.661,15324
29.761,15325
29.861,15325
29.961,15325
30.061,15325
30.162,15325
30.262,15325
30.362,15325
30.462,15325
30.562,15325
30.663,15325
30.763,15325
30.863,15325
30.964,15325
31.064,15325
31.164,15325
31.264,15326
31.364,15326
31.465,15326
31.565,15326
31.665,15326
31.765,15326
31.866,15326
31.966,15326
32.066,15326
32.166,15326
32.266,15326
32.367,15326
32.467,15326
32.567,15326
32.667,15326
32.767,15326
32.868,15326
32.968,15327
33.068,15327
33.168,15327
33.268,15327
33.369,15328
33.469,15328
33.569,15328
33.669,15328
33.769,15328
33.870,15328
33.970,15329
34.070,15329
34.170,15329
34.270,15329
34.371,15329
34.471,15329
34.571,15329
34.671,15329
34.771,15329
34.872,15332
34.972,15332
35.072,15332
35.172,15332
35.273,15332
35.373,15332
35.473,15332
35.573,15332
35.673,15332
35.774,15332
35.874,15333
35.974,15333
36.074,15333
36.174,15333
36.275,15333
36.375,15333
36.475,15333
36.575,15333
36.676,15333
36.776,15333
36.876,15333
36.976,15333
37.076,15333
37.177,15334
37.277,15334
37.377,15334
37.477,15334
