TO_UM
1462151118
time,tx_packets
0.001,23048
0.101,23048
0.201,23048
0.301,23049
0.401,23049
0.502,23049
0.602,23049
0.702,23049
0.802,23049
0.902,23049
1.003,23050
1.103,23051
1.203,23051
1.303,23051
1.404,23053
1.504,23053
1.604,23053
1.704,23053
1.804,23053
1.905,23053
2.005,23053
2.105,23053
2.205,23053
2.305,23053
2.406,23054
2.506,23054
2.606,23054
2.706,23054
2.807,23056
2.907,23056
3.007,23056
3.107,23056
3.207,23056
3.308,23056
3.408,23056
3.508,23056
3.608,23056
3.709,23056
3.809,23056
3.909,23056
4.009,23056
4.109,23056
4.210,23056
4.310,23056
4.410,23057
4.510,23057
4.610,23057
4.711,23057
4.811,23057
4.911,23057
5.011,23057
5.112,23057
5.212,23057
5.312,23058
5.412,23058
5.512,23058
5.613,23059
5.713,23059
5.813,23059
5.913,23059
6.013,23060
6.114,23060
6.214,23060
6.314,23060
6.414,23060
6.514,23060
6.615,23060
6.715,23061
6.815,23061
6.915,23061
7.015,23063
7.116,23063
7.216,23063
7.316,23063
7.416,23063
7.517,23063
7.617,23063
7.717,23063
7.817,23063
7.917,23063
8.018,23063
8.118,23063
8.218,23063
8.318,23063
8.418,23063
8.519,23064
8.619,23064
8.719,23064
8.819,23064
8.919,23064
9.020,23064
9.120,23064
9.220,23064
9.320,23064
9.421,23064
9.521,23064
9.621,23064
9.721,23066
9.821,23066
9.922,23066
10.022,23066
10.122,23066
10.222,23066
10.322,23066
10.423,23071
10.523,23071
10.623,23071
10.723,23071
10.824,23071
10.924,23071
11.024,23072
11.124,23072
11.225,23072
11.325,23074
11.425,23074
11.525,23074
11.625,23074
11.726,23074
11.826,23074
11.926,23074
12.026,23074
12.126,23074
12.227,23074
12.327,23074
12.427,23074
12.527,23074
12.628,23074
12.728,23074
12.828,23074
12.928,23075
13.029,23075
13.129,23075
13.229,23075
13.329,23075
13.429,23075
13.530,23075
13.630,23075
13.730,23075
13.830,23075
13.931,23075
14.031,23077
14.131,23077
14.231,23077
14.331,23077
14.432,23077
14.532,23077
14.632,23077
14.732,23080
14.832,23082
14.933,23082
15.033,23082
15.133,23082
15.233,23083
15.334,23083
15.434,23083
15.534,23083
15.634,23084
15.734,23084
15.835,23085
15.935,23085
16.035,23085
16.135,23085
16.235,23085
16.336,23085
16.436,23085
16.536,23085
16.636,23085
16.736,23085
16.837,23085
16.937,23085
17.037,23085
17.137,23085
17.237,23085
17.338,23085
17.438,23086
17.538,23086
17.638,23086
17.738,23086
17.839,23086
17.939,23086
18.039,23086
18.139,23087
18.240,23087
18.340,23087
18.440,23087
18.540,23089
18.640,23089
18.741,23089
18.841,23089
18.941,23094
19.041,23094
19.142,23094
19.242,23094
19.342,23094
19.442,23095
19.542,23095
19.643,23096
19.743,23096
19.843,23096
19.943,23096
20.043,23098
20.144,23098
20.244,23098
20.344,23098
20.444,23098
20.545,23098
20.645,23098
20.746,23098
20.845,23098
20.945,23098
21.046,23098
21.146,23098
21.246,23098
21.346,23098
21.446,23099
21.547,23101
21.647,23101
21.749,23101
21.847,23101
21.948,23101
22.048,23101
22.148,23102
22.248,23102
22.348,23103
22.449,23103
22.549,23103
22.649,23103
22.750,23103
22.849,23104
22.950,23104
23.050,23104
23.150,23104
23.250,23104
23.350,23104
23.451,23108
23.551,23108
23.651,23108
23.751,23108
23.851,23109
23.952,23109
24.052,23109
24.152,23109
24.253,23109
24.353,23109
24.453,23111
24.553,23112
24.653,23112
24.754,23112
24.854,23112
24.954,23112
25.054,23112
25.155,23112
25.255,23112
25.355,23117
25.455,23118
25.555,23118
25.656,23118
25.756,23119
25.856,23119
25.956,23119
26.056,23119
26.157,23119
26.257,23119
26.357,23119
26.457,23119
26.558,23119
26.658,23119
26.758,23120
27.858,23125
27.958,23125
28.059,23126
28.159,23126
28.259,23126
28.359,23126
28.460,23126
28.560,23126
28.660,23128
28.760,23128
28.860,23128
28.961,23128
29.061,23128
29.161,23128
29.261,23128
29.361,23128
29.462,23128
29.562,23128
29.662,23128
29.762,23128
29.862,23128
29.963,23129
30.063,23129
30.163,23129
30.263,23129
30.364,23130
30.464,23130
30.564,23130
30.664,23130
30.765,23130
30.865,23131
30.965,23131
31.065,23131
31.166,23131
31.266,23132
31.366,23132
31.466,23132
31.566,23132
31.667,23132
31.767,23132
31.867,23132
31.967,23132
32.067,23132
32.168,23132
32.268,23132
32.368,23132
32.468,23133
32.569,23133
32.669,23133
32.769,23133
32.869,23133
32.969,23135
33.070,23135
33.170,23135
33.270,23135
33.370,23135
33.470,23135
33.571,23135
33.671,23135
33.771,23135
33.871,23135
33.971,23135
34.072,23136
34.172,23136
34.272,23136
34.372,23136
34.472,23136
34.573,23136
34.673,23136
34.773,23136
34.873,23136
34.974,23136
35.074,23136
35.174,23136
35.274,23136
35.374,23137
35.475,23137
35.575,23137
35.675,23137
35.775,23137
35.876,23138
35.976,23138
36.076,23138
36.176,23143
36.276,23144
36.377,23144
36.477,23144
36.577,23145
36.677,23145
36.778,23145
36.878,23145
36.978,23145
37.078,23145
37.178,23146
37.278,23146
37.379,23146
37.479,23146
