TO_URJC
1462151118
time,tx_packets
0.004,20335
0.101,20336
0.201,20336
0.301,20337
0.401,20337
0.502,20337
0.602,20337
0.702,20337
0.802,20337
0.903,20337
1.003,20337
1.103,20337
1.203,20337
1.303,20337
1.403,20339
1.503,20339
1.604,20339
1.704,20340
1.804,20340
1.904,20340
2.004,20340
2.105,20340
2.205,20340
2.305,20340
2.405,20341
2.506,20342
2.606,20342
2.706,20342
2.806,20343
2.907,20343
3.007,20343
3.107,20343
3.207,20343
3.307,20344
3.407,20344
3.507,20344
3.608,20344
3.708,20344
3.808,20344
3.908,20344
4.008,20344
4.109,20344
4.209,20344
4.309,20344
4.409,20345
4.509,20346
4.610,20346
4.710,20346
4.810,20346
4.910,20346
5.010,20346
5.111,20346
5.211,20346
5.311,20347
5.411,20347
5.511,20347
5.612,20348
5.712,20348
5.812,20348
5.912,20348
6.012,20349
6.113,20349
6.213,20349
6.313,20349
6.413,20349
6.513,20349
6.614,20349
6.714,20350
6.814,20350
6.914,20351
7.014,20351
7.114,20351
7.215,20351
7.315,20351
7.415,20351
7.515,20351
7.615,20351
7.716,20351
7.816,20351
7.916,20351
8.016,20351
8.116,20351
8.217,20351
8.317,20351
8.417,20351
8.517,20351
8.617,20351
8.718,20351
8.818,20352
8.918,20352
9.018,20352
9.118,20352
9.219,20352
9.319,20352
9.419,20352
9.519,20352
9.619,20352
9.719,20354
9.820,20354
9.920,20354
10.020,20354
10.120,20354
10.220,20354
10.321,20356
10.421,20356
10.521,20356
10.621,20356
10.722,20356
10.822,20356
10.922,20356
11.022,20357
11.122,20357
11.223,20357
11.323,20358
11.423,20358
11.523,20358
11.623,20358
11.724,20358
11.824,20358
11.924,20358
12.024,20358
12.124,20358
12.225,20358
12.325,20358
12.425,20358
12.525,20358
12.625,20358
12.726,20358
12.826,20358
12.926,20359
13.026,20359
13.127,20359
13.227,20360
13.327,20360
13.427,20360
13.527,20360
13.627,20360
13.728,20360
13.828,20360
13.928,20361
14.028,20362
14.128,20362
14.229,20362
14.329,20362
14.429,20362
14.529,20362
14.629,20362
14.730,20363
14.830,20363
14.930,20363
15.030,20363
15.130,20363
15.231,20364
15.331,20364
15.431,20364
15.531,20364
15.631,20364
15.732,20365
15.832,20365
15.932,20365
16.032,20365
16.132,20365
16.233,20365
16.333,20365
16.433,20365
16.533,20365
16.633,20365
16.734,20365
16.834,20365
16.934,20365
17.034,20365
17.134,20365
17.234,20365
17.335,20365
17.435,20365
17.535,20365
17.635,20366
17.736,20366
17.836,20366
17.936,20366
18.036,20366
18.137,20366
18.237,20366
18.337,20366
18.437,20367
18.537,20369
18.638,20369
18.738,20369
18.838,20370
18.938,20370
19.038,20370
19.139,20370
19.239,20370
19.339,20370
19.439,20371
19.540,20371
19.640,20373
19.740,20373
19.840,20373
19.941,20373
20.041,20374
20.141,20374
20.242,20374
20.342,20374
20.442,20374
20.542,20374
20.643,20374
20.743,20374
20.843,20374
20.943,20374
21.044,20374
21.144,20374
21.244,20374
21.345,20374
21.445,20375
21.545,20375
21.645,20375
21.746,20375
21.846,20376
21.946,20376
22.046,20376
22.147,20377
22.247,20377
22.347,20377
22.447,20377
22.548,20377
22.648,20378
22.753,20378
22.848,20378
22.948,20379
23.049,20379
23.149,20380
23.249,20380
23.349,20381
23.449,20381
23.550,20381
23.650,20381
23.750,20381
23.850,20382
23.950,20383
24.050,20383
24.151,20383
24.251,20383
24.351,20383
24.451,20384
24.552,20384
24.652,20384
24.752,20384
24.852,20384
24.952,20384
25.052,20384
25.153,20384
25.253,20384
25.353,20385
25.453,20385
25.553,20386
25.653,20386
25.754,20387
25.854,20387
25.954,20388
26.055,20388
26.154,20388
26.255,20388
26.355,20388
26.455,20388
26.555,20389
26.655,20389
26.756,20389
26.856,20389
26.956,20389
27.056,20390
27.157,20390
27.257,20391
27.357,20391
27.457,20391
27.557,20391
27.657,20392
27.758,20393
27.858,20393
27.958,20393
28.058,20395
28.158,20395
28.259,20395
28.359,20395
28.459,20395
28.559,20395
28.660,20396
28.760,20396
28.860,20396
28.960,20396
29.060,20396
29.160,20397
29.261,20397
29.361,20397
29.461,20397
29.561,20397
29.661,20397
29.761,20398
29.861,20398
29.962,20399
30.062,20399
30.162,20399
30.262,20399
30.363,20400
30.463,20401
30.563,20401
30.663,20401
30.764,20401
30.864,20401
30.964,20401
31.064,20401
31.164,20401
31.265,20402
31.365,20403
31.465,20403
31.565,20403
31.666,20403
31.766,20403
31.866,20404
31.966,20404
32.066,20404
32.167,20404
32.267,20404
32.367,20405
32.467,20406
32.567,20406
32.668,20406
32.768,20406
32.868,20406
32.968,20407
33.068,20407
33.169,20407
33.269,20407
33.369,20407
33.469,20407
33.570,20407
33.670,20407
33.770,20407
33.870,20407
33.970,20407
34.071,20408
34.171,20408
34.271,20408
34.371,20408
34.471,20408
34.572,20408
34.672,20408
34.772,20408
34.872,20409
34.973,20409
35.073,20409
35.173,20409
35.273,20409
35.373,20409
35.474,20409
35.574,20409
35.674,20410
35.774,20410
35.874,20411
35.975,20411
36.075,20411
36.175,20413
36.275,20413
36.375,20413
36.476,20413
36.576,20414
36.676,20414
36.776,20414
36.876,20414
36.977,20414
37.077,20414
37.177,20415
37.277,20415
37.377,20415
37.477,20415
