time,tx_packets
0.001,12183
0.101,12183
0.201,12183
0.301,12183
0.402,12183
0.502,12183
0.602,12183
0.702,12183
0.802,12183
0.902,12183
1.003,12183
1.103,12183
1.203,12183
1.303,12183
1.403,12185
1.504,12185
1.604,12185
1.704,12185
1.804,12185
1.904,12185
2.005,12185
2.105,12185
2.205,12185
2.305,12185
2.405,12185
2.506,12185
2.606,12185
2.706,12185
2.806,12187
2.907,12187
3.007,12187
3.107,12187
3.207,12187
3.307,12187
3.407,12187
3.508,12187
3.608,12187
3.708,12187
3.808,12187
3.908,12187
4.009,12187
4.109,12187
4.209,12187
4.309,12187
4.409,12187
4.510,12187
4.610,12187
4.710,12187
4.810,12187
4.910,12187
5.011,12187
5.111,12187
5.211,12187
5.311,12187
5.411,12187
5.512,12187
5.612,12188
5.712,12188
5.812,12188
5.912,12188
6.013,12189
6.113,12189
6.213,12189
6.313,12189
6.413,12189
6.514,12189
6.614,12189
6.714,12189
6.814,12189
6.914,12189
7.015,12192
7.115,12192
7.215,12192
7.315,12192
7.415,12192
7.515,12192
7.616,12192
7.716,12192
7.816,12192
7.916,12192
8.016,12192
8.117,12192
8.217,12192
8.317,12192
8.417,12192
8.517,12192
8.618,12192
8.718,12192
8.818,12192
8.918,12192
9.018,12192
9.119,12192
9.219,12192
9.319,12192
9.419,12192
9.519,12192
9.620,12192
9.720,12193
9.820,12193
9.920,12193
10.020,12193
10.121,12193
10.221,12193
10.321,12193
10.421,12194
10.521,12194
10.622,12194
10.722,12194
10.822,12194
10.922,12194
11.022,12194
11.123,12194
11.223,12194
11.323,12195
11.423,12195
11.523,12195
11.624,12195
11.724,12195
11.824,12195
11.924,12195
12.024,12195
12.125,12195
12.225,12195
12.325,12195
12.425,12195
12.525,12195
12.626,12195
12.726,12195
12.826,12195
12.926,12195
13.026,12195
13.127,12195
13.227,12195
13.327,12195
13.427,12195
13.527,12195
13.627,12195
13.728,12195
13.828,12195
13.928,12195
14.028,12196
14.129,12196
14.229,12196
14.329,12196
14.429,12196
14.529,12196
14.630,12196
14.730,12198
14.830,12198
14.930,12198
15.030,12198
15.131,12198
15.231,12198
15.331,12198
15.431,12198
15.531,12198
15.632,12201
15.732,12201
15.832,12202
15.932,12202
16.032,12202
16.133,12202
16.233,12202
16.333,12202
16.433,12202
16.533,12202
16.634,12202
16.734,12202
16.834,12202
16.934,12202
17.034,12202
17.134,12202
17.235,12202
17.335,12202
17.435,12202
17.535,12202
17.635,12202
17.736,12202
17.836,12202
17.936,12202
18.036,12202
18.136,12202
18.237,12202
18.337,12202
18.437,12202
18.537,12204
18.638,12204
18.738,12204
18.838,12204
18.938,12205
19.038,12205
19.138,12205
19.239,12205
19.339,12205
19.439,12205
19.539,12205
19.639,12205
19.740,12205
19.840,12205
19.940,12205
20.040,12208
20.141,12208
20.241,12208
20.341,12208
20.441,12208
20.542,12208
20.642,12208
20.742,12208
20.843,12208
20.943,12208
21.043,12208
21.143,12208
21.244,12208
21.344,12208
21.444,12208
21.544,12211
21.644,12211
21.745,12211
21.845,12211
21.945,12211
22.046,12211
22.146,12212
22.246,12212
22.347,12212
22.447,12212
22.547,12212
22.647,12212
22.748,12212
22.847,12213
22.948,12213
23.048,12213
23.148,12213
23.248,12213
23.348,12214
23.449,12214
23.549,12214
23.649,12214
23.752,12214
23.849,12214
23.950,12214
24.050,12214
24.150,12214
24.250,12214
24.350,12214
24.450,12214
24.551,12216
24.651,12216
24.751,12216
24.851,12216
24.951,12216
25.052,12216
25.152,12216
25.252,12216
25.352,12217
25.453,12217
25.553,12217
25.653,12217
25.753,12217
25.853,12217
25.953,12217
26.053,12217
26.154,12217
26.254,12217
26.354,12217
26.455,12217
26.555,12218
26.655,12218
26.756,12218
26.856,12218
26.956,12218
27.056,12218
27.156,12218
27.256,12219
27.357,12219
27.456,12219
27.557,12219
27.657,12220
27.757,12220
27.858,12220
27.958,12220
28.058,12220
28.158,12220
28.258,12220
28.359,12220
28.459,12220
28.559,12220
28.659,12221
28.760,12221
28.860,12221
28.960,12221
29.060,12221
29.160,12221
29.260,12221
29.360,12221
29.461,12221
29.561,12221
29.661,12221
29.761,12221
29.861,12221
29.961,12221
30.061,12221
30.162,12221
30.262,12221
30.362,12221
30.462,12221
30.563,12221
30.663,12221
30.763,12221
30.863,12221
30.964,12221
31.064,12221
31.164,12221
31.264,12222
31.364,12222
31.465,12222
31.565,12222
31.665,12222
31.765,12222
31.866,12223
31.966,12223
32.066,12223
32.166,12223
32.266,12223
32.367,12223
32.467,12223
32.567,12223
32.667,12223
32.767,12223
32.868,12223
32.968,12225
33.068,12225
33.168,12225
33.268,12225
33.369,12225
33.469,12225
33.569,12225
33.669,12225
33.770,12225
33.870,12225
33.970,12225
34.070,12225
34.170,12225
34.271,12225
34.371,12225
34.471,12225
34.571,12225
34.671,12225
34.772,12225
34.872,12225
34.972,12225
35.072,12225
35.173,12225
35.273,12225
35.373,12225
35.473,12225
35.573,12225
35.674,12225
35.774,12225
35.874,12226
35.974,12226
36.074,12226
36.175,12227
36.275,12227
36.375,12227
36.475,12227
36.575,12227
36.675,12227
36.776,12227
36.876,12227
36.976,12227
37.076,12227
37.176,12227
37.277,12228
37.377,12228
37.477,12228
