TO_CLIENT
1462151489
time,tx_packets
0.001,16
0.101,16
0.201,16
0.301,16
0.401,16
0.502,16
0.602,16
0.702,16
0.802,16
0.903,16
1.003,16
1.103,16
1.203,16
1.303,16
1.404,16
1.504,16
1.604,16
1.704,16
1.804,16
1.905,16
2.005,16
2.105,16
2.205,16
2.305,16
2.406,16
2.506,16
2.606,16
2.706,16
2.806,16
2.907,16
3.007,16
3.107,16
3.207,16
3.307,16
3.408,16
3.508,16
3.608,16
3.708,16
3.808,16
3.909,16
4.009,16
4.109,16
4.209,16
4.309,16
4.410,16
4.510,16
4.610,16
4.710,16
4.810,16
4.910,16
5.011,16
5.111,16
5.211,16
5.312,16
5.411,16
5.512,16
5.612,16
5.712,16
5.812,16
5.913,16
6.013,16
6.113,16
6.213,16
6.313,16
6.413,16
6.514,16
6.614,16
6.714,16
6.816,16
6.914,16
7.015,16
7.115,16
7.216,16
7.317,16
7.416,16
7.518,16
7.617,16
7.717,16
7.817,16
7.918,16
8.018,16
8.119,16
8.219,16
8.319,16
8.420,16
8.520,16
8.619,16
8.720,16
8.820,16
8.919,16
9.020,16
9.120,16
9.220,16
9.320,16
9.420,16
9.521,16
9.621,16
9.721,16
9.823,16
9.922,16
10.022,16
10.123,16
10.223,16
10.323,16
10.423,16
10.523,16
10.625,16
10.724,16
10.825,16
10.925,16
11.025,16
11.127,16
11.226,16
11.327,16
11.427,16
11.527,16
11.627,16
11.727,16
11.829,16
11.928,16
12.030,16
12.128,16
12.229,16
12.330,16
12.430,16
12.532,16
12.631,16
12.732,16
12.831,16
12.932,16
13.032,16
13.133,16
13.234,16
13.333,16
13.434,16
13.536,16
13.634,16
13.735,16
13.835,16
13.936,16
14.036,16
14.136,16
14.236,16
14.337,16
14.437,16
14.537,16
14.638,16
14.738,16
14.838,16
14.939,16
15.038,16
15.139,16
15.239,16
15.339,16
15.439,16
15.540,16
15.640,16
15.740,16
15.841,16
15.941,16
16.041,16
16.141,16
16.242,16
16.342,16
16.442,16
16.542,16
16.643,16
16.743,16
16.843,16
16.943,16
17.044,16
17.144,16
17.244,16
17.345,16
17.445,16
17.545,16
17.646,16
17.746,16
17.846,16
17.946,16
18.047,16
18.147,16
18.247,16
18.348,16
18.448,16
18.548,16
18.648,16
18.749,16
18.849,16
18.949,16
19.050,16
19.150,16
19.250,16
19.350,16
19.451,16
19.551,16
19.652,16
19.752,16
19.852,16
19.952,16
20.052,16
20.153,16
20.253,16
20.353,16
20.454,16
20.554,16
20.654,16
20.755,16
20.855,16
20.955,16
21.055,16
21.155,16
21.256,16
21.356,16
21.456,16
21.556,16
21.657,16
21.757,16
21.857,16
21.958,16
22.058,16
22.158,16
22.258,16
22.359,16
22.459,16
22.559,16
22.659,16
22.760,16
22.860,16
22.960,16
23.061,16
23.161,16
23.261,16
23.361,16
23.462,16
23.562,16
23.662,16
23.763,16
23.863,16
23.963,16
24.063,16
24.163,16
24.264,16
24.364,16
24.464,16
24.565,16
24.665,16
24.765,16
24.865,16
24.966,16
25.066,16
25.166,16
25.266,16
25.367,16
25.467,16
25.567,16
25.667,16
25.768,16
25.868,16
25.968,16
26.068,16
26.169,16
26.269,16
26.369,16
26.470,16
26.570,16
26.670,16
26.770,16
26.871,16
26.971,16
27.071,16
27.172,16
27.272,16
27.372,16
27.472,16
27.573,16
27.673,16
27.773,16
27.873,16
27.974,16
28.074,16
28.174,16
28.275,16
28.375,16
28.475,16
28.575,16
28.675,16
28.776,16
28.876,16
28.976,16
29.076,16
29.177,16
29.277,16
29.377,16
29.478,16
29.578,16
29.678,16
29.778,16
29.879,16
29.979,16
30.079,16
30.180,16
30.280,16
30.380,16
30.480,16
30.581,16
30.681,16
30.781,16
30.881,16
30.982,16
31.082,16
31.182,16
31.284,16
31.383,16
31.483,16
31.583,16
31.683,16
31.784,16
31.884,16
31.984,16
32.084,16
32.184,16
32.284,16
32.385,16
32.485,16
32.585,16
32.685,16
32.785,16
32.886,16
32.986,16
33.086,16
33.187,16
33.287,16
33.387,16
33.487,16
33.588,16
33.688,16
33.788,16
33.889,16
33.989,16
34.089,16
34.189,16
34.290,16
34.390,16
34.490,16
34.591,16
34.691,16
34.791,16
34.891,16
34.992,16
35.092,16
35.192,16
35.292,16
35.393,16
35.493,16
35.593,16
35.693,16
35.794,16
35.894,16
35.994,16
36.094,16
36.195,16
36.295,16
36.395,16
36.495,16
36.596,16
36.696,16
36.796,16
36.896,16
