TO_UA
1462151489
time,tx_packets
0.001,16345
0.101,16346
0.201,16347
0.301,16347
0.402,16347
0.502,16347
0.602,16347
0.702,16347
0.803,16349
0.903,16351
1.003,16351
1.103,16351
1.203,16351
1.304,16351
1.404,16352
1.504,16352
1.604,16352
1.704,16352
1.805,16352
1.905,16352
2.005,16352
2.106,16352
2.205,16352
2.307,16352
2.406,16352
2.506,16352
2.606,16352
2.706,16352
2.807,16352
2.907,16352
3.007,16352
3.107,16352
3.207,16353
3.308,16355
3.408,16355
3.508,16355
3.608,16355
3.709,16355
3.809,16355
3.910,16355
4.010,16355
4.110,16355
4.211,16355
4.311,16355
4.411,16357
4.512,16357
4.611,16357
4.712,16357
4.813,16357
4.913,16358
5.013,16358
5.115,16358
5.213,16358
5.314,16358
5.415,16358
5.514,16358
5.615,16358
5.716,16359
5.817,16359
5.916,16359
6.017,16359
6.118,16359
6.217,16359
6.319,16359
6.418,16359
6.518,16359
6.619,16359
6.719,16359
6.819,16359
6.918,16359
7.020,16359
7.120,16359
7.219,16359
7.319,16361
7.421,16361
7.520,16361
7.621,16361
7.721,16361
7.822,16362
7.921,16363
8.022,16363
8.122,16363
8.222,16366
8.322,16366
8.422,16366
8.523,16366
8.623,16367
8.722,16367
8.823,16368
8.924,16370
9.023,16370
9.124,16370
9.224,16370
9.325,16370
9.425,16370
9.525,16370
9.625,16370
9.726,16370
9.826,16370
9.927,16371
10.027,16371
10.126,16371
10.227,16371
10.327,16371
10.428,16371
10.528,16371
10.627,16371
10.729,16371
10.830,16371
10.929,16372
11.030,16372
11.130,16372
11.231,16372
11.330,16372
11.431,16372
11.532,16373
11.632,16373
11.731,16373
11.832,16373
11.933,16373
12.032,16374
12.132,16374
12.233,16374
12.333,16374
12.434,16374
12.533,16374
12.634,16374
12.735,16374
12.836,16375
12.936,16376
13.036,16376
13.136,16377
13.237,16377
13.338,16377
13.437,16377
13.537,16377
13.638,16377
13.738,16377
13.838,16377
13.939,16377
14.039,16378
14.140,16379
14.239,16379
14.340,16379
14.440,16379
14.540,16379
14.641,16379
14.742,16379
14.842,16379
14.942,16379
15.043,16379
15.142,16379
15.242,16379
15.342,16379
15.442,16379
15.542,16379
15.642,16379
15.743,16379
15.843,16380
15.943,16380
16.043,16380
16.143,16380
16.244,16380
16.344,16380
16.444,16381
16.544,16381
16.644,16381
16.745,16381
16.845,16381
16.945,16381
17.045,16381
17.145,16381
17.246,16381
17.346,16383
17.446,16383
17.546,16383
17.646,16385
17.747,16385
17.847,16385
17.947,16386
18.047,16386
18.147,16386
18.248,16386
18.348,16387
18.448,16387
18.548,16387
18.649,16387
18.749,16387
18.849,16387
18.949,16387
19.049,16387
19.150,16387
19.250,16387
19.350,16387
19.450,16387
19.550,16387
19.650,16387
19.751,16387
19.851,16387
19.951,16387
20.051,16388
20.151,16388
20.252,16388
20.352,16388
20.452,16388
20.552,16388
20.652,16388
20.753,16390
20.853,16390
20.953,16390
21.053,16390
21.153,16390
21.254,16390
21.354,16390
21.454,16390
21.554,16392
21.654,16392
21.755,16392
21.855,16392
21.955,16392
22.055,16392
22.155,16392
22.256,16392
22.356,16392
22.456,16393
22.556,16393
22.656,16393
22.756,16393
22.857,16393
22.957,16393
23.057,16393
23.157,16393
23.258,16393
23.358,16393
23.458,16393
23.558,16393
23.658,16393
23.759,16393
23.859,16393
23.959,16393
24.059,16393
24.159,16394
24.260,16394
24.360,16394
24.460,16394
24.560,16394
24.660,16394
24.761,16394
24.861,16394
24.961,16395
25.061,16395
25.161,16395
25.262,16395
25.362,16395
25.462,16395
25.562,16395
25.662,16396
25.763,16396
25.863,16397
25.963,16397
26.063,16397
26.163,16398
26.264,16398
26.364,16398
26.464,16398
26.564,16398
26.664,16398
26.765,16398
26.865,16398
26.965,16399
27.065,16399
27.165,16399
27.266,16399
27.366,16399
27.466,16399
27.566,16399
27.666,16399
27.766,16399
27.867,16399
27.967,16399
28.067,16399
28.167,16399
28.268,16399
28.368,16399
28.468,16400
28.568,16400
28.668,16400
28.769,16400
28.869,16400
28.969,16400
29.069,16400
29.170,16400
29.270,16401
29.370,16401
29.470,16401
29.570,16401
29.670,16401
29.771,16401
29.871,16401
29.971,16403
30.071,16403
30.172,16403
30.272,16403
30.372,16403
30.472,16403
30.572,16403
30.673,16403
30.773,16403
30.873,16403
30.973,16403
31.073,16403
31.174,16404
31.274,16404
31.374,16404
31.474,16404
31.574,16404
31.675,16404
31.775,16404
31.875,16404
31.975,16404
32.075,16404
32.176,16404
32.276,16404
32.376,16404
32.476,16404
32.577,16404
32.677,16404
32.777,16405
32.877,16405
32.977,16405
33.078,16405
33.178,16405
33.278,16405
33.378,16405
33.478,16406
33.579,16406
33.679,16406
33.779,16406
33.879,16406
33.979,16406
34.080,16406
34.180,16406
34.280,16406
34.380,16406
34.480,16409
34.581,16410
34.681,16410
34.781,16410
34.881,16410
34.981,16410
35.082,16410
35.182,16410
35.282,16411
35.382,16411
35.482,16411
35.583,16411
35.683,16411
35.783,16411
35.883,16411
35.983,16411
36.083,16415
36.184,16421
36.284,16424
36.384,16425
36.484,16429
36.584,16430
36.685,16437
36.785,16439
36.885,16445
