TO_UIUC
1462151489
time,tx_packets
0.001,15848
0.101,15848
0.201,15849
0.301,15849
0.401,15849
0.501,15849
0.601,15849
0.702,15849
0.802,15850
0.902,15851
1.002,15851
1.102,15851
1.202,15851
1.302,15851
1.403,15852
1.503,15852
1.603,15852
1.703,15852
1.804,15852
1.904,15852
2.004,15852
2.104,15852
2.205,15852
2.305,15852
2.405,15852
2.505,15852
2.605,15852
2.705,15852
2.806,15852
2.905,15852
3.006,15852
3.106,15852
3.206,15855
3.307,15856
3.407,15857
3.507,15857
3.607,15857
3.707,15857
3.808,15857
3.908,15857
4.008,15857
4.108,15857
4.209,15857
4.309,15857
4.410,15858
4.510,15858
4.610,15858
4.710,15858
4.811,15858
4.911,15859
5.011,15859
5.111,15859
5.213,15859
5.313,15859
5.413,15859
5.514,15859
5.614,15859
5.715,15860
5.814,15860
5.915,15860
6.015,15860
6.115,15860
6.216,15860
6.316,15860
6.415,15860
6.517,15860
6.617,15860
6.717,15860
6.817,15860
6.917,15860
7.018,15860
7.117,15860
7.218,15860
7.317,15861
7.418,15861
7.518,15861
7.620,15861
7.720,15861
7.820,15861
7.920,15861
8.019,15861
8.120,15861
8.221,15865
8.321,15865
8.420,15866
8.521,15866
8.621,15866
8.722,15866
8.822,15866
8.922,15868
9.022,15868
9.123,15868
9.222,15868
9.323,15868
9.423,15868
9.524,15868
9.624,15868
9.724,15868
9.824,15868
9.925,15869
10.025,15869
10.125,15869
10.225,15869
10.325,15869
10.426,15869
10.525,15869
10.626,15869
10.727,15869
10.827,15869
10.927,15870
11.027,15870
11.129,15870
11.228,15870
11.329,15870
11.429,15870
11.530,15870
11.630,15872
11.730,15872
11.830,15872
11.930,15872
12.030,15872
12.131,15872
12.232,15872
12.332,15872
12.432,15873
12.534,15873
12.632,15873
12.733,15873
12.833,15873
12.933,15873
13.034,15873
13.134,15875
13.234,15875
13.335,15875
13.435,15875
13.537,15875
13.636,15875
13.737,15875
13.837,15875
13.937,15875
14.037,15876
14.138,15876
14.237,15876
14.338,15876
14.438,15876
14.539,15876
14.639,15876
14.739,15876
14.840,15876
14.940,15876
15.040,15876
15.140,15876
15.241,15876
15.341,15876
15.441,15876
15.541,15876
15.641,15876
15.742,15876
15.842,15877
15.942,15877
16.043,15877
16.143,15877
16.243,15877
16.343,15877
16.444,15878
16.544,15878
16.644,15878
16.745,15878
16.845,15878
16.945,15878
17.045,15878
17.146,15878
17.246,15878
17.346,15879
17.446,15879
17.546,15879
17.647,15880
17.747,15880
17.847,15880
17.948,15880
18.048,15880
18.148,15880
18.249,15880
18.349,15881
18.450,15881
18.550,15882
18.650,15882
18.750,15882
18.851,15882
18.951,15882
19.051,15882
19.151,15882
19.251,15882
19.352,15882
19.452,15882
19.553,15882
19.653,15882
19.753,15882
19.854,15882
19.954,15882
20.054,15883
20.154,15883
20.255,15884
20.355,15884
20.455,15884
20.555,15884
20.656,15885
20.756,15885
20.856,15885
20.956,15885
21.057,15885
21.157,15885
21.257,15885
21.357,15885
21.457,15885
21.558,15886
21.658,15886
21.759,15886
21.859,15887
21.959,15887
22.059,15887
22.160,15887
22.260,15887
22.360,15887
22.460,15888
22.560,15888
22.661,15889
22.761,15889
22.862,15889
22.962,15889
23.062,15889
23.162,15889
23.263,15889
23.363,15889
23.463,15889
23.564,15889
23.664,15889
23.764,15889
23.864,15889
23.964,15889
24.064,15889
24.165,15891
24.265,15892
24.366,15893
24.466,15893
24.566,15893
24.666,15893
24.767,15893
24.867,15893
24.967,15893
25.067,15893
25.168,15893
25.268,15894
25.368,15894
25.468,15894
25.569,15894
25.669,15894
25.769,15894
25.869,15895
25.970,15895
26.070,15895
26.170,15896
26.271,15896
26.371,15896
26.471,15896
26.572,15896
26.672,15896
26.772,15896
26.872,15896
26.972,15897
27.073,15897
27.173,15897
27.274,15897
27.374,15897
27.474,15897
27.574,15897
27.674,15897
27.775,15897
27.875,15897
27.975,15897
28.076,15897
28.176,15897
28.276,15897
28.376,15897
28.477,15897
28.576,15897
28.677,15897
28.777,15897
28.878,15897
28.977,15897
29.078,15897
29.178,15898
29.279,15898
29.379,15898
29.479,15899
29.579,15899
29.679,15899
29.780,15899
29.880,15899
29.981,15900
30.081,15900
30.181,15900
30.281,15900
30.382,15901
30.482,15901
30.582,15901
30.682,15901
30.783,15901
30.883,15901
30.983,15901
31.084,15901
31.184,15902
31.284,15902
31.384,15902
31.485,15902
31.585,15902
31.685,15902
31.786,15902
31.885,15902
31.985,15902
32.085,15902
32.186,15902
32.286,15902
32.386,15902
32.486,15902
32.586,15902
32.687,15902
32.787,15903
32.887,15904
32.987,15904
33.088,15904
33.188,15904
33.288,15904
33.389,15904
33.489,15904
33.589,15904
33.689,15904
33.790,15904
33.890,15904
33.990,15905
34.090,15905
34.191,15905
34.291,15905
34.391,15905
34.492,15907
34.592,15907
34.692,15907
34.793,15907
34.893,15907
34.993,15907
35.093,15907
35.194,15907
35.294,15908
35.394,15908
35.494,15908
35.595,15908
35.695,15908
35.795,15908
35.895,15908
35.996,15908
36.096,15914
36.196,15920
36.296,15925
36.397,15927
36.497,15930
36.597,15930
36.698,15935
36.798,15937
36.897,15945
