TO_UM
1462151489
time,tx_packets
0.001,23975
0.101,23975
0.201,23980
0.301,23980
0.402,23980
0.502,23980
0.602,23980
0.703,23980
0.803,23980
0.903,23981
1.003,23981
1.103,23981
1.204,23981
1.304,23981
1.404,23982
1.504,23982
1.604,23982
1.705,23982
1.805,23982
1.905,23982
2.005,23982
2.105,23982
2.206,23982
2.306,23982
2.406,23982
2.506,23982
2.606,23982
2.707,23982
2.807,23982
2.908,23982
3.007,23983
3.107,23983
3.208,23983
3.308,23984
3.408,23985
3.508,23985
3.608,23985
3.710,23985
3.809,23985
3.909,23985
4.011,23985
4.111,23985
4.210,23985
4.310,23985
4.412,23986
4.511,23988
4.612,23988
4.712,23988
4.812,23988
4.913,23988
5.013,23988
5.113,23989
5.215,23989
5.315,23989
5.414,23989
5.516,23989
5.616,23989
5.716,23990
5.815,23990
5.916,23990
6.016,23990
6.118,23990
6.217,23990
6.317,23990
6.418,23990
6.517,23990
6.618,23990
6.718,23990
6.818,23990
6.919,23990
7.019,23990
7.119,23990
7.220,23991
7.320,23992
7.421,23992
7.521,23992
7.620,23992
7.720,23992
7.820,23993
7.921,23994
8.022,23994
8.121,23994
8.223,23995
8.321,23995
8.423,23995
8.522,23995
8.622,23999
8.722,24000
8.823,24000
8.923,24001
9.025,24001
9.124,24001
9.224,24001
9.324,24001
9.424,24002
9.525,24002
9.625,24002
9.725,24002
9.825,24002
9.926,24003
10.026,24003
10.127,24004
10.227,24004
10.327,24006
10.427,24006
10.528,24006
10.629,24006
10.728,24006
10.828,24006
10.929,24007
11.030,24007
11.129,24007
11.230,24007
11.330,24007
11.431,24008
11.530,24008
11.631,24008
11.732,24008
11.831,24008
11.932,24008
12.033,24010
12.134,24010
12.233,24010
12.334,24010
12.433,24010
12.536,24010
12.635,24010
12.734,24010
12.835,24010
12.936,24014
13.036,24014
13.137,24015
13.236,24015
13.337,24015
13.438,24015
13.540,24015
13.638,24015
13.738,24016
13.837,24016
13.937,24016
14.038,24016
14.138,24022
14.238,24023
14.338,24023
14.438,24023
14.539,24023
14.639,24023
14.739,24023
14.839,24023
14.939,24023
15.040,24023
15.140,24023
15.240,24024
15.340,24024
15.440,24024
15.540,24024
15.641,24025
15.741,24025
15.841,24025
15.941,24025
16.041,24025
16.142,24025
16.242,24025
16.342,24025
16.442,24027
16.542,24027
16.643,24027
16.743,24027
16.843,24027
16.943,24027
17.043,24027
17.144,24027
17.244,24027
17.344,24031
17.444,24031
17.544,24031
17.645,24031
17.745,24031
17.845,24032
17.945,24032
18.046,24032
18.146,24032
18.246,24032
18.346,24033
18.447,24033
18.547,24033
18.647,24033
18.747,24033
18.847,24033
18.948,24033
19.048,24033
19.148,24033
19.248,24034
19.348,24034
19.449,24034
19.549,24034
19.649,24034
19.749,24035
19.849,24035
19.950,24035
20.050,24035
20.150,24035
20.250,24035
20.351,24035
20.451,24035
20.551,24035
20.651,24036
20.751,24037
20.852,24037
20.952,24037
21.052,24037
21.152,24037
21.252,24037
21.352,24037
21.453,24037
21.553,24040
21.653,24041
21.753,24041
21.853,24041
21.954,24041
22.054,24041
22.154,24041
22.254,24041
22.355,24042
22.455,24043
22.555,24043
22.655,24043
22.755,24043
22.856,24043
22.956,24043
23.056,24043
23.156,24043
23.256,24043
23.357,24043
23.457,24043
23.557,24043
23.657,24043
23.757,24043
23.858,24043
23.958,24043
24.058,24043
24.158,24043
24.258,24044
24.359,24044
24.459,24044
24.559,24044
24.659,24044
24.759,24044
24.860,24045
24.960,24046
25.060,24046
25.160,24046
25.261,24046
25.361,24046
25.461,24046
25.561,24046
25.661,24050
25.762,24050
25.862,24051
25.962,24051
26.062,24051
26.162,24051
26.263,24051
26.363,24051
26.463,24051
26.563,24051
26.663,24051
26.764,24052
26.864,24052
26.964,24053
27.064,24053
27.164,24053
27.265,24053
27.365,24053
27.465,24053
27.565,24053
27.665,24053
27.766,24053
27.866,24053
27.966,24053
28.066,24053
28.166,24053
28.267,24053
28.367,24054
28.467,24054
28.567,24054
28.668,24054
28.768,24054
28.868,24054
28.968,24054
29.068,24054
29.169,24055
29.269,24056
29.369,24056
29.469,24056
29.569,24056
29.670,24056
29.770,24056
29.870,24056
29.970,24057
30.070,24057
30.171,24057
30.271,24057
30.371,24057
30.471,24057
30.571,24057
30.672,24057
30.772,24057
30.872,24057
30.972,24057
31.073,24057
31.173,24059
31.273,24059
31.373,24059
31.473,24059
31.574,24059
31.674,24059
31.774,24059
31.874,24059
31.974,24059
32.075,24059
32.175,24059
32.275,24059
32.375,24059
32.475,24060
32.576,24060
32.676,24060
32.776,24060
32.876,24060
32.977,24060
33.077,24060
33.177,24060
33.277,24060
33.377,24061
33.478,24062
33.578,24062
33.678,24062
33.779,24062
33.879,24062
33.979,24062
34.079,24062
34.180,24062
34.280,24062
34.380,24062
34.480,24066
34.580,24066
34.680,24066
34.781,24066
34.881,24066
34.981,24066
35.081,24066
35.182,24066
35.282,24067
35.382,24067
35.482,24068
35.582,24068
35.683,24068
35.783,24068
35.883,24068
35.983,24068
36.083,24075
36.184,24086
36.284,24092
36.384,24093
36.484,24103
36.584,24105
36.685,24110
36.785,24116
36.885,24127
