TO_URJC
1462151489
time,tx_packets
0.001,21077
0.101,21078
0.201,21079
0.301,21079
0.401,21079
0.501,21079
0.601,21080
0.702,21080
0.802,21080
0.902,21082
1.002,21082
1.102,21082
1.202,21082
1.302,21082
1.403,21083
1.503,21083
1.603,21083
1.703,21083
1.803,21083
1.904,21083
2.004,21083
2.104,21083
2.204,21083
2.304,21083
2.405,21083
2.504,21083
2.605,21083
2.705,21083
2.805,21083
2.906,21083
3.005,21083
3.106,21083
3.206,21084
3.306,21084
3.406,21085
3.507,21085
3.607,21085
3.707,21085
3.807,21085
3.908,21085
4.008,21085
4.108,21085
4.209,21085
4.309,21085
4.409,21087
4.509,21087
4.610,21087
4.710,21087
4.811,21088
4.910,21088
5.011,21089
5.111,21089
5.212,21089
5.311,21089
5.412,21089
5.512,21089
5.612,21089
5.713,21090
5.814,21090
5.914,21090
6.015,21090
6.114,21090
6.216,21090
6.316,21090
6.416,21090
6.516,21091
6.616,21091
6.716,21091
6.816,21091
6.916,21091
7.017,21091
7.118,21091
7.217,21091
7.319,21093
7.417,21093
7.519,21093
7.618,21094
7.719,21094
7.818,21094
7.919,21094
8.020,21094
8.119,21094
8.219,21095
8.320,21095
8.421,21095
8.520,21095
8.621,21096
8.720,21096
8.821,21097
8.922,21098
9.021,21098
9.122,21098
9.221,21098
9.322,21098
9.423,21099
9.522,21099
9.623,21100
9.723,21100
9.824,21100
9.923,21101
10.025,21101
10.124,21101
10.225,21102
10.325,21102
10.425,21102
10.525,21102
10.625,21102
10.726,21102
10.826,21102
10.927,21103
11.026,21103
11.128,21103
11.229,21103
11.328,21103
11.429,21103
11.528,21104
11.629,21104
11.729,21104
11.830,21104
11.930,21104
12.030,21104
12.131,21104
12.230,21104
12.331,21104
12.431,21105
12.534,21105
12.632,21105
12.731,21105
12.831,21105
12.931,21106
13.031,21106
13.132,21108
13.232,21108
13.332,21108
13.432,21108
13.536,21108
13.633,21108
13.733,21110
13.833,21110
13.933,21110
14.034,21111
14.134,21112
14.234,21112
14.334,21113
14.434,21113
14.535,21113
14.635,21113
14.735,21113
14.835,21113
14.935,21113
15.035,21113
15.135,21113
15.235,21113
15.336,21114
15.436,21114
15.536,21114
15.636,21114
15.736,21114
15.836,21115
15.936,21115
16.037,21115
16.137,21115
16.237,21115
16.337,21116
16.437,21117
16.538,21117
16.638,21117
16.738,21117
16.838,21117
16.938,21117
17.039,21117
17.139,21117
17.239,21117
17.339,21119
17.439,21119
17.540,21119
17.640,21119
17.740,21120
17.840,21120
17.940,21120
18.041,21121
18.141,21121
18.241,21121
18.341,21122
18.442,21122
18.542,21123
18.642,21123
18.742,21123
18.842,21123
18.943,21123
19.043,21123
19.143,21123
19.243,21124
19.344,21124
19.444,21124
19.544,21124
19.644,21124
19.744,21124
19.845,21124
19.945,21124
20.045,21125
20.145,21126
20.246,21126
20.346,21127
20.446,21127
20.546,21127
20.646,21128
20.747,21128
20.847,21128
20.947,21128
21.047,21128
21.148,21128
21.248,21128
21.348,21128
21.448,21128
21.548,21130
21.649,21130
21.749,21130
21.849,21130
21.949,21130
22.049,21131
22.150,21131
22.250,21131
22.350,21132
22.450,21133
22.550,21133
22.651,21133
22.751,21133
22.851,21133
22.951,21133
23.052,21133
23.152,21133
23.252,21133
23.352,21133
23.452,21133
23.553,21133
23.653,21133
23.753,21133
23.853,21133
23.953,21133
24.054,21133
24.154,21134
24.254,21134
24.354,21134
24.455,21134
24.555,21134
24.655,21134
24.755,21134
24.855,21135
24.956,21135
25.056,21135
25.156,21135
25.256,21135
25.357,21135
25.457,21135
25.557,21135
25.657,21136
25.757,21136
25.858,21137
25.958,21137
26.058,21137
26.158,21137
26.258,21138
26.359,21138
26.459,21138
26.559,21138
26.660,21139
26.760,21140
26.860,21140
26.960,21141
27.061,21141
27.161,21141
27.261,21141
27.361,21141
27.461,21141
27.562,21141
27.662,21141
27.762,21141
27.862,21141
27.962,21141
28.063,21141
28.163,21141
28.263,21141
28.363,21141
28.464,21142
28.564,21142
28.664,21142
28.764,21142
28.864,21142
28.964,21142
29.065,21142
29.165,21143
29.265,21143
29.365,21143
29.466,21143
29.566,21143
29.666,21143
29.766,21143
29.866,21143
29.967,21145
30.067,21145
30.167,21145
30.267,21145
30.367,21145
30.468,21146
30.568,21146
30.668,21146
30.768,21146
30.868,21146
30.969,21146
31.069,21146
31.169,21148
31.269,21148
31.370,21148
31.470,21148
31.570,21148
31.670,21148
31.770,21148
31.871,21148
31.971,21148
32.071,21148
32.171,21148
32.271,21148
32.372,21148
32.472,21148
32.572,21148
32.672,21148
32.773,21149
32.873,21149
32.973,21149
33.073,21149
33.173,21149
33.274,21149
33.374,21151
33.474,21151
33.574,21151
33.674,21151
33.775,21151
33.875,21151
33.975,21152
34.075,21152
34.176,21152
34.276,21152
34.376,21152
34.476,21154
34.576,21154
34.677,21155
34.777,21155
34.877,21155
34.977,21155
35.077,21155
35.178,21155
35.278,21156
35.378,21157
35.478,21157
35.579,21157
35.679,21157
35.779,21157
35.879,21157
35.979,21157
36.080,21163
36.180,21173
36.280,21178
36.380,21183
36.480,21188
36.581,21189
36.681,21195
36.781,21201
36.881,21211
