time,tx_packets
0.001,12616
0.101,12617
0.201,12618
0.301,12618
0.402,12618
0.502,12618
0.602,12618
0.702,12618
0.802,12618
0.903,12618
1.003,12618
1.103,12618
1.203,12618
1.303,12618
1.404,12619
1.504,12619
1.604,12619
1.704,12619
1.805,12619
1.905,12619
2.005,12619
2.105,12619
2.205,12619
2.306,12619
2.406,12619
2.506,12619
2.606,12619
2.706,12619
2.806,12619
2.906,12619
3.006,12621
3.107,12621
3.207,12621
3.307,12621
3.407,12621
3.508,12621
3.608,12621
3.708,12621
3.808,12621
3.909,12621
4.009,12621
4.109,12621
4.210,12621
4.309,12621
4.410,12621
4.511,12623
4.611,12623
4.711,12623
4.812,12623
4.912,12623
5.012,12623
5.113,12623
5.213,12623
5.313,12623
5.413,12623
5.513,12623
5.614,12623
5.715,12624
5.815,12624
5.916,12624
6.016,12624
6.117,12624
6.217,12624
6.318,12624
6.416,12624
6.517,12624
6.617,12624
6.718,12624
6.817,12624
6.917,12624
7.018,12624
7.118,12624
7.220,12626
7.320,12627
7.420,12627
7.519,12627
7.620,12627
7.720,12627
7.821,12627
7.921,12627
8.021,12627
8.120,12627
8.221,12627
8.322,12627
8.421,12627
8.521,12627
8.622,12628
8.722,12628
8.822,12628
8.923,12629
9.023,12629
9.123,12629
9.224,12629
9.323,12629
9.424,12629
9.524,12629
9.625,12629
9.725,12629
9.825,12629
9.924,12630
10.025,12630
10.125,12630
10.227,12630
10.327,12633
10.426,12633
10.527,12633
10.627,12633
10.728,12633
10.828,12633
10.928,12634
11.028,12634
11.129,12634
11.229,12634
11.329,12634
11.430,12635
11.530,12635
11.631,12635
11.730,12635
11.832,12635
11.932,12635
12.032,12635
12.131,12635
12.232,12636
12.333,12636
12.434,12636
12.537,12636
12.633,12636
12.733,12636
12.833,12636
12.934,12637
13.035,12637
13.135,12638
13.235,12638
13.336,12638
13.437,12638
13.536,12638
13.637,12638
13.737,12638
13.838,12638
13.938,12638
14.039,12639
14.139,12640
14.239,12640
14.339,12640
14.439,12640
14.540,12640
14.640,12640
14.740,12640
14.841,12640
14.941,12640
15.041,12640
15.142,12640
15.242,12640
15.342,12640
15.442,12640
15.542,12640
15.643,12640
15.743,12640
15.843,12640
15.943,12640
16.044,12640
16.144,12640
16.244,12640
16.344,12640
16.445,12640
16.545,12640
16.645,12640
16.746,12640
16.846,12640
16.946,12640
17.046,12640
17.147,12640
17.247,12640
17.347,12642
17.448,12642
17.548,12642
17.648,12642
17.748,12642
17.849,12642
17.949,12642
18.050,12642
18.150,12642
18.250,12642
18.350,12643
18.450,12643
18.551,12643
18.651,12643
18.751,12643
18.852,12643
18.952,12643
19.052,12643
19.152,12643
19.253,12643
19.353,12643
19.453,12643
19.554,12643
19.654,12643
19.754,12644
19.854,12644
19.955,12644
20.055,12644
20.155,12644
20.255,12644
20.356,12644
20.456,12644
20.557,12644
20.657,12644
20.757,12644
20.857,12644
20.958,12644
21.058,12644
21.158,12644
21.258,12644
21.359,12644
21.459,12644
21.559,12646
21.659,12646
21.760,12646
21.860,12646
21.960,12646
22.060,12646
22.161,12646
22.261,12646
22.361,12646
22.461,12647
22.561,12647
22.662,12647
22.762,12647
22.863,12647
22.963,12647
23.063,12647
23.163,12647
23.264,12647
23.364,12648
23.464,12648
23.565,12648
23.665,12648
23.765,12648
23.865,12648
23.966,12648
24.066,12648
24.166,12648
24.266,12651
24.367,12651
24.467,12651
24.567,12651
24.667,12651
24.768,12651
24.868,12651
24.968,12651
25.069,12651
25.169,12651
25.269,12651
25.369,12651
25.470,12651
25.570,12651
25.670,12652
25.770,12652
25.871,12653
25.971,12653
26.071,12653
26.171,12653
26.271,12653
26.372,12653
26.472,12653
26.572,12653
26.673,12653
26.773,12653
26.873,12653
26.974,12654
27.074,12654
27.174,12654
27.274,12654
27.375,12654
27.475,12654
27.575,12654
27.675,12654
27.776,12654
27.876,12654
27.976,12654
28.077,12654
28.177,12654
28.277,12654
28.378,12657
28.478,12657
28.578,12657
28.678,12657
28.778,12657
28.879,12657
28.979,12657
29.079,12657
29.179,12657
29.280,12657
29.380,12657
29.480,12657
29.580,12657
29.681,12657
29.781,12657
29.881,12657
29.981,12659
30.082,12659
30.182,12659
30.282,12659
30.383,12659
30.483,12659
30.583,12659
30.684,12659
30.784,12659
30.884,12659
30.984,12659
31.084,12659
31.185,12660
31.285,12660
31.385,12660
31.486,12660
31.585,12660
31.686,12660
31.786,12660
31.886,12660
31.986,12660
32.087,12660
32.187,12660
32.287,12660
32.387,12660
32.487,12661
32.588,12661
32.688,12661
32.788,12661
32.889,12661
32.989,12661
33.089,12661
33.189,12661
33.290,12661
33.390,12661
33.490,12661
33.590,12661
33.691,12661
33.791,12661
33.891,12661
33.992,12661
34.092,12661
34.192,12661
34.292,12661
34.393,12661
34.493,12663
34.593,12663
34.693,12663
34.794,12663
34.894,12663
34.994,12663
35.095,12663
35.195,12663
35.295,12664
35.395,12664
35.495,12664
35.596,12664
35.696,12664
35.796,12664
35.897,12664
35.997,12664
36.097,12673
36.197,12681
36.298,12683
36.398,12683
36.498,12688
36.598,12690
36.698,12694
36.799,12695
36.899,12700
