TO_KISTI
1462151886
time,tx_packets
0.001,17
0.101,17
0.201,17
0.301,17
0.401,17
0.502,17
0.602,17
0.702,17
0.802,17
0.902,17
1.003,17
1.103,17
1.203,17
1.303,17
1.403,17
1.504,17
1.604,17
1.704,17
1.804,17
1.905,17
2.005,17
2.105,17
2.205,17
2.306,17
2.406,17
2.506,17
2.606,17
2.706,17
2.807,17
2.907,17
3.007,17
3.107,17
3.207,17
3.308,17
3.408,17
3.508,17
3.608,17
3.708,17
3.809,17
3.909,17
4.009,17
4.109,17
4.209,17
4.310,17
4.410,17
4.510,17
4.610,17
4.710,17
4.811,17
4.911,17
5.011,17
5.111,17
5.211,17
5.312,17
5.412,17
5.512,17
5.612,17
5.712,17
5.813,17
5.913,17
6.013,17
6.113,17
6.214,17
6.314,17
6.414,17
6.514,17
6.614,17
6.715,17
6.815,17
6.915,17
7.015,17
7.115,17
7.216,17
7.316,17
7.416,17
7.516,17
7.616,17
7.717,17
7.817,17
7.917,17
8.017,17
8.117,17
8.218,17
8.318,17
8.418,17
8.518,17
8.618,17
8.719,17
8.819,17
8.919,17
9.019,17
9.119,17
9.220,17
9.320,17
9.420,17
9.520,17
9.620,17
9.721,17
9.821,17
9.921,17
10.021,17
10.122,17
10.222,17
10.322,17
10.422,17
10.522,17
10.623,17
10.723,17
10.823,17
10.923,17
11.023,17
11.124,17
11.224,17
11.324,17
11.424,17
11.524,17
11.625,17
11.725,17
11.825,17
11.925,17
12.025,17
12.126,17
12.226,17
12.326,17
12.426,17
12.526,17
12.627,17
12.727,17
12.827,17
12.927,17
13.027,17
13.128,17
13.228,17
13.328,17
13.428,17
13.529,17
13.629,17
13.729,17
13.829,17
13.929,17
14.030,17
14.130,17
14.230,17
14.330,17
14.430,17
14.531,17
14.631,17
14.731,17
14.831,17
14.931,17
15.032,17
15.132,17
15.232,17
15.332,17
15.432,17
15.533,17
15.633,17
15.733,17
15.833,17
15.933,17
16.034,17
16.134,17
16.234,17
16.334,17
16.435,17
16.535,17
16.635,17
16.735,17
16.835,17
16.936,17
17.036,17
17.136,17
17.236,17
17.336,17
17.437,17
17.537,17
17.637,17
17.737,17
17.837,17
17.938,17
18.038,17
18.138,17
18.238,17
18.338,17
18.439,17
18.539,17
18.639,17
18.739,17
18.839,17
18.940,17
19.040,17
19.140,17
19.240,17
19.340,17
19.441,17
19.541,17
19.641,17
19.741,17
19.841,17
19.942,17
20.042,17
20.142,17
20.242,17
20.343,17
20.443,17
20.543,17
20.643,17
20.743,17
20.844,17
20.944,17
21.044,17
21.144,17
21.244,17
21.345,17
21.445,17
21.545,17
21.645,17
21.745,17
21.846,17
21.946,17
22.046,17
22.146,17
22.246,17
22.347,17
22.447,17
22.547,17
22.647,17
22.747,17
22.848,17
22.948,17
23.048,17
23.148,17
23.248,17
23.349,17
23.449,17
23.550,17
23.649,17
23.750,17
23.850,17
23.950,17
24.050,17
24.150,17
24.251,17
24.351,17
24.451,17
24.551,17
24.651,17
24.752,17
24.852,17
24.952,17
25.052,17
25.152,17
25.253,17
25.353,17
25.453,17
25.553,17
25.653,17
25.754,17
25.854,17
25.954,17
26.054,17
26.154,17
26.255,17
26.355,17
26.455,17
26.555,17
26.656,17
26.756,17
26.856,17
26.956,17
27.056,17
27.157,17
27.257,17
27.357,17
27.457,17
27.557,17
27.658,17
27.758,17
27.858,17
27.958,17
28.058,17
28.159,17
28.259,17
28.359,17
28.459,17
28.559,17
28.660,17
28.760,17
28.860,17
28.960,17
29.060,17
29.161,17
29.261,17
29.361,17
29.461,17
29.561,17
29.662,17
29.762,17
29.862,17
29.962,17
30.063,17
30.163,17
30.263,17
30.363,17
30.463,17
30.564,17
30.664,17
30.764,17
30.864,17
30.964,17
31.065,17
31.165,17
31.265,17
31.365,17
31.465,17
31.566,17
31.666,17
31.766,17
31.866,17
31.966,17
32.067,17
32.167,17
32.267,17
32.367,17
32.467,17
32.568,17
32.668,17
32.768,17
32.868,17
32.969,17
33.069,17
33.169,17
33.269,17
33.369,17
33.469,17
33.570,17
33.670,17
33.770,17
33.870,17
33.970,17
34.071,17
34.171,17
34.271,17
34.371,17
34.472,17
34.572,17
34.672,17
34.772,17
34.872,17
34.973,17
35.073,17
35.173,17
35.273,17
35.373,17
35.474,17
35.574,17
35.674,17
35.774,17
35.874,17
35.975,17
36.075,17
36.175,17
36.275,17
36.375,17
36.476,17
36.576,17
36.676,17
36.777,17
36.877,17
36.977,17
37.077,17
37.177,17
37.278,17
37.378,17
37.478,17
37.578,17
37.678,17
37.779,17
37.879,17
37.979,17
38.079,17
38.179,17
