TO_UM
1462151886
time,tx_packets
0.003,27186
0.101,27186
0.202,27186
0.302,27186
0.402,27186
0.503,27186
0.603,27186
0.703,27186
0.803,27186
0.903,27186
1.004,27186
1.104,27186
1.204,27186
1.305,27186
1.405,27186
1.505,27186
1.605,27186
1.705,27186
1.805,27186
1.906,27186
2.006,27186
2.107,27186
2.207,27186
2.307,27186
2.407,27186
2.508,27187
2.608,27187
2.709,27187
2.808,27188
2.909,27188
3.010,27189
3.109,27189
3.210,27189
3.309,27189
3.411,27191
3.511,27191
3.611,27195
3.712,27197
3.811,27197
3.911,27197
4.012,27197
4.113,27197
4.213,27197
4.312,27197
4.413,27197
4.512,27197
4.613,27197
4.714,27197
4.813,27197
4.913,27197
5.015,27197
5.115,27197
5.214,27197
5.315,27197
5.414,27197
5.514,27197
5.614,27197
5.715,27197
5.815,27197
5.915,27197
6.015,27197
6.115,27197
6.216,27197
6.316,27197
6.416,27197
6.516,27197
6.616,27198
6.716,27198
6.817,27198
6.917,27198
7.017,27198
7.117,27199
7.217,27200
7.318,27200
7.418,27200
7.518,27200
7.618,27202
7.718,27202
7.819,27207
7.919,27207
8.019,27208
8.119,27208
8.219,27208
8.320,27208
8.420,27208
8.520,27208
8.620,27208
8.720,27208
8.821,27208
8.921,27208
9.021,27208
9.121,27208
9.221,27208
9.322,27208
9.422,27208
9.522,27208
9.622,27208
9.722,27208
9.823,27208
9.923,27208
10.023,27208
10.123,27208
10.223,27208
10.324,27208
10.424,27208
10.524,27208
10.624,27208
10.724,27208
10.825,27209
10.925,27209
11.025,27209
11.125,27209
11.225,27209
11.326,27209
11.426,27209
11.526,27210
11.626,27210
11.726,27211
11.827,27216
11.927,27218
12.027,27218
12.127,27218
12.227,27218
12.332,27218
12.428,27219
12.528,27219
12.628,27220
12.729,27220
12.829,27220
12.929,27220
13.029,27220
13.129,27220
13.230,27220
13.330,27220
13.430,27220
13.530,27220
13.630,27220
13.731,27220
13.831,27220
13.931,27220
14.031,27220
14.131,27220
14.232,27220
14.332,27220
14.432,27220
14.532,27220
14.632,27220
14.733,27220
14.833,27220
14.933,27220
15.033,27221
15.133,27221
15.234,27221
15.334,27221
15.434,27221
15.534,27221
15.635,27221
15.735,27221
15.835,27225
15.935,27226
16.035,27226
16.136,27227
16.236,27227
16.336,27227
16.436,27227
16.536,27227
16.637,27227
16.737,27228
16.837,27228
16.937,27228
17.038,27228
17.138,27229
17.238,27229
17.338,27229
17.438,27229
17.538,27229
17.639,27229
17.739,27229
17.839,27229
17.939,27229
18.040,27229
18.140,27229
18.240,27229
18.340,27229
18.440,27229
18.540,27229
18.641,27229
18.741,27229
18.841,27229
18.941,27229
19.041,27229
19.142,27229
19.242,27230
19.342,27230
19.442,27230
19.542,27230
19.643,27230
19.743,27230
19.843,27230
19.943,27230
20.044,27232
20.144,27234
20.244,27235
20.344,27235
20.444,27235
20.544,27235
20.645,27235
20.745,27235
20.845,27235
20.945,27236
21.045,27236
21.146,27236
21.246,27236
21.346,27237
21.446,27237
21.546,27237
21.647,27237
21.747,27237
21.847,27237
21.947,27237
22.047,27237
22.148,27237
22.248,27237
22.348,27237
22.448,27237
22.548,27237
22.649,27237
22.749,27237
22.849,27237
22.949,27237
23.049,27237
23.150,27237
23.250,27237
23.350,27237
23.450,27237
23.550,27237
23.651,27238
23.751,27238
23.851,27238
23.951,27238
24.051,27238
24.152,27238
24.252,27244
24.352,27245
24.452,27246
24.552,27246
24.653,27247
24.753,27247
24.853,27247
24.953,27247
25.053,27247
25.153,27248
25.254,27248
25.354,27248
25.454,27248
25.554,27249
25.654,27249
25.755,27249
25.855,27249
25.955,27249
26.055,27249
26.156,27249
26.256,27249
26.356,27249
26.456,27249
26.556,27249
26.657,27249
26.757,27249
26.857,27249
26.957,27249
27.057,27249
27.158,27249
27.258,27249
27.358,27249
27.458,27249
27.558,27249
27.659,27249
27.759,27249
27.859,27250
27.959,27250
28.059,27250
28.160,27250
28.260,27250
28.360,27251
28.460,27251
28.560,27251
28.661,27252
28.761,27252
28.861,27252
28.961,27253
29.061,27253
29.162,27256
29.262,27256
29.362,27256
29.462,27256
29.562,27256
29.663,27256
29.763,27257
29.863,27257
29.963,27257
30.063,27257
30.164,27257
30.264,27257
30.364,27257
30.464,27257
30.564,27257
30.665,27257
30.765,27257
30.865,27258
30.965,27258
31.065,27258
31.166,27258
31.266,27258
31.366,27258
31.466,27258
31.566,27258
31.667,27258
31.767,27258
31.867,27258
31.967,27259
32.068,27259
32.168,27260
32.268,27260
32.368,27260
32.468,27260
32.568,27260
32.669,27260
32.769,27262
32.869,27262
32.969,27262
33.069,27262
33.170,27262
33.270,27266
33.370,27267
33.470,27268
33.571,27268
33.671,27269
33.771,27269
33.871,27269
33.971,27270
34.071,27270
34.172,27271
34.272,27271
34.372,27271
34.472,27271
34.572,27272
34.673,27272
34.773,27272
34.873,27272
34.973,27272
35.073,27272
35.174,27272
35.274,27272
35.374,27272
35.474,27272
35.575,27272
35.675,27272
35.775,27272
35.875,27272
35.975,27272
36.076,27272
36.176,27272
36.276,27272
36.376,27272
36.476,27272
36.576,27272
36.677,27273
36.777,27273
