TO_URJC
1462151886
time,tx_packets
0.001,24017
0.101,24017
0.201,24017
0.302,24017
0.402,24017
0.502,24017
0.602,24017
0.702,24017
0.803,24017
0.903,24017
1.003,24017
1.103,24017
1.203,24017
1.304,24017
1.404,24017
1.504,24017
1.604,24017
1.704,24017
1.805,24017
1.905,24017
2.005,24017
2.105,24017
2.206,24017
2.306,24017
2.406,24017
2.506,24018
2.607,24018
2.707,24020
2.807,24020
2.907,24020
3.007,24021
3.108,24021
3.208,24021
3.308,24021
3.409,24022
3.509,24022
3.609,24023
3.710,24023
3.810,24023
3.909,24023
4.010,24023
4.110,24023
4.210,24023
4.311,24023
4.411,24024
4.511,24024
4.611,24024
4.712,24024
4.811,24024
4.912,24024
5.012,24024
5.112,24024
5.213,24024
5.313,24024
5.413,24024
5.513,24024
5.614,24024
5.714,24024
5.815,24025
5.915,24025
6.015,24025
6.115,24025
6.217,24025
6.317,24025
6.417,24025
6.518,24025
6.618,24026
6.718,24026
6.818,24026
6.918,24026
7.019,24026
7.119,24026
7.221,24027
7.319,24027
7.419,24027
7.519,24028
7.620,24028
7.720,24029
7.820,24030
7.920,24030
8.020,24030
8.121,24030
8.221,24030
8.321,24030
8.421,24031
8.522,24031
8.622,24031
8.722,24031
8.822,24031
8.922,24031
9.023,24031
9.123,24031
9.223,24031
9.323,24031
9.424,24031
9.524,24031
9.624,24031
9.724,24031
9.824,24031
9.925,24031
10.025,24031
10.125,24031
10.225,24031
10.325,24031
10.426,24031
10.526,24031
10.626,24031
10.726,24031
10.827,24032
10.927,24032
11.027,24032
11.127,24032
11.227,24032
11.328,24033
11.428,24033
11.528,24034
11.628,24034
11.728,24035
11.829,24037
11.929,24037
12.029,24038
12.129,24038
12.229,24038
12.330,24038
12.430,24038
12.530,24038
12.630,24038
12.730,24038
12.831,24039
12.931,24039
13.031,24039
13.131,24039
13.231,24039
13.332,24039
13.432,24039
13.532,24039
13.632,24039
13.732,24039
13.833,24039
13.933,24039
14.033,24039
14.133,24039
14.234,24039
14.334,24039
14.434,24039
14.534,24039
14.634,24040
14.735,24040
14.835,24040
14.935,24040
15.035,24041
15.135,24041
15.236,24041
15.336,24041
15.436,24041
15.536,24041
15.636,24041
15.737,24041
15.837,24045
15.937,24045
16.037,24045
16.137,24046
16.238,24046
16.338,24047
16.438,24047
16.538,24047
16.639,24047
16.739,24047
16.839,24047
16.939,24047
17.039,24048
17.140,24048
17.240,24048
17.340,24048
17.440,24048
17.540,24048
17.640,24048
17.741,24048
17.841,24048
17.941,24048
18.041,24048
18.141,24048
18.242,24048
18.342,24048
18.442,24048
18.542,24048
18.643,24048
18.743,24048
18.843,24049
18.943,24049
19.044,24049
19.144,24049
19.244,24050
19.344,24050
19.444,24050
19.545,24050
19.645,24051
19.745,24051
19.845,24051
19.946,24051
20.046,24052
20.146,24055
20.246,24055
20.346,24055
20.447,24055
20.547,24055
20.647,24055
20.747,24055
20.847,24055
20.948,24055
21.048,24055
21.148,24055
21.248,24055
21.348,24055
21.449,24055
21.549,24055
21.649,24056
21.749,24056
21.850,24056
21.950,24056
22.050,24056
22.151,24057
22.251,24057
22.352,24057
22.451,24057
22.552,24057
22.652,24057
22.752,24057
22.852,24057
22.953,24057
23.053,24057
23.153,24057
23.254,24057
23.354,24057
23.454,24057
23.554,24057
23.655,24058
23.755,24058
23.855,24059
23.955,24059
24.056,24059
24.156,24059
24.256,24060
24.356,24060
24.457,24061
24.557,24062
24.657,24062
24.757,24062
24.858,24062
24.958,24062
25.058,24062
25.159,24062
25.259,24062
25.358,24062
25.458,24062
25.558,24062
25.658,24062
25.759,24062
25.859,24062
25.960,24063
26.060,24063
26.160,24063
26.261,24063
26.361,24063
26.461,24063
26.562,24063
26.662,24063
26.762,24063
26.862,24063
26.962,24063
27.062,24063
27.163,24063
27.263,24063
27.363,24063
27.463,24063
27.563,24063
27.664,24064
27.764,24064
27.864,24065
27.964,24065
28.065,24066
28.165,24066
28.266,24066
28.365,24067
28.466,24067
28.566,24068
28.667,24068
28.767,24069
28.867,24069
28.967,24070
29.067,24070
29.168,24071
29.268,24071
29.368,24071
29.468,24071
29.569,24071
29.669,24071
29.769,24071
29.869,24071
29.969,24071
30.070,24071
30.170,24071
30.270,24071
30.371,24072
30.471,24072
30.571,24072
30.671,24072
30.771,24073
30.871,24073
30.972,24073
31.072,24073
31.173,24073
31.273,24073
31.372,24073
31.473,24073
31.574,24074
31.673,24074
31.774,24074
31.874,24075
31.974,24075
32.075,24075
32.175,24076
32.275,24076
32.375,24077
32.476,24077
32.576,24077
32.676,24077
32.776,24079
32.877,24079
32.977,24079
33.077,24079
33.178,24079
33.278,24081
33.378,24081
33.478,24081
33.580,24082
33.679,24083
33.779,24083
33.880,24083
33.980,24083
34.080,24083
34.180,24083
34.280,24083
34.381,24083
34.481,24083
34.581,24084
34.681,24085
34.781,24085
34.882,24085
34.982,24085
35.083,24085
35.183,24085
35.283,24085
35.383,24085
35.483,24085
35.583,24085
35.683,24085
35.784,24085
35.884,24085
35.985,24085
36.085,24085
36.185,24085
36.286,24086
36.386,24086
36.486,24086
36.586,24086
36.687,24087
36.786,24087
