TO_ORANGE
1462152035
time,tx_packets
0.001,17
0.101,17
0.201,17
0.302,17
0.402,17
0.502,17
0.602,17
0.702,17
0.803,17
0.903,17
1.003,17
1.103,17
1.203,17
1.304,17
1.404,17
1.504,17
1.604,17
1.705,17
1.805,17
1.905,17
2.005,17
2.105,17
2.206,17
2.306,17
2.406,17
2.506,17
2.606,17
2.707,17
2.807,17
2.907,17
3.007,17
3.107,17
3.208,17
3.308,17
3.408,17
3.508,17
3.608,17
3.709,17
3.809,17
3.909,17
4.009,17
4.110,17
4.210,17
4.310,17
4.410,17
4.510,17
4.611,17
4.711,17
4.811,17
4.911,17
5.011,17
5.112,17
5.212,17
5.312,17
5.412,17
5.512,17
5.613,17
5.713,17
5.813,17
5.913,17
6.014,17
6.114,17
6.214,17
6.314,17
6.414,17
6.515,17
6.615,17
6.715,17
6.815,17
6.915,17
7.016,17
7.116,17
7.216,17
7.316,17
7.416,17
7.517,17
7.617,17
7.717,17
7.817,17
7.917,17
8.018,17
8.118,17
8.218,17
8.318,17
8.418,17
8.519,17
8.619,17
8.719,17
8.819,17
8.919,17
9.020,17
9.120,17
9.220,17
9.320,17
9.421,17
9.521,17
9.621,17
9.721,17
9.821,17
9.922,17
10.022,17
10.122,17
10.222,17
10.322,17
10.423,17
10.523,17
10.623,17
10.723,17
10.823,17
10.924,17
11.024,17
11.124,17
11.224,17
11.324,17
11.425,17
11.525,17
11.625,17
11.725,17
11.826,17
11.926,17
12.026,17
12.126,17
12.226,17
12.327,17
12.427,17
12.527,17
12.627,17
12.727,17
12.828,17
12.928,17
13.028,17
13.128,17
13.228,17
13.329,17
13.429,17
13.529,17
13.629,17
13.729,17
13.830,17
13.930,17
14.030,17
14.130,17
14.230,17
14.331,17
14.431,17
14.531,17
14.631,17
14.732,17
14.832,17
14.932,17
15.032,17
15.132,17
15.233,17
15.333,17
15.433,17
15.533,17
15.633,17
15.734,17
15.834,17
15.934,17
16.034,17
16.134,17
16.235,17
16.335,17
16.435,17
16.535,17
16.635,17
16.736,17
16.836,17
16.936,17
17.036,17
17.136,17
17.237,17
17.337,17
17.437,17
17.537,17
17.638,17
17.738,17
17.838,17
17.938,17
18.038,17
18.139,17
18.239,17
18.339,17
18.439,17
18.539,17
18.640,17
18.740,17
18.840,17
18.940,17
19.040,17
19.141,17
19.241,17
19.341,17
19.441,17
19.542,17
19.642,17
19.742,17
19.842,17
19.942,17
20.043,17
20.143,17
20.243,17
20.343,17
20.443,17
20.544,17
20.644,17
20.744,17
20.844,17
20.944,17
21.045,17
21.145,17
21.245,17
21.345,17
21.445,17
21.546,17
21.646,17
21.746,17
21.846,17
21.946,17
22.047,17
22.147,17
22.247,17
22.347,17
22.448,17
22.548,17
22.648,17
22.748,17
22.848,17
22.949,17
23.049,17
23.149,17
23.249,17
23.349,17
23.450,17
23.550,17
23.650,17
23.750,17
23.850,17
23.951,17
24.051,17
24.151,17
24.251,17
24.351,17
24.452,17
24.552,17
24.652,17
24.752,17
24.852,17
24.953,17
25.053,17
25.153,17
25.253,17
25.353,17
25.454,17
25.554,17
25.654,17
25.754,17
25.854,17
25.955,17
26.055,17
26.155,17
26.255,17
26.356,17
26.456,17
26.556,17
26.656,17
26.756,17
26.857,17
26.957,17
27.057,17
27.157,17
27.257,17
27.358,17
27.458,17
27.558,17
27.658,17
27.758,17
27.859,17
27.959,17
28.059,17
28.159,17
28.259,17
28.360,17
28.460,17
28.560,17
28.660,17
28.760,17
28.861,17
28.961,17
29.061,17
29.161,17
29.261,17
29.362,17
29.462,17
29.562,17
29.662,17
29.762,17
29.863,17
29.963,17
30.063,17
30.163,17
30.264,17
30.364,17
30.464,17
30.564,17
30.664,17
30.765,17
30.865,17
30.965,17
31.065,17
31.165,17
31.266,17
31.366,17
31.466,17
31.566,17
31.666,17
31.767,17
31.867,17
31.967,17
32.067,17
32.167,17
32.268,17
32.368,17
32.468,17
32.568,17
32.668,17
32.769,17
32.869,17
32.969,17
33.069,17
33.169,17
33.270,17
33.370,17
33.470,17
33.570,17
33.670,17
33.771,17
33.871,17
33.971,17
34.071,17
34.172,17
34.272,17
34.372,17
34.472,17
34.572,17
34.673,17
34.773,17
34.873,17
34.973,17
35.073,17
35.174,17
35.274,17
35.374,17
35.474,17
35.574,17
35.675,17
35.775,17
35.875,17
35.975,17
36.075,17
36.176,17
36.276,17
36.376,17
36.476,17
36.576,17
36.677,17
36.777,17
36.877,17
36.977,17
37.078,17
37.178,17
37.278,17
37.378,17
37.478,17
37.578,17
