TO_UA
1462152405
time,tx_packets
0.001,19390
0.101,19390
0.201,19390
0.301,19390
0.402,19390
0.502,19390
0.602,19390
0.702,19392
0.802,19392
0.903,19392
1.002,19392
1.103,19392
1.203,19392
1.303,19393
1.403,19393
1.503,19393
1.604,19394
1.704,19394
1.804,19394
1.904,19394
2.005,19394
2.105,19394
2.205,19394
2.306,19394
2.405,19394
2.506,19394
2.606,19394
2.705,19395
2.806,19395
2.907,19395
3.006,19395
3.108,19395
3.207,19395
3.309,19395
3.408,19395
3.508,19395
3.608,19395
3.709,19395
3.809,19395
3.910,19395
4.008,19395
4.109,19395
4.209,19395
4.309,19395
4.411,19395
4.510,19396
4.610,19396
4.711,19396
4.810,19396
4.911,19396
5.010,19396
5.112,19397
5.211,19398
5.311,19398
5.413,19398
5.512,19398
5.612,19398
5.714,19398
5.813,19398
5.913,19398
6.013,19399
6.114,19399
6.214,19399
6.315,19399
6.415,19399
6.515,19399
6.615,19399
6.715,19399
6.815,19399
6.916,19399
7.016,19399
7.116,19401
7.216,19401
7.316,19401
7.416,19401
7.517,19401
7.617,19401
7.718,19401
7.818,19401
7.918,19401
8.018,19401
8.119,19401
8.218,19401
8.319,19401
8.419,19401
8.519,19401
8.620,19401
8.718,19401
8.819,19402
8.919,19402
9.021,19402
9.121,19402
9.220,19402
9.320,19402
9.420,19402
9.522,19404
9.620,19404
9.721,19404
9.821,19404
9.921,19404
10.022,19404
10.121,19404
10.221,19404
10.321,19405
10.422,19406
10.522,19406
10.622,19406
10.722,19406
10.822,19406
10.923,19406
11.023,19406
11.123,19406
11.223,19406
11.323,19406
11.424,19406
11.524,19406
11.624,19406
11.724,19406
11.824,19406
11.925,19406
12.025,19406
12.125,19406
12.225,19406
12.325,19406
12.426,19406
12.526,19406
12.626,19406
12.726,19406
12.826,19406
12.927,19406
13.027,19406
13.127,19406
13.227,19407
13.327,19407
13.428,19407
13.528,19407
13.628,19409
13.728,19409
13.828,19409
13.929,19409
14.029,19409
14.129,19409
14.229,19409
14.329,19409
14.430,19409
14.530,19409
14.630,19410
14.730,19410
14.830,19410
14.931,19410
15.031,19410
15.131,19410
15.231,19410
15.331,19410
15.432,19410
15.532,19410
15.632,19410
15.732,19410
15.832,19410
15.933,19410
16.033,19410
16.133,19410
16.233,19410
16.333,19410
16.434,19410
16.534,19410
16.634,19410
16.734,19410
16.835,19410
16.935,19410
17.035,19410
17.135,19410
17.235,19410
17.335,19410
17.436,19410
17.536,19410
17.636,19412
17.736,19412
17.836,19412
17.937,19412
18.037,19413
18.137,19413
18.237,19414
18.337,19414
18.438,19414
18.538,19414
18.638,19414
18.738,19417
18.838,19417
18.939,19417
19.039,19417
19.139,19417
19.239,19417
19.339,19417
19.440,19417
19.540,19417
19.640,19417
19.740,19417
19.840,19417
19.941,19417
20.041,19419
20.141,19419
20.241,19419
20.342,19419
20.442,19419
20.542,19419
20.642,19419
20.742,19419
20.842,19419
20.943,19419
21.043,19419
21.143,19419
21.243,19419
21.344,19419
21.444,19419
21.544,19419
21.644,19419
21.744,19419
21.845,19420
21.945,19420
22.045,19420
22.145,19421
22.245,19421
22.346,19421
22.446,19422
22.546,19422
22.646,19422
22.746,19422
22.847,19423
22.947,19423
23.047,19423
23.147,19424
23.247,19424
23.348,19424
23.448,19424
23.548,19424
23.652,19425
23.748,19425
23.849,19425
23.949,19425
24.049,19425
24.149,19425
24.250,19425
24.350,19425
24.450,19426
24.550,19426
24.651,19426
24.750,19426
24.851,19426
24.951,19426
25.051,19426
25.151,19426
25.251,19426
25.352,19426
25.452,19426
25.552,19426
25.652,19426
25.752,19426
25.853,19426
25.953,19427
26.053,19427
26.153,19427
26.254,19427
26.354,19427
26.454,19427
26.554,19429
26.654,19429
26.755,19429
26.855,19429
26.955,19430
27.055,19430
27.155,19430
27.256,19430
27.356,19430
27.456,19431
27.556,19431
27.657,19431
27.757,19431
27.857,19431
27.957,19431
28.057,19431
28.158,19431
28.258,19431
28.358,19431
28.458,19431
28.558,19431
28.659,19431
28.759,19431
28.859,19431
28.959,19431
29.060,19431
29.160,19431
29.260,19431
29.360,19431
29.460,19431
29.561,19431
29.661,19431
29.761,19431
29.861,19431
29.962,19431
30.062,19431
30.162,19431
30.262,19432
30.362,19432
30.463,19432
30.563,19432
30.663,19432
30.763,19432
30.864,19432
30.964,19433
31.064,19435
31.164,19435
31.265,19435
31.365,19435
31.465,19435
31.565,19435
31.665,19436
31.766,19436
31.866,19436
31.966,19436
32.066,19436
32.166,19436
32.267,19436
32.367,19436
32.467,19436
32.567,19436
32.668,19436
32.768,19436
32.868,19436
32.968,19436
33.069,19436
33.169,19438
33.269,19438
33.369,19438
33.469,19438
33.570,19438
33.670,19438
33.770,19438
33.870,19438
33.970,19438
34.071,19438
34.171,19438
34.271,19438
34.371,19438
34.472,19439
34.572,19439
34.672,19439
34.772,19439
34.873,19439
34.973,19439
35.073,19439
35.173,19439
35.274,19440
35.374,19440
35.474,19441
35.574,19441
35.674,19441
35.775,19441
35.875,19442
35.975,19442
36.075,19444
36.176,19444
36.276,19444
36.376,19444
36.476,19444
36.576,19444
36.676,19444
36.777,19444
36.877,19444
36.977,19444
37.077,19444
37.177,19444
37.278,19444
