TO_UIUC
1462152405
time,tx_packets
0.001,18876
0.101,18877
0.201,18878
0.301,18878
0.402,18878
0.502,18878
0.602,18878
0.702,18879
0.802,18879
0.903,18879
1.002,18879
1.102,18879
1.203,18879
1.303,18880
1.403,18880
1.503,18880
1.604,18881
1.704,18881
1.804,18881
1.904,18881
2.005,18881
2.105,18881
2.205,18881
2.305,18881
2.405,18881
2.506,18881
2.606,18881
2.707,18881
2.807,18881
2.907,18881
3.008,18881
3.107,18881
3.208,18881
3.308,18882
3.409,18882
3.510,18882
3.609,18882
3.709,18882
3.809,18882
3.909,18882
4.011,18882
4.110,18882
4.210,18882
4.311,18882
4.411,18882
4.511,18882
4.610,18883
4.711,18883
4.811,18883
4.911,18883
5.011,18883
5.111,18883
5.212,18884
5.312,18884
5.412,18884
5.513,18884
5.612,18884
5.712,18884
5.812,18884
5.912,18884
6.012,18885
6.113,18886
6.213,18886
6.313,18886
6.413,18886
6.513,18886
6.614,18887
6.714,18887
6.814,18887
6.914,18887
7.014,18887
7.115,18887
7.215,18887
7.315,18887
7.415,18887
7.516,18887
7.616,18887
7.717,18887
7.817,18887
7.917,18887
8.018,18887
8.118,18887
8.219,18887
8.318,18887
8.418,18887
8.519,18887
8.619,18887
8.720,18887
8.820,18891
8.920,18892
9.020,18892
9.121,18892
9.222,18892
9.322,18892
9.422,18892
9.522,18893
9.622,18893
9.722,18893
9.822,18893
9.922,18893
10.022,18893
10.123,18893
10.223,18893
10.323,18894
10.423,18895
10.524,18895
10.623,18895
10.724,18895
10.824,18895
10.925,18895
11.025,18895
11.125,18895
11.225,18895
11.325,18895
11.426,18895
11.526,18895
11.626,18895
11.727,18895
11.826,18895
11.927,18895
12.027,18895
12.127,18895
12.227,18895
12.328,18895
12.428,18895
12.528,18895
12.628,18895
12.728,18895
12.829,18895
12.928,18895
13.029,18895
13.129,18895
13.230,18897
13.330,18897
13.430,18897
13.530,18897
13.630,18898
13.731,18898
13.831,18898
13.931,18898
14.031,18898
14.132,18898
14.232,18898
14.332,18898
14.433,18898
14.533,18899
14.633,18900
14.733,18900
14.833,18900
14.934,18900
15.034,18900
15.134,18900
15.234,18900
15.335,18900
15.435,18900
15.535,18900
15.635,18900
15.735,18900
15.836,18900
15.937,18900
16.037,18900
16.137,18900
16.237,18900
16.337,18900
16.438,18900
16.538,18900
16.639,18900
16.739,18900
16.839,18900
16.939,18900
17.040,18900
17.140,18900
17.241,18900
17.341,18900
17.441,18900
17.541,18900
17.642,18904
17.742,18904
17.842,18905
17.943,18905
18.043,18905
18.143,18905
18.244,18905
18.344,18905
18.444,18905
18.545,18905
18.645,18906
18.745,18907
18.845,18907
18.945,18907
19.045,18907
19.146,18907
19.246,18907
19.346,18907
19.447,18907
19.547,18907
19.647,18907
19.747,18907
19.848,18907
19.948,18907
20.048,18907
20.148,18907
20.249,18907
20.349,18907
20.449,18907
20.549,18907
20.653,18907
20.750,18907
20.850,18907
20.951,18907
21.051,18907
21.151,18907
21.251,18907
21.352,18907
21.452,18907
21.552,18907
21.652,18907
21.753,18907
21.853,18910
21.953,18910
22.053,18911
22.154,18911
22.254,18911
22.354,18911
22.454,18912
22.555,18912
22.655,18912
22.755,18912
22.855,18913
22.956,18913
23.056,18913
23.156,18914
23.257,18914
23.357,18914
23.457,18914
23.557,18914
23.657,18914
23.758,18914
23.858,18914
23.958,18914
24.059,18914
24.159,18914
24.259,18914
24.359,18914
24.460,18914
24.560,18914
24.660,18914
24.760,18914
24.860,18914
24.961,18914
25.061,18914
25.161,18914
25.262,18914
25.362,18914
25.462,18914
25.562,18914
25.663,18914
25.763,18914
25.863,18914
25.964,18916
26.064,18916
26.164,18916
26.264,18917
26.364,18917
26.464,18917
26.565,18918
26.665,18918
26.765,18918
26.865,18918
26.966,18919
27.066,18919
27.166,18919
27.266,18919
27.366,18919
27.467,18920
27.567,18920
27.667,18920
27.767,18920
27.868,18920
27.968,18920
28.068,18920
28.168,18920
28.269,18920
28.369,18920
28.469,18920
28.569,18920
28.670,18920
28.770,18920
28.870,18920
28.971,18920
29.071,18920
29.171,18920
29.271,18920
29.372,18920
29.472,18920
29.572,18920
29.673,18920
29.773,18920
29.873,18920
29.974,18920
30.074,18920
30.174,18920
30.274,18922
30.375,18922
30.475,18922
30.575,18922
30.676,18922
30.776,18922
30.876,18922
30.976,18923
31.077,18924
31.177,18924
31.277,18924
31.377,18924
31.478,18924
31.578,18924
31.678,18925
31.779,18925
31.879,18925
31.979,18925
32.079,18925
32.180,18925
32.280,18925
32.380,18925
32.480,18925
32.581,18925
32.681,18925
32.781,18925
32.881,18925
32.982,18925
33.082,18925
33.182,18925
33.283,18925
33.383,18925
33.483,18925
33.583,18925
33.684,18925
33.784,18925
33.884,18925
33.984,18925
34.085,18925
34.185,18925
34.285,18925
34.385,18925
34.486,18926
34.586,18926
34.686,18927
34.787,18927
34.887,18927
34.987,18927
35.088,18927
35.188,18927
35.288,18927
35.388,18928
35.488,18928
35.589,18928
35.689,18928
35.789,18928
35.889,18929
35.990,18930
36.090,18930
36.190,18930
36.291,18930
36.391,18930
36.491,18930
36.591,18930
36.692,18930
36.792,18930
36.892,18930
36.993,18930
37.092,18930
37.193,18930
37.293,18930
