TO_CLIENT
1462152683
time,tx_packets
0.001,19
0.101,19
0.201,19
0.302,19
0.402,19
0.502,19
0.602,19
0.702,19
0.803,19
0.903,19
1.003,19
1.103,19
1.203,19
1.304,19
1.404,19
1.504,19
1.604,19
1.704,19
1.804,19
1.905,19
2.005,19
2.105,19
2.205,19
2.305,19
2.406,19
2.506,19
2.606,19
2.707,25
2.807,30
2.907,35
3.008,40
3.107,45
3.208,50
3.308,55
3.408,60
3.508,65
3.609,70
3.709,75
3.809,80
3.909,85
4.009,90
4.109,95
4.209,100
4.310,105
4.410,110
4.510,115
4.610,120
4.710,125
4.810,130
4.910,135
5.010,140
5.110,145
5.211,150
5.311,155
5.411,160
5.511,165
5.611,170
5.711,175
5.811,180
5.912,185
6.012,190
6.112,195
6.212,200
6.312,205
6.413,210
6.513,215
6.613,220
6.713,225
6.813,230
6.913,235
7.013,240
7.114,245
7.214,250
7.314,255
7.414,258
7.516,264
7.615,270
7.715,276
7.815,281
7.915,286
8.016,291
8.116,296
8.216,301
8.316,306
8.416,311
8.517,316
8.617,322
8.718,326
8.818,332
8.918,337
9.018,342
9.118,347
9.219,352
9.319,357
9.418,361
9.519,361
9.619,363
9.720,366
9.819,372
9.920,379
10.019,387
10.119,395
10.219,400
10.319,405
10.420,410
10.520,415
10.620,420
10.720,425
10.820,430
10.921,434
11.021,437
11.121,444
11.222,446
11.321,453
11.421,457
11.522,465
11.622,469
11.722,475
11.822,479
11.922,485
12.022,489
12.122,495
12.222,499
12.323,504
12.424,510
12.523,514
12.623,520
12.723,524
12.824,530
12.924,534
13.024,540
13.124,544
13.224,550
13.324,554
13.424,559
13.524,565
13.625,569
13.725,575
13.825,579
13.925,585
14.025,589
14.125,596
14.225,599
14.325,606
14.425,609
14.526,615
14.626,620
14.726,624
14.826,631
14.927,634
15.027,641
15.127,644
15.227,651
15.328,654
15.428,661
15.528,664
15.628,671
15.729,675
15.829,680
15.930,686
16.030,689
16.130,696
16.231,698
16.331,698
16.431,699
16.531,700
16.630,702
16.730,708
16.832,712
16.932,722
17.032,731
17.133,740
17.230,746
17.332,750
17.433,757
17.533,763
