FROM_KISTI
1462171496
time,rx_packets
0.001,60143
0.101,60143
0.201,60143
0.301,60143
0.402,60143
0.502,60143
0.602,60143
0.702,60143
0.802,60143
0.903,60143
1.003,60148
1.103,60153
1.203,60158
1.303,60163
1.404,60168
1.504,60173
1.604,60176
1.704,60183
1.804,60188
1.905,60193
2.005,60198
2.105,60203
2.205,60208
2.305,60213
2.406,60218
2.506,60223
2.606,60228
2.706,60233
2.807,60238
2.907,60243
3.007,60248
3.107,60253
3.207,60259
3.308,60264
3.408,60269
3.508,60274
3.608,60279
3.708,60284
3.808,60289
3.909,60294
4.009,60299
4.109,60304
4.209,60309
4.309,60314
4.410,60319
4.510,60324
4.610,60324
4.710,60334
4.810,60339
4.911,60344
5.011,60348
5.111,60354
5.211,60359
5.311,60364
5.412,60369
5.512,60374
5.612,60379
5.712,60384
5.812,60389
5.912,60394
6.013,60400
6.113,60405
6.213,60410
6.313,60415
6.413,60420
6.514,60425
6.614,60430
6.714,60435
6.814,60440
6.914,60445
7.015,60450
7.115,60455
7.215,60460
7.315,60465
7.415,60470
7.516,60475
7.616,60480
7.716,60485
7.816,60490
7.917,60495
8.017,60500
8.117,60505
8.217,60510
8.317,60515
8.418,60520
8.518,60525
8.618,60530
8.718,60535
8.818,60540
8.919,60545
9.019,60550
9.119,60555
9.219,60560
9.319,60565
9.420,60570
9.520,60575
9.620,60580
9.720,60585
9.820,60590
9.921,60595
10.021,60600
10.121,60605
10.221,60610
10.321,60615
10.422,60620
10.522,60625
10.622,60630
10.722,60635
10.823,60640
10.923,60645
11.023,60651
11.123,60656
11.223,60656
11.324,60656
11.424,60656
11.524,60656
11.624,60656
11.724,60656
11.824,60656
11.925,60656
12.025,60656
12.125,60656
12.225,60656
12.325,60656
12.426,60656
12.526,60656
12.626,60656
12.726,60656
12.826,60656
12.927,60656
13.027,60656
13.127,60656
13.227,60656
13.327,60656
13.428,60656
13.528,60656
13.628,60656
13.728,60656
13.828,60656
13.929,60656
14.029,60656
14.129,60656
14.229,60656
14.329,60656
14.430,60656
14.530,60656
14.630,60656
14.730,60656
14.830,60656
14.931,60656
15.031,60656
15.131,60656
15.231,60656
15.331,60656
15.432,60656
15.532,60656
15.632,60656
15.732,60656
15.832,60656
15.933,60656
16.033,60656
16.133,60656
16.233,60656
16.333,60656
16.434,60656
16.534,60656
16.634,60656
16.734,60656
16.834,60656
16.935,60656
17.035,60656
17.135,60656
17.235,60656
17.335,60656
17.436,60656
17.536,60656
17.636,60656
17.736,60656
17.836,60656
17.937,60656
18.037,60656
18.137,60656
18.237,60656
18.337,60656
18.438,60656
18.538,60656
18.638,60656
18.738,60656
18.838,60656
18.939,60656
19.039,60656
19.139,60656
19.239,60656
19.340,60656
19.440,60656
19.540,60656
19.640,60656
19.740,60656
19.840,60656
19.941,60656
20.041,60656
20.141,60656
20.241,60656
20.342,60656
20.442,60656
20.542,60656
20.642,60656
20.742,60656
20.843,60656
20.943,60656
21.043,60656
21.143,60656
21.243,60656
21.344,60656
21.444,60656
21.544,60656
21.644,60656
21.744,60656
21.845,60656
21.945,60656
22.045,60656
22.145,60656
22.245,60656
22.346,60656
22.446,60656
22.546,60656
22.646,60656
22.746,60656
22.847,60656
22.947,60656
23.047,60656
23.147,60656
23.247,60656
23.348,60656
23.448,60656
23.548,60656
23.648,60656
23.748,60656
23.849,60656
23.949,60656
24.049,60656
24.149,60656
24.249,60656
24.350,60656
24.450,60656
24.550,60656
24.650,60656
24.751,60656
24.851,60656
24.951,60656
25.051,60656
25.151,60656
25.252,60656
25.352,60656
