TO_CLIENT
1462171496
time,tx_packets
0.002,60110
0.101,60110
0.201,60110
0.301,60110
0.401,60110
0.501,60110
0.602,60110
0.702,60110
0.802,60110
0.902,60110
1.002,60110
1.103,60115
1.203,60120
1.303,60125
1.403,60130
1.503,60135
1.604,60140
1.704,60142
1.804,60149
1.904,60155
2.004,60160
2.105,60165
2.205,60170
2.305,60175
2.406,60180
2.506,60185
2.607,60190
2.707,60195
2.807,60200
2.907,60205
3.007,60210
3.107,60215
3.208,60220
3.308,60225
3.408,60230
3.509,60235
3.609,60240
3.710,60245
3.809,60250
3.909,60255
4.011,60260
4.111,60266
4.211,60270
4.311,60276
4.411,60280
4.511,60285
4.612,60290
4.712,60292
4.812,60301
4.912,60306
5.013,60311
5.113,60314
5.214,60320
5.313,60326
5.413,60331
5.513,60336
5.615,60341
5.714,60346
5.814,60352
5.914,60357
6.014,60362
6.114,60367
6.214,60371
6.315,60377
6.416,60382
6.515,60387
6.615,60392
6.715,60397
6.815,60402
6.916,60407
7.016,60412
7.116,60417
7.216,60422
7.316,60427
7.416,60432
7.517,60437
7.617,60442
7.717,60447
7.817,60452
7.917,60457
8.018,60462
8.118,60467
8.218,60472
8.318,60477
8.418,60482
8.519,60487
8.619,60492
8.719,60497
8.819,60502
8.919,60507
9.020,60512
9.120,60517
9.220,60522
9.320,60527
9.420,60532
9.521,60537
9.621,60542
9.721,60547
9.821,60552
9.921,60557
10.021,60562
10.122,60567
10.222,60572
10.322,60577
10.422,60582
10.522,60587
10.623,60592
10.723,60597
10.823,60603
10.923,60608
11.023,60611
11.123,60611
11.224,60611
11.324,60611
11.424,60611
11.524,60611
11.625,60611
11.725,60611
11.825,60611
11.925,60611
12.025,60611
12.126,60611
12.226,60611
12.326,60611
12.426,60611
12.526,60611
12.626,60611
12.726,60611
12.827,60611
12.927,60611
13.027,60611
13.127,60611
13.227,60611
13.328,60611
13.428,60611
13.528,60611
13.628,60611
13.728,60611
13.829,60611
13.929,60611
14.029,60611
14.129,60611
14.229,60611
14.330,60611
14.430,60611
14.530,60611
14.630,60611
14.730,60611
14.831,60611
14.931,60611
15.031,60611
15.131,60611
15.231,60611
15.332,60611
15.432,60611
15.532,60611
15.632,60611
15.732,60611
15.833,60611
15.933,60611
16.033,60611
16.133,60611
16.234,60611
16.334,60611
16.434,60611
16.534,60611
16.634,60611
16.735,60611
16.835,60611
16.935,60611
17.035,60611
17.135,60611
17.236,60611
17.336,60611
17.436,60611
17.536,60611
17.636,60611
17.737,60611
17.837,60611
17.937,60611
18.037,60611
18.137,60611
18.238,60611
18.338,60611
18.438,60611
18.538,60611
18.638,60611
18.739,60611
18.839,60611
18.939,60611
19.039,60611
19.139,60611
19.240,60611
19.340,60611
19.440,60611
19.540,60611
19.641,60611
19.741,60611
19.841,60611
19.941,60611
20.041,60611
20.142,60611
20.242,60611
20.342,60611
20.442,60611
20.542,60611
20.642,60611
20.743,60611
20.843,60611
20.943,60611
21.043,60611
21.143,60611
21.244,60611
21.344,60611
21.444,60611
21.544,60611
21.644,60611
21.745,60611
21.845,60611
21.945,60611
22.045,60611
22.146,60611
22.246,60611
22.346,60611
22.446,60611
22.546,60611
22.647,60611
22.747,60611
22.847,60611
22.947,60611
23.047,60611
23.148,60611
23.248,60611
23.348,60611
23.448,60611
23.549,60611
23.649,60611
23.749,60611
23.849,60611
23.949,60611
24.050,60611
24.150,60611
24.250,60611
24.350,60611
24.450,60611
24.551,60611
24.651,60611
24.751,60611
24.851,60611
24.951,60611
25.052,60611
25.152,60611
25.252,60611
25.352,60611
25.453,60611
25.553,60611
25.653,60611
25.753,60611
25.853,60611
25.954,60611
26.054,60611
26.154,60611
26.254,60611
26.355,60612
26.455,60612
26.555,60612
26.655,60612
26.755,60612
26.856,60612
26.956,60612
27.056,60612
27.156,60612
27.256,60612
27.357,60612
27.457,60612
27.557,60612
27.657,60612
27.758,60612
27.858,60612
27.958,60612
28.058,60612
28.158,60612
28.259,60612
28.359,60612
28.459,60612
28.559,60612
28.659,60612
28.760,60612
28.860,60612
28.960,60612
29.060,60612
29.160,60612
29.261,60612
29.361,60612
29.461,60612
29.561,60612
29.661,60612
29.762,60612
29.862,60612
29.962,60612
30.062,60612
30.162,60612
30.263,60612
30.363,60612
30.463,60612
30.563,60612
30.664,60612
30.764,60612
30.864,60612
30.964,60612
31.064,60612
31.165,60612
31.265,60612
31.365,60612
31.465,60612
31.565,60612
31.666,60612
31.766,60612
31.866,60612
31.966,60612
32.067,60612
32.167,60612
32.267,60612
32.367,60612
33.467,60612
33.568,60612
33.668,60612
33.768,60612
33.868,60612
33.968,60612
34.069,60612
34.169,60612
34.269,60612
34.369,60612
34.469,60612
34.570,60612
34.670,60612
34.770,60612
34.870,60612
34.971,60612
35.071,60612
35.171,60612
35.271,60612
35.371,60612
35.472,60612
35.572,60612
35.672,60612
35.772,60612
35.873,60612
35.973,60612
36.073,60612
36.173,60612
36.273,60612
36.374,60612
36.474,60612
36.574,60612
36.674,60612
36.775,60612
36.875,60612
36.975,60612
37.075,60612
37.175,60612
37.276,60612
37.376,60612
37.476,60612
37.576,60612
37.676,60612
37.777,60612
37.877,60612
37.977,60612
38.077,60612
38.177,60612
38.278,60612
38.378,60612
38.478,60612
38.578,60612
38.678,60612
38.779,60612
38.879,60612
38.979,60612
39.079,60612
39.179,60612
39.280,60612
39.380,60612
39.480,60612
39.580,60612
39.681,60612
39.781,60612
39.881,60612
39.981,60612
40.082,60612
40.182,60612
40.282,60612
40.382,60612
40.482,60612
40.583,60612
40.683,60612
40.783,60612
40.883,60612
40.983,60612
41.083,60612
41.184,60612
41.284,60612
41.384,60612
41.484,60612
41.585,60612
41.685,60612
41.785,60612
41.885,60612
41.985,60612
42.086,60612
42.186,60612
42.286,60612
42.386,60612
42.486,60612
42.587,60612
42.687,60612
42.787,60612
42.887,60612
42.988,60612
43.088,60612
43.188,60612
43.288,60612
43.388,60612
43.489,60612
43.589,60612
43.689,60612
43.789,60612
43.889,60612
43.990,60612
44.090,60612
44.190,60612
44.290,60612
44.391,60612
44.491,60612
44.591,60612
44.691,60612
44.791,60612
44.892,60612
44.992,60612
45.092,60612
45.192,60612
45.293,60612
45.393,60612
45.493,60612
45.593,60612
45.693,60612
45.794,60612
45.894,60612
45.994,60612
46.094,60612
46.194,60612
46.295,60612
46.395,60612
46.495,60612
46.595,60612
46.695,60612
46.796,60612
46.896,60613
46.996,60613
47.096,60613
47.197,60613
47.297,60613
47.397,60613
47.497,60613
47.597,60613
47.698,60613
47.798,60613
47.898,60613
47.998,60613
48.099,60613
48.199,60613
48.299,60613
48.399,60613
48.499,60613
48.600,60613
48.700,60613
48.800,60613
48.900,60613
49.000,60613
49.101,60613
49.201,60613
49.301,60613
49.401,60613
49.501,60613
49.602,60613
49.702,60613
49.802,60613
49.902,60613
50.002,60613
50.103,60613
50.203,60613
50.303,60613
50.403,60613
50.503,60613
50.604,60613
50.704,60613
50.804,60613
50.904,60613
51.004,60613
51.105,60613
51.205,60613
51.305,60613
51.405,60613
51.505,60613
51.605,60613
51.706,60613
51.806,60613
51.906,60613
52.006,60613
52.107,60613
52.207,60613
52.307,60613
52.407,60613
52.507,60613
52.608,60613
52.708,60613
52.808,60613
52.908,60613
53.008,60613
53.109,60613
53.209,60613
53.309,60613
53.409,60613
53.509,60613
53.610,60613
53.710,60613
53.810,60613
53.910,60613
54.010,60613
54.111,60613
54.211,60613
54.311,60613
54.411,60613
54.511,60613
54.612,60613
54.712,60613
54.812,60613
54.912,60613
55.012,60613
55.113,60613
55.213,60613
55.313,60613
55.413,60613
55.513,60613
55.614,60613
55.714,60613
55.814,60613
55.914,60613
56.014,60613
56.115,60613
56.215,60613
56.315,60613
56.415,60613
56.515,60613
56.616,60613
56.716,60613
56.816,60613
56.916,60613
57.016,60613
57.117,60613
57.217,60613
57.317,60613
57.417,60613
57.518,60613
57.618,60613
57.718,60613
57.818,60613
57.918,60613
58.019,60613
58.119,60613
58.219,60613
58.319,60613
58.419,60613
58.520,60613
58.620,60613
58.720,60613
58.820,60613
58.920,60613
59.021,60613
59.121,60613
59.221,60613
59.321,60613
59.422,60613
59.522,60613
59.622,60613
59.722,60613
59.822,60613
59.923,60613
60.023,60613
60.123,60613
60.223,60613
60.323,60613
60.424,60613
60.524,60613
60.624,60613
60.724,60613
60.824,60613
60.925,60613
61.025,60613
61.125,60613
61.225,60613
61.328,60613
61.426,60613
61.526,60613
61.626,60613
61.726,60613
61.827,60613
61.927,60613
62.027,60613
62.127,60613
62.228,60613
62.331,60613
62.428,60613
62.528,60613
62.628,60613
62.728,60613
62.829,60613
62.929,60613
63.029,60613
63.129,60613
63.229,60613
63.330,60613
63.430,60613
63.530,60613
63.630,60613
63.730,60613
63.831,60613
63.931,60613
64.031,60613
64.131,60613
64.231,60613
64.332,60613
64.432,60613
64.532,60613
64.632,60613
64.733,60613
64.833,60613
64.933,60613
65.033,60613
65.133,60613
65.234,60613
65.334,60613
65.434,60613
65.534,60613
65.634,60613
65.734,60613
65.835,60613
65.935,60613
66.035,60613
66.135,60613
66.235,60613
66.335,60613
66.436,60613
66.536,60613
66.636,60613
66.736,60613
66.836,60613
66.937,60613
67.037,60613
67.137,60613
67.237,60613
67.338,60613
67.438,60614
67.538,60614
67.638,60614
67.738,60614
67.839,60614
67.939,60614
68.039,60614
68.139,60614
68.239,60614
68.339,60614
68.440,60614
68.540,60614
68.640,60614
68.740,60614
68.840,60614
68.941,60614
69.041,60614
69.141,60614
69.241,60614
69.342,60614
69.442,60614
69.542,60614
69.643,60614
69.743,60614
69.843,60614
69.944,60614
70.044,60614
70.143,60614
70.244,60614
70.345,60614
70.444,60614
70.544,60614
70.645,60614
70.745,60614
70.845,60614
70.945,60614
71.046,60614
71.147,60614
71.246,60614
71.346,60614
71.447,60614
71.547,60614
71.647,60614
71.747,60614
71.848,60614
71.948,60614
72.049,60614
72.149,60614
72.249,60614
72.349,60614
72.450,60614
72.549,60614
72.650,60614
72.750,60614
72.850,60614
72.950,60614
73.051,60614
73.150,60614
73.251,60614
73.351,60614
73.451,60614
73.552,60614
73.652,60614
73.752,60614
73.853,60614
73.953,60614
74.053,60614
74.153,60614
74.254,60614
74.354,60614
74.454,60614
74.554,60614
74.655,60614
74.755,60614
74.856,60614
74.956,60614
75.056,60614
75.156,60614
75.257,60614
75.357,60614
75.457,60614
75.557,60614
75.657,60614
75.757,60614
75.857,60614
75.957,60614
76.058,60614
76.158,60614
76.258,60614
76.358,60614
76.459,60614
76.559,60614
76.659,60614
76.759,60614
76.859,60614
76.959,60614
77.060,60614
77.159,60614
