TO_URJC
1462170123
time,tx_packets
0.001,3343
0.101,3343
0.201,3344
0.301,3344
0.401,3344
0.502,3344
0.602,3345
0.702,3345
0.802,3345
0.902,3345
1.003,3346
1.103,3347
1.203,3348
1.303,3348
1.403,3348
1.504,3348
1.604,3348
1.704,3348
1.804,3349
1.904,3351
2.005,3351
2.105,3351
2.205,3352
2.305,3352
2.405,3352
2.506,3352
2.606,3352
2.706,3352
2.806,3352
2.906,3352
3.006,3352
3.106,3352
3.207,3352
3.307,3352
3.407,3352
3.507,3352
3.607,3352
3.708,3352
3.808,3352
3.908,3352
4.008,3353
4.109,3353
4.209,3353
4.309,3354
4.409,3354
4.510,3354
4.610,3354
4.710,3356
4.810,3356
4.910,3356
5.010,3356
5.111,3356
5.211,3356
5.311,3357
5.411,3357
5.512,3359
5.612,3359
5.712,3359
5.813,3359
5.913,3360
6.013,3360
6.114,3361
6.213,3362
6.314,3362
6.414,3362
6.514,3364
6.614,3364
6.715,3364
6.815,3364
6.915,3364
7.015,3364
7.116,3364
7.216,3364
7.316,3364
7.417,3364
7.518,3364
7.617,3364
7.717,3364
7.819,3364
7.919,3364
8.020,3364
8.119,3364
8.219,3364
8.321,3364
8.419,3365
8.519,3365
8.621,3365
8.721,3366
8.821,3366
8.921,3366
9.021,3366
9.121,3367
9.221,3367
9.321,3367
9.422,3367
9.522,3367
9.622,3367
9.724,3368
9.822,3368
9.923,3368
10.024,3368
10.123,3368
10.223,3368
10.323,3369
10.425,3370
10.525,3370
10.624,3370
10.725,3370
10.824,3371
10.926,3371
11.026,3372
11.126,3372
11.227,3372
11.326,3372
11.426,3372
11.527,3372
11.627,3372
11.727,3372
11.828,3372
11.927,3372
12.028,3372
12.128,3372
12.229,3372
12.328,3372
12.429,3372
12.529,3372
12.630,3372
12.731,3372
12.831,3373
12.931,3373
13.032,3373
13.132,3373
13.232,3373
13.332,3373
13.432,3373
13.533,3374
13.633,3374
13.734,3374
13.833,3376
13.934,3376
14.034,3376
14.134,3376
14.234,3376
14.334,3377
14.434,3377
14.535,3378
14.635,3379
14.735,3379
14.835,3379
14.936,3380
15.036,3380
15.136,3381
15.236,3382
15.337,3382
15.436,3382
15.537,3382
15.637,3382
15.737,3382
15.837,3382
15.937,3382
16.038,3382
16.138,3382
16.238,3382
16.338,3382
16.438,3383
16.538,3383
16.638,3383
16.739,3383
16.839,3383
16.939,3383
17.039,3384
17.139,3384
17.240,3385
17.340,3385
17.440,3385
17.540,3385
17.640,3385
17.740,3386
17.841,3386
17.941,3386
18.041,3386
18.142,3386
18.242,3386
18.342,3387
18.442,3387
18.543,3387
18.643,3387
18.744,3387
18.844,3387
18.944,3387
19.044,3389
19.144,3389
19.245,3389
19.345,3391
19.446,3391
19.546,3391
19.647,3391
19.747,3391
19.847,3391
19.947,3391
20.048,3391
20.148,3391
20.248,3391
20.349,3391
20.448,3391
20.548,3391
20.649,3391
20.749,3391
20.849,3391
20.950,3391
21.050,3391
21.150,3392
21.250,3392
21.350,3392
21.450,3393
21.551,3393
21.651,3394
21.751,3395
21.851,3395
21.951,3395
22.051,3395
22.151,3395
22.252,3395
22.352,3395
22.452,3395
22.552,3396
22.652,3397
22.753,3397
22.853,3397
22.953,3397
23.053,3397
23.154,3398
23.254,3398
23.354,3398
23.454,3399
23.554,3399
23.654,3399
23.754,3400
23.854,3400
23.954,3400
24.055,3400
24.155,3400
24.255,3400
24.355,3400
24.455,3400
24.556,3400
24.656,3400
24.756,3400
24.856,3400
24.956,3400
25.057,3400
25.157,3400
25.257,3401
25.357,3401
25.457,3401
25.557,3401
25.658,3401
25.758,3401
25.858,3402
25.958,3402
26.058,3403
26.159,3403
26.259,3404
26.359,3404
26.459,3404
26.559,3404
26.659,3404
26.759,3404
26.860,3405
26.960,3405
27.060,3406
27.160,3406
27.260,3406
27.360,3406
27.461,3408
27.561,3408
27.661,3408
27.761,3408
27.861,3408
27.961,3410
28.062,3410
28.162,3410
28.262,3410
28.362,3410
28.462,3410
28.562,3410
28.663,3410
28.763,3410
28.863,3410
28.963,3410
29.063,3410
29.163,3410
29.264,3410
29.364,3410
29.464,3410
29.564,3410
29.664,3410
29.765,3411
29.865,3411
29.965,3412
30.065,3412
30.165,3412
30.265,3412
30.365,3412
30.466,3412
30.566,3412
30.666,3412
30.766,3413
30.866,3414
30.967,3414
31.067,3414
31.167,3414
31.267,3415
31.367,3415
31.467,3415
31.567,3415
31.667,3415
31.768,3416
31.868,3416
31.968,3416
32.068,3416
32.168,3417
32.268,3417
32.368,3417
32.469,3418
32.569,3418
32.669,3418
32.769,3418
32.869,3418
32.969,3418
33.069,3418
33.169,3418
33.270,3418
33.370,3418
33.470,3418
33.570,3418
33.671,3418
33.771,3418
33.871,3418
33.971,3418
34.071,3418
34.172,3419
34.272,3419
34.372,3419
34.472,3419
34.572,3420
34.672,3420
34.773,3420
34.873,3421
34.973,3421
35.073,3421
35.173,3421
35.273,3421
35.374,3421
35.474,3421
35.574,3422
35.674,3422
35.774,3422
35.874,3422
35.975,3423
36.075,3423
36.175,3424
36.275,3425
36.375,3425
36.476,3425
36.576,3425
36.676,3425
36.776,3425
36.876,3426
36.976,3426
37.077,3426
37.177,3426
37.277,3426
37.377,3426
37.477,3426
37.577,3426
37.678,3426
37.778,3426
37.878,3426
37.978,3426
38.078,3426
38.179,3426
38.279,3427
38.379,3427
38.479,3428
38.579,3428
38.680,3428
38.780,3429
38.880,3429
38.980,3429
39.080,3429
39.181,3430
39.281,3431
39.381,3431
39.481,3431
39.581,3431
39.681,3431
39.782,3431
39.882,3432
39.982,3432
40.082,3432
40.182,3433
40.282,3434
40.383,3434
40.483,3434
40.583,3435
40.683,3435
40.783,3435
40.883,3435
40.984,3435
41.084,3435
41.184,3435
41.284,3435
41.384,3435
41.484,3435
41.584,3435
41.684,3435
41.785,3435
41.885,3435
41.985,3435
42.085,3435
42.185,3435
42.285,3435
42.386,3435
42.486,3435
42.586,3436
42.686,3436
42.786,3436
42.886,3437
42.987,3437
43.087,3437
43.187,3437
43.287,3437
43.387,3438
43.488,3438
43.588,3438
43.688,3438
43.788,3438
43.889,3438
43.989,3438
44.089,3438
44.189,3438
44.289,3439
44.390,3440
44.490,3440
44.590,3440
44.690,3440
44.790,3440
44.891,3440
44.991,3440
45.091,3441
45.192,3441
45.291,3442
45.391,3442
45.492,3442
45.592,3442
45.692,3442
45.792,3442
45.892,3442
45.993,3442
46.093,3442
46.193,3442
46.293,3442
46.393,3442
46.493,3442
46.594,3442
46.694,3442
46.794,3442
46.894,3443
46.994,3444
47.094,3444
47.195,3444
47.295,3444
47.395,3444
47.495,3444
47.595,3444
47.696,3444
47.795,3444
47.895,3445
47.996,3445
48.096,3445
48.196,3445
48.296,3446
48.396,3446
