FROM_CLIENT
1462170394
time,rx_packets
0.001,25182
0.101,25182
0.201,25182
0.302,25182
0.401,25182
0.501,25182
0.602,25182
0.702,25182
0.802,25185
0.902,25190
1.003,25195
1.103,25200
1.203,25205
1.303,25210
1.403,25215
1.503,25220
1.604,25225
1.704,25230
1.804,25235
1.904,25240
2.004,25245
2.104,25250
2.205,25255
2.305,25260
2.405,25265
2.505,25270
2.605,25275
2.706,25280
2.806,25285
2.906,25290
3.006,25295
3.106,25300
3.206,25305
3.307,25308
3.407,25315
3.507,25320
3.607,25325
3.707,25330
3.807,25335
3.908,25340
4.008,25345
4.108,25350
4.208,25355
4.309,25360
4.409,25365
4.509,25370
4.609,25375
4.710,25380
4.810,25385
4.910,25390
5.010,25395
5.110,25400
5.211,25405
5.310,25410
5.411,25415
5.511,25420
5.612,25425
5.712,25430
5.812,25436
5.912,25441
6.012,25446
6.112,25451
6.212,25456
6.312,25461
6.413,25466
6.513,25471
6.613,25476
6.713,25481
6.813,25486
6.913,25491
7.014,25496
7.114,25501
7.214,25506
7.314,25511
7.414,25516
7.515,25521
7.614,25526
7.715,25531
7.815,25536
7.916,25541
8.015,25546
8.116,25551
8.216,25556
8.316,25559
8.416,25566
8.516,25571
8.617,25576
8.717,25581
8.817,25586
8.917,25591
9.017,25596
9.118,25601
9.217,25606
9.318,25611
9.418,25616
9.519,25621
9.619,25626
9.719,25631
9.819,25636
9.920,25641
10.020,25646
10.120,25651
10.220,25656
10.320,25661
10.421,25666
10.520,25671
10.621,25676
10.720,25681
10.820,25687
10.920,25692
11.022,25697
11.121,25702
11.221,25707
11.322,25712
11.421,25717
11.522,25723
11.621,25727
11.721,25732
11.822,25737
11.922,25743
12.022,25748
12.122,25753
12.223,25758
12.323,25763
12.423,25768
12.522,25773
12.623,25778
12.723,25783
12.823,25788
12.923,25793
13.023,25798
13.123,25803
13.223,25808
13.323,25810
13.423,25818
13.523,25823
13.623,25828
13.723,25833
13.824,25838
13.924,25843
14.024,25848
14.124,25853
14.224,25858
14.324,25863
14.424,25868
14.524,25873
14.625,25878
14.725,25883
14.825,25888
14.925,25893
15.025,25898
15.125,25903
15.225,25908
15.326,25913
15.426,25918
15.526,25923
15.626,25928
15.726,25933
15.827,25938
15.927,25943
16.027,25948
16.127,25953
16.227,25958
16.327,25963
16.428,25968
16.528,25973
16.628,25978
16.728,25983
16.829,25988
16.929,25993
17.029,25998
17.129,26003
17.229,26008
17.330,26013
17.430,26018
17.530,26023
17.631,26028
17.731,26033
17.830,26038
17.931,26043
18.031,26048
18.132,26053
18.233,26058
18.332,26063
18.433,26068
18.533,26073
18.633,26078
18.734,26083
18.833,26088
18.934,26093
19.034,26098
19.134,26103
19.234,26108
19.335,26113
19.435,26118
19.536,26123
19.636,26128
19.736,26133
19.836,26138
19.936,26143
20.036,26148
20.137,26153
20.236,26158
20.337,26163
20.437,26168
20.538,26173
20.637,26178
20.738,26183
20.838,26188
20.938,26193
21.038,26198
21.139,26203
21.238,26208
21.339,26213
22.439,26268
22.539,26273
22.639,26278
22.740,26283
22.840,26288
22.940,26293
23.040,26298
23.140,26303
23.240,26308
23.341,26313
23.441,26318
23.541,26323
23.641,26328
23.742,26333
23.842,26338
23.942,26344
24.042,26348
24.142,26354
24.242,26359
24.342,26364
24.442,26369
24.543,26374
24.643,26379
24.743,26384
24.843,26389
24.943,26394
25.043,26399
25.143,26404
25.243,26409
25.344,26414
25.444,26419
25.544,26424
25.644,26429
25.745,26434
25.845,26439
25.945,26444
26.045,26449
26.146,26454
26.246,26459
26.346,26464
26.446,26469
26.546,26474
26.646,26479
26.747,26484
26.847,26489
26.947,26494
27.048,26499
27.148,26504
27.248,26509
27.349,26514
27.449,26519
27.549,26524
27.649,26529
27.749,26534
27.849,26539
27.950,26544
28.050,26549
28.150,26554
28.250,26559
28.350,26560
28.450,26569
28.550,26574
28.650,26579
28.750,26584
28.850,26589
28.950,26594
29.050,26599
29.150,26604
29.251,26609
29.351,26614
29.451,26619
29.551,26624
29.651,26629
29.751,26634
29.851,26640
29.951,26645
30.052,26650
30.152,26655
30.252,26660
30.352,26665
30.452,26670
30.552,26675
30.652,26680
30.752,26685
30.852,26690
30.953,26695
31.054,26700
31.154,26705
31.253,26710
31.353,26715
31.453,26720
31.554,26725
31.653,26730
31.753,26735
31.854,26740
31.954,26745
32.054,26750
32.154,26755
32.254,26760
32.354,26765
32.455,26770
32.555,26775
32.655,26780
32.756,26785
32.856,26790
32.956,26795
33.056,26800
33.156,26805
33.256,26810
33.357,26811
33.458,26820
33.558,26825
33.657,26830
33.758,26835
33.858,26840
