TO_KISTI
1462170394
time,tx_packets
0.001,20530
0.101,20530
0.201,20530
0.301,20530
0.402,20530
0.502,20530
0.602,20530
0.702,20530
0.803,20530
0.903,20530
1.003,20534
1.103,20539
1.203,20544
1.304,20549
1.404,20554
1.504,20559
1.604,20564
1.704,20569
1.805,20574
1.905,20577
2.005,20585
2.105,20590
2.205,20595
2.305,20600
2.406,20605
2.506,20610
2.606,20615
2.706,20620
2.807,20625
2.907,20630
3.007,20635
3.107,20640
3.207,20645
3.308,20650
3.408,20655
3.508,20656
3.608,20665
3.708,20670
3.809,20675
3.909,20680
4.009,20685
4.109,20690
4.209,20695
4.310,20700
4.410,20705
4.510,20710
4.610,20715
4.711,20720
4.811,20725
4.911,20730
5.011,20735
5.111,20740
5.212,20745
5.312,20750
5.412,20755
5.512,20760
5.613,20765
5.713,20770
5.813,20775
5.913,20780
6.013,20786
6.114,20791
6.214,20796
6.314,20801
6.414,20806
6.515,20811
6.615,20816
6.715,20821
6.815,20826
6.915,20831
7.015,20836
7.116,20841
7.216,20846
7.316,20851
7.416,20856
7.517,20861
7.617,20866
7.717,20871
7.817,20876
7.917,20881
8.017,20886
8.117,20891
8.218,20896
8.318,20901
8.418,20906
8.518,20907
8.618,20916
8.718,20921
8.819,20926
8.919,20931
9.019,20936
9.119,20941
9.219,20946
9.320,20951
9.420,20956
9.520,20961
9.620,20966
9.720,20971
9.821,20976
9.921,20981
10.021,20986
10.121,20991
10.222,20996
10.322,21001
10.422,21006
10.522,21011
10.622,21016
10.723,21021
10.823,21026
10.923,21031
11.023,21037
11.124,21042
11.224,21046
11.324,21046
11.424,21046
11.524,21051
11.625,21056
11.725,21061
11.825,21066
11.925,21071
12.026,21076
12.126,21081
12.226,21086
12.326,21091
12.426,21096
12.527,21101
12.627,21106
12.727,21111
12.827,21116
12.927,21122
13.028,21127
13.128,21132
13.228,21137
13.328,21142
13.429,21147
13.529,21152
13.629,21157
13.729,21158
13.829,21167
13.930,21172
14.030,21177
14.130,21182
14.230,21187
14.331,21192
14.431,21197
14.531,21202
14.631,21207
14.731,21212
14.831,21217
14.932,21222
15.032,21227
15.132,21232
15.232,21237
15.333,21242
15.433,21247
15.533,21252
15.633,21257
15.733,21262
15.834,21267
15.934,21272
16.034,21277
16.134,21282
16.234,21287
16.335,21292
16.435,21297
16.535,21302
16.635,21307
16.735,21312
16.835,21317
16.935,21322
17.036,21327
17.136,21332
17.236,21337
17.336,21342
17.436,21347
17.536,21352
17.637,21357
17.737,21362
17.837,21367
17.937,21372
18.037,21377
18.138,21382
18.238,21387
18.338,21392
18.438,21397
18.538,21402
18.638,21407
18.739,21412
18.839,21417
18.939,21422
19.039,21427
19.139,21432
19.239,21437
19.339,21442
19.439,21447
19.539,21452
19.640,21457
19.740,21462
19.840,21467
19.940,21472
20.040,21477
20.140,21482
20.240,21487
20.341,21492
20.441,21497
20.541,21501
20.641,21507
20.741,21512
20.841,21517
20.941,21522
21.042,21527
21.142,21532
21.242,21537
21.342,21542
21.442,21547
21.542,21552
21.642,21557
21.743,21562
21.843,21567
21.943,21572
22.043,21577
22.143,21582
22.243,21587
22.343,21592
22.443,21597
22.544,21602
22.644,21607
22.744,21612
22.844,21617
22.944,21622
23.044,21627
23.144,21632
23.245,21637
23.345,21642
23.445,21647
23.545,21652
23.645,21657
23.745,21662
23.845,21667
23.946,21672
24.046,21677
24.146,21682
24.246,21687
24.346,21692
24.446,21697
24.546,21702
24.647,21707
24.747,21712
24.847,21717
24.947,21722
25.047,21727
25.147,21732
25.247,21738
25.348,21743
25.448,21748
25.548,21753
25.648,21758
25.748,21763
25.848,21768
25.948,21773
26.048,21778
26.149,21783
26.249,21788
26.349,21793
26.449,21798
26.549,21803
26.649,21808
26.749,21813
26.850,21818
26.950,21823
27.050,21828
27.150,21833
27.250,21838
27.350,21843
27.450,21848
27.550,21853
27.651,21858
27.751,21863
27.851,21868
27.951,21873
28.051,21878
28.151,21883
28.251,21888
28.352,21893
28.452,21898
28.552,21903
28.652,21908
28.752,21913
28.852,21918
28.952,21922
29.052,21928
29.153,21933
29.253,21938
29.353,21943
29.453,21948
29.553,21953
29.653,21958
29.753,21963
29.854,21968
29.954,21973
30.054,21978
30.154,21983
30.254,21988
30.354,21993
30.454,21998
30.555,22003
30.655,22008
30.755,22013
30.855,22018
30.955,22023
31.055,22028
31.155,22033
31.255,22038
31.356,22043
31.456,22048
31.556,22053
31.656,22058
31.756,22063
31.856,22068
31.956,22073
32.057,22078
32.157,22083
32.257,22088
32.357,22093
32.457,22098
32.557,22103
32.657,22108
32.758,22113
32.858,22118
32.958,22123
33.058,22128
33.158,22133
33.258,22138
33.358,22143
33.459,22148
33.559,22153
33.659,22158
33.759,22158
33.859,22168
33.959,22173
34.059,22178
34.159,22183
34.260,22188
34.360,22193
34.460,22198
34.560,22203
34.660,22208
34.760,22213
34.860,22218
34.960,22223
35.061,22228
35.161,22233
35.261,22238
35.361,22243
35.461,22248
35.561,22253
35.661,22258
35.762,22263
35.862,22268
35.962,22273
36.062,22278
36.162,22283
36.262,22288
36.362,22293
36.462,22299
36.563,22304
36.663,22309
36.763,22314
36.863,22319
36.963,22324
37.063,22329
37.163,22334
37.264,22339
37.364,22344
37.464,22349
37.564,22354
37.664,22359
37.764,22364
37.864,22369
37.964,22374
38.065,22379
38.165,22384
38.265,22389
38.365,22394
38.465,22399
38.565,22404
38.665,22409
38.766,22414
38.866,22419
38.966,22424
39.066,22429
39.166,22434
39.266,22439
39.366,22444
39.466,22449
39.567,22454
39.667,22459
39.767,22464
39.867,22469
39.967,22474
40.067,22479
40.167,22484
40.268,22489
40.368,22494
40.468,22500
40.568,22505
40.668,22510
40.768,22515
40.868,22520
40.968,22525
41.069,22530
41.169,22535
41.269,22540
41.369,22545
41.469,22550
41.569,22555
41.669,22560
41.770,22565
41.870,22570
41.970,22575
42.070,22580
42.170,22585
42.270,22590
42.370,22596
42.470,22601
42.571,22606
42.671,22611
42.771,22616
42.871,22621
42.971,22626
43.071,22631
43.171,22636
43.272,22641
43.372,22646
43.472,22651
43.572,22656
43.672,22660
43.772,22660
43.872,22671
43.972,22676
44.073,22681
44.173,22686
44.273,22691
44.373,22696
44.473,22701
44.573,22706
44.673,22711
44.774,22716
44.874,22721
44.974,22726
45.074,22731
45.174,22736
45.274,22741
45.374,22746
45.475,22751
45.575,22756
45.675,22761
45.775,22766
45.875,22771
45.975,22776
46.075,22781
46.175,22786
46.276,22791
46.376,22796
46.476,22801
46.576,22806
46.676,22811
46.776,22816
46.877,22821
46.977,22826
47.077,22831
47.177,22836
47.277,22841
47.377,22846
47.478,22851
47.578,22856
47.678,22861
47.778,22866
47.878,22871
47.978,22876
48.078,22881
48.178,22886
48.278,22891
48.379,22896
48.479,22901
48.579,22906
48.679,22911
48.779,22916
48.879,22921
48.979,22926
49.079,22931
49.180,22936
49.280,22941
49.380,22946
49.480,22951
49.580,22956
49.680,22961
49.780,22966
49.881,22971
49.981,22976
50.081,22981
50.181,22986
50.281,22991
50.381,22996
50.481,23001
50.581,23006
50.682,23011
50.782,23016
50.882,23021
50.982,23026
51.082,23031
51.182,23036
51.282,23041
51.382,23046
51.483,23051
51.583,23056
51.683,23061
51.783,23066
51.883,23071
51.983,23076
52.083,23081
52.184,23086
52.284,23091
52.384,23096
52.484,23101
52.584,23106
52.684,23111
52.784,23116
52.884,23121
52.985,23126
53.085,23131
53.185,23136
53.285,23141
53.385,23146
53.485,23151
53.585,23156
53.686,23161
53.786,23166
53.886,23171
53.986,23176
54.086,23181
54.186,23186
54.286,23191
54.387,23196
54.487,23201
54.587,23206
54.687,23211
54.787,23216
54.887,23222
54.987,23226
55.087,23231
55.188,23236
55.288,23242
55.388,23247
55.488,23252
55.588,23257
55.688,23262
55.788,23267
55.888,23272
55.989,23277
56.089,23282
56.189,23287
56.289,23292
56.389,23297
56.490,23302
56.589,23307
56.689,23312
56.790,23317
56.890,23322
56.990,23327
57.090,23332
57.190,23337
57.290,23342
57.390,23347
57.491,23352
57.591,23357
57.691,23362
57.791,23367
57.891,23372
57.991,23377
58.091,23382
58.192,23387
58.292,23392
58.392,23397
58.492,23402
58.592,23407
58.692,23412
58.792,23413
58.892,23422
58.993,23427
59.093,23432
59.193,23437
59.293,23442
59.393,23447
59.494,23452
59.593,23457
59.693,23462
59.794,23467
59.894,23472
59.994,23477
60.094,23482
60.194,23487
60.294,23492
60.394,23497
60.495,23502
60.595,23507
60.695,23512
60.795,23517
60.895,23522
60.995,23527
61.095,23532
61.196,23537
61.296,23542
61.396,23547
61.496,23552
61.596,23557
61.696,23562
61.796,23567
61.896,23572
61.997,23578
62.097,23583
62.197,23588
62.297,23593
62.397,23598
62.498,23603
62.597,23608
62.698,23613
62.798,23618
62.898,23623
62.998,23628
63.098,23633
63.198,23638
63.298,23643
63.399,23648
63.499,23653
63.599,23658
63.699,23663
63.799,23668
63.899,23673
63.999,23676
64.099,23683
64.200,23688
64.300,23693
64.400,23698
64.500,23703
64.600,23708
64.700,23713
64.800,23718
64.901,23723
65.001,23728
65.101,23733
65.201,23738
65.301,23743
65.401,23748
65.501,23753
65.601,23758
65.702,23763
65.802,23768
65.902,23773
66.002,23778
66.102,23783
66.202,23788
66.302,23793
66.403,23798
66.503,23803
66.603,23808
66.703,23813
66.803,23818
66.903,23823
67.003,23828
67.103,23833
67.204,23838
67.304,23843
67.404,23848
67.504,23853
67.604,23858
67.704,23863
67.804,23868
67.904,23873
68.005,23878
68.105,23883
68.205,23888
68.305,23893
68.405,23898
68.505,23903
68.605,23908
68.706,23911
68.806,23918
68.906,23923
69.006,23928
69.106,23933
69.206,23938
69.306,23943
69.407,23948
69.507,23953
69.607,23958
69.707,23963
69.807,23968
69.907,23973
70.007,23978
70.107,23982
70.208,23988
70.308,23992
70.408,23999
70.508,24004
70.608,24009
70.708,24014
70.808,24019
70.908,24024
71.009,24029
71.109,24034
71.209,24039
71.309,24044
71.409,24049
71.509,24054
71.609,24059
71.710,24064
71.810,24069
71.910,24073
72.010,24079
72.110,24084
72.210,24089
72.310,24094
72.410,24099
72.511,24104
72.611,24109
72.711,24114
72.811,24119
72.911,24124
73.011,24129
73.111,24134
73.212,24139
73.312,24144
73.412,24149
73.512,24154
73.612,24159
73.712,24164
73.812,24166
73.912,24174
74.013,24179
74.113,24184
74.213,24189
74.313,24194
74.413,24199
74.513,24204
74.613,24209
74.713,24214
74.814,24219
74.914,24224
75.014,24229
75.114,24234
75.214,24239
75.314,24244
75.414,24249
75.514,24254
75.615,24259
75.715,24264
75.815,24269
75.915,24274
76.015,24279
76.115,24284
76.215,24289
76.316,24294
76.416,24299
76.516,24304
76.616,24309
76.716,24314
76.816,24319
76.916,24324
77.017,24329
77.117,24334
77.217,24339
77.317,24344
77.417,24349
77.517,24354
77.617,24359
77.717,24364
77.818,24369
77.918,24374
78.018,24379
78.118,24384
78.218,24389
78.318,24394
78.418,24399
78.519,24404
78.619,24409
78.719,24414
78.819,24419
78.919,24425
79.019,24430
79.119,24435
79.219,24440
79.320,24445
79.420,24450
79.520,24455
79.620,24460
79.720,24465
79.820,24470
79.920,24475
80.021,24480
80.121,24485
80.221,24490
