TO_UM
1462170394
time,tx_packets
0.001,55235
0.101,55235
0.201,55235
0.301,55235
0.401,55235
0.501,55235
0.601,55235
0.702,55235
0.802,55235
0.902,55235
1.002,55236
1.102,55246
1.202,55256
1.303,55267
1.403,55276
1.503,55286
1.603,55296
1.703,55307
1.804,55316
1.903,55327
2.004,55337
2.104,55347
2.204,55357
2.304,55367
2.404,55377
2.504,55387
2.604,55397
2.705,55407
2.805,55417
2.905,55427
3.005,55437
3.105,55447
3.205,55461
3.305,55476
3.405,55487
3.506,55496
3.606,55503
3.706,55516
3.806,55527
3.906,55537
4.007,55548
4.107,55558
4.207,55568
4.307,55578
4.407,55588
4.508,55598
4.608,55608
4.708,55618
4.808,55628
4.908,55637
5.009,55648
5.109,55657
5.209,55668
5.309,55679
5.409,55689
5.510,55699
5.610,55709
5.710,55719
5.810,55729
5.910,55739
6.011,55749
6.111,55759
6.211,55769
6.311,55779
6.411,55789
6.511,55799
6.612,55809
6.712,55820
6.812,55830
6.912,55840
7.012,55850
7.113,55860
7.213,55870
7.313,55880
7.413,55890
7.513,55900
7.614,55912
7.714,55922
7.814,55932
7.914,55945
8.014,55956
8.114,55966
8.215,55976
8.315,55986
8.415,55996
8.515,56005
8.616,56012
8.716,56025
8.816,56036
8.916,56046
9.016,56056
9.116,56066
9.217,56076
9.317,56086
9.417,56096
9.517,56106
9.617,56117
9.718,56127
9.818,56137
9.918,56147
10.018,56157
10.119,56167
10.219,56177
10.319,56187
10.419,56197
10.519,56207
10.619,56217
10.720,56227
10.820,56237
10.920,56247
11.020,56257
11.120,56267
11.220,56277
11.321,56286
11.421,56291
11.521,56297
11.621,56312
11.721,56327
11.821,56342
11.922,56357
12.022,56372
12.122,56391
12.222,56409
12.323,56424
12.423,56439
12.523,56454
12.623,56469
12.723,56484
12.823,56499
12.924,56515
13.024,56530
13.124,56545
13.224,56560
13.324,56575
13.425,56590
13.525,56603
13.625,56620
13.725,56635
13.825,56644
13.925,56666
14.026,56681
14.126,56696
14.226,56711
14.326,56726
14.426,56741
14.527,56756
14.627,56771
14.727,56786
14.827,56801
14.928,56816
15.028,56832
15.128,56847
15.228,56862
15.328,56877
15.429,56892
15.529,56907
15.629,56922
15.729,56937
15.829,56952
15.929,56967
16.030,56982
16.130,56998
16.230,57013
16.331,57028
16.430,57046
16.531,57063
16.631,57078
16.731,57093
16.831,57108
16.932,57123
17.032,57138
17.132,57153
17.233,57168
17.332,57183
17.432,57198
17.533,57213
17.633,57228
17.733,57243
17.834,57258
17.933,57273
18.034,57288
18.134,57303
18.234,57318
18.336,57334
18.435,57349
18.535,57364
18.636,57379
18.736,57394
18.837,57409
18.936,57424
19.036,57439
19.138,57455
19.237,57469
19.337,57485
19.437,57500
19.538,57516
19.639,57531
19.738,57546
19.838,57560
19.938,57575
20.039,57591
20.138,57606
20.239,57621
20.339,57636
20.439,57651
20.540,57667
20.640,57688
20.741,57704
20.840,57719
20.940,57734
21.040,57749
21.142,57764
21.241,57779
21.342,57794
22.441,57960
22.542,57975
22.641,57990
22.741,58005
22.841,58020
22.941,58035
23.043,58050
23.142,58065
23.242,58080
23.344,58095
23.443,58110
23.543,58125
23.643,58140
23.743,58155
23.844,58170
23.944,58185
24.044,58201
24.143,58216
24.244,58231
24.344,58246
24.444,58261
24.544,58276
24.644,58291
24.744,58306
24.844,58321
24.944,58337
25.045,58353
25.145,58370
25.245,58389
25.345,58404
25.445,58419
25.545,58434
25.646,58449
25.746,58464
25.846,58479
25.946,58494
26.047,58509
26.147,58524
26.247,58539
26.347,58554
26.447,58569
26.547,58584
26.648,58599
26.748,58614
26.848,58630
26.948,58646
27.048,58661
27.148,58676
27.248,58691
27.349,58706
27.449,58721
27.549,58736
27.649,58751
27.749,58766
27.850,58781
27.950,58796
28.050,58811
28.150,58826
28.250,58841
28.350,58857
28.451,58872
28.551,58884
28.651,58903
28.751,58915
28.851,58925
28.951,58947
29.052,58961
29.152,58978
29.252,59001
29.352,59017
29.452,59032
29.552,59047
29.653,59063
29.753,59078
29.853,59093
29.953,59108
30.053,59123
30.154,59138
30.254,59153
30.354,59168
30.454,59183
30.554,59198
30.655,59213
30.755,59228
30.856,59243
30.955,59257
31.056,59266
31.156,59289
31.256,59304
31.356,59319
31.456,59335
31.556,59350
31.656,59365
31.756,59380
31.856,59397
31.956,59412
32.057,59427
32.157,59442
32.257,59457
32.357,59472
32.457,59487
32.558,59503
32.658,59518
32.758,59533
32.858,59548
32.958,59563
33.059,59578
33.160,59593
33.260,59608
33.359,59623
33.460,59638
33.560,59652
33.661,59675
33.761,59689
33.861,59694
33.962,59718
34.062,59737
34.162,59752
34.262,59767
34.362,59782
34.463,59797
34.563,59812
34.663,59827
34.764,59843
34.864,59858
34.964,59872
35.063,59887
35.164,59906
35.263,59923
35.364,59937
35.464,59954
35.564,59970
35.664,59985
35.765,60000
35.865,60015
35.965,60029
36.065,60045
36.166,60060
36.266,60075
36.367,60090
36.467,60105
36.567,60120
36.666,60135
36.767,60150
36.868,60165
36.968,60180
37.068,60196
37.169,60211
37.269,60226
37.370,60241
37.469,60256
37.570,60271
37.670,60286
37.770,60301
37.871,60322
37.971,60338
38.072,60353
38.172,60368
38.272,60385
38.373,60400
38.473,60415
38.573,60430
38.673,60445
38.773,60460
38.873,60475
38.973,60490
39.074,60505
39.174,60520
39.274,60535
39.374,60550
39.474,60565
39.574,60580
39.674,60596
39.774,60611
39.874,60622
39.975,60641
40.075,60656
40.175,60671
40.275,60686
40.375,60701
40.475,60716
40.576,60731
40.676,60746
40.776,60761
40.876,60776
40.976,60791
41.076,60806
41.176,60821
41.276,60836
41.376,60851
41.477,60866
41.577,60881
41.677,60896
41.777,60910
41.877,60926
41.978,60943
42.078,60963
42.178,60978
42.278,60993
42.378,61008
42.478,61024
42.579,61039
42.679,61055
42.779,61071
42.879,61086
42.979,61101
43.080,61116
43.180,61131
43.280,61147
43.380,61162
43.480,61177
43.580,61188
43.681,61207
43.781,61219
43.881,61225
43.981,61248
44.081,61268
44.182,61283
44.282,61298
44.382,61313
44.482,61328
44.582,61343
44.683,61358
44.783,61373
44.883,61388
44.983,61403
45.083,61418
45.183,61433
45.284,61449
45.384,61465
45.484,61480
45.584,61495
45.684,61510
45.785,61525
45.885,61540
45.985,61555
46.085,61570
46.185,61585
46.285,61600
46.386,61618
46.486,61637
46.586,61652
46.686,61667
46.786,61684
46.886,61699
46.987,61714
47.087,61729
47.187,61744
47.287,61759
47.387,61775
47.488,61790
47.588,61805
47.688,61820
47.788,61835
47.888,61851
47.988,61866
48.089,61881
48.189,61896
48.289,61911
48.389,61927
48.489,61942
48.590,61957
48.690,61972
48.790,61987
48.890,62002
48.990,62017
49.090,62032
49.191,62047
49.291,62062
49.391,62077
49.491,62092
49.592,62107
49.692,62122
49.792,62137
49.892,62152
49.992,62167
50.093,62182
50.193,62197
50.293,62212
50.393,62227
50.493,62242
50.594,62257
50.694,62272
50.794,62287
50.894,62304
50.994,62327
51.094,62342
51.195,62357
51.295,62372
51.395,62387
51.495,62402
51.596,62417
51.696,62432
51.796,62448
51.896,62463
51.996,62478
52.096,62493
52.196,62508
52.296,62523
52.397,62538
52.497,62553
52.597,62569
52.697,62584
52.798,62599
52.898,62615
52.998,62630
53.098,62645
53.198,62660
53.299,62675
53.399,62690
53.499,62705
53.599,62720
53.699,62735
53.800,62750
53.900,62765
54.000,62780
54.100,62795
54.200,62810
54.301,62825
54.401,62840
54.501,62855
54.601,62870
54.701,62885
54.802,62900
54.902,62915
55.002,62933
55.102,62948
55.202,62963
55.306,62980
55.403,62995
55.503,63010
55.603,63026
55.703,63041
55.804,63056
55.904,63071
56.004,63088
56.104,63102
56.204,63118
56.304,63133
56.404,63148
56.505,63163
56.605,63178
56.705,63193
56.806,63208
56.905,63224
57.006,63239
57.106,63254
57.206,63269
57.306,63284
57.406,63299
57.506,63314
57.607,63329
57.707,63344
57.807,63359
57.907,63374
58.007,63389
58.108,63404
58.207,63419
58.308,63435
58.408,63450
58.508,63465
58.609,63477
58.708,63495
58.809,63509
58.909,63518
59.009,63540
59.110,63555
59.210,63571
59.309,63592
59.410,63608
59.510,63623
59.610,63638
59.710,63653
59.811,63668
59.911,63685
60.011,63700
60.111,63715
60.212,63730
60.311,63746
60.412,63761
60.512,63776
60.611,63791
60.712,63806
60.813,63821
60.913,63836
61.012,63845
61.112,63866
61.213,63881
61.313,63897
61.413,63912
61.513,63927
61.614,63942
61.714,63957
61.815,63972
61.914,63987
62.014,64002
62.115,64017
62.215,64032
62.315,64047
62.415,64062
62.516,64077
62.615,64092
62.716,64107
62.816,64122
62.916,64137
63.017,64152
63.117,64167
63.217,64182
63.317,64197
63.417,64212
63.517,64227
63.617,64242
63.717,64257
63.818,64269
63.918,64288
64.018,64305
64.118,64322
64.219,64341
64.319,64356
64.419,64372
64.519,64387
64.619,64402
64.719,64417
64.819,64432
64.920,64447
65.020,64462
65.120,64477
65.220,64492
65.319,64507
65.419,64522
65.521,64537
65.621,64553
65.720,64568
65.821,64583
65.920,64598
66.020,64613
66.122,64628
66.223,64643
66.321,64658
66.423,64673
66.523,64688
66.624,64703
66.723,64718
66.825,64734
66.925,64749
67.025,64764
67.125,64779
67.225,64795
67.326,64810
67.425,64825
67.527,64840
67.627,64855
67.727,64870
67.828,64886
67.928,64900
68.029,64916
68.129,64931
68.229,64947
68.330,64962
68.430,64983
68.530,64998
68.631,65015
68.731,65030
68.830,65037
68.932,65057
69.033,65076
69.131,65091
69.233,65106
69.333,65121
69.434,65136
69.533,65151
69.635,65166
69.734,65182
69.835,65196
69.935,65211
70.034,65227
70.134,65241
70.235,65253
70.335,65272
70.435,65283
70.535,65302
70.636,65317
70.736,65332
70.836,65347
70.936,65362
71.037,65377
71.137,65392
71.237,65407
71.337,65422
71.438,65437
71.538,65452
71.638,65468
71.738,65483
71.839,65492
71.939,65513
72.039,65525
72.139,65543
72.239,65559
72.339,65574
72.440,65589
72.540,65604
72.640,65622
72.740,65641
72.840,65656
72.940,65672
73.041,65688
73.141,65703
73.241,65718
73.342,65733
74.442,65958
74.542,65973
74.642,65988
74.742,66003
74.843,66018
74.943,66033
75.043,66048
75.143,66063
75.243,66078
75.343,66093
75.444,66108
75.544,66123
75.644,66138
75.744,66153
75.844,66168
75.944,66183
76.044,66198
76.145,66214
76.244,66229
76.344,66244
76.445,66259
76.545,66274
76.646,66289
76.745,66304
76.846,66319
76.946,66334
77.046,66349
77.146,66364
77.247,66379
77.347,66394
77.447,66409
77.547,66424
77.647,66439
77.748,66455
77.847,66470
77.948,66485
78.048,66500
78.148,66519
78.248,66541
78.348,66557
78.449,66572
78.549,66587
78.650,66602
78.750,66617
78.850,66631
78.950,66647
79.050,66662
79.150,66677
79.250,66692
79.351,66707
79.451,66722
79.550,66737
79.651,66752
79.751,66767
79.851,66782
79.951,66797
80.052,66812
80.152,66827
80.252,66842
80.352,66857
80.453,66872
80.552,66887
80.652,66902
80.752,66917
80.852,66932
80.952,66947
81.053,66962
81.153,66977
81.253,66992
81.354,67007
81.454,67022
81.554,67037
81.654,67052
81.754,67067
81.855,67082
81.955,67097
82.055,67112
82.156,67127
82.256,67142
82.356,67161
82.456,67180
82.557,67195
82.657,67213
82.757,67228
82.857,67243
82.957,67258
83.058,67273
83.158,67288
83.258,67303
83.358,67318
83.458,67334
83.559,67349
83.659,67364
83.759,67379
83.859,67394
83.959,67409
84.060,67424
84.160,67439
84.260,67454
84.360,67469
84.460,67484
84.560,67499
84.661,67514
84.761,67529
84.861,67544
84.962,67559
85.062,67574
85.162,67589
85.262,67604
85.362,67619
85.462,67634
85.563,67649
85.663,67663
85.763,67679
85.864,67694
85.964,67709
86.064,67725
86.164,67739
86.264,67754
86.364,67770
86.465,67785
86.565,67800
86.665,67822
86.765,67838
86.866,67855
86.966,67870
87.066,67885
87.167,67900
87.267,67915
87.367,67930
87.467,67945
87.568,67960
87.668,67975
87.768,67990
87.868,68005
87.969,68020
88.069,68036
88.169,68051
88.270,68066
88.370,68082
88.470,68097
88.570,68112
88.671,68127
88.771,68142
88.871,68157
88.971,68172
89.072,68184
89.172,68197
89.272,68212
89.373,68215
89.473,68219
89.573,68222
89.673,68223
89.773,68244
89.873,68252
89.974,68259
90.074,68265
90.174,68272
90.274,68277
90.375,68295
90.475,68332
90.575,68354
90.676,68372
90.776,68390
90.876,68436
90.977,68478
91.076,68510
91.177,68551
91.277,68580
91.377,68629
91.477,68690
91.578,68734
91.678,68749
91.778,68763
91.878,68781
91.978,68795
92.078,68804
92.178,68838
92.278,68856
92.379,68874
92.479,68898
92.579,68941
92.678,68969
92.778,68999
92.878,69045
92.979,69072
93.079,69113
93.179,69171
93.279,69209
93.379,69300
93.479,69363
93.580,69421
93.680,69488
93.781,69550
93.881,69612
93.981,69680
94.081,69745
94.182,69823
94.281,69910
94.382,69963
94.482,70014
94.582,70063
94.682,70114
94.783,70162
94.883,70217
94.982,70272
95.083,70327
95.183,70379
95.283,70439
95.383,70497
95.483,70553
95.583,70610
95.684,70661
95.784,70707
95.884,70751
95.985,70794
96.084,70833
96.184,70867
96.284,70891
96.384,70907
96.485,70922
96.585,70937
96.685,70952
96.785,70967
96.885,70982
96.986,70997
97.086,71012
97.186,71027
97.286,71042
97.387,71057
97.487,71072
97.588,71087
97.688,71103
97.788,71118
97.888,71133
97.988,71148
98.088,71163
98.188,71178
98.289,71193
98.389,71208
98.489,71223
98.589,71238
98.690,71253
98.790,71266
98.890,71274
98.991,71279
99.091,71287
99.191,71297
99.291,71307
99.391,71325
99.492,71345
99.592,71362
99.692,71382
99.792,71415
99.892,71444
99.993,71464
100.093,71500
100.193,71539
100.294,71581
100.393,71605
100.494,71629
100.594,71652
100.694,71676
100.794,71700
100.894,71724
100.994,71753
101.094,71782
101.195,71802
101.295,71818
101.395,71833
101.495,71848
101.596,71863
101.696,71878
101.796,71893
101.896,71908
101.997,71923
102.097,71938
102.197,71953
102.297,71968
102.397,71983
102.497,71998
102.598,72014
102.698,72029
102.798,72044
102.898,72059
102.998,72074
103.099,72089
103.199,72104
103.301,72119
103.399,72129
103.499,72139
103.600,72159
103.700,72165
103.800,72178
103.900,72197
104.000,72220
104.100,72243
104.201,72261
104.300,72276
104.400,72291
104.501,72307
104.601,72322
104.702,72337
104.802,72352
104.902,72367
105.002,72377
105.102,72389
105.202,72411
105.303,72416
105.403,72422
105.503,72444
105.603,72467
105.704,72488
105.804,72503
105.904,72518
106.004,72533
106.104,72548
106.204,72564
106.304,72579
106.405,72594
106.505,72609
106.605,72624
106.705,72639
106.805,72654
106.905,72661
107.006,72667
107.106,72689
107.206,72722
107.306,72746
107.407,72785
107.507,72815
107.607,72838
107.707,72853
107.807,72868
107.907,72892
108.007,72909
108.107,72924
108.207,72939
108.307,72954
108.408,72969
108.508,72984
108.608,72999
108.708,73014
108.809,73029
108.909,73045
109.009,73060
109.109,73075
109.209,73090
109.310,73105
109.410,73120
109.510,73135
109.610,73150
109.710,73165
109.811,73180
109.911,73195
110.011,73210
110.111,73225
110.211,73240
110.312,73255
110.412,73270
110.512,73285
110.612,73300
110.713,73315
110.813,73330
110.913,73345
111.014,73360
111.114,73375
111.214,73390
111.315,73405
111.415,73420
111.515,73435
111.615,73450
111.715,73465
111.816,73480
111.915,73495
112.016,73511
112.116,73527
112.216,73542
112.316,73557
112.416,73572
112.517,73587
112.617,73606
112.717,73626
112.818,73641
112.918,73656
113.018,73671
113.118,73686
113.218,73702
113.318,73717
113.418,73732
113.519,73747
113.619,73762
113.719,73777
113.820,73792
113.920,73807
114.020,73822
114.120,73837
114.220,73852
114.320,73867
114.421,73882
114.521,73897
114.621,73912
114.721,73927
114.821,73942
114.921,73957
115.021,73972
115.121,73988
115.221,74003
115.322,74018
115.422,74033
115.522,74048
115.623,74063
115.723,74078
115.823,74093
115.923,74108
116.023,74123
116.123,74138
116.223,74153
116.323,74168
116.424,74184
116.524,74199
116.624,74215
116.724,74231
116.824,74253
116.924,74270
117.024,74285
117.125,74300
117.225,74315
117.325,74330
117.425,74345
117.525,74360
117.626,74376
117.726,74391
117.826,74406
117.926,74421
118.026,74436
118.127,74451
118.227,74466
118.327,74481
118.427,74496
118.527,74511
118.627,74526
118.727,74541
118.828,74556
118.928,74571
119.028,74586
119.128,74602
119.228,74617
119.328,74632
119.429,74647
119.529,74662
119.629,74677
119.729,74692
119.830,74707
119.930,74721
120.030,74737
120.130,74752
120.230,74767
120.330,74782
120.431,74797
120.531,74812
120.631,74828
120.731,74842
120.832,74864
120.932,74879
121.032,74894
121.132,74909
121.232,74924
121.333,74939
121.433,74954
121.533,74969
121.633,74984
121.733,74999
121.834,75016
121.934,75031
122.034,75046
122.134,75061
122.234,75076
122.335,75091
122.435,75106
122.535,75121
122.635,75136
122.735,75151
122.835,75166
122.935,75181
123.036,75196
123.136,75211
123.236,75226
123.336,75241
123.437,75256
123.537,75271
123.637,75286
123.737,75300
123.837,75316
123.938,75331
124.038,75346
124.138,75362
124.238,75377
124.339,75392
124.438,75407
124.538,75422
124.638,75437
124.739,75452
124.838,75467
124.938,75486
125.039,75503
125.140,75518
125.239,75533
125.340,75548
125.440,75563
125.540,75578
125.640,75594
125.740,75609
125.841,75624
125.941,75639
126.041,75650
126.141,75670
126.241,75685
126.342,75700
127.442,75865
127.542,75880
127.642,75895
127.742,75910
127.842,75925
127.943,75940
128.043,75955
128.143,75970
128.243,75985
128.343,76000
128.443,76015
128.544,76030
128.644,76045
128.744,76060
128.845,76076
128.945,76091
129.045,76108
129.145,76124
129.245,76141
129.346,76156
129.445,76171
129.546,76186
129.646,76201
129.746,76216
129.846,76230
129.946,76246
130.047,76259
130.147,76277
130.247,76292
130.347,76308
130.448,76323
130.548,76339
130.649,76354
130.748,76369
130.849,76384
130.948,76399
131.049,76414
131.149,76429
131.249,76444
131.349,76459
131.450,76474
131.550,76489
131.650,76504
131.750,76519
131.850,76534
131.950,76549
132.050,76564
132.151,76579
132.251,76594
132.352,76609
132.452,76624
132.552,76639
132.652,76654
132.752,76669
132.852,76684
132.953,76699
133.053,76714
133.153,76729
133.254,76744
133.354,76759
133.454,76780
133.554,76799
133.654,76814
133.754,76829
133.855,76842
133.955,76858
134.055,76874
134.155,76885
134.255,76904
134.356,76920
134.456,76935
134.557,76950
134.656,76966
134.756,76981
134.856,76996
134.956,77011
135.056,77026
135.157,77041
135.257,77056
135.357,77071
135.457,77086
135.557,77101
135.657,77116
135.758,77131
135.858,77146
135.958,77161
136.058,77176
136.158,77192
136.259,77207
136.359,77222
136.459,77237
136.559,77252
136.659,77267
136.759,77282
136.859,77297
136.960,77312
137.060,77327
137.160,77342
137.260,77357
137.360,77372
137.460,77387
137.561,77402
137.661,77423
137.761,77438
137.861,77453
137.961,77468
138.061,77484
138.162,77499
138.262,77514
138.362,77526
138.462,77544
138.562,77554
138.662,77567
138.763,77587
138.863,77601
138.963,77621
139.063,77637
139.163,77652
139.263,77667
139.364,77682
139.463,77697
139.564,77712
139.664,77728
139.764,77743
139.864,77758
139.965,77770
140.064,77788
140.165,77803
140.265,77817
140.365,77833
140.465,77848
140.566,77863
140.666,77878
140.766,77893
140.866,77908
140.966,77923
141.066,77938
141.166,77953
141.267,77968
141.366,77983
141.467,77998
141.567,78013
141.667,78028
141.767,78043
141.867,78056
141.967,78075
142.068,78087
142.168,78105
142.268,78121
142.368,78136
142.469,78157
142.569,78171
142.669,78187
142.769,78202
142.869,78217
142.969,78232
143.069,78248
143.169,78263
143.269,78279
143.369,78294
143.469,78309
143.569,78324
143.670,78339
143.770,78354
143.870,78369
143.970,78384
144.071,78400
144.171,78415
144.271,78430
144.371,78445
144.471,78460
144.571,78475
144.672,78490
144.772,78505
144.872,78520
144.972,78535
145.072,78550
145.173,78565
145.273,78580
145.373,78595
145.473,78610
145.573,78625
145.673,78640
145.774,78655
145.874,78670
145.974,78685
146.074,78700
