TO_UA
1462170664
time,tx_packets
0.001,84278
0.101,84284
0.201,84284
0.301,84285
0.401,84286
0.502,84286
0.602,84286
0.702,84286
0.802,84287
0.902,84293
1.003,84299
1.103,84309
1.203,84319
1.303,84329
1.403,84339
1.503,84349
1.604,84359
1.704,84370
1.804,84380
1.904,84390
2.004,84400
2.105,84410
2.205,84420
2.305,84430
2.405,84440
2.505,84450
2.606,84460
2.706,84470
2.807,84480
2.906,84490
3.006,84500
3.106,84510
3.207,84520
3.307,84531
3.407,84540
3.507,84551
3.607,84561
3.708,84571
3.808,84581
3.908,84591
4.008,84601
4.113,84612
4.208,84621
4.309,84631
4.409,84639
4.509,84654
4.609,84664
4.709,84676
4.809,84686
4.909,84696
5.010,84706
5.115,84718
5.211,84728
5.310,84738
5.411,84748
5.511,84758
5.612,84768
5.711,84778
5.812,84789
5.912,84799
6.012,84809
6.115,84819
6.212,84829
6.312,84839
6.413,84849
6.513,84859
6.614,84870
6.714,84880
6.813,84890
6.913,84900
7.014,84910
7.114,84920
7.214,84930
7.314,84940
7.415,84950
7.515,84960
7.617,84970
7.717,84980
7.817,84991
7.917,85001
8.017,85011
8.118,85021
8.218,85031
8.318,85041
8.419,85051
8.519,85061
8.619,85071
8.719,85083
8.820,85093
8.920,85103
9.021,85113
9.121,85123
9.221,85135
9.322,85145
9.422,85155
9.522,85165
9.622,85175
9.723,85185
9.823,85195
9.923,85205
10.024,85216
10.124,85226
10.225,85236
10.325,85246
10.425,85256
10.525,85266
10.625,85276
10.725,85286
10.826,85296
10.926,85306
11.026,85316
11.126,85322
11.226,85327
11.327,85331
11.427,85336
11.528,85348
11.628,85363
11.728,85378
11.828,85393
11.928,85408
12.029,85423
12.129,85438
12.229,85453
12.330,85468
12.430,85483
12.530,85498
12.631,85513
12.731,85528
12.831,85544
12.932,85560
13.032,85575
13.132,85590
13.232,85608
13.333,85623
13.434,85638
13.534,85653
13.634,85668
13.734,85683
13.835,85698
13.935,85713
14.036,85728
14.135,85743
14.236,85759
14.336,85774
14.436,85789
14.536,85804
14.637,85819
14.737,85834
14.838,85850
14.938,85865
15.038,85880
15.139,85895
15.239,85910
15.339,85925
15.439,85941
15.540,85956
15.640,85971
15.740,85986
15.840,86001
15.940,86016
16.041,86031
16.141,86046
16.241,86061
16.342,86076
16.442,86091
16.542,86106
16.642,86121
16.742,86136
16.842,86151
16.943,86166
17.043,86181
17.143,86197
17.243,86212
17.344,86227
17.444,86244
17.544,86259
17.644,86274
17.744,86289
17.844,86306
17.945,86322
18.045,86337
18.145,86352
18.245,86367
18.345,86382
18.445,86397
18.546,86413
18.646,86428
18.746,86443
18.846,86458
18.946,86473
19.046,86488
19.147,86503
19.247,86518
19.347,86533
19.447,86548
19.548,86563
19.648,86578
19.748,86593
19.849,86608
19.949,86623
20.049,86638
20.149,86653
20.249,86668
20.349,86683
20.450,86698
20.550,86713
20.650,86728
20.750,86743
20.850,86758
20.951,86773
21.051,86788
21.151,86803
21.251,86819
21.352,86834
21.452,86850
21.552,86865
21.652,86880
21.752,86895
21.853,86910
21.953,86925
22.053,86942
22.153,86957
22.253,86972
22.353,86987
22.454,87002
22.553,87017
22.654,87032
22.754,87048
22.854,87063
22.954,87078
23.054,87093
23.154,87108
23.254,87123
23.355,87138
23.455,87153
23.555,87168
23.655,87183
23.755,87198
23.855,87213
23.955,87228
24.056,87243
24.156,87258
24.256,87273
24.356,87288
24.456,87303
24.556,87318
24.656,87333
24.756,87348
24.857,87363
24.956,87378
25.057,87393
25.157,87408
25.257,87423
25.357,87438
25.458,87453
25.558,87468
25.658,87483
25.758,87500
25.858,87515
25.958,87530
26.058,87545
26.158,87561
26.258,87576
26.359,87592
26.459,87607
26.559,87622
26.659,87638
26.759,87653
26.859,87668
26.960,87683
27.060,87699
27.160,87714
27.260,87729
27.360,87744
27.460,87759
27.560,87774
27.660,87789
27.761,87804
27.861,87819
27.961,87834
28.061,87849
28.161,87864
28.262,87879
28.362,87894
28.462,87909
28.562,87924
28.662,87939
28.763,87954
28.863,87969
28.963,87984
29.063,87999
29.163,88014
29.263,88029
29.364,88044
29.464,88059
29.564,88074
29.664,88089
29.764,88104
29.865,88119
29.964,88135
30.064,88150
30.164,88165
30.265,88181
30.365,88196
30.465,88211
30.565,88226
30.666,88244
30.766,88260
30.866,88275
30.966,88291
31.066,88306
31.166,88321
31.267,88336
31.367,88352
31.467,88368
31.567,88383
31.668,88398
31.768,88413
31.868,88428
31.968,88443
32.068,88458
32.168,88473
32.269,88488
32.369,88503
32.469,88518
32.569,88533
32.669,88548
32.770,88563
32.870,88578
32.970,88593
33.070,88608
33.170,88623
33.270,88638
33.370,88652
33.470,88668
33.570,88680
33.670,88698
33.771,88713
33.871,88728
33.971,88743
34.071,88758
34.171,88773
34.272,88788
34.372,88805
34.472,88820
34.572,88836
34.672,88851
34.772,88866
34.873,88879
34.973,88896
35.073,88911
35.173,88927
35.273,88942
35.374,88957
35.474,88972
35.574,88990
35.674,89005
35.774,89021
35.874,89036
35.975,89051
36.075,89066
36.175,89081
36.275,89096
36.376,89111
36.476,89127
36.576,89142
36.676,89157
36.776,89172
36.876,89187
36.977,89202
37.077,89217
37.177,89232
37.277,89247
37.378,89262
37.478,89277
37.578,89292
37.678,89308
37.778,89323
37.879,89338
37.979,89353
38.079,89368
38.179,89383
38.279,89398
38.380,89411
38.480,89429
38.580,89437
38.680,89459
38.780,89474
38.880,89491
38.981,89506
39.081,89521
39.181,89536
39.281,89551
39.381,89566
39.481,89582
39.582,89597
39.682,89612
39.782,89626
39.882,89644
39.982,89659
40.083,89673
40.183,89689
40.283,89703
40.383,89719
40.483,89734
40.583,89749
40.684,89764
40.784,89779
40.884,89794
40.984,89809
41.084,89824
41.185,89839
41.285,89854
41.385,89869
41.485,89884
41.585,89899
41.686,89914
41.786,89929
41.886,89944
41.986,89959
42.086,89974
42.186,89989
42.286,90004
42.387,90019
42.487,90034
42.587,90049
42.687,90064
42.787,90079
42.888,90094
42.988,90110
43.088,90125
43.188,90140
43.288,90155
43.389,90170
43.489,90185
43.589,90201
43.689,90216
43.790,90232
43.890,90246
43.990,90262
44.090,90277
44.190,90292
44.290,90307
44.390,90322
44.490,90337
44.590,90352
44.690,90367
44.790,90382
44.891,90399
44.991,90414
45.091,90429
45.191,90444
45.291,90459
45.391,90474
45.491,90489
45.592,90504
45.692,90520
45.792,90535
45.892,90550
45.992,90565
46.092,90580
46.192,90595
46.292,90610
46.392,90625
46.493,90640
46.593,90655
46.693,90670
46.793,90685
46.894,90700
46.994,90715
47.094,90730
47.194,90745
47.294,90761
47.394,90776
47.494,90791
47.595,90806
47.695,90821
47.795,90836
47.895,90852
47.995,90867
48.095,90882
48.196,90897
48.296,90915
48.396,90931
48.496,90946
48.596,90961
48.697,90976
48.797,90990
48.897,91006
48.997,91023
49.097,91038
49.197,91053
49.298,91068
49.398,91084
49.498,91098
49.598,91113
49.698,91129
49.798,91142
49.899,91159
49.999,91174
50.099,91189
50.199,91204
50.299,91219
50.399,91234
50.500,91250
50.600,91265
50.700,91280
50.800,91295
50.900,91310
