TO_VERISIGN
1462170664
time,tx_packets
0.001,45371
0.101,45372
0.201,45372
0.301,45372
0.401,45372
0.502,45372
0.602,45372
0.702,45372
0.802,45372
0.902,45372
1.002,45373
1.103,45373
1.203,45373
1.303,45373
1.403,45373
1.503,45373
1.603,45373
1.704,45374
1.804,45374
1.904,45374
2.004,45374
2.104,45374
2.205,45374
2.305,45374
2.405,45374
2.505,45377
2.605,45377
2.706,45378
2.806,45378
2.906,45378
3.006,45378
3.106,45378
3.206,45378
3.307,45379
3.407,45379
3.507,45379
3.607,45379
3.707,45379
3.807,45379
3.908,45379
4.008,45379
4.109,45379
4.208,45379
4.308,45379
4.409,45379
4.509,45380
4.609,45380
4.709,45380
4.809,45380
4.909,45380
5.010,45380
5.109,45381
5.210,45381
5.310,45381
5.410,45381
5.510,45381
5.610,45381
5.711,45381
5.811,45382
5.911,45382
6.011,45382
6.111,45382
6.211,45382
6.311,45382
6.411,45382
6.512,45382
6.614,45383
6.712,45383
6.813,45383
6.913,45383
7.014,45383
7.114,45386
7.214,45386
7.315,45386
7.415,45386
7.515,45386
7.616,45386
7.716,45386
7.817,45386
7.917,45386
8.015,45386
8.115,45386
8.215,45386
8.315,45386
8.416,45386
8.516,45386
8.616,45386
8.716,45387
8.816,45387
8.916,45387
9.016,45387
9.117,45387
9.217,45388
9.317,45388
9.417,45388
9.517,45389
9.618,45389
9.718,45389
9.818,45389
9.918,45389
10.018,45390
10.119,45390
10.219,45390
10.319,45390
10.419,45390
10.520,45390
10.620,45390
10.720,45390
10.820,45390
10.920,45390
11.020,45390
11.120,45390
11.221,45390
11.321,45390
11.421,45390
11.521,45395
11.621,45405
11.721,45415
11.822,45425
11.922,45435
12.022,45445
12.122,45455
12.222,45465
12.323,45475
12.423,45485
12.523,45495
12.623,45505
12.723,45515
12.823,45525
12.924,45535
13.024,45545
13.124,45555
13.224,45566
13.324,45577
13.424,45587
13.525,45597
13.625,45607
13.725,45618
13.825,45628
13.925,45638
14.026,45648
14.126,45658
14.226,45668
14.326,45679
14.426,45689
14.526,45699
14.627,45709
14.727,45719
14.827,45728
14.927,45739
15.027,45749
15.128,45759
15.228,45769
15.328,45779
15.428,45789
