FROM_KISTI
1462171788
time,rx_packets
0.001,66703
0.101,66703
0.201,66703
0.301,66703
0.402,66703
0.502,66703
0.602,66703
0.702,66703
0.802,66703
0.903,66703
1.003,66706
1.103,66711
1.203,66716
1.303,66721
1.403,66726
1.504,66731
1.604,66736
1.704,66741
1.804,66746
1.904,66751
2.004,66756
2.105,66761
2.205,66766
2.305,66771
2.405,66776
2.505,66781
2.605,66786
2.706,66791
2.806,66796
2.906,66801
3.006,66806
3.107,66811
3.207,66816
3.307,66821
3.408,66826
3.508,66831
3.608,66836
3.708,66841
3.808,66846
3.909,66851
5.009,66906
5.109,66911
5.209,66916
5.309,66921
5.410,66926
5.510,66931
5.610,66936
5.710,66941
5.810,66946
5.911,66951
6.011,66957
6.111,66962
6.211,66967
6.311,66972
6.412,66977
6.512,66982
6.612,66987
6.712,66992
6.812,66997
6.913,67002
7.013,67007
7.113,67012
7.213,67017
7.313,67022
7.413,67027
7.514,67032
7.614,67037
7.714,67042
7.814,67047
7.914,67052
8.015,67057
8.115,67062
8.215,67067
8.315,67070
8.415,67077
8.516,67082
8.616,67087
8.716,67092
8.816,67097
8.917,67102
9.017,67107
9.117,67112
9.217,67117
9.317,67122
9.418,67127
9.518,67132
9.618,67137
9.718,67143
9.818,67148
9.919,67153
10.019,67158
10.119,67163
10.219,67168
10.319,67173
10.420,67178
10.520,67183
10.620,67188
10.720,67193
10.820,67198
10.920,67203
11.021,67209
11.121,67214
11.221,67219
11.321,67221
11.421,67226
11.522,67233
11.622,67238
11.722,67243
11.822,67248
11.922,67253
12.023,67258
12.123,67263
12.223,67268
12.323,67273
12.423,67278
12.523,67283
12.624,67288
12.724,67293
12.824,67298
12.924,67303
13.024,67308
13.125,67313
13.225,67318
13.325,67323
13.425,67328
13.525,67333
13.625,67338
13.726,67343
13.826,67347
13.926,67353
14.026,67358
14.126,67363
14.227,67368
14.327,67373
14.427,67378
14.527,67383
14.627,67388
14.727,67393
14.828,67398
14.928,67403
15.028,67408
15.128,67413
15.228,67418
15.329,67423
15.429,67428
15.529,67433
15.629,67438
15.729,67443
15.830,67448
15.930,67453
16.030,67458
16.130,67463
16.230,67468
16.330,67473
16.431,67478
16.531,67483
16.631,67488
16.731,67493
16.831,67498
16.932,67503
17.032,67508
17.132,67513
17.232,67518
17.332,67523
17.433,67528
17.533,67533
17.633,67538
17.733,67543
17.833,67548
17.933,67553
18.034,67558
18.134,67563
18.234,67568
18.334,67573
18.434,67578
18.535,67583
18.635,67588
18.735,67593
18.835,67598
18.935,67603
19.036,67608
19.136,67613
19.236,67618
19.336,67623
19.436,67628
19.537,67633
19.637,67638
19.737,67643
19.837,67648
19.937,67653
20.037,67658
20.138,67663
20.238,67668
20.338,67673
20.438,67678
20.539,67683
20.639,67688
20.739,67693
20.839,67696
20.939,67703
21.039,67708
21.139,67714
21.240,67719
21.340,67723
21.440,67729
21.540,67734
21.641,67739
21.741,67743
21.841,67748
21.941,67754
22.041,67759
22.142,67764
22.242,67769
22.342,67774
22.442,67779
22.543,67784
22.643,67789
22.743,67794
22.843,67799
22.943,67804
23.043,67809
23.144,67814
23.244,67819
23.344,67824
23.444,67829
23.544,67834
23.645,67839
23.745,67844
23.845,67849
23.945,67854
24.045,67859
24.145,67864
24.246,67869
24.346,67874
24.446,67879
24.546,67884
24.646,67889
24.746,67894
24.846,67899
24.947,67904
25.047,67909
25.147,67914
25.247,67919
25.347,67924
25.448,67929
25.548,67934
25.648,67939
25.748,67944
25.848,67949
25.949,67954
26.049,67959
26.149,67964
26.249,67969
26.349,67974
26.450,67979
26.550,67984
26.650,67989
26.750,67993
26.850,67999
26.950,68004
27.051,68009
27.151,68014
27.251,68019
27.351,68024
27.451,68029
27.551,68034
27.652,68040
27.752,68045
27.852,68050
27.952,68055
28.052,68060
28.153,68065
28.253,68070
28.353,68075
28.453,68080
28.553,68085
28.653,68090
28.754,68095
28.854,68100
28.954,68105
29.054,68110
29.154,68115
29.254,68120
29.354,68125
29.454,68130
29.555,68135
29.655,68140
29.755,68145
29.856,68150
29.956,68155
30.056,68160
30.156,68165
30.256,68170
30.356,68175
30.457,68180
30.557,68185
30.657,68190
30.757,68195
30.857,68200
30.958,68205
31.058,68210
31.158,68215
31.258,68220
31.359,68225
31.459,68230
31.559,68235
31.659,68240
31.759,68245
31.860,68250
31.960,68252
32.060,68261
32.160,68266
32.261,68271
32.361,68276
32.461,68281
32.561,68286
32.661,68291
32.761,68296
32.862,68301
32.962,68306
33.062,68311
33.162,68316
33.263,68321
33.363,68321
33.463,68331
33.563,68336
33.663,68341
33.764,68346
33.864,68351
33.964,68356
34.064,68361
34.165,68366
34.265,68371
34.365,68376
34.465,68381
34.565,68385
34.666,68391
34.766,68396
34.866,68399
34.966,68406
35.066,68411
35.167,68416
35.267,68421
35.367,68426
35.467,68431
35.567,68436
35.667,68441
35.768,68446
35.868,68451
35.968,68456
36.068,68461
36.169,68466
36.269,68471
36.369,68476
36.469,68481
36.569,68486
36.669,68491
36.770,68496
36.870,68501
36.970,68506
37.070,68511
37.171,68516
37.271,68521
37.371,68526
37.471,68531
37.571,68536
37.672,68541
37.772,68546
37.872,68551
37.972,68556
38.072,68561
38.173,68566
38.273,68571
38.373,68576
38.473,68581
38.573,68586
38.674,68591
38.773,68596
38.874,68601
38.974,68606
39.074,68611
39.174,68616
39.275,68621
39.375,68626
39.475,68631
39.575,68636
39.676,68641
39.776,68646
39.876,68651
39.976,68656
40.076,68661
40.177,68666
40.277,68671
40.377,68676
40.477,68681
40.577,68686
40.677,68691
40.778,68696
40.878,68701
40.978,68706
41.078,68711
41.178,68716
41.279,68721
41.379,68726
41.479,68731
41.579,68736
41.679,68741
41.779,68746
41.880,68751
41.980,68756
42.080,68762
42.180,68767
42.280,68772
42.381,68777
42.481,68782
42.581,68787
42.681,68792
42.781,68797
42.882,68802
42.982,68807
43.082,68812
43.182,68817
43.282,68822
43.382,68826
43.483,68832
43.583,68837
43.683,68842
43.783,68847
43.884,68849
43.984,68849
44.084,68862
44.184,68867
44.284,68872
44.385,68877
44.485,68882
44.585,68887
44.685,68892
44.785,68897
44.886,68902
44.986,68907
45.086,68912
45.186,68917
45.286,68922
45.387,68927
45.487,68932
45.587,68937
45.687,68942
45.787,68947
45.888,68952
45.988,68957
46.088,68962
46.188,68967
46.288,68972
46.389,68977
46.489,68982
46.589,68987
46.689,68992
46.789,68997
46.890,69002
46.990,69007
47.090,69012
47.190,69017
47.291,69022
47.391,69027
47.491,69032
47.591,69037
47.691,69042
47.791,69047
47.892,69052
47.992,69057
48.092,69062
48.192,69067
48.293,69072
48.393,69077
48.493,69082
48.593,69087
48.693,69092
48.794,69097
48.894,69102
48.994,69107
49.094,69112
49.194,69117
49.294,69122
49.395,69128
49.495,69133
49.595,69136
49.695,69143
49.795,69148
49.896,69153
49.996,69158
50.096,69163
50.196,69168
50.297,69173
50.397,69178
50.497,69183
50.597,69188
50.697,69193
50.798,69198
50.898,69203
50.998,69208
51.098,69213
51.198,69218
51.299,69223
51.399,69228
51.499,69233
51.599,69238
51.699,69243
51.800,69248
51.900,69253
52.000,69258
52.100,69263
52.200,69268
52.301,69273
52.401,69279
52.501,69284
52.601,69289
52.701,69294
