TO_CLIENT
1462171788
time,tx_packets
0.002,66660
0.102,66660
0.201,66660
0.302,66660
0.402,66660
0.502,66660
0.603,66660
0.703,66660
0.803,66660
0.903,66660
1.004,66660
1.104,66664
1.204,66670
1.304,66675
1.404,66680
1.505,66685
1.604,66690
1.705,66695
1.806,66700
1.906,66705
2.006,66710
2.106,66715
2.206,66720
2.306,66725
2.407,66730
2.506,66735
2.607,66740
2.706,66745
2.806,66750
2.907,66755
3.008,66760
3.109,66765
3.208,66770
3.308,66775
3.409,66780
3.508,66785
3.610,66790
3.710,66795
3.809,66800
3.909,66805
4.011,66810
4.111,66815
4.212,66820
4.313,66825
4.411,66830
4.512,66835
4.611,66839
4.711,66843
4.811,66850
4.912,66855
5.012,66860
5.112,66865
5.213,66870
5.314,66875
5.413,66880
5.513,66885
5.613,66890
5.713,66895
5.814,66901
5.914,66906
6.014,66911
6.114,66916
6.213,66921
6.313,66926
6.414,66931
6.515,66936
6.614,66941
6.714,66946
6.814,66951
6.914,66956
7.014,66961
7.114,66966
7.215,66971
7.315,66976
7.415,66981
7.515,66986
7.615,66991
7.715,66996
7.816,67001
7.916,67006
8.016,67011
8.116,67016
8.216,67021
8.317,67026
8.417,67031
8.517,67036
8.617,67041
8.717,67046
8.817,67051
8.918,67056
9.018,67061
9.118,67066
9.218,67071
9.318,67076
9.419,67081
9.519,67086
9.619,67091
9.719,67096
9.819,67101
9.920,67106
10.020,67111
10.120,67116
10.220,67121
10.320,67126
10.420,67131
10.521,67136
10.621,67141
10.721,67146
10.822,67152
10.922,67157
11.022,67162
11.122,67166
11.222,67171
11.322,67176
11.422,67178
11.522,67184
11.623,67190
11.723,67195
11.823,67200
11.923,67205
12.023,67210
12.123,67215
12.224,67220
12.324,67225
12.424,67230
12.524,67235
12.624,67240
12.724,67245
12.825,67250
12.925,67255
13.025,67260
13.125,67265
13.225,67270
13.325,67275
13.425,67280
13.526,67285
13.626,67290
13.726,67294
13.826,67300
13.926,67305
14.026,67310
14.126,67315
14.226,67320
14.327,67325
14.427,67330
14.527,67335
14.627,67340
14.727,67345
14.827,67350
14.927,67356
15.028,67361
15.128,67366
15.228,67371
15.328,67376
15.428,67381
15.528,67386
15.628,67391
15.729,67396
15.829,67401
15.929,67406
16.029,67411
16.129,67416
16.230,67421
16.330,67426
16.430,67431
16.530,67436
16.630,67441
16.731,67446
16.831,67451
16.931,67456
17.031,67461
17.131,67466
17.231,67471
17.332,67476
17.432,67481
17.532,67486
17.632,67491
17.732,67496
17.832,67501
17.933,67506
18.033,67511
18.133,67516
18.233,67521
18.333,67526
18.433,67531
18.534,67536
18.633,67541
18.734,67546
18.834,67551
18.934,67556
19.034,67561
19.134,67566
19.235,67571
19.335,67576
19.435,67581
19.535,67586
19.635,67591
19.735,67596
19.836,67601
19.936,67606
20.036,67611
20.136,67616
20.237,67621
20.338,67626
20.437,67631
20.537,67636
20.637,67641
20.737,67646
20.837,67651
20.937,67654
21.037,67661
21.138,67666
21.237,67671
21.338,67676
21.438,67681
21.538,67686
21.638,67691
21.738,67696
21.838,67700
21.938,67706
22.038,67711
22.139,67716
22.239,67721
22.339,67726
22.439,67731
22.539,67736
22.639,67741
22.740,67746
22.840,67751
22.940,67756
23.040,67761
23.140,67766
23.241,67771
23.340,67776
23.441,67781
23.541,67786
23.641,67791
23.741,67796
23.840,67801
23.942,67806
24.042,67811
24.142,67816
24.241,67821
24.342,67826
24.442,67831
24.543,67836
24.643,67841
24.743,67846
24.842,67851
24.942,67856
25.042,67861
25.142,67866
25.242,67871
25.343,67876
25.442,67881
25.543,67886
25.643,67891
25.743,67896
25.843,67901
25.943,67906
26.043,67911
26.144,67916
26.244,67921
26.343,67926
26.443,67931
26.544,67936
26.644,67941
26.744,67946
26.844,67951
26.944,67956
27.045,67961
27.144,67966
27.245,67971
27.345,67976
27.445,67981
27.545,67986
27.645,67991
27.745,67996
27.845,68001
27.945,68006
28.046,68011
28.146,68016
28.246,68021
28.346,68026
28.446,68031
28.546,68036
28.646,68041
28.746,68046
28.846,68051
28.947,68056
29.048,68061
29.147,68066
29.247,68071
29.348,68076
29.448,68082
29.548,68086
29.648,68091
29.748,68096
29.849,68102
29.949,68107
30.049,68112
30.149,68117
30.250,68122
30.349,68127
30.449,68132
30.550,68137
30.650,68142
30.750,68147
30.850,68152
30.950,68157
31.050,68162
31.151,68167
31.251,68172
