TO_UA
1462171788
time,tx_packets
0.001,145041
0.101,145041
0.201,145043
0.302,145043
0.402,145044
0.502,145046
0.602,145046
0.702,145046
0.803,145048
0.903,145070
1.003,145095
1.103,145123
1.204,145150
1.304,145178
1.404,145206
1.504,145233
1.604,145261
1.705,145288
1.805,145309
1.905,145324
2.006,145339
2.106,145354
2.206,145369
2.307,145385
2.408,145400
2.507,145415
2.607,145430
2.708,145445
2.809,145460
2.910,145475
3.009,145490
3.110,145506
3.211,145521
3.311,145536
3.410,145551
3.511,145567
3.610,145582
3.712,145600
3.813,145615
3.913,145630
4.012,145645
4.112,145660
4.213,145675
4.313,145693
4.414,145707
4.514,145724
4.613,145731
4.714,145755
4.816,145781
4.915,145796
5.014,145811
5.115,145826
5.215,145841
5.316,145856
5.415,145871
5.516,145888
5.615,145903
5.716,145918
5.815,145933
5.916,145948
6.016,145963
6.116,145978
6.216,145993
6.317,146008
6.417,146027
6.517,146042
6.617,146057
6.717,146072
6.818,146087
6.918,146102
7.018,146117
7.119,146132
7.219,146148
7.319,146163
7.419,146178
7.520,146193
7.620,146211
7.720,146227
7.820,146244
7.920,146259
8.021,146275
8.121,146290
8.221,146305
8.321,146320
8.421,146343
8.521,146360
8.621,146377
8.721,146395
8.821,146411
8.922,146427
9.022,146442
9.122,146457
9.222,146472
9.322,146487
9.422,146502
9.523,146517
9.623,146532
9.723,146549
9.823,146564
9.924,146579
10.024,146595
10.124,146613
10.224,146628
10.325,146643
10.425,146658
10.525,146673
10.625,146688
10.726,146703
10.826,146718
10.926,146734
11.026,146749
11.127,146761
11.226,146778
11.326,146802
11.427,146829
11.527,146860
11.627,146884
11.727,146905
11.827,146925
11.927,146945
12.027,146966
12.128,146986
12.228,147007
12.328,147029
12.428,147049
12.528,147069
12.628,147089
12.728,147109
12.829,147129
12.929,147149
13.029,147170
13.129,147190
13.229,147211
13.330,147233
13.429,147255
13.530,147275
13.630,147295
13.730,147317
13.830,147338
13.930,147360
14.030,147380
14.130,147401
14.230,147422
14.330,147441
14.431,147461
14.531,147481
14.631,147501
14.731,147522
14.831,147542
14.932,147561
15.032,147583
15.132,147603
15.232,147623
15.332,147643
15.432,147664
15.532,147686
15.632,147706
15.733,147727
15.833,147747
15.933,147767
16.033,147787
16.133,147807
16.234,147828
16.333,147852
16.434,147873
16.534,147893
16.634,147913
16.734,147933
16.835,147953
16.935,147973
17.035,147997
17.135,148017
17.235,148037
17.335,148058
17.435,148079
17.536,148102
17.636,148122
17.736,148142
17.836,148162
17.936,148186
18.037,148206
18.136,148226
18.237,148246
18.337,148266
18.437,148287
18.537,148309
18.637,148329
18.737,148349
18.837,148369
18.937,148389
19.038,148410
19.138,148430
19.238,148450
19.338,148470
19.438,148490
19.539,148510
19.639,148532
19.739,148554
19.839,148574
19.939,148595
20.040,148615
20.139,148635
20.240,148656
20.339,148676
20.440,148696
20.540,148717
20.640,148739
20.740,148761
20.840,148778
20.941,148797
21.041,148826
21.141,148848
21.241,148871
21.341,148891
21.441,148912
21.541,148933
21.641,148955
21.742,148975
21.842,148991
21.942,149017
22.042,149038
22.142,149058
22.242,149078
22.343,149098
22.443,149119
22.543,149139
22.643,149159
22.743,149179
22.843,149199
22.943,149221
23.044,149241
23.144,149262
23.244,149282
23.344,149302
23.444,149322
23.545,149342
23.645,149362
23.745,149383
23.845,149403
23.945,149424
24.045,149444
24.146,149465
24.246,149485
24.346,149507
24.446,149529
24.546,149550
24.646,149570
24.747,149591
24.847,149610
24.947,149632
25.047,149653
25.147,149673
25.247,149693
25.347,149714
25.448,149735
25.548,149755
25.648,149772
25.748,149794
25.848,149816
25.949,149840
26.049,149859
26.149,149879
26.249,149902
26.349,149921
26.450,149942
26.550,149961
26.650,149983
26.750,150002
26.850,150026
26.950,150046
27.051,150067
27.151,150087
27.251,150107
27.351,150128
27.451,150148
27.552,150171
27.652,150191
27.752,150211
27.852,150231
27.952,150251
28.053,150271
28.153,150291
28.253,150312
28.353,150332
28.453,150362
28.553,150382
28.654,150403
28.754,150423
28.854,150443
28.954,150463
29.055,150483
29.155,150504
29.255,150524
29.355,150544
29.455,150564
29.555,150585
29.656,150606
29.756,150626
29.856,150646
29.956,150667
30.057,150687
30.157,150707
30.257,150729
30.357,150750
30.457,150771
30.559,150791
30.658,150811
30.758,150831
30.858,150851
30.958,150871
31.059,150891
31.159,150911
31.259,150931
31.359,150951
31.459,150974
31.560,150994
31.660,151014
31.760,151030
31.860,151054
31.960,151067
32.061,151094
32.161,151122
32.261,151142
32.361,151162
32.461,151182
32.561,151203
32.661,151224
32.762,151244
32.862,151264
32.962,151284
33.063,151304
33.163,151324
33.263,151344
33.363,151365
33.463,151391
33.563,151421
33.664,151442
33.764,151463
33.864,151483
33.964,151503
34.064,151523
34.164,151543
34.264,151564
34.364,151584
34.465,151601
34.565,151623
34.665,151646
34.765,151663
34.865,151680
34.965,151707
35.065,151732
35.165,151754
35.266,151775
35.366,151794
35.466,151814
35.566,151834
35.666,151854
35.766,151875
35.866,151895
35.966,151915
36.067,151935
36.167,151956
36.267,151976
36.367,151995
36.467,152015
36.567,152036
36.668,152056
36.768,152078
36.868,152098
36.968,152117
37.068,152138
37.168,152157
37.268,152178
37.368,152199
37.468,152221
37.569,152242
37.669,152261
37.769,152282
37.869,152303
37.969,152323
38.069,152343
38.169,152364
38.269,152385
38.370,152405
38.470,152425
38.570,152453
38.670,152473
38.770,152494
38.870,152515
38.970,152537
39.070,152557
39.171,152577
39.271,152597
39.371,152619
39.471,152639
39.571,152657
39.671,152678
39.771,152699
39.872,152719
39.972,152739
40.072,152760
40.172,152781
40.272,152802
40.372,152822
40.472,152842
40.573,152862
40.673,152882
40.773,152902
40.873,152922
40.973,152942
41.073,152964
41.174,152985
41.274,153005
41.374,153025
41.474,153046
41.574,153066
41.675,153087
41.775,153107
41.875,153127
41.975,153147
42.075,153167
42.175,153188
42.275,153208
42.375,153228
42.476,153249
42.576,153269
42.676,153289
42.776,153309
42.876,153332
42.976,153352
43.076,153372
43.177,153392
43.277,153412
43.377,153432
43.477,153453
43.578,153474
43.678,153494
43.778,153517
43.878,153541
43.979,153574
44.079,153608
44.179,153634
44.279,153654
44.379,153675
44.479,153695
44.579,153715
44.679,153735
44.780,153755
44.880,153775
44.980,153795
45.080,153815
45.180,153835
45.280,153855
45.381,153875
45.481,153896
45.581,153916
45.681,153936
45.781,153957
45.881,153976
45.982,153997
