FROM_CLIENT
1462172058
time,rx_packets
0.001,100702
0.101,100702
0.201,100702
0.301,100702
0.401,100702
0.502,100702
0.602,100702
0.702,100702
0.802,100704
0.902,100709
1.003,100714
1.103,100719
1.203,100724
1.303,100729
1.403,100734
1.503,100739
1.604,100744
1.704,100749
1.804,100754
1.904,100759
2.005,100764
2.105,100769
2.205,100774
2.305,100779
2.405,100784
2.506,100789
2.606,100794
2.706,100799
2.806,100804
2.906,100809
3.006,100814
3.107,100819
3.207,100824
3.307,100829
3.407,100834
3.507,100839
3.607,100844
3.707,100849
3.808,100854
3.908,100859
4.008,100864
4.108,100869
4.208,100874
4.309,100879
4.409,100883
4.509,100886
4.609,100894
4.709,100899
4.809,100904
4.910,100909
5.010,100914
5.110,100919
5.210,100924
5.310,100929
5.410,100934
5.511,100939
5.611,100944
5.711,100949
5.811,100955
5.912,100960
6.011,100965
6.112,100970
6.212,100975
6.312,100980
6.412,100985
6.512,100990
6.613,100995
6.713,101000
6.813,101005
6.913,101010
7.013,101015
7.113,101020
7.214,101025
7.314,101030
7.414,101035
7.514,101040
7.614,101045
7.715,101050
7.815,101055
7.915,101060
8.015,101065
8.116,101070
8.216,101075
8.316,101080
8.416,101085
8.517,101090
8.617,101095
8.717,101100
8.817,101105
8.917,101110
9.017,101115
9.117,101120
9.217,101125
9.318,101130
9.418,101135
9.518,101140
9.618,101146
9.718,101150
9.819,101156
9.919,101161
10.019,101166
10.119,101171
10.219,101176
10.319,101181
10.420,101186
10.520,101191
10.620,101196
10.721,101201
10.822,101207
10.921,101212
11.022,101217
11.121,101222
11.222,101227
11.322,101232
11.422,101237
11.521,101242
11.623,101247
11.722,101252
11.822,101257
11.922,101262
12.023,101267
12.122,101272
12.223,101277
12.323,101282
12.423,101287
12.523,101292
12.624,101297
12.724,101302
12.824,101307
12.924,101312
13.024,101317
13.124,101322
13.224,101327
13.325,101332
13.425,101337
13.525,101342
13.626,101347
13.726,101352
13.825,101357
13.926,101362
14.026,101367
14.127,101372
14.226,101377
14.327,101382
14.427,101387
14.527,101392
14.627,101397
14.727,101402
14.827,101407
14.928,101412
15.028,101417
15.128,101422
15.227,101427
15.328,101432
15.429,101437
15.529,101442
15.628,101447
15.729,101452
15.828,101457
15.928,101462
16.028,101467
16.129,101472
16.229,101477
16.329,101482
16.429,101487
16.530,101492
16.629,101497
16.729,101502
16.830,101507
16.930,101512
17.030,101517
17.130,101522
17.231,101527
17.331,101532
