TO_KISTI
1462172058
time,tx_packets
0.001,79277
0.101,79277
0.201,79277
0.301,79277
0.402,79277
0.502,79277
0.602,79277
0.702,79277
0.803,79277
0.903,79277
1.003,79281
1.103,79286
1.203,79291
1.303,79296
1.404,79301
1.504,79306
1.604,79311
1.704,79316
1.804,79321
1.904,79326
2.005,79331
2.105,79336
2.205,79341
2.305,79346
2.405,79351
2.506,79356
2.606,79361
2.706,79366
2.806,79371
2.907,79376
3.007,79381
3.107,79386
3.207,79391
3.308,79396
3.408,79401
3.508,79406
3.608,79411
3.708,79417
3.809,79421
3.909,79427
4.009,79432
4.109,79437
4.209,79442
4.309,79447
4.410,79452
4.510,79456
4.610,79458
4.710,79467
4.811,79472
4.911,79477
5.011,79482
5.111,79487
5.211,79492
5.312,79497
5.412,79502
5.512,79507
5.612,79512
5.712,79517
5.813,79522
5.913,79527
6.013,79533
6.113,79538
6.214,79543
6.314,79548
6.414,79553
6.514,79558
6.614,79563
6.715,79568
6.815,79573
6.915,79578
7.015,79583
7.115,79588
7.216,79593
7.316,79598
7.416,79603
7.516,79608
7.617,79613
7.717,79618
7.817,79623
7.917,79628
8.017,79633
8.118,79638
8.218,79643
8.318,79648
8.418,79653
8.518,79658
8.618,79663
8.719,79668
8.819,79673
8.919,79678
9.019,79683
9.120,79688
9.220,79693
9.320,79698
9.420,79703
9.520,79707
9.621,79713
9.721,79718
9.821,79723
9.921,79728
10.021,79733
10.122,79738
10.222,79743
10.322,79748
10.422,79753
10.522,79758
10.623,79763
10.723,79768
10.823,79773
10.923,79778
11.024,79783
11.124,79788
11.224,79792
11.324,79795
11.424,79802
11.524,79807
11.625,79812
11.725,79817
11.825,79822
11.925,79827
12.025,79832
12.126,79837
12.226,79842
12.326,79847
12.426,79852
12.526,79857
12.627,79862
12.727,79867
12.827,79872
12.927,79877
13.028,79882
13.128,79887
13.228,79892
13.328,79897
13.428,79903
13.529,79908
13.629,79913
13.729,79918
13.829,79923
13.930,79928
14.030,79933
14.130,79938
14.230,79943
14.330,79949
14.430,79953
14.531,79958
14.631,79964
15.731,80016
15.831,80024
15.931,80029
16.032,80034
16.132,80039
16.232,80044
16.332,80049
16.432,80054
16.533,80059
16.633,80063
16.733,80069
16.833,80074
16.933,80079
17.034,80084
17.134,80089
17.234,80094
17.334,80099
17.434,80104
17.535,80109
17.635,80114
17.735,80119
17.835,80124
17.936,80129
18.036,80134
18.136,80139
18.236,80144
18.336,80149
18.437,80154
18.537,80159
18.637,80164
18.737,80166
18.838,80174
18.938,80179
19.038,80184
19.138,80189
19.238,80194
19.339,80199
19.439,80204
19.539,80209
19.639,80214
19.740,80219
19.840,80224
19.940,80229
20.040,80234
20.140,80239
20.241,80244
20.341,80249
20.441,80254
20.541,80259
20.642,80264
20.742,80269
20.842,80274
20.942,80279
21.042,80284
21.143,80289
21.243,80294
21.343,80299
21.443,80304
21.544,80309
21.644,80314
21.744,80319
21.844,80324
21.944,80329
22.045,80334
22.145,80339
22.245,80344
22.345,80349
22.445,80354
22.546,80359
22.646,80364
22.746,80369
22.846,80374
22.947,80379
23.047,80384
23.147,80389
23.247,80394
23.348,80399
23.448,80404
23.548,80409
23.648,80414
23.748,80419
23.849,80424
23.949,80429
24.049,80434
24.149,80439
24.249,80444
24.350,80449
24.450,80454
24.550,80458
24.650,80464
24.751,80470
24.851,80475
24.951,80480
25.051,80485
25.151,80490
25.252,80495
25.352,80500
25.452,80505
25.552,80510
25.653,80515
25.753,80520
25.853,80525
25.953,80530
26.053,80535
26.154,80540
26.254,80545
26.354,80550
26.454,80555
26.555,80560
26.655,80565
26.755,80570
26.855,80575
26.955,80580
27.056,80585
27.156,80590
27.256,80595
27.356,80600
27.457,80605
27.557,80610
27.657,80615
27.757,80620
27.857,80625
27.958,80630
28.058,80635
28.158,80640
28.258,80645
28.358,80650
28.459,80655
28.559,80660
28.659,80665
28.759,80670
28.860,80675
28.960,80680
29.060,80685
29.160,80690
29.260,80695
29.361,80700
29.461,80705
29.561,80710
29.661,80715
29.762,80720
29.862,80725
29.962,80730
30.062,80735
30.162,80740
30.263,80745
30.363,80750
30.463,80755
30.563,80760
30.663,80765
30.764,80770
30.864,80775
30.964,80780
31.064,80785
31.164,80790
31.265,80795
31.365,80800
31.465,80805
31.565,80810
31.665,80815
31.766,80820
31.866,80825
31.966,80830
32.066,80835
32.166,80840
32.266,80845
32.367,80850
32.467,80855
32.567,80860
32.667,80865
32.767,80870
32.867,80875
32.968,80880
33.068,80885
33.168,80890
33.268,80895
33.368,80900
33.468,80905
33.568,80910
33.669,80915
33.769,80920
33.869,80925
33.969,80930
34.069,80935
34.169,80940
34.269,80945
34.369,80950
34.470,80955
34.570,80960
34.670,80960
34.770,80970
34.870,80975
34.970,80980
35.071,80986
35.171,80991
35.271,80996
35.371,81001
35.471,81006
35.571,81011
35.671,81016
35.771,81021
35.872,81026
35.972,81031
36.072,81036
36.172,81041
36.272,81046
36.372,81051
36.472,81056
36.573,81061
36.673,81066
36.773,81071
36.873,81071
36.974,81081
37.074,81086
37.174,81091
37.274,81096
37.374,81101
37.474,81106
37.575,81111
37.675,81116
37.775,81121
37.875,81126
37.976,81131
38.076,81136
38.176,81141
38.276,81146
38.376,81151
38.477,81156
38.577,81161
38.677,81166
38.777,81171
38.877,81176
38.978,81181
39.078,81186
39.178,81191
39.278,81196
39.379,81201
39.479,81206
39.579,81208
39.679,81216
39.779,81221
39.880,81226
39.980,81231
40.080,81236
40.180,81241
40.281,81246
40.381,81251
40.481,81256
40.581,81261
40.681,81266
40.782,81271
40.882,81276
40.982,81281
41.082,81286
41.182,81291
41.283,81296
41.383,81301
41.483,81306
41.583,81311
41.684,81316
41.784,81321
41.884,81326
41.984,81331
42.084,81336
42.185,81341
42.285,81346
42.385,81351
42.485,81356
42.586,81361
42.686,81366
42.786,81371
42.886,81376
42.987,81381
43.087,81386
43.187,81391
43.287,81396
43.387,81401
43.488,81406
43.588,81411
43.688,81416
43.788,81421
43.888,81426
43.989,81431
44.089,81436
44.189,81441
44.289,81446
44.389,81451
44.490,81456
44.590,81461
44.690,81466
44.790,81471
44.890,81476
44.991,81481
45.091,81486
45.191,81492
45.291,81497
45.392,81502
45.492,81507
45.592,81512
45.692,81517
45.792,81519
45.893,81526
45.993,81531
46.093,81537
46.193,81542
46.293,81547
46.394,81552
46.494,81557
46.594,81562
46.694,81564
46.794,81572
46.894,81577
46.995,81582
47.095,81587
47.195,81592
47.295,81597
47.396,81602
47.496,81607
47.596,81612
47.696,81617
47.797,81622
47.897,81627
47.997,81632
48.097,81637
48.197,81642
48.298,81647
48.398,81652
48.498,81657
48.598,81662
48.699,81667
48.799,81672
48.899,81677
48.999,81682
49.099,81687
49.200,81692
49.300,81697
49.400,81702
49.500,81707
49.600,81712
49.701,81717
49.801,81722
49.901,81728
50.001,81733
50.102,81738
50.202,81743
50.302,81748
50.402,81753
50.502,81758
50.603,81763
50.703,81768
50.803,81773
50.903,81778
51.003,81783
51.104,81788
51.204,81793
51.304,81798
51.404,81803
51.505,81808
51.605,81813
51.705,81818
51.805,81823
51.905,81828
52.006,81833
52.106,81838
52.206,81843
52.306,81848
52.407,81853
52.507,81858
52.607,81863
52.707,81868
52.807,81873
52.908,81878
53.008,81883
53.108,81888
53.208,81893
53.308,81898
53.409,81903
53.509,81908
53.609,81913
53.709,81918
53.809,81918
53.910,81928
54.010,81933
54.110,81938
54.210,81943
54.310,81948
54.411,81954
54.511,81959
54.611,81964
54.711,81969
54.812,81974
54.912,81980
55.012,81985
55.112,81990
55.212,81995
55.313,82000
55.413,82005
55.513,82010
55.613,82015
55.713,82020
55.814,82025
55.914,82030
56.014,82035
56.114,82040
56.214,82045
56.315,82050
56.415,82055
56.515,82060
56.615,82065
56.716,82070
56.816,82075
56.916,82080
57.016,82085
57.116,82090
57.217,82095
57.317,82100
57.417,82105
57.518,82110
57.618,82115
57.718,82120
57.818,82125
57.918,82130
58.019,82135
58.119,82140
58.219,82145
58.319,82150
58.420,82155
58.520,82160
58.620,82165
58.720,82169
58.820,82175
58.921,82180
59.021,82185
59.121,82190
59.221,82195
59.321,82200
59.422,82205
59.522,82210
59.622,82215
59.722,82220
59.822,82225
59.923,82230
60.023,82235
60.123,82240
60.223,82245
60.324,82250
60.424,82255
60.524,82260
60.624,82265
60.724,82270
60.825,82275
60.925,82280
61.025,82285
61.125,82290
61.226,82295
61.326,82300
61.426,82305
61.526,82310
61.626,82315
61.727,82320
61.827,82325
61.927,82330
62.027,82335
62.127,82340
62.228,82345
62.328,82350
62.428,82355
62.528,82360
62.629,82365
62.729,82370
62.829,82375
62.929,82380
63.029,82385
63.130,82390
63.230,82395
63.330,82400
63.430,82405
63.530,82411
63.631,82416
63.731,82420
63.831,82426
63.931,82431
64.031,82436
64.132,82441
64.232,82446
64.332,82451
64.432,82456
64.533,82460
64.633,82464
64.733,82471
64.833,82476
64.933,82481
65.034,82486
65.134,82491
65.234,82496
65.334,82501
65.434,82506
65.534,82511
65.635,82516
65.735,82521
65.835,82526
65.935,82531
66.035,82536
66.136,82541
66.236,82546
66.336,82551
66.436,82556
66.537,82561
66.637,82566
66.737,82571
66.837,82576
66.937,82581
67.038,82586
67.138,82591
67.238,82596
67.338,82601
67.438,82606
67.539,82611
67.639,82616
67.739,82621
67.839,82626
67.940,82631
68.040,82636
68.140,82641
68.240,82646
68.340,82651
68.441,82656
68.541,82661
68.641,82666
68.741,82671
68.841,82676
68.942,82681
69.042,82686
69.142,82691
69.242,82696
69.342,82701
69.443,82706
69.543,82710
69.643,82713
69.743,82721
69.844,82726
69.944,82731
70.044,82736
70.144,82741
70.244,82746
70.345,82751
70.445,82756
70.545,82761
70.645,82766
70.746,82771
70.846,82776
70.946,82781
71.046,82786
71.146,82791
71.246,82796
71.347,82801
71.447,82806
71.547,82811
71.647,82816
71.747,82821
71.847,82824
71.947,82831
72.047,82836
72.147,82841
72.248,82846
72.348,82851
72.448,82856
72.548,82861
72.648,82866
72.748,82871
72.849,82876
72.949,82881
73.049,82886
73.150,82891
73.250,82896
73.350,82901
73.450,82906
73.550,82911
73.651,82917
73.751,82922
73.851,82927
73.951,82932
74.052,82937
74.152,82942
74.252,82947
74.352,82952
74.452,82957
74.553,82962
74.653,82967
74.753,82972
74.853,82977
74.954,82982
75.054,82987
75.154,82992
75.254,82997
75.354,83003
75.455,83008
75.555,83013
75.655,83018
75.755,83023
75.855,83028
75.956,83033
76.056,83038
76.156,83043
76.256,83048
76.357,83053
76.457,83058
76.557,83063
76.657,83068
76.757,83073
76.858,83078
76.958,83083
77.058,83088
77.158,83093
77.258,83098
77.359,83103
77.459,83108
77.559,83113
77.659,83118
77.760,83123
77.860,83128
77.960,83133
78.060,83138
78.160,83143
78.261,83148
78.361,83153
78.461,83158
78.561,83163
78.662,83168
78.762,83173
78.862,83178
78.962,83183
79.062,83188
79.163,83193
79.263,83198
79.363,83203
79.464,83208
79.563,83213
79.664,83218
79.764,83223
79.864,83228
79.964,83233
80.065,83238
80.165,83243
80.265,83248
80.365,83253
80.466,83258
80.566,83263
80.666,83268
80.766,83271
80.866,83276
80.967,83283
81.067,83288
81.167,83293
81.267,83298
81.367,83302
81.467,83308
81.568,83313
81.668,83317
81.768,83323
81.868,83328
81.968,83333
82.069,83338
82.169,83343
82.269,83348
82.369,83353
82.470,83358
82.570,83363
82.670,83368
82.770,83373
82.870,83378
82.971,83383
83.071,83388
83.171,83393
83.271,83398
83.371,83404
83.472,83409
83.572,83414
83.672,83419
83.772,83424
83.873,83429
83.973,83434
84.073,83439
84.173,83444
84.273,83449
84.374,83454
84.474,83459
84.574,83464
84.674,83469
84.774,83474
84.875,83479
84.975,83484
85.075,83489
85.175,83494
85.276,83499
85.376,83504
85.476,83509
85.576,83514
85.676,83519
85.777,83523
85.877,83529
85.977,83534
86.077,83539
86.177,83544
86.278,83549
86.378,83554
86.478,83559
86.578,83564
86.679,83569
86.779,83574
86.879,83579
86.979,83584
87.080,83589
87.180,83593
87.280,83599
87.380,83604
87.480,83609
87.581,83614
87.681,83619
87.781,83624
87.881,83629
87.981,83634
88.082,83639
88.182,83644
88.282,83649
88.382,83654
88.482,83659
88.583,83664
88.683,83669
88.783,83672
88.883,83672
88.984,83684
89.084,83689
89.184,83694
89.284,83699
89.384,83704
89.485,83709
89.585,83714
89.685,83719
89.785,83724
89.885,83729
89.986,83734
90.086,83739
90.186,83744
90.286,83749
90.386,83754
90.487,83759
90.587,83764
90.687,83769
90.787,83774
90.887,83779
90.988,83784
91.088,83789
91.188,83794
91.288,83799
91.389,83804
91.489,83809
91.589,83814
91.689,83819
91.789,83825
91.890,83830
91.990,83835
92.090,83840
92.190,83845
92.290,83850
92.391,83855
92.491,83860
92.591,83865
92.691,83871
92.791,83875
92.892,83881
92.992,83886
93.092,83891
93.192,83896
93.292,83901
93.393,83906
93.493,83911
93.593,83916
93.693,83921
93.794,83926
93.894,83931
93.994,83936
94.094,83941
94.194,83946
94.295,83951
94.395,83956
94.495,83961
94.595,83966
94.695,83966
94.796,83976
94.896,83981
94.996,83986
95.096,83991
95.197,83996
95.297,84001
95.397,84006
95.497,84011
95.597,84016
95.698,84021
95.798,84026
95.898,84031
95.998,84036
96.099,84041
96.199,84046
96.299,84051
96.399,84056
96.499,84061
96.600,84066
96.700,84071
96.800,84077
96.900,84082
97.000,84087
97.101,84092
97.201,84097
97.301,84102
97.401,84107
97.501,84112
97.602,84117
97.702,84122
97.802,84127
97.902,84132
98.002,84137
98.103,84142
98.203,84147
98.303,84152
98.403,84157
98.503,84162
98.604,84167
98.704,84172
98.804,84177
98.904,84182
99.004,84187
99.104,84192
99.205,84197
99.305,84202
99.405,84207
99.506,84212
99.606,84213
99.706,84222
99.806,84227
99.906,84232
100.006,84237
100.107,84242
100.207,84247
100.307,84252
100.407,84257
100.507,84262
100.608,84267
100.708,84272
100.808,84277
100.908,84282
101.008,84287
101.109,84292
101.209,84297
101.309,84302
101.409,84307
101.510,84312
101.610,84317
101.710,84322
101.810,84327
101.910,84332
102.011,84337
102.111,84342
102.211,84347
102.311,84352
102.411,84358
102.512,84363
102.612,84368
102.712,84373
102.812,84378
102.913,84383
103.013,84388
103.113,84393
103.213,84398
103.313,84403
103.414,84408
103.514,84413
103.614,84418
103.714,84423
103.814,84428
103.915,84433
104.015,84438
104.115,84443
104.215,84448
104.315,84453
104.416,84458
104.516,84463
104.616,84468
104.716,84473
104.816,84478
104.917,84483
105.017,84488
105.117,84493
105.217,84498
105.317,84503
105.418,84508
105.518,84513
105.618,84518
105.718,84523
105.818,84528
105.918,84533
106.019,84538
106.119,84543
106.219,84548
106.319,84553
106.419,84558
106.520,84563
106.620,84568
106.720,84573
106.820,84578
106.921,84583
107.021,84588
107.121,84593
107.221,84598
107.321,84603
107.422,84608
107.522,84613
107.622,84618
107.722,84623
107.822,84628
107.923,84633
108.023,84638
108.123,84643
108.223,84648
108.324,84653
108.424,84658
108.524,84663
108.624,84668
108.724,84673
108.824,84678
108.924,84683
109.024,84688
109.125,84693
109.225,84698
109.325,84703
109.425,84708
109.525,84713
109.625,84718
109.725,84723
109.825,84728
109.926,84733
110.026,84738
110.126,84743
110.226,84748
110.326,84753
110.426,84758
110.526,84763
110.626,84768
110.727,84773
110.827,84778
110.927,84783
111.027,84788
111.127,84793
111.227,84798
111.327,84803
111.428,84807
111.528,84808
111.628,84810
111.728,84811
111.828,84813
111.928,84815
112.028,84817
112.128,84818
112.228,84820
112.329,84822
112.429,84824
112.529,84824
112.629,84826
112.729,84828
112.829,84828
112.929,84830
113.029,84831
113.129,84833
113.229,84836
113.330,84839
113.430,84843
113.530,84846
113.630,84848
113.730,84859
113.830,84898
113.930,84928
114.030,84932
114.130,84933
114.230,84938
114.331,84940
114.431,84944
114.531,84945
114.631,84947
114.731,84950
114.831,84953
114.931,84956
115.031,84959
115.131,84962
115.231,84965
115.332,84967
115.431,84978
115.532,85000
115.632,85018
115.732,85023
115.832,85024
115.932,85025
116.032,85030
116.132,85041
116.232,85047
116.332,85053
116.432,85058
116.532,85063
116.633,85068
116.733,85072
116.833,85075
116.933,85082
117.033,85086
117.133,85087
117.233,85091
117.333,85100
117.433,85108
117.533,85113
117.633,85118
117.734,85123
117.834,85128
117.934,85133
