TO_UIUC
1462172058
time,tx_packets
0.001,172367
0.101,172367
0.201,172368
0.301,172368
0.401,172368
0.502,172368
0.602,172368
0.702,172368
0.803,172370
0.903,172376
1.003,172382
1.103,172398
1.203,172419
1.303,172443
1.403,172469
1.503,172495
1.604,172521
1.704,172547
1.804,172577
1.904,172599
2.005,172620
2.105,172641
2.205,172659
2.305,172680
2.405,172700
2.505,172720
2.605,172740
2.706,172760
2.806,172780
2.906,172801
3.006,172820
3.107,172841
3.207,172861
3.307,172880
3.407,172901
3.507,172924
3.608,172944
3.708,172964
3.807,172984
3.908,173004
4.008,173024
4.109,173044
4.209,173064
4.309,173084
4.409,173107
4.508,173122
4.610,173145
4.709,173158
4.810,173190
4.910,173215
5.009,173233
5.111,173257
5.210,173277
5.312,173299
5.411,173319
5.512,173339
5.612,173359
5.711,173379
5.812,173399
5.913,173419
6.012,173439
6.112,173460
6.212,173480
6.313,173500
6.413,173520
6.514,173540
6.613,173560
6.714,173581
6.814,173601
6.914,173621
7.013,173640
7.113,173659
7.214,173681
7.314,173701
7.413,173721
7.515,173741
7.614,173761
7.715,173781
7.815,173804
7.916,173825
8.015,173846
8.117,173862
8.216,173890
8.316,173908
8.416,173931
8.518,173952
8.617,173971
8.717,173992
8.817,174013
8.918,174032
9.019,174053
9.118,174073
9.218,174093
9.319,174114
9.420,174134
9.520,174155
9.619,174175
9.719,174195
9.821,174216
9.920,174236
10.021,174256
10.120,174276
10.221,174298
10.320,174318
10.421,174340
10.521,174361
10.621,174381
10.723,174403
10.822,174424
10.922,174444
11.022,174464
11.122,174481
11.222,174498
11.323,174513
11.423,174536
11.523,174561
11.623,174582
11.724,174599
11.825,174618
11.925,174638
12.025,174653
12.123,174675
12.224,174689
12.324,174708
12.424,174723
12.524,174739
12.624,174755
12.725,174772
12.824,174787
12.925,174804
13.025,174819
13.125,174836
13.225,174851
13.326,174870
13.426,174886
13.526,174903
13.627,174918
13.727,174935
13.827,174950
13.927,174967
14.027,174984
14.128,175003
14.228,175021
14.328,175039
14.428,175054
14.528,175071
14.628,175088
14.729,175107
14.829,175125
14.929,175143
15.029,175158
15.129,175175
15.229,175190
15.329,175206
15.430,175221
15.530,175237
15.630,175252
15.730,175269
15.830,175283
15.930,175301
16.030,175316
16.130,175334
16.230,175351
16.331,175366
16.431,175384
16.531,175401
16.632,175418
16.731,175434
16.831,175452
16.932,175468
17.032,175487
17.132,175504
17.232,175522
17.333,175540
17.433,175559
17.533,175574
17.633,175591
17.734,175610
17.833,175627
17.933,175645
18.034,175666
18.134,175684
18.234,175699
18.334,175715
18.435,175730
18.534,175751
18.635,175765
18.735,175783
18.835,175799
18.936,175820
19.036,175841
19.136,175858
19.235,175874
19.336,175888
20.437,176057
20.536,176074
20.636,176091
20.737,176107
20.838,176123
20.938,176141
21.037,176155
21.138,176173
21.237,176188
21.338,176203
21.438,176218
21.538,176234
21.639,176250
21.739,176265
21.839,176281
21.940,176297
22.039,176312
22.139,176328
22.239,176343
22.339,176360
22.440,176377
22.540,176393
22.641,176408
22.741,176423
22.840,176438
22.940,176454
23.041,176469
23.141,176484
23.241,176499
23.341,176517
23.441,176536
23.541,176553
23.642,176569
23.741,176585
23.841,176601
23.941,176616
24.042,176632
24.142,176649
24.243,176665
24.342,176680
24.442,176696
24.543,176714
24.643,176723
24.744,176746
24.844,176762
24.944,176778
25.043,176794
25.144,176809
25.245,176824
25.344,176838
25.445,176854
25.544,176870
25.646,176885
25.745,176900
25.846,176917
25.945,176932
26.046,176947
26.146,176962
26.246,176977
26.347,176995
26.446,177011
26.547,177026
26.648,177042
26.746,177057
26.848,177074
26.947,177088
27.047,177103
27.148,177118
27.249,177136
27.348,177151
27.449,177168
27.550,177184
27.649,177199
27.750,177214
27.850,177232
27.949,177251
28.051,177266
28.150,177283
28.251,177298
28.350,177313
28.451,177328
28.551,177344
28.651,177359
28.751,177378
28.852,177393
28.951,177408
29.051,177424
29.151,177439
29.252,177454
29.352,177472
29.453,177487
29.553,177502
29.652,177518
29.753,177533
29.853,177548
29.953,177563
30.054,177578
30.154,177594
30.254,177614
30.353,177629
30.454,177644
30.554,177659
30.654,177675
30.754,177690
30.855,177705
30.955,177720
31.055,177735
31.155,177751
31.256,177769
31.356,177783
31.456,177799
31.556,177815
31.656,177831
31.757,177847
31.857,177864
31.957,177879
32.057,177898
32.158,177914
32.258,177931
32.357,177948
32.457,177963
32.558,177979
32.658,177995
32.758,178010
32.859,178027
32.958,178042
33.058,178057
33.159,178071
33.258,178092
33.360,178113
33.459,178138
33.561,178154
33.660,178169
33.760,178184
33.861,178201
33.960,178216
34.060,178231
34.161,178246
34.262,178261
34.361,178276
34.462,178291
34.562,178305
34.662,178315
34.762,178328
34.862,178355
34.962,178376
35.062,178392
35.162,178421
35.263,178437
35.363,178452
35.463,178468
35.563,178484
35.663,178500
35.764,178516
35.863,178531
35.964,178545
36.064,178562
36.164,178577
36.265,178592
36.364,178609
36.464,178624
36.565,178640
36.665,178655
36.766,178670
36.866,178680
36.966,178688
37.066,178715
37.166,178737
37.267,178752
37.367,178775
37.467,178792
37.567,178807
37.668,178822
37.768,178837
37.869,178855
37.969,178870
38.068,178885
38.168,178899
38.269,178917
38.369,178934
38.470,178949
38.570,178965
38.670,178980
38.770,178995
38.870,179010
38.970,179026
39.071,179042
39.171,179057
39.271,179072
39.372,179087
39.472,179102
39.572,179116
39.673,179127
39.773,179153
39.873,179168
39.973,179185
40.074,179204
40.174,179219
40.274,179234
40.374,179249
40.474,179264
40.575,179281
40.675,179296
40.775,179314
40.875,179329
40.976,179344
41.075,179360
41.176,179379
41.276,179393
41.377,179410
41.477,179426
41.577,179441
41.677,179456
41.777,179475
41.877,179490
41.977,179505
42.077,179523
42.178,179539
42.278,179554
42.378,179569
42.478,179586
42.579,179601
42.679,179616
42.779,179631
42.879,179646
42.979,179664
43.080,179681
43.180,179696
43.280,179711
43.380,179727
43.480,179742
43.580,179760
43.681,179776
43.781,179791
43.881,179810
43.981,179825
44.081,179840
44.181,179857
44.282,179873
44.382,179889
44.482,179905
44.582,179920
44.682,179935
44.782,179950
44.882,179968
44.983,179983
45.083,180002
45.183,180017
45.283,180032
45.383,180049
45.483,180065
45.584,180079
45.684,180086
45.784,180103
45.884,180118
45.984,180136
46.085,180153
46.185,180171
46.285,180190
46.385,180207
46.485,180227
46.586,180244
46.686,180256
46.786,180268
46.886,180291
46.986,180306
47.086,180323
47.187,180342
47.287,180362
47.387,180379
47.487,180394
47.587,180409
47.688,180425
47.788,180441
47.888,180457
47.988,180474
48.088,180491
48.189,180506
48.289,180523
48.389,180539
48.489,180554
48.590,180571
48.690,180586
48.790,180602
48.890,180617
48.990,180633
49.090,180650
49.191,180666
49.291,180682
49.391,180698
49.491,180715
49.592,180732
49.692,180750
49.792,180765
49.892,180780
49.992,180796
50.093,180811
50.193,180827
50.293,180846
50.393,180862
50.493,180879
50.593,180897
50.694,180913
50.794,180926
50.894,180941
50.994,180956
51.094,180972
51.195,180988
51.296,181005
51.395,181022
51.495,181038
51.595,181055
51.695,181069
51.796,181085
51.896,181101
51.996,181115
52.096,181132
52.196,181149
52.297,181168
52.397,181184
52.497,181201
52.597,181220
52.697,181235
52.798,181251
52.897,181266
52.998,181283
53.098,181299
53.198,181314
53.299,181329
53.398,181348
53.498,181363
53.599,181380
53.699,181388
53.799,181406
53.899,181421
53.999,181446
54.100,181463
54.200,181478
54.300,181493
54.400,181508
54.500,181523
54.600,181534
54.701,181551
54.801,181568
54.901,181583
55.001,181598
55.101,181613
55.201,181628
55.302,181643
55.402,181658
55.502,181673
55.602,181688
55.702,181703
55.802,181718
55.902,181733
56.003,181748
56.103,181763
56.203,181778
56.303,181794
56.403,181809
56.504,181824
56.604,181840
56.704,181855
56.804,181874
56.904,181890
57.004,181907
57.105,181923
57.205,181938
57.305,181953
57.405,181969
57.505,181984
57.605,182002
57.706,182019
57.806,182034
57.906,182050
58.006,182065
58.106,182080
58.206,182097
58.306,182113
58.406,182129
58.507,182145
58.607,182160
58.707,182177
58.807,182191
58.908,182209
59.008,182224
59.108,182241
59.208,182256
59.308,182271
59.408,182286
59.509,182302
59.609,182316
59.709,182331
59.809,182350
59.909,182365
60.009,182382
60.110,182400
60.210,182415
60.310,182430
60.410,182445
60.510,182461
60.610,182478
60.710,182496
60.811,182511
60.911,182527
61.011,182543
61.111,182558
61.211,182573
61.311,182589
61.412,182604
61.512,182619
61.612,182638
61.712,182653
61.812,182668
61.913,182683
62.013,182698
62.113,182713
62.213,182730
62.313,182748
62.413,182765
62.514,182781
62.614,182799
62.714,182814
62.814,182830
62.914,182845
63.015,182860
63.115,182876
63.215,182892
63.315,182907
63.415,182922
63.515,182938
63.615,182952
63.716,182968
63.816,182986
63.916,183002
64.016,183018
64.116,183034
64.216,183049
64.316,183065
64.416,183082
64.517,183096
64.617,183113
64.717,183121
64.817,183147
64.917,183171
65.017,183185
65.118,183208
65.218,183224
65.318,183239
65.418,183255
65.518,183270
65.618,183287
65.719,183302
65.819,183317
65.919,183332
66.019,183347
66.119,183363
66.219,183378
66.320,183395
66.420,183410
66.520,183428
66.620,183443
66.720,183460
66.820,183475
66.921,183492
67.021,183507
67.121,183522
67.221,183538
67.321,183556
67.421,183571
67.521,183586
67.622,183604
67.722,183619
67.822,183635
67.922,183651
68.022,183666
68.122,183680
68.222,183702
68.323,183719
68.423,183741
68.523,183757
68.623,183773
68.723,183789
68.824,183803
68.924,183820
69.024,183835
69.124,183851
69.224,183866
69.324,183882
69.424,183897
69.524,183914
69.625,183921
69.725,183941
69.825,183961
69.925,183976
70.025,183995
70.126,184010
70.226,184025
70.326,184040
70.426,184055
70.526,184070
70.626,184085
70.726,184101
70.827,184116
70.927,184133
71.027,184149
71.127,184164
71.227,184181
71.327,184196
71.428,184211
71.528,184228
71.628,184243
71.728,184258
71.828,184274
71.928,184286
72.028,184310
72.128,184328
72.229,184344
72.329,184359
72.429,184373
72.529,184389
72.629,184404
72.729,184419
72.830,184434
72.930,184449
73.030,184466
73.130,184481
73.230,184497
73.330,184513
73.431,184528
73.531,184543
73.631,184558
73.731,184573
73.831,184589
73.931,184606
74.031,184623
74.132,184639
74.232,184658
74.332,184673
74.432,184688
74.532,184703
74.632,184719
74.733,184736
74.833,184754
74.933,184769
75.033,184785
75.133,184801
75.233,184817
75.333,184832
75.433,184847
75.533,184862
75.633,184877
75.734,184894
75.834,184910
75.934,184925
76.034,184941
76.134,184956
76.234,184971
76.334,184986
76.434,185001
76.535,185016
76.635,185033
76.735,185053
76.835,185068
76.935,185085
77.036,185100
77.136,185115
77.236,185130
77.336,185145
77.436,185160
77.537,185176
77.637,185193
77.737,185210
77.837,185227
77.937,185243
78.038,185257
78.138,185274
78.238,185290
78.338,185306
78.438,185322
78.538,185337
78.638,185353
78.739,185369
78.839,185386
78.939,185401
79.039,185416
79.139,185431
79.240,185446
79.340,185464
79.440,185479
79.540,185495
79.640,185513
79.741,185528
79.841,185545
79.941,185560
80.041,185575
80.141,185591
80.241,185608
80.342,185625
80.442,185640
80.542,185657
80.642,185669
80.742,185675
80.842,185696
80.943,185709
81.043,185732
81.143,185753
81.243,185770
81.343,185785
81.443,185804
81.543,185823
81.643,185842
81.744,185852
81.844,185875
81.944,185898
82.044,185915
82.144,185935
82.244,185959
82.345,185975
82.445,185990
82.545,186010
82.645,186026
82.745,186044
82.845,186059
82.945,186076
83.045,186091
83.146,186109
83.246,186125
83.346,186142
83.446,186161
83.546,186179
83.646,186199
83.746,186217
83.847,186232
83.947,186249
84.047,186265
84.147,186282
84.247,186297
84.347,186314
84.447,186329
84.548,186346
84.648,186361
84.748,186381
84.848,186396
84.948,186413
85.048,186428
85.148,186445
85.249,186461
85.349,186478
85.449,186493
85.550,186512
85.650,186527
85.750,186544
85.850,186557
85.950,186577
86.050,186592
86.151,186612
86.251,186627
86.351,186645
86.451,186661
86.551,186678
86.651,186697
86.752,186714
86.852,186732
86.952,186749
87.052,186765
87.152,186781
87.253,186795
87.353,186815
87.453,186830
87.553,186847
87.653,186862
87.753,186877
87.854,186893
87.954,186911
88.054,186926
88.154,186941
88.254,186956
88.354,186972
88.455,186987
88.555,187002
88.655,187015
88.755,187020
88.855,187031
88.956,187042
89.056,187080
89.156,187102
89.256,187127
89.356,187142
89.457,187156
89.557,187171
89.657,187186
89.757,187202
89.857,187218
89.958,187233
90.058,187247
90.158,187263
90.258,187280
90.358,187295
90.458,187310
90.559,187325
90.659,187340
90.759,187355
90.859,187370
90.959,187385
91.060,187400
91.160,187415
91.260,187431
91.360,187447
91.460,187462
91.561,187477
91.661,187493
91.761,187510
91.861,187525
91.961,187541
92.061,187556
92.161,187573
92.261,187589
92.362,187604
92.462,187619
92.562,187634
92.662,187649
92.762,187664
92.862,187681
92.963,187696
93.063,187711
93.163,187726
93.263,187741
93.363,187758
93.463,187774
93.564,187789
93.664,187805
93.764,187820
93.864,187835
93.964,187850
94.064,187865
94.165,187880
94.265,187895
94.365,187910
94.465,187925
94.565,187941
94.666,187953
94.766,187962
94.866,187990
94.966,188008
95.066,188026
95.167,188047
95.267,188064
95.367,188080
95.467,188095
95.567,188116
95.667,188131
95.767,188149
95.867,188164
95.968,188180
96.068,188197
96.168,188213
96.268,188233
96.368,188250
96.468,188270
96.569,188291
96.669,188306
96.769,188324
96.869,188339
96.969,188355
97.069,188371
97.169,188388
97.269,188404
97.369,188419
97.469,188434
97.570,188449
97.670,188466
97.770,188481
97.870,188496
97.970,188511
98.070,188526
98.171,188541
98.271,188557
98.371,188572
98.471,188587
98.571,188602
98.671,188617
98.771,188632
98.872,188649
98.972,188664
99.072,188679
99.172,188695
99.272,188710
99.372,188726
99.472,188743
99.572,188757
99.673,188766
99.773,188792
99.873,188808
99.973,188830
100.073,188850
100.173,188865
100.273,188880
100.374,188895
100.474,188910
100.574,188925
100.674,188940
100.774,188956
100.875,188971
100.975,188988
101.075,189005
101.175,189020
101.275,189036
101.375,189053
101.476,189068
101.576,189085
101.676,189100
101.776,189116
101.876,189131
101.976,189148
102.076,189163
102.177,189180
102.277,189195
102.377,189212
102.477,189227
102.577,189243
102.677,189258
102.777,189273
102.878,189289
102.978,189305
103.078,189323
103.178,189339
103.278,189361
103.378,189380
103.478,189397
103.578,189412
103.679,189427
103.779,189442
103.879,189457
103.979,189472
104.079,189487
104.179,189502
104.279,189518
104.379,189533
104.480,189548
104.580,189564
104.680,189579
104.780,189595
104.880,189611
104.980,189626
105.080,189644
105.181,189660
105.281,189677
105.381,189693
105.481,189709
105.581,189724
105.682,189739
105.782,189755
105.882,189772
105.982,189787
106.082,189805
106.182,189820
106.282,189835
106.383,189850
106.483,189865
106.583,189880
106.683,189895
106.783,189910
106.883,189923
106.983,189939
107.083,189962
107.183,189976
107.284,189996
107.384,190012
107.484,190026
107.584,190041
107.684,190056
107.784,190071
107.884,190087
107.985,190103
108.085,190118
108.185,190133
108.285,190148
108.385,190164
108.485,190180
108.585,190195
108.685,190210
108.786,190226
108.886,190242
108.986,190257
109.086,190275
109.186,190294
109.286,190311
109.387,190327
109.487,190342
109.587,190357
109.687,190373
109.787,190388
109.887,190403
109.987,190419
110.087,190436
110.187,190451
110.288,190469
110.388,190485
110.488,190501
110.588,190517
110.688,190532
110.788,190548
110.888,190564
110.989,190579
111.089,190592
111.189,190604
111.289,190617
111.389,190629
111.489,190639
111.590,190646
111.690,190651
111.790,190660
111.890,190666
111.990,190673
112.090,190676
112.191,190690
112.291,190702
112.391,190717
112.491,190719
112.591,190727
112.692,190733
112.792,190750
112.892,190756
112.992,190762
113.092,190773
113.192,190797
113.293,190842
113.393,190890
113.493,190927
113.593,190976
113.693,191050
113.793,191097
113.894,191158
113.994,191170
114.094,191177
114.194,191189
114.296,191207
114.394,191223
114.494,191238
114.595,191245
114.695,191254
114.795,191261
114.895,191295
114.995,191328
115.095,191366
115.195,191386
115.296,191432
115.396,191469
115.496,191506
115.596,191542
115.696,191572
115.796,191610
115.897,191650
115.997,191695
116.097,191718
116.197,191756
116.297,191783
116.397,191816
116.497,191838
116.598,191860
116.698,191886
116.799,191919
116.898,191948
116.998,191968
117.098,191990
117.198,192006
117.299,192023
117.399,192047
117.499,192077
117.599,192102
117.699,192120
117.799,192142
117.900,192162
118.000,192181
118.100,192199
118.200,192219
118.300,192240
118.400,192257
118.501,192278
118.601,192298
118.701,192317
118.801,192338
118.901,192356
119.001,192375
119.102,192390
119.202,192409
119.302,192424
119.402,192441
119.502,192457
119.602,192474
119.702,192489
119.803,192507
119.903,192522
120.003,192539
120.103,192554
120.203,192571
120.303,192586
120.404,192603
120.504,192618
120.604,192633
120.704,192649
120.804,192664
120.904,192677
121.005,192694
121.105,192709
121.205,192726
121.305,192742
121.405,192757
121.505,192772
121.606,192792
121.706,192814
121.806,192829
121.906,192855
122.007,192871
122.107,192888
122.207,192909
122.307,192923
122.407,192947
122.508,192966
122.608,192986
122.708,193002
122.808,193017
122.908,193032
123.008,193047
123.108,193062
123.209,193077
123.309,193092
123.409,193107
123.509,193122
123.609,193138
123.710,193148
123.810,193153
123.910,193165
124.010,193179
124.110,193218
124.210,193246
124.311,193272
124.411,193288
124.511,193303
124.611,193317
124.711,193324
124.811,193343
124.911,193361
125.012,193378
125.112,193393
125.212,193409
125.312,193425
125.413,193440
125.513,193455
125.613,193472
125.713,193487
125.813,193502
125.913,193517
126.014,193532
126.114,193552
126.214,193568
126.314,193585
126.414,193600
126.515,193615
126.615,193630
126.715,193645
126.815,193661
126.915,193676
127.016,193694
127.116,193710
127.216,193726
127.316,193744
127.416,193759
127.516,193774
127.617,193789
127.717,193804
127.817,193820
127.917,193838
128.017,193852
128.117,193871
128.217,193885
128.318,193902
128.418,193917
128.518,193933
128.618,193949
128.718,193966
128.819,193981
128.919,194001
129.019,194016
129.119,194032
129.219,194047
129.320,194062
129.420,194077
129.520,194092
129.620,194101
129.720,194122
129.820,194144
129.920,194159
130.021,194187
130.121,194203
130.221,194220
130.321,194235
130.421,194250
130.522,194267
130.622,194284
130.722,194300
130.822,194317
130.922,194332
131.022,194347
131.123,194362
131.223,194377
131.323,194392
131.423,194407
131.523,194424
131.623,194439
131.723,194456
131.823,194472
131.923,194488
132.023,194502
132.124,194518
132.224,194535
132.324,194553
132.424,194567
132.524,194583
132.624,194598
132.724,194618
132.825,194633
132.925,194654
133.025,194672
133.125,194691
133.225,194706
133.325,194721
133.425,194739
133.525,194755
133.626,194773
133.726,194789
133.826,194805
133.926,194820
134.026,194835
134.126,194850
134.227,194867
134.327,194882
134.427,194897
134.527,194912
134.627,194927
134.727,194942
134.828,194960
134.928,194978
135.028,194998
135.128,195014
135.228,195031
135.328,195046
135.428,195061
135.529,195076
135.629,195091
135.729,195109
135.829,195124
135.929,195141
136.029,195157
136.130,195172
136.230,195188
136.330,195203
136.430,195218
136.530,195233
136.631,195250
136.731,195268
136.831,195284
136.931,195302
137.031,195317
137.131,195332
137.232,195347
137.332,195364
137.432,195379
137.532,195395
137.632,195409
137.732,195425
137.832,195446
137.932,195463
138.033,195480
138.133,195493
138.233,195512
138.333,195530
138.433,195552
138.533,195567
138.633,195582
138.733,195597
138.833,195612
138.933,195627
139.034,195644
139.134,195662
139.234,195677
139.334,195694
139.434,195709
139.534,195724
139.634,195739
139.734,195754
139.835,195769
139.935,195784
140.035,195800
140.135,195816
140.235,195831
140.335,195847
140.435,195863
140.536,195880
140.636,195895
140.736,195913
140.836,195929
140.936,195946
141.037,195962
141.137,195978
141.237,195993
141.337,196008
141.437,196025
141.538,196042
141.638,196058
141.738,196074
141.838,196090
141.939,196098
142.039,196103
142.139,196140
142.239,196160
142.339,196181
142.439,196212
142.539,196230
142.640,196245
142.740,196260
142.840,196275
142.940,196290
143.040,196306
143.140,196321
143.240,196336
143.341,196350
143.441,196371
143.541,196387
143.641,196403
143.741,196418
143.841,196433
143.942,196450
144.042,196465
144.142,196480
144.242,196495
144.342,196510
144.442,196525
144.542,196540
144.642,196545
144.742,196573
144.843,196592
144.943,196608
145.043,196631
145.143,196646
145.243,196661
145.343,196676
145.443,196692
145.544,196710
145.644,196725
145.744,196741
145.844,196755
145.944,196773
146.044,196790
146.145,196805
146.245,196819
146.345,196835
146.445,196852
146.545,196869
146.645,196884
146.745,196899
146.846,196914
146.946,196932
147.046,196950
147.146,196965
147.246,196983
147.346,196998
147.446,197014
147.547,197029
147.647,197047
147.747,197062
147.847,197079
147.947,197096
148.047,197112
148.148,197130
148.248,197145
148.348,197159
148.448,197180
148.549,197197
148.649,197216
148.749,197232
148.849,197247
148.949,197263
149.049,197279
149.149,197295
149.250,197311
149.350,197326
149.450,197343
149.551,197358
