TO_UM
1462172058
time,tx_packets
0.001,237060
0.101,237060
0.202,237062
0.302,237062
0.402,237062
0.502,237062
0.603,237063
0.703,237063
0.803,237063
0.903,237083
1.003,237113
1.104,237153
1.204,237194
1.304,237238
1.404,237280
1.505,237323
1.605,237363
1.705,237402
1.805,237440
1.907,237460
2.006,237475
2.106,237489
2.206,237505
2.306,237520
2.406,237534
2.506,237550
2.606,237565
2.707,237579
2.807,237595
2.907,237609
3.007,237625
3.108,237640
3.208,237655
3.308,237672
3.410,237697
3.510,237724
3.609,237739
3.709,237754
3.809,237769
3.910,237784
4.009,237799
4.111,237814
4.210,237829
4.310,237844
4.410,237861
4.511,237876
4.610,237888
4.711,237902
4.811,237931
4.911,237986
5.013,238001
5.111,238016
5.212,238032
5.312,238051
5.412,238068
5.513,238083
5.613,238098
5.714,238113
5.813,238128
5.914,238143
6.013,238158
6.115,238173
6.215,238190
6.315,238206
6.415,238223
6.515,238238
6.615,238253
6.715,238270
6.815,238284
6.915,238300
7.016,238315
7.116,238331
7.215,238347
7.316,238363
7.417,238387
7.517,238405
7.617,238420
7.716,238435
7.818,238451
7.918,238468
8.019,238483
8.118,238499
8.218,238542
8.319,238560
8.419,238575
8.519,238591
8.620,238605
8.720,238620
8.821,238637
8.921,238653
9.020,238667
9.122,238683
9.221,238698
9.321,238714
9.421,238731
9.521,238748
9.623,238763
9.722,238778
9.822,238793
9.923,238809
10.022,238825
10.123,238846
10.223,238866
10.324,238882
10.423,238900
10.524,238916
10.624,238931
10.724,238949
10.824,238971
10.925,238988
11.026,239004
11.125,239019
11.226,239041
11.326,239067
11.425,239100
11.526,239131
11.627,239161
11.726,239193
11.826,239224
11.926,239258
12.026,239292
12.127,239326
12.227,239363
12.327,239398
12.427,239434
12.528,239466
12.628,239501
12.728,239536
12.828,239572
12.928,239605
13.028,239641
13.127,239671
13.228,239710
13.329,239744
13.427,239779
13.528,239812
13.628,239849
13.730,239883
13.829,239922
13.930,239957
14.030,239995
14.129,240029
14.229,240064
14.329,240097
14.429,240131
14.530,240163
14.631,240197
14.730,240232
14.830,240266
14.930,240299
15.030,240333
15.132,240370
15.231,240407
15.332,240441
15.432,240475
15.531,240505
15.631,240538
15.732,240574
15.831,240605
15.931,240638
16.031,240670
16.133,240697
16.232,240727
16.333,240760
16.432,240795
16.532,240825
16.632,240854
16.732,240892
16.833,240921
16.933,240958
17.033,240990
17.133,241022
17.233,241058
17.333,241091
17.434,241125
17.535,241158
17.635,241198
17.735,241231
17.834,241267
17.936,241304
18.035,241339
18.136,241372
18.235,241406
18.335,241438
18.435,241472
18.537,241506
18.636,241534
18.737,241583
18.836,241606
18.938,241652
19.038,241687
19.138,241719
19.237,241754
19.337,241788
19.437,241822
19.537,241855
19.637,241889
19.737,241925
19.837,241957
19.937,241989
20.037,242023
20.137,242053
20.237,242087
20.338,242120
20.438,242155
20.539,242191
20.639,242226
20.740,242260
20.839,242295
20.939,242327
21.040,242362
21.140,242397
21.240,242432
21.340,242466
21.441,242502
21.541,242535
21.641,242575
21.741,242614
21.842,242651
21.941,242685
22.041,242719
22.141,242753
22.242,242787
22.342,242825
22.443,242859
22.543,242891
22.643,242927
22.742,242961
22.843,242997
22.943,243030
23.043,243066
23.143,243103
23.243,243140
23.343,243180
23.443,243215
23.544,243248
23.644,243283
23.744,243315
23.845,243350
23.944,243382
24.045,243416
24.145,243451
24.245,243484
24.345,243518
24.446,243550
24.546,243588
24.646,243621
24.745,243662
24.846,243705
24.947,243743
25.047,243776
25.146,243811
25.246,243846
25.346,243880
25.446,243915
25.547,243950
25.648,243986
25.747,244018
25.848,244054
25.948,244085
26.049,244119
26.149,244155
26.248,244190
26.349,244230
26.449,244269
26.550,244303
26.649,244335
26.750,244374
26.850,244408
26.950,244440
27.051,244475
27.150,244510
27.249,244543
27.350,244577
27.450,244613
27.551,244650
27.651,244684
27.752,244720
27.852,244753
27.951,244788
28.053,244823
28.152,244856
28.253,244888
28.353,244924
28.453,244958
28.554,244992
28.653,245029
28.753,245065
28.853,245099
28.954,245134
29.053,245164
29.153,245200
29.253,245233
29.353,245267
29.455,245304
29.553,245336
29.654,245367
29.754,245403
29.854,245439
29.954,245473
30.054,245510
30.155,245545
30.255,245579
30.355,245614
30.457,245648
30.555,245681
30.656,245719
30.756,245752
30.856,245783
30.957,245819
31.058,245856
31.157,245892
31.257,245929
31.358,245963
31.458,245997
31.558,246032
31.659,246067
31.759,246102
31.859,246135
31.958,246168
32.058,246202
32.158,246234
32.258,246270
32.359,246309
32.460,246348
32.559,246381
32.658,246414
32.759,246447
32.860,246481
32.960,246515
33.059,246549
33.162,246577
33.261,246618
33.360,246675
33.461,246712
33.562,246747
33.663,246781
33.762,246814
33.862,246846
33.963,246880
34.062,246912
34.162,246944
34.263,246977
34.363,247010
34.463,247041
34.562,247076
34.664,247109
34.764,247129
34.865,247180
34.964,247234
35.064,247288
35.165,247329
35.264,247364
35.365,247398
35.465,247434
35.566,247469
35.666,247501
35.766,247536
35.866,247572
35.966,247605
36.066,247641
36.166,247675
36.267,247709
36.367,247743
36.467,247778
36.568,247811
36.667,247841
36.768,247866
36.869,247905
36.969,247925
37.069,247966
37.168,248023
37.269,248063
37.369,248101
37.470,248136
37.570,248168
37.670,248202
37.771,248234
37.871,248267
37.971,248299
38.070,248332
38.171,248366
38.271,248401
38.370,248437
38.470,248470
38.570,248505
38.671,248538
38.771,248570
38.871,248604
38.971,248640
39.071,248674
39.172,248707
39.272,248745
39.372,248779
39.472,248810
39.572,248846
39.672,248872
39.772,248922
39.872,248962
39.972,248999
40.073,249033
40.173,249065
40.273,249100
40.373,249133
40.473,249166
40.573,249204
40.674,249238
40.774,249272
40.874,249307
40.974,249343
41.074,249380
41.174,249412
41.274,249446
41.375,249483
41.475,249518
41.575,249552
41.675,249589
41.775,249621
41.875,249654
41.976,249690
42.076,249723
42.176,249756
42.276,249790
42.376,249824
42.476,249856
42.577,249889
42.677,249927
42.777,249961
42.877,250002
42.977,250040
43.077,250075
43.177,250109
43.277,250142
43.378,250181
43.478,250215
43.578,250248
43.678,250282
43.778,250317
43.878,250350
43.978,250384
44.078,250425
44.178,250461
44.279,250495
44.379,250530
44.479,250564
44.579,250599
44.679,250632
44.779,250668
44.880,250704
44.980,250741
45.080,250776
45.180,250811
45.280,250846
45.380,250878
45.480,250913
45.581,250951
45.681,250974
45.781,251000
45.881,251044
45.981,251089
46.082,251122
46.182,251138
46.282,251163
46.382,251193
46.482,251223
46.582,251256
46.683,251288
46.783,251322
46.883,251374
46.983,251397
47.083,251427
47.183,251457
47.283,251490
47.384,251524
47.484,251562
47.584,251595
47.684,251630
47.784,251662
47.885,251694
47.985,251728
48.085,251762
48.185,251795
48.285,251829
48.386,251862
48.486,251895
48.586,251930
48.686,251963
48.786,252002
48.886,252037
48.987,252069
49.087,252103
49.187,252137
49.287,252169
49.387,252200
49.487,252239
49.587,252274
49.688,252308
49.788,252342
49.888,252379
49.988,252416
50.088,252450
50.188,252481
50.288,252515
50.389,252551
50.489,252585
50.589,252617
50.689,252651
50.789,252690
50.889,252720
50.989,252750
51.090,252780
51.190,252811
51.290,252843
51.390,252874
51.490,252909
51.591,252943
51.691,252978
51.791,253019
51.891,253053
51.991,253084
52.091,253118
52.192,253150
52.292,253183
52.392,253223
52.492,253254
52.592,253290
52.692,253325
52.792,253360
52.893,253392
52.993,253426
53.093,253462
53.193,253496
53.293,253533
53.393,253569
53.493,253611
53.593,253649
53.693,253670
53.794,253720
53.894,253748
53.994,253797
54.094,253842
54.194,253874
54.294,253907
54.394,253941
54.495,253975
54.595,254008
54.695,254031
54.795,254079
54.895,254111
54.995,254146
55.096,254180
55.196,254212
55.300,254245
55.396,254278
55.496,254317
55.596,254354
55.697,254387
55.797,254419
55.897,254453
55.997,254485
56.097,254517
56.197,254550
56.298,254584
56.398,254623
56.498,254660
56.598,254693
56.698,254726
56.798,254762
56.898,254798
56.998,254832
57.098,254868
57.199,254903
57.299,254935
57.399,254968
57.499,255003
57.599,255035
57.699,255072
57.799,255106
57.899,255137
58.000,255171
58.100,255205
58.200,255243
58.300,255278
58.400,255316
58.500,255352
58.601,255383
58.701,255417
58.801,255452
58.901,255485
59.001,255516
59.101,255550
59.201,255582
59.302,255613
59.402,255647
59.502,255683
59.602,255720
59.702,255758
59.802,255794
59.903,255827
60.003,255863
60.103,255896
60.203,255932
60.303,255964
60.403,255999
60.504,256037
60.604,256077
60.704,256115
60.804,256153
60.904,256187
61.004,256226
61.105,256264
61.205,256297
61.305,256331
61.405,256366
61.505,256399
61.606,256434
61.706,256468
61.806,256503
61.906,256535
62.006,256572
62.107,256613
62.207,256644
62.307,256679
62.407,256715
62.507,256749
62.607,256781
62.707,256811
62.807,256846
62.908,256880
63.008,256913
63.108,256946
63.208,256985
63.308,257020
63.408,257054
63.509,257088
63.609,257124
63.709,257158
63.809,257191
63.909,257225
64.009,257259
64.109,257296
64.209,257331
