TO_URJC
1462172058
time,tx_packets
0.004,85300
0.102,85300
0.202,85301
0.302,85301
0.403,85301
0.504,85301
0.603,85302
0.704,85303
0.804,85306
0.904,85330
1.005,85359
1.104,85393
1.205,85427
1.305,85459
1.405,85492
1.504,85521
1.606,85555
1.706,85580
1.806,85605
1.907,85626
2.006,85642
2.107,85662
2.207,85678
2.307,85693
2.407,85707
2.508,85723
2.607,85738
2.707,85752
2.808,85768
2.908,85782
3.009,85798
3.109,85813
3.209,85828
3.309,85847
3.410,85867
3.509,85884
3.610,85899
3.710,85917
3.810,85932
3.909,85947
4.011,85962
4.109,85977
4.210,85992
4.312,86009
4.411,86032
4.510,86048
4.611,86059
4.712,86080
4.812,86109
4.913,86133
5.012,86152
5.112,86168
5.214,86183
5.313,86201
5.412,86217
5.513,86232
5.613,86247
5.713,86262
5.814,86278
5.915,86294
6.014,86310
6.114,86326
6.214,86342
6.314,86359
6.415,86379
6.515,86394
6.615,86410
6.715,86425
6.815,86438
6.915,86455
7.015,86470
7.115,86485
7.215,86502
7.316,86518
7.416,86538
7.516,86553
7.616,86568
7.716,86583
7.816,86598
7.917,86614
8.018,86629
8.118,86649
8.220,86673
8.320,86689
8.419,86709
8.519,86726
8.619,86741
8.719,86756
8.820,86772
8.920,86787
9.020,86802
9.120,86817
9.220,86832
9.321,86848
9.421,86864
9.521,86885
9.621,86902
9.721,86917
9.821,86932
9.921,86947
10.021,86962
10.122,86977
10.222,86992
10.322,87007
10.422,87024
10.522,87040
10.622,87058
10.723,87077
10.823,87093
10.923,87108
11.025,87123
11.123,87138
11.223,87158
11.324,87179
11.424,87207
11.524,87242
11.624,87282
11.724,87311
11.824,87343
11.925,87375
12.025,87401
12.125,87433
12.225,87457
12.325,87484
12.425,87506
12.525,87531
12.626,87554
12.726,87577
12.826,87600
12.926,87624
13.026,87648
13.126,87675
13.226,87699
13.326,87725
13.427,87749
13.527,87773
13.627,87797
13.727,87822
13.827,87847
13.927,87874
14.028,87900
14.128,87926
14.228,87951
14.328,87976
14.428,87999
14.528,88022
14.629,88048
14.729,88079
14.829,88103
14.929,88126
15.029,88147
15.130,88170
15.230,88191
15.330,88214
15.430,88240
15.530,88263
15.630,88288
15.730,88312
15.831,88333
15.931,88358
16.031,88380
16.131,88402
16.231,88422
16.332,88447
16.432,88477
16.532,88500
16.632,88525
16.732,88545
16.833,88573
16.933,88597
17.033,88626
17.133,88647
17.233,88673
17.333,88701
17.433,88727
17.534,88747
17.634,88774
17.734,88796
17.835,88819
17.935,88850
18.035,88877
18.135,88901
18.235,88921
18.335,88942
18.435,88962
18.536,88989
18.636,89021
18.736,89046
18.836,89069
18.937,89090
19.037,89115
19.137,89140
19.237,89161
19.337,89181
19.437,89201
19.537,89222
19.637,89242
19.737,89267
19.838,89287
19.938,89307
20.038,89330
20.138,89350
20.238,89370
20.338,89393
21.439,89632
21.539,89654
21.639,89682
21.739,89706
21.840,89728
21.941,89751
22.040,89771
22.140,89793
22.240,89818
22.341,89840
22.441,89861
22.541,89882
22.641,89903
22.742,89924
22.843,89947
22.942,89967
23.042,89987
23.142,90008
23.242,90029
23.342,90053
23.442,90078
23.542,90099
23.643,90122
23.743,90143
23.843,90165
23.943,90185
24.043,90205
24.144,90233
24.244,90255
24.344,90275
24.444,90295
24.544,90314
24.644,90336
24.744,90360
24.845,90383
24.945,90406
25.045,90427
25.145,90446
25.246,90467
25.345,90487
25.446,90507
25.546,90528
25.646,90548
25.747,90568
25.847,90591
25.947,90612
26.047,90633
26.148,90655
26.247,90675
26.347,90699
26.448,90720
26.548,90740
26.649,90761
26.749,90784
26.849,90806
26.949,90827
27.051,90847
27.149,90867
27.250,90887
27.351,90911
27.450,90939
27.550,90962
27.650,90981
27.750,91002
27.850,91025
27.950,91051
28.051,91071
28.151,91092
28.251,91112
28.351,91132
28.451,91152
28.551,91173
28.652,91194
28.752,91218
28.852,91238
28.952,91258
29.052,91278
29.152,91298
29.252,91319
29.353,91341
29.453,91361
29.553,91381
29.653,91402
29.753,91422
29.854,91447
29.954,91469
30.054,91488
30.156,91510
30.254,91533
30.356,91555
30.454,91578
30.554,91598
30.655,91619
30.756,91640
30.855,91661
30.956,91685
31.056,91707
31.156,91730
31.257,91755
31.357,91774
31.457,91795
31.557,91815
31.659,91836
31.757,91856
31.858,91879
31.959,91899
32.058,91921
32.159,91941
32.259,91966
32.359,91991
32.460,92011
32.559,92032
32.658,92052
32.759,92073
32.860,92097
32.961,92119
33.061,92139
33.160,92165
33.260,92196
33.361,92229
33.462,92257
33.562,92278
33.662,92297
33.761,92317
33.862,92339
33.961,92362
34.061,92383
34.161,92403
34.261,92423
34.364,92444
34.463,92465
34.562,92486
34.662,92496
34.762,92527
34.862,92562
34.963,92590
35.063,92623
35.163,92657
35.263,92677
35.363,92697
35.465,92718
35.563,92740
35.663,92762
35.764,92784
35.864,92804
35.964,92824
36.064,92846
36.164,92866
36.264,92887
36.364,92907
36.464,92927
36.565,92947
36.665,92966
36.765,92988
36.865,92997
36.965,93031
37.065,93059
37.166,93090
37.266,93115
37.366,93143
37.466,93164
37.566,93184
37.666,93204
37.767,93224
37.867,93248
37.967,93269
38.067,93290
38.167,93310
38.267,93333
38.368,93355
38.468,93377
38.568,93400
38.668,93421
38.768,93441
38.868,93462
38.969,93483
39.069,93505
39.169,93532
39.269,93552
39.369,93572
39.469,93592
39.570,93607
39.670,93633
39.770,93661
39.870,93686
39.971,93708
40.071,93734
40.171,93754
40.271,93774
40.371,93800
40.471,93824
40.571,93847
40.672,93869
40.772,93892
40.872,93912
40.972,93937
41.072,93963
41.172,93986
41.273,94007
41.373,94029
41.473,94049
41.573,94069
41.673,94096
41.773,94119
41.873,94141
41.974,94161
42.074,94182
42.174,94203
42.274,94227
42.374,94252
42.474,94278
42.575,94297
42.675,94318
42.775,94338
42.875,94361
42.975,94388
43.075,94415
43.175,94436
43.275,94457
43.375,94478
43.476,94499
43.576,94523
43.676,94548
43.776,94569
43.876,94589
43.976,94609
44.076,94630
44.177,94656
44.277,94682
44.377,94705
44.477,94726
44.577,94747
44.677,94766
44.777,94791
44.877,94814
44.978,94837
45.078,94858
45.178,94879
45.278,94899
45.378,94921
45.478,94945
45.578,94965
45.679,94984
45.779,95017
45.879,95049
45.979,95078
46.079,95091
46.179,95114
46.279,95138
46.379,95159
46.480,95179
46.580,95198
46.680,95223
46.780,95248
46.880,95274
46.980,95299
47.080,95330
47.181,95357
47.281,95385
47.381,95408
47.481,95430
47.581,95450
47.682,95476
47.781,95499
47.882,95519
47.982,95542
48.082,95566
48.182,95586
48.282,95610
48.383,95634
48.483,95655
48.583,95678
48.683,95699
48.783,95721
48.883,95745
48.984,95769
49.083,95792
49.184,95815
49.284,95835
49.384,95855
49.484,95884
49.584,95913
49.684,95938
49.784,95958
49.884,95978
49.985,95999
50.085,96022
50.185,96051
50.285,96076
50.385,96097
50.485,96120
50.585,96140
50.685,96164
50.785,96193
50.886,96214
50.986,96235
51.086,96256
51.186,96280
51.286,96303
51.386,96331
51.486,96356
51.587,96380
51.687,96403
51.787,96423
51.887,96447
51.987,96467
52.087,96490
52.188,96513
52.288,96542
52.388,96562
52.488,96582
52.588,96608
52.688,96629
52.788,96650
52.889,96674
52.989,96697
53.089,96721
53.189,96741
53.289,96763
53.389,96790
53.489,96815
53.590,96841
53.690,96865
53.790,96894
53.890,96915
53.990,96940
54.090,96961
54.191,96982
54.291,97002
54.391,97022
54.491,97042
54.591,97058
54.691,97089
54.792,97110
54.892,97131
54.992,97156
55.092,97176
55.192,97196
55.293,97216
55.393,97236
55.493,97259
55.593,97279
55.693,97299
55.793,97320
55.894,97339
55.994,97361
56.094,97385
56.194,97404
56.294,97425
56.394,97447
56.494,97471
56.595,97492
56.695,97516
56.795,97536
56.895,97557
56.995,97579
57.095,97603
57.196,97623
57.297,97645
57.396,97668
57.496,97690
57.596,97712
57.696,97734
57.797,97754
57.897,97777
57.997,97806
58.097,97828
58.197,97850
58.300,97870
58.397,97891
58.497,97912
58.597,97935
58.698,97956
58.798,97976
58.898,97997
58.998,98018
59.099,98040
59.199,98060
59.301,98080
59.399,98100
59.499,98121
59.599,98144
59.699,98165
59.799,98190
59.900,98215
60.000,98238
60.100,98260
60.200,98280
60.301,98300
60.400,98322
60.500,98349
60.601,98372
60.701,98394
60.801,98416
60.901,98437
61.001,98458
61.101,98483
61.202,98507
61.302,98527
61.402,98547
61.502,98569
61.602,98591
61.702,98616
61.802,98637
61.903,98656
62.003,98680
62.103,98700
62.203,98721
62.303,98748
62.403,98770
62.504,98790
62.604,98813
62.704,98833
62.804,98858
62.904,98882
63.004,98903
63.105,98924
63.205,98944
63.305,98964
63.405,98984
63.505,99004
63.605,99024
63.706,99044
63.806,99067
63.906,99090
64.006,99110
64.106,99133
64.206,99153
64.306,99174
64.407,99196
64.507,99216
64.607,99236
64.707,99247
64.807,99279
64.907,99316
65.007,99337
65.108,99367
65.208,99387
65.308,99407
65.408,99427
65.508,99448
65.608,99472
65.709,99494
65.809,99516
65.909,99536
66.009,99556
66.109,99577
66.210,99597
66.310,99624
66.410,99644
66.510,99667
66.610,99687
66.710,99709
66.811,99729
66.911,99755
67.011,99776
67.111,99798
67.211,99819
67.311,99841
67.412,99862
67.512,99885
67.612,99912
67.712,99934
67.812,99956
67.912,99977
68.013,99997
68.113,100021
68.213,100053
68.313,100079
68.413,100099
68.514,100120
