TO_VERISIGN
1462172328
time,tx_packets
0.001,159640
0.101,159640
0.201,159640
0.301,159640
0.402,159640
0.502,159640
0.602,159641
0.703,159642
0.803,159644
0.903,159659
1.003,159674
1.103,159696
1.204,159719
1.304,159746
1.404,159768
1.504,159788
1.604,159808
1.704,159828
1.804,159847
1.905,159857
2.005,159867
2.105,159877
2.205,159887
2.305,159897
2.406,159907
2.506,159917
2.606,159927
2.706,159937
2.806,159946
2.907,159957
3.007,159967
3.107,159977
3.207,159987
3.307,159997
3.407,160007
3.508,160017
3.608,160027
3.708,160037
3.808,160048
3.908,160058
4.009,160068
4.109,160078
4.209,160092
4.309,160103
4.409,160113
4.509,160123
4.610,160129
4.710,160142
4.810,160173
4.910,160183
5.010,160196
5.110,160206
5.211,160216
5.311,160226
5.411,160236
5.511,160247
5.611,160257
5.711,160267
5.812,160277
5.912,160287
6.012,160297
6.112,160307
6.212,160317
6.312,160327
6.413,160337
6.513,160347
6.613,160361
6.713,160374
6.813,160384
6.913,160394
7.013,160404
7.114,160414
7.214,160425
7.314,160435
7.414,160445
7.514,160455
7.614,160465
7.714,160478
7.815,160489
7.915,160499
8.015,160509
8.115,160519
8.215,160530
8.315,160544
8.415,160557
8.516,160567
8.616,160577
8.716,160588
8.816,160598
8.916,160607
9.017,160618
9.117,160628
9.217,160638
9.317,160650
9.417,160662
9.517,160674
9.617,160687
9.717,160698
9.818,160708
9.918,160719
10.018,160729
10.118,160739
10.218,160749
10.318,160759
10.418,160771
10.519,160781
10.618,160791
10.719,160801
10.819,160817
10.919,160827
11.019,160837
11.120,160847
11.219,160862
11.319,160878
11.420,160907
11.520,160933
11.620,160956
11.720,160976
11.820,160996
11.920,161015
12.020,161036
12.121,161056
12.221,161076
12.321,161096
12.421,161116
12.521,161136
12.621,161156
12.722,161176
12.822,161194
12.923,161225
13.022,161246
13.123,161266
13.223,161286
13.323,161306
13.423,161326
13.524,161346
13.623,161367
13.724,161387
13.823,161408
13.923,161430
14.023,161450
14.123,161470
14.224,161490
14.324,161510
14.424,161530
14.524,161558
14.624,161580
14.725,161600
14.825,161620
14.925,161640
15.026,161660
16.125,161890
16.226,161910
16.325,161930
16.425,161950
16.527,161970
16.628,161990
16.726,162010
16.826,162030
16.927,162050
17.026,162076
17.126,162095
17.227,162108
17.327,162131
17.428,162151
17.528,162171
17.628,162192
17.727,162212
17.828,162233
17.929,162253
18.029,162274
18.130,162294
18.230,162315
18.329,162336
18.430,162356
18.531,162376
18.631,162396
18.730,162416
18.831,162436
18.931,162466
19.031,162486
19.130,162507
19.231,162527
19.331,162547
19.433,162567
19.532,162587
19.633,162607
19.734,162627
19.834,162647
19.934,162667
20.034,162687
20.134,162707
20.234,162727
20.334,162749
20.434,162771
20.534,162793
20.634,162811
20.734,162825
20.835,162844
20.935,162864
21.034,162884
21.135,162904
21.235,162924
21.335,162944
21.435,162968
21.535,162984
21.635,163000
21.735,163024
21.836,163044
21.936,163065
22.036,163085
22.136,163105
22.236,163125
22.336,163145
22.436,163166
22.537,163187
22.637,163207
22.737,163227
22.837,163250
22.937,163270
23.038,163290
23.138,163310
23.238,163342
23.338,163363
23.438,163383
23.539,163403
23.639,163423
23.739,163443
23.839,163463
23.939,163483
24.039,163503
24.140,163523
24.241,163544
24.340,163564
24.440,163592
24.541,163613
24.640,163632
24.741,163654
24.840,163674
24.940,163694
25.041,163714
25.141,163734
25.241,163754
25.341,163774
25.441,163791
25.542,163816
25.643,163834
25.743,163855
25.843,163875
25.942,163895
26.043,163915
26.143,163935
26.244,163955
26.344,163976
26.444,163997
26.544,164021
26.644,164045
26.744,164065
26.844,164086
26.944,164108
27.045,164128
27.145,164147
27.245,164168
27.345,164188
27.445,164208
27.546,164228
27.646,164248
27.746,164269
27.846,164289
27.946,164309
28.047,164329
28.146,164349
28.247,164379
28.347,164399
28.447,164420
28.547,164436
28.647,164463
28.747,164490
28.848,164519
28.948,164551
29.048,164572
29.148,164593
29.248,164613
29.349,164633
29.449,164654
29.549,164672
29.649,164694
29.749,164713
29.849,164734
29.949,164754
30.049,164774
30.149,164794
30.250,164814
30.350,164834
30.450,164861
30.550,164884
30.650,164905
30.750,164925
30.851,164945
30.951,164966
31.051,164988
31.151,165008
31.251,165028
31.352,165048
31.452,165068
31.552,165088
31.652,165108
31.752,165128
31.852,165148
31.952,165174
32.052,165197
32.153,165217
32.253,165237
32.353,165258
32.453,165278
32.553,165298
32.653,165318
32.754,165338
32.854,165356
32.954,165386
33.054,165412
33.154,165432
33.254,165452
33.354,165472
33.454,165492
33.555,165512
33.655,165532
33.755,165552
33.855,165572
33.955,165592
34.055,165612
34.155,165632
34.256,165652
34.356,165671
34.456,165676
34.556,165705
34.656,165739
34.756,165769
34.857,165792
34.957,165813
35.057,165833
35.157,165853
35.257,165873
35.357,165895
35.458,165916
35.557,165936
35.658,165956
35.758,165976
35.859,165997
35.959,166017
36.059,166037
