FROM_CLIENT
1462172620
time,rx_packets
0.001,125879
0.101,125879
0.201,125879
0.301,125879
0.401,125879
0.501,125879
0.601,125879
0.701,125879
0.802,125879
0.902,125884
1.002,125889
1.102,125894
1.202,125899
1.303,125904
1.403,125909
1.503,125914
1.603,125919
1.703,125924
1.803,125929
1.903,125934
2.004,125934
2.104,125944
2.204,125949
2.304,125954
2.404,125959
2.504,125964
2.604,125969
2.704,125974
2.805,125979
2.905,125984
3.005,125989
3.105,125994
3.205,126000
3.306,126005
3.406,126010
3.506,126015
3.606,126020
3.706,126025
3.805,126029
3.906,126035
4.006,126040
4.106,126045
4.206,126050
4.307,126055
4.406,126060
4.507,126065
4.607,126070
4.706,126075
4.806,126080
4.906,126085
5.007,126090
5.106,126095
5.207,126100
5.307,126105
5.407,126110
5.507,126115
5.608,126120
5.709,126125
5.807,126130
5.907,126136
6.008,126141
6.108,126146
6.209,126151
6.308,126157
6.408,126162
6.508,126167
6.609,126172
6.709,126177
6.809,126182
6.909,126186
7.009,126192
7.109,126197
7.210,126202
7.310,126207
7.409,126212
7.509,126217
7.610,126222
7.710,126227
7.810,126232
7.909,126237
8.011,126242
8.110,126247
8.211,126252
8.310,126257
8.410,126262
8.510,126267
8.610,126272
8.710,126277
8.812,126282
8.911,126287
9.011,126292
9.112,126297
9.212,126302
9.311,126307
9.413,126312
9.511,126317
9.611,126322
9.711,126327
9.811,126332
9.911,126337
10.012,126342
10.112,126347
10.212,126352
10.312,126357
10.412,126362
10.512,126367
10.612,126372
10.712,126377
10.813,126382
10.912,126388
11.013,126393
11.113,126398
11.213,126403
11.313,126408
11.413,126413
11.515,126418
11.614,126423
11.715,126428
11.814,126433
11.914,126438
12.014,126443
12.114,126448
12.215,126453
12.315,126458
12.415,126463
12.515,126468
12.615,126473
12.716,126478
12.815,126483
12.916,126488
13.016,126493
13.117,126498
13.216,126503
13.316,126508
13.418,126513
13.516,126518
13.616,126523
13.716,126528
13.818,126533
13.916,126538
14.016,126543
14.118,126548
14.217,126553
14.317,126558
14.417,126563
14.517,126568
14.617,126573
14.717,126578
14.817,126583
14.918,126588
15.018,126593
15.118,126598
15.218,126603
15.318,126608
15.418,126613
15.518,126618
15.618,126623
15.720,126628
15.820,126633
15.920,126638
16.020,126643
16.120,126648
16.220,126653
16.321,126658
16.420,126663
16.519,126668
16.621,126673
16.721,126678
16.821,126683
16.922,126687
17.021,126693
17.122,126698
17.222,126703
17.322,126708
17.423,126713
17.523,126718
17.621,126723
17.723,126728
17.823,126733
17.922,126738
18.023,126743
18.124,126748
18.224,126753
18.324,126758
18.424,126763
18.524,126768
18.625,126773
18.725,126778
18.824,126783
18.925,126788
19.025,126793
19.125,126798
19.225,126803
19.325,126808
19.425,126813
19.524,126818
19.625,126823
19.725,126828
19.826,126834
19.926,126839
20.026,126844
20.126,126849
20.227,126854
20.327,126859
20.427,126864
20.526,126869
20.627,126874
20.727,126879
20.827,126884
20.927,126889
21.028,126894
21.127,126899
21.227,126904
21.328,126909
21.428,126914
21.528,126919
21.629,126924
21.729,126929
21.829,126934
21.929,126939
22.029,126944
22.129,126949
22.229,126954
22.329,126959
22.429,126964
22.530,126969
22.629,126974
22.730,126979
22.830,126984
22.931,126989
23.031,126994
23.131,126999
23.230,127004
23.331,127009
23.432,127014
23.531,127019
23.632,127024
23.731,127029
23.832,127034
23.932,127039
24.032,127044
24.133,127049
24.232,127054
24.332,127059
24.432,127064
24.533,127069
24.633,127074
24.733,127079
24.834,127084
24.934,127089
25.034,127094
25.134,127099
25.235,127104
25.335,127109
25.435,127114
25.535,127119
25.634,127124
25.736,127129
25.836,127134
25.936,127139
26.037,127144
26.136,127149
26.237,127154
26.338,127159
26.438,127164
26.538,127169
26.638,127174
26.739,127179
26.838,127184
26.940,127189
27.040,127194
27.139,127199
27.240,127204
27.341,127209
27.441,127214
27.541,127219
27.641,127224
27.742,127229
27.842,127234
27.942,127239
28.042,127244
28.142,127249
28.243,127254
28.343,127259
28.443,127264
28.542,127269
28.644,127274
28.744,127279
28.844,127284
28.943,127289
29.044,127294
29.144,127299
29.243,127304
29.343,127309
29.444,127314
29.544,127319
29.644,127324
29.745,127329
29.844,127334
29.944,127339
30.045,127344
30.146,127349
30.246,127354
30.346,127359
30.446,127364
30.546,127370
30.646,127375
30.746,127380
30.846,127385
30.947,127390
31.047,127395
31.147,127400
31.247,127405
31.347,127410
31.447,127415
31.547,127420
31.647,127425
31.746,127430
31.846,127435
31.946,127440
32.047,127445
32.147,127450
32.247,127455
32.348,127460
32.448,127465
32.548,127470
32.648,127475
32.749,127475
32.849,127485
32.949,127490
33.048,127495
33.149,127500
33.249,127505
33.349,127510
33.449,127515
33.550,127520
33.649,127525
33.750,127530
33.849,127535
33.949,127540
34.050,127545
34.150,127550
34.251,127555
34.350,127560
34.450,127565
34.551,127570
34.651,127575
34.750,127580
34.851,127585
34.950,127590
35.050,127595
35.151,127600
35.251,127605
35.351,127610
35.453,127615
35.552,127620
35.652,127625
35.752,127631
35.852,127636
35.952,127641
36.053,127646
36.154,127651
36.254,127656
36.354,127661
36.453,127666
36.554,127671
36.653,127676
36.753,127681
36.853,127686
36.953,127688
37.054,127696
37.154,127701
37.254,127706
37.354,127711
37.456,127716
37.554,127721
37.654,127726
37.754,127731
37.855,127736
37.955,127741
38.055,127746
38.155,127751
38.255,127756
38.355,127761
38.456,127766
38.556,127771
38.656,127776
38.756,127781
38.856,127786
38.956,127791
39.056,127796
39.156,127801
39.256,127806
39.357,127811
39.457,127816
39.557,127821
39.657,127826
39.757,127831
39.857,127836
39.957,127841
40.057,127846
40.157,127851
40.257,127856
40.357,127861
40.457,127866
40.557,127871
40.658,127876
40.758,127882
40.858,127887
40.958,127892
41.058,127897
41.158,127902
41.259,127907
41.359,127912
41.459,127917
41.559,127922
41.659,127927
41.759,127932
41.859,127937
41.959,127942
42.060,127947
42.160,127952
42.260,127957
42.360,127962
42.460,127967
42.560,127972
42.660,127977
42.760,127982
42.861,127987
42.961,127992
43.061,127997
43.161,128002
43.261,128007
43.361,128012
43.461,128017
43.562,128022
43.662,128027
43.762,128032
43.862,128037
43.962,128042
44.062,128047
44.163,128052
44.263,128057
44.363,128062
44.463,128067
44.563,128072
44.663,128077
44.764,128082
44.864,128087
44.964,128092
45.064,128097
45.164,128102
45.264,128107
45.364,128112
45.465,128117
45.565,128122
45.665,128127
45.765,128132
45.865,128137
45.965,128142
46.066,128147
46.166,128152
46.266,128158
46.366,128162
46.466,128168
46.566,128172
46.667,128178
46.767,128183
46.867,128188
46.967,128193
47.067,128198
47.167,128203
47.267,128208
47.367,128213
47.467,128218
47.567,128223
47.668,128228
47.768,128233
47.868,128238
47.968,128243
48.069,128248
48.169,128253
48.269,128258
48.369,128263
48.469,128268
48.570,128273
48.670,128278
48.770,128283
48.870,128288
