TO_CLIENT
1462172620
time,tx_packets
0.001,104419
0.101,104419
0.201,104419
0.301,104419
0.401,104419
0.502,104419
0.602,104419
0.702,104419
0.802,104419
0.902,104419
1.003,104419
1.103,104422
1.203,104428
1.303,104431
1.404,104437
1.504,104443
1.604,104448
1.704,104453
1.804,104458
1.904,104463
2.004,104468
2.104,104473
2.205,104474
2.305,104476
2.405,104485
2.505,104493
2.605,104498
2.705,104503
2.805,104508
2.905,104513
3.006,104518
3.106,104523
3.206,104528
3.306,104533
3.406,104538
3.507,104543
3.607,104548
3.707,104553
3.807,104558
3.907,104563
4.007,104568
4.107,104573
4.208,104578
4.308,104583
4.408,104588
4.508,104593
4.608,104598
4.709,104603
4.809,104608
4.909,104613
5.009,104618
5.109,104623
5.210,104628
5.309,104633
5.410,104638
5.510,104643
5.610,104648
5.710,104653
5.810,104658
5.911,104664
6.011,104669
6.111,104674
6.211,104679
6.311,104684
6.412,104689
6.512,104694
6.612,104699
6.712,104704
6.813,104709
6.913,104714
7.013,104719
7.113,104724
7.213,104729
7.314,104734
7.414,104739
7.514,104744
7.614,104749
7.714,104754
7.815,104759
7.915,104764
8.015,104769
8.115,104774
8.215,104779
8.315,104784
8.416,104789
8.516,104794
8.616,104799
8.716,104804
8.817,104809
8.917,104814
9.017,104819
9.117,104824
9.217,104829
9.318,104834
9.418,104839
9.518,104844
9.618,104849
9.718,104854
9.819,104859
9.919,104864
10.019,104869
10.119,104874
10.219,104879
10.320,104884
10.420,104889
10.520,104894
10.620,104899
10.720,104904
10.820,104909
10.921,104915
11.021,104920
11.121,104924
11.221,104924
11.321,104924
11.421,104924
11.522,104924
11.622,104929
11.722,104934
11.822,104940
11.922,104950
12.022,104957
12.123,104962
12.223,104967
12.323,104972
12.423,104977
12.523,104982
12.623,104987
12.723,104992
12.824,104997
12.924,105002
13.024,105007
13.124,105012
13.224,105017
13.324,105022
13.424,105027
13.525,105032
13.625,105037
13.725,105042
13.825,105047
13.925,105052
14.025,105057
14.126,105063
14.226,105068
14.326,105073
14.426,105078
