TO_UIUC
1462172620
time,tx_packets
0.001,268961
0.101,268961
0.201,268961
0.301,268961
0.402,268961
0.502,268961
0.602,268961
0.702,268962
0.802,268962
0.903,268967
1.003,268972
1.103,268982
1.204,268992
1.304,269000
1.404,269012
1.504,269023
1.604,269033
1.704,269043
1.804,269055
1.904,269071
2.005,269083
2.105,269098
2.205,269104
2.305,269111
2.405,269126
2.506,269138
2.606,269148
2.706,269158
2.806,269168
2.906,269178
3.006,269188
3.106,269198
3.207,269208
3.307,269218
3.407,269228
3.507,269238
3.607,269248
3.708,269258
3.808,269268
3.908,269278
4.008,269288
4.108,269298
4.208,269308
4.309,269318
4.409,269328
4.509,269338
4.609,269348
4.709,269358
4.809,269368
4.909,269379
5.010,269389
5.110,269399
5.210,269409
5.310,269420
5.410,269430
5.510,269440
5.611,269450
5.711,269460
5.811,269472
5.911,269482
6.011,269492
6.111,269503
6.212,269513
6.312,269523
6.412,269534
6.512,269544
6.612,269554
6.713,269564
6.812,269574
6.914,269584
7.013,269594
7.113,269604
7.213,269614
7.313,269624
7.413,269634
7.513,269644
7.614,269654
7.713,269664
7.813,269674
7.913,269684
8.014,269694
8.114,269704
8.214,269714
8.314,269724
8.415,269734
8.515,269744
8.614,269754
8.715,269764
8.815,269774
8.915,269784
9.015,269794
9.116,269807
9.217,269817
9.315,269827
9.417,269838
9.517,269848
9.617,269859
9.717,269869
9.816,269879
9.916,269889
10.017,269899
10.118,269909
10.217,269919
10.317,269929
10.417,269940
10.517,269950
10.617,269960
10.718,269971
10.817,269982
10.918,269992
11.017,270002
11.117,270011
11.217,270016
11.318,270022
11.418,270032
11.519,270050
11.618,270073
11.719,270103
11.818,270140
11.918,270168
12.019,270194
12.119,270215
12.220,270236
12.319,270258
12.419,270281
12.519,270305
12.619,270330
12.720,270355
12.820,270380
12.921,270405
13.020,270430
13.121,270455
13.221,270480
13.320,270505
13.422,270530
13.520,270555
13.620,270581
13.721,270606
13.822,270631
13.921,270656
14.021,270681
14.121,270708
14.221,270733
14.321,270758
14.422,270783
14.523,270808
14.622,270833
14.722,270859
14.822,270884
14.924,270909
15.022,270934
15.122,270958
15.223,270984
15.322,271009
15.423,271034
15.522,271059
15.622,271084
15.723,271109
15.824,271134
15.923,271159
16.023,271184
16.124,271209
16.224,271234
16.325,271259
16.424,271284
16.525,271309
16.624,271335
16.724,271359
16.826,271384
16.925,271409
17.025,271435
17.126,271458
17.226,271485
17.326,271510
17.426,271535
17.526,271560
17.627,271586
17.726,271610
17.826,271637
17.928,271662
18.028,271686
18.128,271711
18.227,271736
18.327,271761
18.428,271789
18.527,271814
18.629,271839
18.729,271864
18.827,271889
18.927,271915
19.027,271939
19.127,271965
19.227,271989
19.327,272014
19.428,272040
19.529,272065
19.628,272089
19.728,272115
19.829,272140
19.929,272165
20.029,272190
20.131,272216
20.229,272240
20.330,272266
20.431,272292
20.531,272317
20.632,272341
20.730,272365
20.832,272392
20.932,272417
21.032,272442
21.133,272466
21.231,272491
21.331,272515
21.431,272540
21.531,272566
21.631,272591
21.731,272616
21.831,272641
21.931,272667
22.032,272692
22.132,272717
22.232,272743
22.332,272767
22.432,272793
22.532,272819
22.633,272846
22.733,272872
22.833,272897
22.933,272922
23.034,272947
23.134,272972
23.234,272998
23.335,273023
23.435,273048
23.535,273074
23.636,273099
23.736,273124
23.835,273149
23.937,273173
24.036,273199
24.135,273224
24.236,273249
24.336,273274
24.436,273299
24.537,273324
24.636,273349
24.737,273373
24.838,273399
24.937,273424
25.037,273449
25.139,273474
25.238,273499
25.339,273524
25.438,273548
25.539,273574
25.640,273599
25.740,273624
25.839,273649
25.940,273674
26.041,273699
26.140,273724
26.241,273750
26.341,273775
26.442,273800
26.543,273825
26.643,273850
26.743,273877
26.843,273903
26.943,273928
27.043,273953
27.144,273978
27.245,274003
27.344,274028
27.444,274053
27.546,274078
27.645,274104
27.746,274129
27.846,274154
27.947,274180
28.046,274204
28.147,274230
28.247,274256
28.347,274281
28.447,274306
28.547,274332
28.647,274357
28.748,274382
28.847,274407
28.948,274432
29.048,274456
29.148,274481
29.249,274507
29.349,274532
29.449,274557
29.549,274582
29.649,274607
29.749,274632
29.850,274657
29.949,274682
30.050,274708
30.150,274733
30.250,274758
30.350,274784
30.450,274809
30.550,274833
30.650,274860
30.750,274885
30.851,274912
30.951,274938
31.051,274963
31.152,274989
31.251,275014
31.351,275037
31.451,275064
31.551,275089
31.652,275115
31.752,275141
31.852,275166
31.952,275190
32.052,275216
32.152,275241
32.252,275265
32.353,275291
32.453,275316
32.553,275341
32.653,275366
32.753,275391
32.853,275416
32.953,275429
33.054,275463
33.154,275492
33.254,275512
33.354,275541
33.454,275566
33.554,275591
33.654,275616
33.754,275641
33.855,275666
33.955,275691
34.054,275716
34.155,275741
34.255,275766
34.355,275791
34.456,275817
34.555,275842
34.655,275867
34.755,275892
34.856,275917
34.956,275943
35.056,275968
35.156,275993
35.256,276018
35.356,276044
35.456,276069
35.556,276094
35.657,276119
35.757,276144
35.858,276169
35.958,276195
36.057,276220
36.158,276245
36.258,276270
36.358,276295
36.461,276320
36.558,276345
36.659,276370
