TO_UM
1462172620
time,tx_packets
0.004,400040
0.101,400040
0.201,400040
0.301,400040
0.401,400040
0.502,400040
0.602,400040
0.703,400040
0.802,400040
0.903,400063
1.003,400109
1.103,400155
1.203,400199
1.303,400239
1.404,400280
1.504,400321
1.604,400355
1.704,400388
1.804,400413
1.904,400439
2.005,400481
2.104,400524
2.205,400529
2.305,400619
2.405,400665
2.505,400707
2.606,400755
2.706,400798
2.805,400844
2.906,400890
3.006,400934
3.106,400980
3.207,401024
3.306,401069
3.407,401114
3.507,401162
3.606,401207
3.707,401250
3.807,401295
3.908,401340
4.007,401386
4.108,401432
4.208,401477
4.308,401523
4.408,401568
4.508,401614
4.609,401658
4.709,401703
4.809,401748
4.909,401793
5.009,401838
5.109,401883
5.209,401930
5.309,401975
5.409,402020
5.509,402071
5.610,402117
5.710,402162
5.810,402207
5.910,402252
6.010,402297
6.110,402343
6.213,402388
6.310,402433
6.410,402478
6.511,402522
6.611,402568
6.711,402613
6.811,402658
6.911,402704
7.011,402750
7.111,402794
7.211,402840
7.312,402885
7.412,402930
7.512,402975
7.612,403021
7.712,403065
7.812,403110
7.912,403156
8.012,403201
8.112,403246
8.213,403291
8.315,403336
8.413,403380
8.514,403426
8.614,403471
8.715,403516
8.815,403561
8.915,403605
9.016,403652
9.114,403694
9.215,403740
9.316,403785
9.417,403830
9.517,403875
9.617,403923
9.716,403970
9.816,404014
9.916,404060
10.017,404105
10.117,404150
10.216,404195
10.316,404240
10.418,404285
10.517,404331
10.617,404376
10.719,404421
10.818,404466
10.917,404511
11.019,404557
11.119,404603
11.217,404648
11.318,404687
11.418,404712
11.517,404738
11.619,404772
11.718,404804
11.819,404821
11.919,404837
12.019,404849
12.120,404859
12.219,404876
12.318,404906
12.419,404934
12.520,404964
12.620,404994
12.719,405024
12.820,405054
12.920,405084
13.021,405114
13.120,405144
13.220,405172
13.321,405202
13.420,405232
13.522,405262
13.621,405292
13.721,405322
13.821,405350
13.921,405380
14.021,405410
14.121,405443
14.222,405473
14.321,405503
14.422,405534
14.523,405563
14.622,405593
14.723,405623
14.822,405652
14.922,405682
15.022,405715
15.123,405744
15.223,405774
15.323,405803
15.423,405833
15.522,405864
15.623,405895
15.723,405924
15.823,405952
15.923,405982
16.023,406011
16.123,406036
16.223,406065
16.324,406093
16.424,406123
16.524,406155
16.624,406184
16.724,406213
16.824,406243
16.925,406273
17.025,406302
17.125,406329
17.225,406355
17.325,406390
17.425,406418
17.525,406447
17.626,406477
17.726,406503
17.826,406534
17.926,406565
18.026,406594
18.126,406624
18.227,406655
18.328,406688
18.428,406719
18.527,406749
18.627,406775
18.728,406805
18.829,406834
18.929,406863
19.029,406893
19.129,406923
19.229,406954
19.328,406983
19.428,407013
19.530,407044
19.630,407075
19.729,407105
19.829,407133
19.929,407161
20.029,407192
20.129,407222
20.229,407252
20.330,407282
20.430,407312
20.530,407340
20.630,407370
20.730,407400
20.830,407430
20.931,407460
21.030,407490
21.131,407520
21.231,407550
21.331,407580
21.432,407611
21.531,407641
21.631,407671
21.732,407701
21.832,407729
21.933,407759
22.033,407789
22.132,407818
22.232,407849
22.332,407879
22.432,407910
22.533,407941
22.633,407971
22.733,408002
22.833,408032
22.933,408062
23.034,408092
23.134,408122
23.235,408151
23.334,408179
23.434,408209
23.535,408237
23.636,408267
23.735,408297
23.835,408325
23.935,408356
24.035,408386
24.135,408417
24.235,408447
24.335,408477
24.436,408507
24.536,408537
24.636,408567
24.736,408597
24.836,408627
24.937,408657
25.037,408687
25.139,408716
25.239,408745
25.338,408775
25.438,408805
25.539,408835
25.639,408865
25.739,408895
25.840,408925
25.940,408955
26.040,408985
26.141,409015
26.241,409045
26.342,409075
26.441,409105
26.542,409135
26.642,409165
26.743,409203
26.842,409233
26.943,409263
27.044,409294
27.144,409324
27.243,409354
27.344,409384
27.445,409412
27.545,409442
27.645,409474
27.745,409502
27.845,409530
27.946,409562
28.046,409590
28.147,409618
28.247,409649
28.347,409677
28.447,409704
28.547,409734
28.648,409762
28.748,409790
28.847,409820
28.947,409850
29.048,409879
29.148,409910
29.248,409940
29.348,409969
29.448,409997
29.549,410028
29.649,410053
29.749,410082
29.849,410111
29.949,410140
30.050,410170
30.149,410200
30.249,410230
30.349,410260
30.450,410289
30.550,410320
30.650,410350
30.750,410380
30.850,410410
30.950,410441
31.050,410476
31.150,410507
31.251,410538
31.351,410560
31.451,410585
31.551,410617
31.652,410651
31.751,410681
31.851,410710
31.952,410741
32.052,410771
32.152,410799
32.252,410827
32.352,410858
32.453,410888
32.552,410917
32.652,410947
32.752,410971
32.853,411005
32.954,411016
33.053,411056
33.153,411091
33.254,411121
33.354,411149
33.454,411179
33.553,411209
33.654,411239
33.754,411269
33.854,411299
33.954,411329
34.055,411359
34.154,411389
34.254,411419
34.355,411449
34.459,411479
34.555,411509
34.655,411539
34.755,411567
34.855,411595
34.955,411625
35.055,411655
35.155,411685
