FROM_KISTI
1462172890
time,rx_packets
0.001,117051
0.101,117051
0.201,117051
0.301,117051
0.402,117051
0.502,117051
0.602,117051
0.702,117051
0.802,117051
0.903,117051
1.003,117055
1.103,117060
1.203,117065
1.303,117070
1.403,117075
1.503,117080
1.604,117085
1.704,117090
1.804,117095
1.904,117100
2.004,117105
2.104,117110
2.204,117115
2.305,117120
2.405,117125
2.505,117130
2.605,117135
2.705,117138
2.805,117145
2.906,117150
3.006,117156
3.106,117161
3.206,117166
3.306,117169
3.406,117176
3.506,117181
3.607,117186
3.707,117191
3.807,117196
3.907,117201
4.007,117206
4.107,117211
4.207,117216
4.307,117221
4.407,117226
4.508,117231
4.608,117236
4.708,117241
4.808,117246
4.908,117251
5.009,117256
5.109,117261
5.209,117266
5.309,117271
5.409,117276
5.509,117281
5.609,117286
5.710,117291
5.810,117296
5.910,117301
6.010,117306
6.110,117312
6.210,117317
6.310,117322
6.411,117327
6.511,117332
6.611,117337
6.711,117342
6.811,117347
6.911,117352
7.011,117357
7.112,117362
7.212,117367
7.312,117372
7.412,117377
7.512,117382
7.612,117387
7.712,117392
7.813,117397
7.913,117402
8.013,117407
8.113,117412
8.213,117417
8.313,117422
8.413,117427
8.513,117432
8.614,117437
8.714,117442
8.814,117447
8.914,117452
9.014,117457
9.114,117462
9.214,117467
9.315,117472
9.415,117477
9.515,117482
9.615,117487
9.715,117492
9.815,117497
9.915,117502
10.016,117507
10.116,117512
10.216,117517
10.316,117522
10.416,117527
10.516,117531
10.616,117537
10.716,117542
10.817,117547
10.917,117552
11.017,117558
11.117,117563
11.217,117567
11.317,117567
11.417,117569
11.517,117574
11.618,117579
11.718,117587
11.818,117597
11.918,117602
12.018,117607
12.118,117612
12.219,117617
12.319,117622
12.419,117627
12.519,117632
12.619,117637
12.719,117642
12.820,117647
12.920,117652
13.020,117657
13.120,117662
13.220,117667
13.320,117670
13.421,117677
13.521,117682
13.621,117687
13.721,117692
13.821,117697
13.921,117702
14.022,117707
14.122,117712
14.222,117717
14.322,117722
14.422,117727
14.522,117732
14.622,117737
14.722,117742
14.822,117747
14.923,117752
15.023,117757
15.123,117762
15.223,117767
15.323,117772
15.423,117777
15.523,117782
15.623,117787
15.723,117792
15.823,117797
15.924,117802
16.024,117807
16.124,117812
16.224,117817
16.324,117822
16.424,117823
16.524,117832
16.625,117837
16.725,117842
16.825,117847
16.925,117852
17.025,117857
17.125,117862
17.225,117867
17.325,117872
17.425,117877
17.525,117882
17.626,117887
17.726,117892
17.826,117897
17.926,117902
18.026,117907
18.126,117912
18.227,117917
18.327,117922
18.427,117927
18.527,117932
18.627,117937
18.727,117942
18.827,117948
18.928,117952
19.028,117957
19.128,117963
19.228,117968
19.328,117973
19.428,117978
19.528,117983
19.628,117988
19.728,117993
19.828,117998
19.929,118003
