TO_KISTI
1462172890
time,tx_packets
0.001,117030
0.101,117030
0.201,117030
0.301,117030
0.403,117030
0.502,117030
0.602,117030
0.702,117030
0.802,117030
0.903,117030
1.003,117035
1.103,117040
1.203,117045
1.303,117050
1.403,117055
1.503,117060
1.604,117065
1.704,117070
1.804,117075
1.904,117080
2.004,117085
2.104,117090
2.204,117095
2.304,117100
2.405,117105
2.505,117110
2.605,117115
2.705,117120
2.805,117125
2.905,117130
3.006,117135
3.106,117140
3.206,117145
3.306,117150
3.406,117155
3.506,117160
3.606,117165
3.707,117170
3.807,117175
3.907,117180
4.007,117185
4.107,117190
4.207,117195
4.307,117200
4.407,117205
4.507,117210
4.608,117215
4.708,117220
4.808,117225
4.908,117230
5.008,117235
5.108,117240
5.208,117245
5.308,117250
5.409,117255
5.509,117260
5.609,117265
5.709,117270
5.809,117275
5.909,117280
6.010,117286
6.110,117291
6.210,117296
6.310,117301
6.410,117306
6.510,117311
6.611,117316
6.711,117321
6.811,117326
6.911,117331
7.011,117336
7.111,117341
7.211,117346
7.311,117351
7.411,117356
7.511,117361
7.612,117366
7.712,117371
7.812,117376
7.912,117381
8.012,117386
8.112,117391
8.212,117396
8.312,117401
8.412,117406
8.512,117411
8.613,117416
8.713,117421
8.813,117426
8.913,117431
9.013,117436
9.113,117441
9.213,117446
9.314,117451
9.414,117456
9.514,117461
9.614,117466
9.714,117471
9.814,117476
9.914,117481
10.014,117486
10.115,117491
10.215,117496
10.315,117501
10.415,117506
10.515,117511
10.615,117516
10.716,117521
10.816,117526
10.916,117531
11.016,117537
11.116,117542
11.216,117546
11.316,117546
11.416,117548
11.516,117553
11.616,117558
11.717,117566
11.817,117576
11.917,117581
12.017,117586
12.117,117591
12.217,117596
12.317,117601
12.418,117606
12.518,117611
12.618,117616
12.718,117621
12.818,117626
12.918,117631
13.019,117636
13.119,117641
13.219,117646
13.319,117651
13.419,117656
13.519,117661
13.619,117666
13.720,117671
13.820,117676
13.920,117681
14.020,117686
14.120,117691
14.220,117696
14.320,117701
14.420,117706
14.520,117711
14.621,117716
14.721,117721
14.821,117727
14.921,117731
15.021,117736
15.121,117742
15.221,117747
15.321,117752
15.421,117757
15.521,117761
15.621,117766
15.722,117771
15.822,117777
15.922,117782
16.022,117787
16.122,117792
16.222,117797
16.322,117802
16.423,117804
16.523,117812
16.623,117817
16.723,117822
16.823,117827
16.923,117832
17.023,117837
17.124,117842
17.224,117847
17.324,117852
17.424,117857
17.524,117862
17.625,117867
17.725,117872
17.825,117877
17.925,117882
18.025,117887
18.125,117892
18.225,117897
18.326,117902
18.426,117907
18.526,117912
18.626,117917
18.726,117922
18.826,117927
18.926,117932
19.027,117937
19.127,117942
19.227,117947
19.327,117952
19.427,117957
19.527,117962
19.627,117967
19.727,117972
19.827,117977
19.928,117982
20.028,117987
20.128,117992
20.228,117997
20.328,118002
20.428,118007
20.528,118012
20.629,118017
20.729,118022
20.829,118027
20.929,118032
21.029,118037
21.129,118042
21.229,118047
21.329,118052
21.429,118057
21.530,118062
21.630,118067
21.730,118072
21.830,118077
21.930,118082
22.030,118087
22.130,118092
22.230,118097
22.331,118102
22.431,118107
22.531,118112
22.631,118117
22.731,118122
22.831,118127
22.931,118132
23.031,118137
23.131,118142
23.231,118147
23.332,118152
23.432,118157
23.532,118162
23.632,118167
23.732,118172
23.832,118177
23.932,118182
24.032,118187
24.132,118192
24.233,118197
24.333,118202
24.433,118207
24.533,118212
24.633,118217
24.733,118222
24.833,118227
24.933,118232
25.033,118237
25.133,118242
25.233,118247
25.334,118252
25.434,118257
25.534,118262
25.634,118267
25.734,118272
25.834,118277
25.934,118282
26.034,118287
26.135,118292
26.235,118297
26.335,118302
26.435,118307
26.535,118312
26.635,118317
26.735,118322
26.835,118327
26.935,118332
27.035,118337
27.136,118342
27.236,118347
27.336,118352
27.436,118357
27.536,118362
27.636,118367
27.736,118372
27.836,118377
27.936,118382
28.036,118387
28.136,118392
28.236,118397
28.336,118402
28.437,118407
28.537,118412
28.637,118417
28.737,118422
28.837,118427
28.937,118432
29.037,118437
29.138,118442
29.238,118447
29.338,118452
29.438,118457
29.538,118462
29.638,118467
29.738,118472
29.838,118477
29.938,118482
30.038,118487
30.139,118492
30.239,118497
30.339,118502
30.439,118507
30.539,118512
30.639,118517
30.739,118522
30.839,118527
30.939,118532
31.040,118537
31.140,118542
31.240,118547
31.340,118552
31.440,118557
31.540,118562
31.640,118567
31.740,118572
31.840,118577
31.940,118582
32.041,118587
32.141,118592
32.241,118597
32.341,118602
32.441,118607
32.541,118613
32.641,118618
32.741,118622
32.841,118627
32.941,118633
33.042,118638
33.142,118643
33.242,118648
33.342,118653
33.442,118658
33.542,118663
33.642,118668
33.743,118673
33.843,118678
33.943,118683
34.043,118688
34.143,118693
34.243,118698
34.343,118703
34.443,118708
34.543,118713
34.644,118718
34.744,118723
34.844,118728
34.944,118733
35.044,118738
35.144,118743
35.244,118748
35.344,118753
35.444,118758
35.544,118763
35.645,118768
35.745,118773
35.845,118778
35.945,118783
36.045,118788
36.145,118793
36.245,118798
36.346,118802
36.446,118808
36.546,118813
36.646,118818
36.746,118823
36.846,118828
36.946,118833
37.046,118838
37.146,118843
37.247,118848
37.347,118853
37.447,118858
37.547,118863
37.647,118867
37.747,118868
37.847,118878
37.947,118883
38.048,118888
38.148,118893
38.248,118898
38.348,118903
38.448,118908
38.548,118913
38.648,118918
38.749,118923
38.848,118928
38.949,118933
39.049,118938
39.149,118944
39.249,118949
39.349,118954
39.449,118959
39.549,118964
39.649,118969
39.749,118974
39.849,118979
39.950,118984
40.050,118989
40.150,118994
40.250,118999
40.350,119004
40.450,119009
40.550,119014
40.650,119019
40.750,119024
40.850,119029
40.950,119034
41.050,119039
41.150,119044
41.251,119049
41.351,119053
41.451,119059
41.551,119064
41.651,119069
41.751,119074
41.851,119079
41.952,119084
42.052,119089
42.152,119094
42.252,119099
42.352,119104
42.452,119109
42.552,119114
42.652,119119
42.753,119124
42.853,119129
42.953,119134
43.053,119139
43.153,119144
43.253,119149
43.353,119154
43.453,119159
43.553,119164
43.653,119169
43.753,119174
