TO_UA
1462172890
time,tx_packets
0.001,380200
0.101,380200
0.201,380200
0.301,380200
0.401,380200
0.502,380201
0.602,380201
0.702,380201
0.802,380207
0.902,380236
1.003,380266
1.103,380296
1.203,380323
1.303,380351
1.403,380377
1.503,380402
1.603,380427
1.704,380450
1.804,380473
1.904,380502
2.004,380532
2.104,380564
2.205,380594
2.305,380623
2.405,380654
2.505,380682
2.605,380714
2.706,380733
2.806,380776
2.906,380806
3.006,380836
3.106,380866
3.207,380896
3.307,380926
3.407,380958
3.507,380989
3.607,381020
3.707,381051
3.807,381081
3.908,381111
4.008,381141
4.108,381171
4.208,381201
4.308,381231
4.408,381261
4.509,381291
4.609,381321
4.709,381351
4.809,381381
4.909,381411
5.009,381443
5.109,381473
5.209,381503
5.310,381533
5.410,381563
5.510,381594
5.610,381624
5.710,381654
5.811,381684
5.911,381714
6.011,381744
6.111,381774
6.212,381804
6.312,381834
6.412,381864
6.512,381894
6.612,381924
6.712,381954
6.813,381984
6.913,382014
7.013,382045
7.113,382077
7.214,382107
7.314,382137
7.414,382167
7.514,382197
7.615,382227
7.714,382261
7.815,382291
7.915,382321
8.015,382351
8.115,382381
8.216,382411
8.316,382441
8.416,382471
8.516,382501
8.616,382531
8.716,382561
8.816,382591
8.916,382621
9.016,382651
9.117,382681
9.217,382711
9.317,382741
9.417,382772
9.517,382802
9.617,382832
9.718,382864
9.818,382894
9.918,382925
10.019,382955
10.119,382984
10.219,383015
10.320,383045
10.420,383075
10.520,383106
10.620,383137
10.720,383166
10.820,383196
10.920,383224
11.020,383257
11.120,383282
11.220,383307
11.321,383331
11.420,383357
11.522,383389
11.621,383435
11.721,383475
11.821,383507
11.922,383538
12.022,383563
12.122,383590
12.222,383621
12.322,383651
12.422,383681
12.522,383711
12.622,383741
12.722,383771
12.822,383801
12.922,383830
13.023,383861
13.123,383891
13.223,383921
13.323,383950
13.423,383981
13.523,384012
13.623,384041
13.723,384072
13.823,384102
13.923,384133
14.024,384163
14.124,384193
14.230,384225
14.324,384255
14.425,384284
14.525,384314
14.625,384344
14.725,384375
14.825,384404
14.925,384434
15.025,384464
15.125,384495
15.225,384524
15.326,384555
15.426,384585
15.526,384614
15.626,384644
15.726,384675
15.826,384705
15.926,384735
16.026,384765
16.126,384795
16.226,384824
16.326,384856
16.426,384879
16.527,384919
16.627,384949
16.729,384979
16.827,385009
16.928,385039
17.028,385069
17.128,385099
17.228,385129
17.328,385159
17.429,385189
17.529,385219
17.629,385249
17.729,385279
17.829,385309
17.929,385339
18.029,385369
18.129,385399
18.230,385431
18.330,385461
18.430,385491
18.530,385521
18.630,385551
18.730,385581
18.830,385610
18.931,385641
19.031,385669
19.131,385699
19.231,385729
19.331,385759
19.431,385789
19.531,385819
19.631,385849
19.732,385879
19.832,385908
19.932,385939
20.032,385971
20.132,386001
20.232,386031
20.333,386061
20.433,386092
20.533,386122
20.633,386153
20.733,386185
20.833,386215
20.933,386245
21.033,386275
21.133,386305
21.234,386335
21.334,386364
21.434,386395
21.534,386425
21.634,386456
21.734,386486
21.834,386516
21.934,386545
22.034,386576
22.135,386606
22.235,386636
22.335,386666
22.435,386698
22.536,386728
22.636,386758
22.736,386788
22.836,386818
22.936,386848
23.036,386878
23.136,386908
23.237,386938
23.337,386968
23.437,386998
23.537,387028
23.637,387058
23.737,387088
23.837,387118
23.937,387148
24.037,387178
24.137,387208
24.238,387240
24.338,387270
24.438,387300
24.538,387331
24.638,387362
24.739,387392
24.839,387423
24.939,387452
25.039,387484
25.139,387514
25.240,387542
25.340,387575
25.440,387605
25.540,387636
25.640,387665
25.740,387697
25.840,387727
25.941,387756
26.041,387786
26.141,387817
26.241,387846
26.341,387876
26.441,387907
26.541,387937
26.642,387967
26.742,387997
26.842,388029
26.942,388059
27.042,388088
27.142,388118
27.242,388149
27.342,388179
27.443,388209
27.543,388239
27.643,388269
27.743,388299
27.843,388329
27.943,388360
28.044,388390
28.144,388419
28.244,388451
28.344,388480
28.444,388510
28.544,388540
28.645,388570
28.745,388601
28.845,388630
28.945,388663
29.045,388693
29.145,388723
29.246,388753
29.346,388783
29.446,388815
29.546,388845
29.646,388875
29.746,388905
29.847,388935
29.947,388965
30.047,388995
30.147,389024
30.247,389055
30.347,389085
30.447,389115
30.548,389145
30.648,389175
30.748,389205
30.848,389235
30.949,389265
31.049,389295
31.149,389326
31.249,389353
31.349,389383
31.449,389408
31.550,389446
31.650,389476
31.750,389506
31.850,389536
31.950,389566
32.051,389596
32.151,389626
32.251,389656
32.351,389686
32.451,389716
32.551,389747
32.651,389777
32.751,389806
32.852,389837
32.952,389867
33.052,389897
33.152,389927
33.252,389958
33.353,389988
33.453,390022
33.553,390052
33.653,390082
33.753,390112
33.853,390142
33.954,390172
34.054,390202
34.154,390232
34.254,390263
34.354,390293
34.455,390323
34.555,390353
34.655,390383
34.755,390413
34.855,390443
34.956,390472
35.056,390503
35.156,390533
35.256,390563
35.356,390593
35.457,390623
35.557,390653
35.657,390683
35.757,390713
35.858,390743
35.958,390773
36.058,390803
36.158,390833
36.258,390863
36.358,390893
36.458,390923
36.559,390953
36.659,390983
36.759,391013
36.859,391044
36.960,391074
37.060,391104
37.160,391136
37.260,391164
37.360,391196
37.460,391224
37.560,391253
37.660,391284
37.760,391305
37.861,391352
37.961,391379
38.061,391411
38.161,391440
38.261,391470
38.361,391501
38.461,391531
38.561,391560
38.661,391591
38.762,391621
38.862,391651
38.962,391681
39.062,391711
39.162,391741
39.262,391771
39.363,391801
39.463,391831
39.563,391863
39.663,391894
39.763,391922
39.863,391953
39.964,391984
40.064,392014
40.164,392043
40.264,392074
40.364,392103
40.464,392133
40.565,392164
40.665,392194
40.765,392224
40.865,392255
40.966,392285
41.066,392315
41.166,392344
41.266,392375
41.366,392405
41.466,392436
41.567,392466
41.667,392496
41.767,392526
41.867,392558
41.968,392590
42.068,392620
42.168,392650
42.268,392680
42.368,392710
42.469,392740
42.569,392770
42.669,392800
42.769,392830
42.869,392860
42.970,392890
43.070,392920
43.170,392950
43.270,392980
43.370,393010
43.471,393040
43.571,393070
43.671,393100
43.771,393131
43.871,393161
43.971,393191
44.071,393221
44.171,393251
44.272,393281
44.372,393311
44.472,393341
44.572,393371
44.672,393400
44.773,393431
44.873,393461
44.973,393491
45.073,393521
45.173,393551
45.274,393581
45.374,393611
45.474,393641
45.574,393671
45.674,393702
45.775,393732
45.875,393763
45.975,393789
46.075,393824
46.175,393854
46.276,393887
46.376,393917
46.476,393947
46.576,393977
46.676,394007
46.777,394038
46.877,394068
46.977,394098
47.077,394128
47.178,394158
47.278,394188
47.378,394218
47.478,394248
47.579,394278
47.679,394308
47.779,394339
47.879,394368
47.980,394398
48.079,394428
48.179,394458
48.279,394489
48.380,394518
48.481,394550
48.580,394580
48.680,394609
48.780,394640
48.881,394670
48.981,394699
49.081,394729
49.181,394761
49.281,394790
49.381,394820
49.481,394851
49.582,394880
49.682,394910
49.782,394940
49.882,394971
49.982,395001
50.083,395031
50.183,395061
50.283,395092
50.383,395122
50.483,395153
50.584,395185
50.684,395214
50.784,395244
50.884,395274
50.985,395305
51.085,395336
51.185,395367
51.285,395396
51.385,395424
51.485,395456
51.585,395487
51.686,395517
51.786,395547
51.886,395576
51.986,395607
52.086,395637
52.187,395666
52.287,395697
52.387,395727
52.487,395757
52.587,395787
52.688,395817
52.788,395847
52.888,395877
52.988,395907
53.088,395937
53.188,395967
53.288,395997
53.389,396027
53.489,396057
53.589,396087
53.689,396117
53.789,396147
53.890,396175
53.990,396207
54.090,396233
54.190,396262
54.291,396292
54.391,396323
54.491,396355
54.591,396385
54.691,396415
54.791,396445
54.892,396476
54.992,396506
55.092,396536
55.192,396568
55.292,396598
55.392,396628
55.493,396657
55.593,396688
55.693,396717
55.793,396748
55.893,396778
55.994,396808
56.094,396838
56.194,396868
56.294,396898
56.394,396928
56.495,396959
56.595,396989
56.695,397018
56.795,397051
56.895,397081
56.995,397111
57.096,397141
57.196,397171
57.296,397201
57.396,397231
57.496,397261
57.596,397291
57.697,397321
57.797,397351
57.897,397381
57.998,397411
58.098,397441
58.198,397471
58.298,397501
58.398,397531
58.498,397561
58.599,397592
58.699,397622
58.799,397652
58.899,397684
58.999,397715
59.100,397745
59.200,397775
59.300,397806
59.400,397835
59.500,397868
59.600,397897
59.700,397927
59.801,397957
59.901,397988
60.001,398018
60.101,398049
60.201,398079
60.301,398109
60.402,398138
60.502,398168
60.602,398199
60.702,398229
60.802,398259
60.903,398289
61.003,398321
61.103,398351
61.203,398381
61.303,398411
61.403,398441
61.503,398472
61.604,398501
61.704,398532
61.804,398563
61.904,398594
62.004,398624
62.104,398655
62.205,398684
62.305,398714
62.405,398744
62.505,398775
62.605,398804
62.705,398834
62.806,398865
62.906,398895
63.006,398924
63.106,398957
63.206,398986
63.306,399017
63.406,399047
63.507,399079
63.607,399112
63.707,399142
63.807,399172
63.907,399202
64.007,399232
64.108,399262
64.208,399292
64.308,399322
64.408,399352
64.508,399382
64.609,399412
64.709,399442
64.809,399472
64.909,399502
65.009,399531
65.109,399562
65.210,399590
65.310,399622
65.410,399652
65.510,399682
65.610,399712
65.710,399742
65.811,399772
65.911,399802
66.011,399832
66.111,399862
66.211,399892
66.311,399922
66.412,399952
66.512,399982
66.612,400012
66.712,400042
66.812,400072
66.912,400102
67.013,400132
67.113,400162
67.213,400192
67.313,400222
67.414,400252
67.514,400281
67.614,400312
67.714,400342
67.814,400373
67.914,400404
68.015,400436
68.115,400467
68.215,400497
68.315,400527
68.415,400557
68.515,400586
68.616,400617
68.716,400647
68.816,400677
68.916,400707
69.016,400737
69.116,400767
69.216,400797
69.317,400827
69.417,400858
69.517,400888
69.617,400918
69.717,400950
69.817,400980
69.918,401010
70.018,401040
70.118,401070
70.218,401100
70.318,401130
70.419,401160
70.519,401190
70.619,401221
70.719,401251
70.819,401281
70.919,401311
71.020,401343
71.120,401372
71.220,401403
71.320,401432
71.420,401462
71.520,401493
71.620,401525
71.720,401553
71.821,401586
71.921,401614
72.021,401647
72.121,401678
72.221,401707
72.321,401738
72.421,401768
72.521,401797
72.622,401829
72.722,401841
72.822,401891
72.922,401920
73.022,401950
73.122,401980
73.222,402009
73.322,402039
73.423,402070
73.523,402101
